id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ1_Wu0vHFBZERBFRYoKoRbL4,https://www.google.com/maps/place/?q=place_id:ChIJ1_Wu0vHFBZERBFRYoKoRbL4,Pollos Y Parrillas Riccos Chimu,Restaurante especializado en pollo,"Av. Gran Chimú 840, San Juan de Lurigancho 15401",(01) 5207272,+51 1 5207272,,,"-12.025348,-76.9995352",4.1,,"Pollería en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJvd9HZACBspERTic8RkyYKAg,https://www.google.com/maps/place/?q=place_id:ChIJvd9HZACBspERTic8RkyYKAg,Pollo a la brasa - Salchipollo - Lolita,Tienda de aves de corral,"C7RG+W6P, 13780",,,,,"-7.557671,-78.72442649999999",,,"Pollería en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJr0yrzrTIBZERlYU7DaxwzRo,https://www.google.com/maps/place/?q=place_id:ChIJr0yrzrTIBZERlYU7DaxwzRo,Polleria La Perricholi Rimac,Restaurante,"Jr. Trujillo 399 esquina con Jr. Virú Rimac Municipalidad Metropolitana de Lima, LIMA 25",940 227 909,+51 940 227 909,,,"-12.040935099999999,-77.0294243",4,,"Pollería en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJAahQluDRBZER622hn7z6HNs,https://www.google.com/maps/place/?q=place_id:ChIJAahQluDRBZER622hn7z6HNs,Gran Chicken,Pollería,"Av. Romulo Betancourt Manzana J, Los Olivos 15307",934 074 279,+51 934 074 279,facebook.com,https://www.facebook.com/PolleriaGranChicken,"-11.949506399999999,-77.0803409",4.1,,"Pollería en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJtcaVTqx5spEROX8qDaOs4nM,https://www.google.com/maps/place/?q=place_id:ChIJtcaVTqx5spEROX8qDaOs4nM,"POLLERIA""DOÑA OLI""",Restaurante especializado en pollo,"CASERIO CHANCHAMAYO, Sayapullo 13250",976 246 572,+51 976 246 572,,,"-7.571891,-78.5141469",5,,"Pollería en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJv61waMrJBZERhHZwzgtaCb0,https://www.google.com/maps/place/?q=place_id:ChIJv61waMrJBZERhHZwzgtaCb0,Kumar y sus Polluelos,Restaurante especializado en pollo,"Jr. Tacna 925, Magdalena del Mar 15086",940 100 451,+51 940 100 451,,,"-12.0895984,-77.0709822",4.4,,"Pollería en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJ37FbO6jFBZER2UxZUjkHzT0,https://www.google.com/maps/place/?q=place_id:ChIJ37FbO6jFBZER2UxZUjkHzT0,Ohashi maki sjl,Restaurante japonés,"Av. Los Jardines Oeste 269, San Juan de Lurigancho 15427",,,ohashimaki.pe,https://ohashimaki.pe/,"-12.007892,-77.009534",4.2,,"Makis en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJYYtT4U7GBZERTB8Ku1_WICg,https://www.google.com/maps/place/?q=place_id:ChIJYYtT4U7GBZERTB8Ku1_WICg,Uke Mochi Sushi Fusión,Restaurante de sushi,"Av. Los Quechuas 1153, Lima 15022",(01) 3963660,+51 1 3963660,,,"-12.074757199999999,-76.9795901",4.4,,"Makis en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJrWK8m-LIBZER3wPdeYNSNL8,https://www.google.com/maps/place/?q=place_id:ChIJrWK8m-LIBZER3wPdeYNSNL8,Ohashi Maki,Restaurante japonés,"Av. Simón Bolívar 311, Pueblo Libre 15084",(01) 5923284,+51 1 5923284,ohashimaki.pe,http://www.ohashimaki.pe/,"-12.073632,-77.055977",4.2,,"Makis en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJa5DHCYvIBZERKgHs_MW7sMg,https://www.google.com/maps/place/?q=place_id:ChIJa5DHCYvIBZERKgHs_MW7sMg,Ohashi Maki,Restaurante,"Av. Francisco Lazo 1798, Lince 15046",(01) 2652684,+51 1 2652684,facebook.com,https://www.facebook.com/ohashimaki.lince/,"-12.0817763,-77.0307626",4.3,,"Makis en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJlYwHLaXJBZERa69CzrrVUe4,https://www.google.com/maps/place/?q=place_id:ChIJlYwHLaXJBZERa69CzrrVUe4,Ohashi Maki San Miguel,Restaurante japonés,"Av. La Mar 2231, San Miguel 15088",,,,,"-12.0750104,-77.0808563",3.8,,"Makis en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJXX533c7JBZERO3U_pZCBJdM,https://www.google.com/maps/place/?q=place_id:ChIJXX533c7JBZERO3U_pZCBJdM,Restaurante Turístico Gran Chimú,Restaurante,"Jr. Lampa 1017, Lima 15001",999 661 310,+51 999 661 310,facebook.com,https://web.facebook.com/GranChimuRestaurante,"-12.0539352,-77.0337722",4.3,,"Comida peruana en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJyYMPaUJQrZER-QCBvNl7_qE,https://www.google.com/maps/place/?q=place_id:ChIJyYMPaUJQrZER-QCBvNl7_qE,Restaurante Gran Chimu,Restaurante,"Francisco Bolognesi 103, Chocope 13711",993 399 369,+51 993 399 369,,,"-7.792370699999999,-79.22402579999999",4,,"Comida peruana en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJt0tfXjHGBZERvQ7FqKrxJEU,https://www.google.com/maps/place/?q=place_id:ChIJt0tfXjHGBZERvQ7FqKrxJEU,Chamo Gourmet,Restaurante de comida rápida,"Av. Canadá 3708, San Luis 15021",955 590 473,+51 955 590 473,,,"-12.080283099999999,-76.9921287",4.4,,"Fastfood en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJXX533c7JBZERO3U_pZCBJdM,https://www.google.com/maps/place/?q=place_id:ChIJXX533c7JBZERO3U_pZCBJdM,Restaurante Turístico Gran Chimú,Restaurante,"Jr. Lampa 1017, Lima 15001",999 661 310,+51 999 661 310,facebook.com,https://web.facebook.com/GranChimuRestaurante,"-12.0539352,-77.0337722",4.3,,"Fastfood en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJL_uFg8NLTZARyRExP43k2FQ,https://www.google.com/maps/place/?q=place_id:ChIJL_uFg8NLTZARyRExP43k2FQ,Don Jacinto Fast Food,Restaurante de comida rápida,051,923 760 812,+51 923 760 812,,,"-7.3491219999999995,-79.4579372",5,,"Fastfood en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJZ5PBtQs9rZERK6cksSKUaI0,https://www.google.com/maps/place/?q=place_id:ChIJZ5PBtQs9rZERK6cksSKUaI0,Super Chamo Fast Food,Restaurante de comida rápida,Víctor Larco Herrera 13011,902 732 911,+51 902 732 911,,,"-8.1233801,-79.0452411",4.3,,"Fastfood en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJHejNWOnFBZER2VUkj9XzcFY,https://www.google.com/maps/place/?q=place_id:ChIJHejNWOnFBZER2VUkj9XzcFY,PARÚ Steak House,,"Av. Gran Chimú 325, San Juan de Lurigancho 15401",920 000 770,+51 920 000 770,paru.pe,http://www.paru.pe/,"-12.027457799999999,-77.0084844",4.4,,"Parrillas en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJ96xpMILFBZERusq6-swAaBk,https://www.google.com/maps/place/?q=place_id:ChIJ96xpMILFBZERusq6-swAaBk,FOGÓN PARRILLERO,Restaurante,"Av. Gran Chimú 1475, San Juan de Lurigancho 15401",926 709 400,+51 926 709 400,,,"-12.0239662,-76.98781919999999",4.5,,"Parrillas en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJbf36hCtFrZERXf36h3wvVKA,https://www.google.com/maps/place/?q=place_id:ChIJbf36hCtFrZERXf36h3wvVKA,"Parrillas ""El Jazmín""",Parrilla,"La Campiña, Chicama 13701",922 833 278,+51 922 833 278,parrillaseljazmin.com,http://parrillaseljazmin.com/,"-7.8464651,-79.1424249",4.9,,"Parrillas en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJ480zPADFBZEROTD20Y05AR0,https://www.google.com/maps/place/?q=place_id:ChIJ480zPADFBZEROTD20Y05AR0,las delicias,Pastelería,"Av. Gran Chimú 673, San Juan de Lurigancho 15401",,,,,"-12.025950499999999,-77.00279019999999",5,,"Pastelería en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJhUa4P5TFBZERcjCuOfGY8J0,https://www.google.com/maps/place/?q=place_id:ChIJhUa4P5TFBZERcjCuOfGY8J0,Tortatti,Pastelería,"Av. Gran Chimú 895, San Juan de Lurigancho 15401",977 515 528,+51 977 515 528,facebook.com,https://www.facebook.com/PasteleriaTortatti/,"-12.0248488,-76.99863409999999",4.1,,"Pastelería en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJVzxGRvfFBZERGErbK5Pyn8U,https://www.google.com/maps/place/?q=place_id:ChIJVzxGRvfFBZERGErbK5Pyn8U,Fioris,Pastelería,"Av. Gran Chimú 515, San Juan de Lurigancho 15401",922 233 883,+51 922 233 883,pasteleriafioris.com,https://pasteleriafioris.com/,"-12.0269856,-77.0054529",4.1,,"Pastelería en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJh9gc-_DFBZERZ93UZg0VqRs,https://www.google.com/maps/place/?q=place_id:ChIJh9gc-_DFBZERZ93UZg0VqRs,PASTELERÍA RAULETTI - ZARATE,Pastelería,"Av. Gran Chimú N°680, San Juan de Lurigancho 15401",999 999 999,+51 999 999 999,rauletti.com,https://rauletti.com/,"-12.025965699999999,-77.0021934",3.8,,"Pastelería en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJo2TiB7V_spEROCZeHOi_Cvk,https://www.google.com/maps/place/?q=place_id:ChIJo2TiB7V_spEROCZeHOi_Cvk,Gran Chimú,,,,,,,"-7.5934228,-78.7022678",,,"Pastelería en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJ9dPylZmJrZERgq7vZJYWDuw,https://www.google.com/maps/place/?q=place_id:ChIJ9dPylZmJrZERgq7vZJYWDuw,Pasteleria Karina,Pastelería,"Túpac Amaru, Huaranchal 13230",,,,,"-7.6895808,-78.44184589999999",,,"Pastelería en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJT22kvqSFrZERzMNGB8o8BkA,https://www.google.com/maps/place/?q=place_id:ChIJT22kvqSFrZERzMNGB8o8BkA,Panaderia Central,Panadería,"7G29+VF7, 13230",,,,,"-7.747846699999999,-78.4813217",5,,"Panadería en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJnb5ACI7IBZERY9AsKdpM0e4,https://www.google.com/maps/place/?q=place_id:ChIJnb5ACI7IBZERY9AsKdpM0e4,Pan Perú,Panadería mayorista,"Av. Manco Capac 1473 La Victoria Municipalidad Metropolitana de Lima LIMA, 13",(01) 4717070,+51 1 4717070,panperu.pe,http://www.panperu.pe/,"-12.0750006,-77.027532",4.2,,"Panadería en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJo2TiB7V_spEROCZeHOi_Cvk,https://www.google.com/maps/place/?q=place_id:ChIJo2TiB7V_spEROCZeHOi_Cvk,Gran Chimú,,,,,,,"-7.5934228,-78.7022678",,,"Panadería en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJxUAHkKLIBZERu4te_RESKvA,https://www.google.com/maps/place/?q=place_id:ChIJxUAHkKLIBZERu4te_RESKvA,Real Baguette,Panadería,"Av. 28 de Julio 2069, La Victoria 15018",923 176 991,+51 923 176 991,,,"-12.0618094,-77.02030429999999",4.1,,"Panadería en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJ34-6sV2FrZERepiozmeQiio,https://www.google.com/maps/place/?q=place_id:ChIJ34-6sV2FrZERepiozmeQiio,Panadería Rodríguez,Panadería,"LI-113 13230, 13230",929 839 732,+51 929 839 732,,,"-7.747563199999999,-78.4813751",,,"Panadería en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJVzxGRvfFBZERGErbK5Pyn8U,https://www.google.com/maps/place/?q=place_id:ChIJVzxGRvfFBZERGErbK5Pyn8U,Fioris,Pastelería,"Av. Gran Chimú 515, San Juan de Lurigancho 15401",922 233 883,+51 922 233 883,pasteleriafioris.com,https://pasteleriafioris.com/,"-12.0269856,-77.0054529",4.1,,"Panadería en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJmbmoCX2BspERtw4xy2Uz5KQ,https://www.google.com/maps/place/?q=place_id:ChIJmbmoCX2BspERtw4xy2Uz5KQ,PERUVIAN BARYTES & MINES,Panadería,"97XF+488, 13260",,,,,"-7.6022161,-78.7266665",,,"Panadería en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJ9dPylZmJrZERgq7vZJYWDuw,https://www.google.com/maps/place/?q=place_id:ChIJ9dPylZmJrZERgq7vZJYWDuw,Pasteleria Karina,Pastelería,"Túpac Amaru, Huaranchal 13230",,,,,"-7.6895808,-78.44184589999999",,,"Panadería en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJh9gc-_DFBZERZ93UZg0VqRs,https://www.google.com/maps/place/?q=place_id:ChIJh9gc-_DFBZERZ93UZg0VqRs,PASTELERÍA RAULETTI - ZARATE,Pastelería,"Av. Gran Chimú N°680, San Juan de Lurigancho 15401",999 999 999,+51 999 999 999,rauletti.com,https://rauletti.com/,"-12.025965699999999,-77.0021934",3.8,,"Panadería en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJhUa4P5TFBZERcjCuOfGY8J0,https://www.google.com/maps/place/?q=place_id:ChIJhUa4P5TFBZERcjCuOfGY8J0,Tortatti,Pastelería,"Av. Gran Chimú 895, San Juan de Lurigancho 15401",977 515 528,+51 977 515 528,facebook.com,https://www.facebook.com/PasteleriaTortatti/,"-12.0248488,-76.99863409999999",4.1,,"Panadería en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJda8AL-zQBZERvGUtBRzB0F8,https://www.google.com/maps/place/?q=place_id:ChIJda8AL-zQBZERvGUtBRzB0F8,Panaderia Don Baguett,Panadería,"Av. Mariano Condorcanqui 41085, Carabayllo 15318",933 505 327,+51 933 505 327,,,"-11.8924685,-77.0387272",4.1,,"Panadería en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJs29UHYCPrZERaUfukqgNaYw,https://www.google.com/maps/place/?q=place_id:ChIJs29UHYCPrZERaUfukqgNaYw,Panadería Artesanal,Panadería,"Pampa verde, 13220",935 932 678,+51 935 932 678,,,"-7.769581,-78.392366",,,"Panadería en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJE5mYEwDpBZERnEds4oI9YfY,https://www.google.com/maps/place/?q=place_id:ChIJE5mYEwDpBZERnEds4oI9YfY,Panadería Gran Kikín,Panadería,"258H+W6C, Alameda Ñaña, Lurigancho-Chosica 15464",,,,,"-11.982697799999999,-76.82198559999999",,,"Panadería en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJ9WWaawCFrZERu58bOYsuZrQ,https://www.google.com/maps/place/?q=place_id:ChIJ9WWaawCFrZERu58bOYsuZrQ,Pampa hermosa,Panadería,"6GM9+H3H, Callancas 13210",,,,,"-7.7660557,-78.48226199999999",,,"Panadería en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJG_t7GhvJBZER8moOkHDsezk,https://www.google.com/maps/place/?q=place_id:ChIJG_t7GhvJBZER8moOkHDsezk,Restaurante GOOD KARMA,Restaurante vegetariano,"Jirón Callao 381, Lima 15001",970 977 261,+51 970 977 261,,,"-12.0444312,-77.0342232",4.8,,"Comida vegetariana en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJN0dCoMDJBZER9tEuxgzRcE4,https://www.google.com/maps/place/?q=place_id:ChIJN0dCoMDJBZER9tEuxgzRcE4,Menú Vegetariano,Restaurante vegetariano,"Centro Comercial 3 de Febrero, La Victoria",,,,,"-12.065378299999999,-77.01175649999999",4,,"Comida vegetariana en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJo-3EB63FBZERQ7JpVzH3jOo,https://www.google.com/maps/place/?q=place_id:ChIJo-3EB63FBZERQ7JpVzH3jOo,Maxi Burgers,Hamburguesería,"Av. Gran Chimú cuadra 7, lima 15401",929 507 164,+51 929 507 164,maxi-burguers.ola.click,https://maxi-burguers.ola.click/,"-12.025755499999999,-77.0022568",4.8,,"Hamburguesería en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
ChIJ0XAmcvfFBZERIVxmsI9jRIU,https://www.google.com/maps/place/?q=place_id:ChIJ0XAmcvfFBZERIVxmsI9jRIU,La 4 Burguer,Hamburguesería,"Av. Gran Chimú 410, San Juan de Lurigancho 15401",968 118 221,+51 968 118 221,,,"-12.0273916,-77.00687839999999",4.3,,"Hamburguesería en el distrito de Lucma, Gran Chimú , La Libertad, Perú"
