id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJl1abLnXfBpER4W5lBesC2Cs,https://www.google.com/maps/place/?q=place_id:ChIJl1abLnXfBpER4W5lBesC2Cs,Pollería Libertad,Restaurante,"Av. 28 de Julio 600, Huacho 15136",963 533 194,+51 963 533 194,facebook.com,https://www.facebook.com/Poller%C3%ADa-Libertad-Huacho-Oficial-113337120407953,"-11.1074205,-77.6101584",3.9,,"Pollería en el distrito de Huaso, Julcán , La Libertad, Perú"
ChIJdzFDbQDFBZERXr8I145QcBI,https://www.google.com/maps/place/?q=place_id:ChIJdzFDbQDFBZERXr8I145QcBI,Pollería ocaña,Restaurante especializado en pollo,"2XPR+5C2, San Juan de Lurigancho 15412",,,,,"-11.9645882,-77.00896139999999",3,,"Pollería en el distrito de Huaso, Julcán , La Libertad, Perú"
ChIJoWRSCYDPBZERL6NkyEP_8gA,https://www.google.com/maps/place/?q=place_id:ChIJoWRSCYDPBZERL6NkyEP_8gA,"Pollería y Chifa: ""El Poderoso""",Restaurante especializado en pollo,"Av. Chinchaysuyo 277-243, Independencia 15332",993 319 540,+51 993 319 540,,,"-11.9790634,-77.0557211",3.9,,"Pollería en el distrito de Huaso, Julcán , La Libertad, Perú"
ChIJ42DnSq_HBZERMj8g46M-GPQ,https://www.google.com/maps/place/?q=place_id:ChIJ42DnSq_HBZERMj8g46M-GPQ,Polleria Don Beto,Restaurante especializado en pollo,"Av. Los Sauces 318, Ate 15022",900 356 691,+51 900 356 691,,,"-12.068670899999999,-76.9833896",4,,"Pollería en el distrito de Huaso, Julcán , La Libertad, Perú"
ChIJ0WXhj4l_BpERc_vnNkRHpj4,https://www.google.com/maps/place/?q=place_id:ChIJ0WXhj4l_BpERc_vnNkRHpj4,"Pollería ""Las Brasas de Haaroji""",Restaurante,"6RFM+CW7, Ancón 15123",924 967 954,+51 924 967 954,,,"-11.7764518,-77.1652004",4.3,,"Pollería en el distrito de Huaso, Julcán , La Libertad, Perú"
ChIJ38WdGSvMBZER6Z09O2zQhz0,https://www.google.com/maps/place/?q=place_id:ChIJ38WdGSvMBZER6Z09O2zQhz0,LEO POLLOS Chifa,Restaurante,"Av. Colectora, Callao 07036",(01) 5942552,+51 1 5942552,,,"-12.0011668,-77.1058565",3.7,,"Pollería en el distrito de Huaso, Julcán , La Libertad, Perú"
ChIJDd2YpXbJBZERJdwwiFiqWcM,https://www.google.com/maps/place/?q=place_id:ChIJDd2YpXbJBZERJdwwiFiqWcM,Pollo a la brasa - Pollería Chicken Queen,Restaurante,"Av. Gral. Manuel I. Vivanco 201, Pueblo Libre 15084",908 869 988,+51 908 869 988,,,"-12.0802807,-77.0589729",4.6,,"Pollería en el distrito de Huaso, Julcán , La Libertad, Perú"
ChIJpSe4K-PJBZERCfVaR-fPrOM,https://www.google.com/maps/place/?q=place_id:ChIJpSe4K-PJBZERCfVaR-fPrOM,Pollería El Corralito,Restaurante,"Av. Simón Bolívar 1499, Pueblo Libre 15084",988 552 015,+51 988 552 015,facebook.com,https://www.facebook.com/PolleriaCorralito/,"-12.072215799999999,-77.07003879999999",4.1,,"Pollería en el distrito de Huaso, Julcán , La Libertad, Perú"
ChIJCZr2WQC7rZERYrQhJoZCFlI,https://www.google.com/maps/place/?q=place_id:ChIJCZr2WQC7rZERYrQhJoZCFlI,Polleria la fogata,Restaurante especializado en pollo,"VG7H+JXH, Chacato 13180",,,,,"-8.1359464,-78.4700096",,,"Pollería en el distrito de Huaso, Julcán , La Libertad, Perú"
ChIJV2ONTFavrZERwkm4bcaBOpk,https://www.google.com/maps/place/?q=place_id:ChIJV2ONTFavrZERwkm4bcaBOpk,Polleria Samantha,Restaurante,"VG4F+HW7, pucara 20300",932 747 768,+51 932 747 768,,,"-8.1435933,-78.4751945",,,"Pollería en el distrito de Huaso, Julcán , La Libertad, Perú"
ChIJV0rulo_IBZERbUbU3wp08-c,https://www.google.com/maps/place/?q=place_id:ChIJV0rulo_IBZERbUbU3wp08-c,Restaurant Cevicheria La Marea Chinchana,Restaurante,"Los Corales 296, Lima 15034",980 250 647,+51 980 250 647,,,"-12.075837499999999,-77.023161",4.3,,"Cevichería en el distrito de Huaso, Julcán , La Libertad, Perú"
ChIJHUOvYwnfBpERbFqr8xXcbhc,https://www.google.com/maps/place/?q=place_id:ChIJHUOvYwnfBpERbFqr8xXcbhc,Cevicheria El Clásico Del Mar,Restaurante,"Inca, Huacho 15136",963 066 274,+51 963 066 274,facebook.com,https://www.facebook.com/CebicheriaElClasicoHuacho,"-11.1135664,-77.6114911",4.2,,"Cevichería en el distrito de Huaso, Julcán , La Libertad, Perú"
ChIJVSzMICfPBZERCam8oUTaE_c,https://www.google.com/maps/place/?q=place_id:ChIJVSzMICfPBZERCam8oUTaE_c,Son y Sazón Cevicheria Chiclayana,Restaurante peruano,"Av. Eduardo de Habich 376, San Martín de Porres 15102",(01) 3814154,+51 1 3814154,linktr.ee,https://linktr.ee/sonysazon,"-12.0260424,-77.05449229999999",4.1,,"Cevichería en el distrito de Huaso, Julcán , La Libertad, Perú"
ChIJs1dt3IbIBZERdTThjxk8DwM,https://www.google.com/maps/place/?q=place_id:ChIJs1dt3IbIBZERdTThjxk8DwM,La Marea,Restaurante,"Av. Sta. Catalina 006, La Victoria 15034",989 593 699,+51 989 593 699,lamarea.pe,http://www.lamarea.pe/,"-12.080699099999999,-77.0168973",4.2,,"Cevichería en el distrito de Huaso, Julcán , La Libertad, Perú"
ChIJK4XvoDPQBZERjOgBhW-oOPs,https://www.google.com/maps/place/?q=place_id:ChIJK4XvoDPQBZERjOgBhW-oOPs,"Cebicheria ""El Paraíso del Sabor""",Marisquería,"Av. Victor Andrés Belaunde n° 660 - 662, Comas 15312",926 930 759,+51 926 930 759,facebook.com,https://www.facebook.com/cebicheria.el.paraiso.del.sabor,"-11.9364133,-77.0540621",4.2,,"Cevichería en el distrito de Huaso, Julcán , La Libertad, Perú"
ChIJf4cIZrHRBZERvizTdp3ksGU,https://www.google.com/maps/place/?q=place_id:ChIJf4cIZrHRBZERvizTdp3ksGU,"Restaurante ""El Bonito Soy Yo""",Restaurante,"El Alamo, Comas 15316",987 132 374,+51 987 132 374,facebook.com,https://www.facebook.com/Cevicheria-El-bonito-soy-yo-587486907986677/,"-11.9257315,-77.0641998",4.1,,"Cevichería en el distrito de Huaso, Julcán , La Libertad, Perú"
ChIJRT3dPdDLBZERyGa68e7yj8o,https://www.google.com/maps/place/?q=place_id:ChIJRT3dPdDLBZERyGa68e7yj8o,concha y mar,Restaurante peruano,"Av. Costanera 2433, La Perla 07011",956 227 363,+51 956 227 363,conchaymar.com,https://www.conchaymar.com/,"-12.0773501,-77.1139269",2.8,,"Cevichería en el distrito de Huaso, Julcán , La Libertad, Perú"
ChIJ043ZMQCvrZERds214hIIoFM,https://www.google.com/maps/place/?q=place_id:ChIJ043ZMQCvrZERds214hIIoFM,Cevicheria Sabor Marino,Marisquería,"VG4F+HW7, Chacato 13180",977 922 613,+51 977 922 613,,,"-8.1435933,-78.4751945",,,"Cevichería en el distrito de Huaso, Julcán , La Libertad, Perú"
ChIJLwJIGhM9rZER33hfCiyQiwk,https://www.google.com/maps/place/?q=place_id:ChIJLwJIGhM9rZER33hfCiyQiwk,Chifa Huangsheng,Restaurante chino,"Av. Larco 1881, Víctor Larco Herrera 13009",(044) 615142,+51 44 615142,,,"-8.1306047,-79.0437685",4.1,,"Chifa en el distrito de Huaso, Julcán , La Libertad, Perú"
ChIJMSLmHAI9rZERWGtUs3TpWQ4,https://www.google.com/maps/place/?q=place_id:ChIJMSLmHAI9rZERWGtUs3TpWQ4,Chifa Yong Xing,Restaurante asiático,"Av. América Sur 2060, Trujillo 13006",921 395 968,+51 921 395 968,,,"-8.1202556,-79.0199518",3.9,,"Chifa en el distrito de Huaso, Julcán , La Libertad, Perú"
ChIJUYgsUBPIBZER261mNHLlgjE,https://www.google.com/maps/place/?q=place_id:ChIJUYgsUBPIBZER261mNHLlgjE,Chifa Hou Wha,Restaurante chino,"Carlos Tenaud 490, Miraflores 15046",(01) 4400442,+51 1 4400442,chifahouwha.com.pe,https://chifahouwha.com.pe/,"-12.1082492,-77.02696619999999",4.5,,"Chifa en el distrito de Huaso, Julcán , La Libertad, Perú"
