id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJiQ9mlhdQrpERfIpGVhPc9hY,https://www.google.com/maps/place/?q=place_id:ChIJiQ9mlhdQrpERfIpGVhPc9hY,Buldibuyo,,13515,,,,,"-8.122004,-77.357277",,,"Comida oriental en el distrito de Buldibuyo, Pataz , La Libertad, Perú"
ChIJzVYS-5xarpER8wu92Gz0SxM,https://www.google.com/maps/place/?q=place_id:ChIJzVYS-5xarpER8wu92Gz0SxM,Buldibuyo,,13515,,,,,"-8.1328739,-77.4013403",,,"Comida oriental en el distrito de Buldibuyo, Pataz , La Libertad, Perú"
ChIJ2TISop7IBZERfPtD6RTVY6A,https://www.google.com/maps/place/?q=place_id:ChIJ2TISop7IBZERfPtD6RTVY6A,Restaurante Vegetariano Naturaleza y Salud,Restaurante,"Jr. Huánuco 1913, Lima 15018",(01) 4733376,+51 1 4733376,,,"-12.0675809,-77.0149011",4.3,,"Comida vegetariana en el distrito de Buldibuyo, Pataz , La Libertad, Perú"
ChIJS7DrC3PHBZERXCx-2DVDig8,https://www.google.com/maps/place/?q=place_id:ChIJS7DrC3PHBZERXCx-2DVDig8,Nutrinatural- Comida vegetariana saludable,Restaurante,"Calle 363, Santa Anita 15009",(01) 4394066,+51 1 4394066,,,"-12.047214,-76.9675644",4.1,,"Comida vegetariana en el distrito de Buldibuyo, Pataz , La Libertad, Perú"
ChIJjzPeRpK5BZERfRQ90U0qOvg,https://www.google.com/maps/place/?q=place_id:ChIJjzPeRpK5BZERfRQ90U0qOvg,"""PAN DE ÁRBOL"" Vegetariano",Restaurante vegetariano,"Av San Juan 1023, San Juan de Miraflores 15824",(01) 6593191,+51 1 6593191,puntoorganicopandearbol.com,http://puntoorganicopandearbol.com/,"-12.1563812,-76.9729184",4.6,,"Comida vegetariana en el distrito de Buldibuyo, Pataz , La Libertad, Perú"
ChIJx92iALbIBZERY1NdJFNi4Fk,https://www.google.com/maps/place/?q=place_id:ChIJx92iALbIBZERY1NdJFNi4Fk,Restaurante Naturista,Restaurante vegetariano,"Jr. Camaná 399, Lima 15001",(01) 4320207,+51 1 4320207,,,"-12.046426199999999,-77.0329683",4,,"Comida vegetariana en el distrito de Buldibuyo, Pataz , La Libertad, Perú"
ChIJP4sK6l_IBZERQID5fJj1Pj8,https://www.google.com/maps/place/?q=place_id:ChIJP4sK6l_IBZERQID5fJj1Pj8,Sampe's,Restaurante vegetariano,"Jirón Tomás Guido 172, Lince 15046",941 604 753,+51 941 604 753,,,"-12.0871607,-77.03444429999999",4.2,,"Comida vegetariana en el distrito de Buldibuyo, Pataz , La Libertad, Perú"
ChIJmyluOjTJBZER45kiEBxh3GY,https://www.google.com/maps/place/?q=place_id:ChIJmyluOjTJBZER45kiEBxh3GY,Nutri Natural,Restaurante de comida saludable,"Av. Abancay 634, Lima 15001",,,,,"-12.0520912,-77.0291817",4.8,,"Comida vegetariana en el distrito de Buldibuyo, Pataz , La Libertad, Perú"
ChIJmQGOnvvHBZERzMZCGaSWc7g,https://www.google.com/maps/place/?q=place_id:ChIJmQGOnvvHBZERzMZCGaSWc7g,Loving Hut Surquillo,Restaurante vegano,"Av. Manuel Villarán 818, Surquillo 15038",995 520 400,+51 995 520 400,,,"-12.120937,-77.003446",4.4,,"Comida vegetariana en el distrito de Buldibuyo, Pataz , La Libertad, Perú"
ChIJ8wp8pvbIBZER9H3u3dKzl3c,https://www.google.com/maps/place/?q=place_id:ChIJ8wp8pvbIBZER9H3u3dKzl3c,Restaurante Vegetariano,Restaurante,"Jr. Almte. Martín Guisse 1687, Lince 15073",,,,,"-12.0818011,-77.0391396",4,,"Comida vegetariana en el distrito de Buldibuyo, Pataz , La Libertad, Perú"
ChIJp-vDrVC5BZERbxY2N98ZxYo,https://www.google.com/maps/place/?q=place_id:ChIJp-vDrVC5BZERbxY2N98ZxYo,Gastronomía Vegana,Restaurante vegano,"Jirón Tacna 520, Santiago de Surco 15049",951 329 342,+51 951 329 342,,,"-12.1450935,-77.0018827",4.7,,"Comida vegetariana en el distrito de Buldibuyo, Pataz , La Libertad, Perú"
ChIJiQ9mlhdQrpERfIpGVhPc9hY,https://www.google.com/maps/place/?q=place_id:ChIJiQ9mlhdQrpERfIpGVhPc9hY,Buldibuyo,,13515,,,,,"-8.122004,-77.357277",,,"Comida marina en el distrito de Buldibuyo, Pataz , La Libertad, Perú"
ChIJzVYS-5xarpER8wu92Gz0SxM,https://www.google.com/maps/place/?q=place_id:ChIJzVYS-5xarpER8wu92Gz0SxM,Buldibuyo,,13515,,,,,"-8.1328739,-77.4013403",,,"Comida marina en el distrito de Buldibuyo, Pataz , La Libertad, Perú"
ChIJNWJrIL_JBZERaUUZPmmMqLk,https://www.google.com/maps/place/?q=place_id:ChIJNWJrIL_JBZERaUUZPmmMqLk,Comida amazónica y fusión,,"Manuel Irribarren 910, Surquillo 15047",949 677 789,+51 949 677 789,,,"-12.111963099999999,-77.0223331",4.8,,"Comida fusión en el distrito de Buldibuyo, Pataz , La Libertad, Perú"
