id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ4X51GsnLBZERwm7w72dDcu4,https://www.google.com/maps/place/?q=place_id:ChIJ4X51GsnLBZERwm7w72dDcu4,CHALABRASA,Restaurante,"Av. José Gálvez 446, La Perla 07016",920 059 190,+51 920 059 190,,,"-12.0673256,-77.129318",4.3,,"Pollería en el distrito de Santiago de Challas, Pataz , La Libertad, Perú"
ChIJvdVAOwD3rpERIpKDa8F3hLw,https://www.google.com/maps/place/?q=place_id:ChIJvdVAOwD3rpERIpKDa8F3hLw,Polleria VÁSQUEZ de R&P,Pollería,"MJ25+VC2, 13540",996 049 891,+51 996 049 891,,,"-8.3478678,-77.3914843",,,"Pollería en el distrito de Santiago de Challas, Pataz , La Libertad, Perú"
ChIJCxqTiTP3rpERm1Y0uS9TUpI,https://www.google.com/maps/place/?q=place_id:ChIJCxqTiTP3rpERm1Y0uS9TUpI,Pollería EL POLLO GORDO,Pollería,"MH5X+87X, Urpay 13540",939 808 073,+51 939 808 073,,,"-8.341631,-77.4017571",5,,"Pollería en el distrito de Santiago de Challas, Pataz , La Libertad, Perú"
ChIJ23XhOAD7rpEROO30sagdVKA,https://www.google.com/maps/place/?q=place_id:ChIJ23XhOAD7rpEROO30sagdVKA,"Restaurante de almuerzos ""Milla""",Restaurante,"GJWW+W6X, Challas 13535",,,,,"-8.45224,-77.3540446",4.5,,"Pollería en el distrito de Santiago de Challas, Pataz , La Libertad, Perú"
ChIJ37FbO6jFBZER2UxZUjkHzT0,https://www.google.com/maps/place/?q=place_id:ChIJ37FbO6jFBZER2UxZUjkHzT0,Ohashi maki sjl,Restaurante japonés,"Av. Los Jardines Oeste 269, San Juan de Lurigancho 15427",,,ohashimaki.pe,https://ohashimaki.pe/,"-12.007892,-77.009534",4.2,,"Makis en el distrito de Santiago de Challas, Pataz , La Libertad, Perú"
ChIJlYwHLaXJBZERa69CzrrVUe4,https://www.google.com/maps/place/?q=place_id:ChIJlYwHLaXJBZERa69CzrrVUe4,Ohashi Maki San Miguel,Restaurante japonés,"Av. La Mar 2231, San Miguel 15088",,,,,"-12.0750104,-77.0808563",3.8,,"Makis en el distrito de Santiago de Challas, Pataz , La Libertad, Perú"
ChIJrWK8m-LIBZER3wPdeYNSNL8,https://www.google.com/maps/place/?q=place_id:ChIJrWK8m-LIBZER3wPdeYNSNL8,Ohashi Maki,Restaurante japonés,"Av. Simón Bolívar 311, Pueblo Libre 15084",(01) 5923284,+51 1 5923284,ohashimaki.pe,http://www.ohashimaki.pe/,"-12.073632,-77.055977",4.2,,"Makis en el distrito de Santiago de Challas, Pataz , La Libertad, Perú"
ChIJ4TByrvzIBZERqwlq7gfVG-U,https://www.google.com/maps/place/?q=place_id:ChIJ4TByrvzIBZERqwlq7gfVG-U,Ohashi Maki,Restaurante,"Av. Carlos Izaguirre 576, Los Olivos 15301",965 272 246,+51 965 272 246,ohashimaki.pe,http://www.ohashimaki.pe/,"-11.9903531,-77.06837399999999",4.3,,"Makis en el distrito de Santiago de Challas, Pataz , La Libertad, Perú"
ChIJy0pC0zr7rpERcr8FbvGdBF4,https://www.google.com/maps/place/?q=place_id:ChIJy0pC0zr7rpERcr8FbvGdBF4,Challas,,13535,,,,,"-8.4388642,-77.3205965",,,"Pastelería en el distrito de Santiago de Challas, Pataz , La Libertad, Perú"
ChIJG7-bw6H6rpERMr3n2wXZqgY,https://www.google.com/maps/place/?q=place_id:ChIJG7-bw6H6rpERMr3n2wXZqgY,Santiago de Challas,,13535,,,,,"-8.4316065,-77.355413",,,"Pastelería en el distrito de Santiago de Challas, Pataz , La Libertad, Perú"
