id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJWX8s2uvkrZERY-DHt4J3d0s,https://www.google.com/maps/place/?q=place_id:ChIJWX8s2uvkrZERY-DHt4J3d0s,Pollos Y Parrilladas Yosselin,Restaurante,"Jr. Alfonso Ugarte 560, Huamachuco 13301",969 934 447,+51 969 934 447,,,"-7.8136114999999995,-78.04785869999999",3.6,,"Pollería en el distrito de Huamachuco, Sánchez Carrión , La Libertad, Perú"
ChIJ1-JqSdPlrZERG0Seg76pby4,https://www.google.com/maps/place/?q=place_id:ChIJ1-JqSdPlrZERG0Seg76pby4,Polleria Al Carbon,Restaurante,"Av. Garilazo de la Vega #1220, Huamachuco 13301",963 580 456,+51 963 580 456,,,"-7.813409399999999,-78.04320109999999",4.5,,"Pollería en el distrito de Huamachuco, Sánchez Carrión , La Libertad, Perú"
ChIJxQaLzI7lrZERxYIrkjNXdso,https://www.google.com/maps/place/?q=place_id:ChIJxQaLzI7lrZERxYIrkjNXdso,POLLERIA LA REJA,Pollería,"051, Jr. Garcilaso de la vega 541, Huamachuco 13300",943 683 064,+51 943 683 064,instagram.com,https://instagram.com/pollerialareja?utm_source=qr&igshid=OGU0MmVlOWVjOQ==,"-7.8112911,-78.0477038",4.2,,"Pollería en el distrito de Huamachuco, Sánchez Carrión , La Libertad, Perú"
ChIJMT_1qO7krZER0bhm-pFyU1I,https://www.google.com/maps/place/?q=place_id:ChIJMT_1qO7krZER0bhm-pFyU1I,"Polleria Parrillas ""Vikingos""",Tienda de aves de corral,"Jr. Sánchez Carrión Cda.7 336, Huamachuco 13301",998 302 167,+51 998 302 167,,,"-7.8161485,-78.04825939999999",3.6,,"Pollería en el distrito de Huamachuco, Sánchez Carrión , La Libertad, Perú"
ChIJpXYNXCflrZER4C8QHhRdYbk,https://www.google.com/maps/place/?q=place_id:ChIJpXYNXCflrZER4C8QHhRdYbk,"POLLERÍA: ""VILCA'S Brasas & Parrillas""",Pollería,"Calle 17 de diciembre N° 338, Huamachuco 13301",968 350 218,+51 968 350 218,facebook.com,https://www.facebook.com/profile.php?id=61557394238397,"-7.8154859,-78.04091749999999",5,,"Pollería en el distrito de Huamachuco, Sánchez Carrión , La Libertad, Perú"
ChIJuzp0HADlrZERCTzc-By8cV8,https://www.google.com/maps/place/?q=place_id:ChIJuzp0HADlrZERCTzc-By8cV8,Huamachuco,Tienda de aves de corral,"5XP3+HWF, Jr. Estete, Huamachuco 13301",,,,,"-7.813529399999999,-78.04520649999999",5,,"Pollería en el distrito de Huamachuco, Sánchez Carrión , La Libertad, Perú"
ChIJmzRc0yLlrZERsOe_ljv2ixc,https://www.google.com/maps/place/?q=place_id:ChIJmzRc0yLlrZERsOe_ljv2ixc,POLLERIA PIO CHICKEN,Restaurante,"Jr. Sánchez Carrión 2048, Huamachuco 13300",953 093 126,+51 953 093 126,,,"-7.8194956,-78.0361252",,,"Pollería en el distrito de Huamachuco, Sánchez Carrión , La Libertad, Perú"
ChIJb5IDFwjlrZERmPMl8llMiJ0,https://www.google.com/maps/place/?q=place_id:ChIJb5IDFwjlrZERmPMl8llMiJ0,Polleria San Martin,Restaurante,Huamachuco 13301,900 898 640,+51 900 898 640,,,"-7.816557199999999,-78.04571969999999",3.3,,"Pollería en el distrito de Huamachuco, Sánchez Carrión , La Libertad, Perú"
ChIJHdNdfJvlrZERfbcHtbvEXLA,https://www.google.com/maps/place/?q=place_id:ChIJHdNdfJvlrZERfbcHtbvEXLA,𝙋𝙊𝙇𝙇𝙀𝙍𝙄𝘼 𝘿𝘼𝙍𝙇𝙄𝙉𝙂,Restaurante,"Inca Garcilazo de la Vega y Bolivar, Huamachuco",932 356 972,+51 932 356 972,facebook.com,https://www.facebook.com/share/18EDHYeXvX/?mibextid=wwXIfr,"-7.810912999999999,-78.0487227",3.9,,"Pollería en el distrito de Huamachuco, Sánchez Carrión , La Libertad, Perú"
ChIJz-ioCVjlrZERMmO91RKk9gs,https://www.google.com/maps/place/?q=place_id:ChIJz-ioCVjlrZERMmO91RKk9gs,Pa llevar,Tienda de aves de corral,"Psj. hospital, Huamachuco 13300",917 396 051,+51 917 396 051,,,"-7.8136192,-78.04350529999999",5,,"Pollería en el distrito de Huamachuco, Sánchez Carrión , La Libertad, Perú"
