id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJzXzw_eL7rZERbe7XepaST-A,https://www.google.com/maps/place/?q=place_id:ChIJzXzw_eL7rZERbe7XepaST-A,Municipalidad Distrital de Marcabal,Oficina de gobierno local,"Plaza de Armas, Av. Señor de la Misericordia 203, Marcabal 13320",916 187 723,+51 916 187 723,,,"-7.7058129,-78.0335441",5,,"Comida rapida en el distrito de Marcabal, Sánchez Carrión , La Libertad, Perú"
ChIJQxazOgDJBZERFiAFCluwcYA,https://www.google.com/maps/place/?q=place_id:ChIJQxazOgDJBZERFiAFCluwcYA,La Pasteka,Restaurante familiar,"Jirón de la Unión 1075 - B, Lima 15001",,,instagram.com,https://www.instagram.com/lapastekaoficial?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,"-12.053389,-77.0359198",3.8,,"Comida rapida en el distrito de Marcabal, Sánchez Carrión , La Libertad, Perú"
ChIJNVrfAXI9rZERLd-JKb0Kz0c,https://www.google.com/maps/place/?q=place_id:ChIJNVrfAXI9rZERLd-JKb0Kz0c,Mr. Luca's,Hamburguesería,"Av. Húsares de Junín 1180, Trujillo 13008",934 360 995,+51 934 360 995,facebook.com,https://www.facebook.com/mrlucasperu/,"-8.1268504,-79.0363095",4.2,,"Comida rapida en el distrito de Marcabal, Sánchez Carrión , La Libertad, Perú"
ChIJ4XL5-UlXBZER8Z0OS7mhHgc,https://www.google.com/maps/place/?q=place_id:ChIJ4XL5-UlXBZER8Z0OS7mhHgc,La Sazón de Pili,Restaurante,"Jorge Chavez 650, Cerro Azul 15717",970 119 335,+51 970 119 335,facebook.com,https://www.facebook.com/CasadePili?mibextid=ZbWKwL,"-13.025018,-76.4795637",4.7,,"Comida rapida en el distrito de Marcabal, Sánchez Carrión , La Libertad, Perú"
ChIJ-5FQQcfLBZERoor241GJScg,https://www.google.com/maps/place/?q=place_id:ChIJ-5FQQcfLBZERoor241GJScg,DR. FOOD PERU,Restaurante,"La Concordia mz D lt 1, Callao 07011",921 350 500,+51 921 350 500,wa.link,https://wa.link/g1pf85,"-12.0578258,-77.1092026",4.2,,"Comida rapida en el distrito de Marcabal, Sánchez Carrión , La Libertad, Perú"
ChIJb-Ur3Rb5rZERexKsb3xYwtQ,https://www.google.com/maps/place/?q=place_id:ChIJb-Ur3Rb5rZERexKsb3xYwtQ,EL RINCÓNCITO DEL SABOR,Restaurante de comida rápida,"Alfonso Ugarte 10, Cajabamba 06351",900 298 502,+51 900 298 502,facebook.com,https://www.facebook.com/profile.php?id=61564032564710&mibextid=ZbWKwL,"-7.622886299999999,-78.0429216",4.6,,"Comida rapida en el distrito de Marcabal, Sánchez Carrión , La Libertad, Perú"
ChIJRU_RRUH5rZERYlcoI7W2ikg,https://www.google.com/maps/place/?q=place_id:ChIJRU_RRUH5rZERYlcoI7W2ikg,Doña Meche Restaurante,Restaurante de comida rápida,"Jr. Grau 159, Cajabamba 06351",931 292 892,+51 931 292 892,,,"-7.6200649,-78.0470125",4,,"Comida rapida en el distrito de Marcabal, Sánchez Carrión , La Libertad, Perú"
ChIJV0yo45j4rZERKEuSia_rRvg,https://www.google.com/maps/place/?q=place_id:ChIJV0yo45j4rZERKEuSia_rRvg,Restaurante El Zarco,Restaurante,"Jr. Grau 1056, Cajabamba 06351",975 378 384,+51 975 378 384,,,"-7.6254788,-78.0451051",3.8,,"Comida rapida en el distrito de Marcabal, Sánchez Carrión , La Libertad, Perú"
ChIJZdwN2yLIBZERMwetRlyS20c,https://www.google.com/maps/place/?q=place_id:ChIJZdwN2yLIBZERMwetRlyS20c,MASSALA - Restaurante Indio,Restaurante,"Bolognesi 201, Miraflores 15074",(01) 7172323,+51 1 7172323,massalaperu.com,https://massalaperu.com/,"-12.1203302,-77.03570549999999",4,,"Comida rapida en el distrito de Marcabal, Sánchez Carrión , La Libertad, Perú"
ChIJc9RSU8j5rZERTOTA1hs-8uc,https://www.google.com/maps/place/?q=place_id:ChIJc9RSU8j5rZERTOTA1hs-8uc,"""El Khun"" Brasas & Carbon",Restaurante de comida rápida,"Jr. Grau 898, Cajabamba 06351",988 810 545,+51 988 810 545,,,"-7.6246398,-78.0454455",,,"Comida rapida en el distrito de Marcabal, Sánchez Carrión , La Libertad, Perú"
