id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJl0AyVxcXrZERyKLm3HvwGeQ,https://www.google.com/maps/place/?q=place_id:ChIJl0AyVxcXrZERyKLm3HvwGeQ,Polleria Super Dorado,Restaurante,"WX7W+7M3, Av. Pumacahua, El Porvenir 13003",947 895 644,+51 947 895 644,facebook.com,https://www.facebook.com/pollossuperdorado/,"-8.086860099999999,-79.0033132",,,"Pollería en el distrito de El Porvenir, Trujillo , La Libertad, Perú"
ChIJU1uqXwwWrZERhhtHv4JttTw,https://www.google.com/maps/place/?q=place_id:ChIJU1uqXwwWrZERhhtHv4JttTw,Polleria Mi Corral,Restaurante,"Av. Sánchez Carrión 1076, El Porvenir 13004",(044) 401732,+51 44 401732,,,"-8.0791182,-78.999673",,,"Pollería en el distrito de El Porvenir, Trujillo , La Libertad, Perú"
ChIJCUSat8s_rZERaitxozXcbIE,https://www.google.com/maps/place/?q=place_id:ChIJCUSat8s_rZERaitxozXcbIE,MISTER LENNIN POLLOS & PARRILLAS,Tienda de aves de corral,"WXHG+MWJ, Trujillo, El Porvenir",(044) 515294,+51 44 515294,,,"-8.0707977,-79.0227443",,,"Pollería en el distrito de El Porvenir, Trujillo , La Libertad, Perú"
ChIJ80rnKOYVrZERu8i3o-PXZHI,https://www.google.com/maps/place/?q=place_id:ChIJ80rnKOYVrZERu8i3o-PXZHI,Polleria Cuadra 21,Restaurante,"Avenida revolución Gran Chimu 2180, El Porvenir",954 408 876,+51 954 408 876,facebook.com,https://www.facebook.com/cuadra21/,"-8.0701986,-78.9896876",,,"Pollería en el distrito de El Porvenir, Trujillo , La Libertad, Perú"
ChIJk8ik9f8XrZERyZnG9H5AFeM,https://www.google.com/maps/place/?q=place_id:ChIJk8ik9f8XrZERyZnG9H5AFeM,Pollería Los Mellizos,Tienda de aves de corral,"La Libertad 773 1202, Víctor Larco Herrera 13006",920 781 543,+51 920 781 543,,,"-8.0868598,-79.0031836",,,"Pollería en el distrito de El Porvenir, Trujillo , La Libertad, Perú"
ChIJ15GG8DwXrZER74FCo0_QbUM,https://www.google.com/maps/place/?q=place_id:ChIJ15GG8DwXrZER74FCo0_QbUM,El Pollito Perez,Carnicería,"Huayna Capac 946, El Porvenir 13001",919 293 334,+51 919 293 334,facebook.com,https://www.facebook.com/elpollitoperezoficial,"-8.073711399999999,-79.0077403",3.5,,"Pollería en el distrito de El Porvenir, Trujillo , La Libertad, Perú"
ChIJx2DnZIkXrZERqdpgN-HMecQ,https://www.google.com/maps/place/?q=place_id:ChIJx2DnZIkXrZERqdpgN-HMecQ,Chicken Braza - Trujillo,Pollería,"Buen Pastor - Distrito, Casimiro Espejo 530, El Porvenir 15003",923 134 894,+51 923 134 894,facebook.com,https://www.facebook.com/brazachicken,"-8.0847335,-79.0035817",,,"Pollería en el distrito de El Porvenir, Trujillo , La Libertad, Perú"
ChIJKbgPphEWrZERaiZVJGbW9Ms,https://www.google.com/maps/place/?q=place_id:ChIJKbgPphEWrZERaiZVJGbW9Ms,POLLERIA LA GRANJITA,Restaurante especializado en pollo,"13001, 13002",(044) 774412,+51 44 774412,,,"-8.0863712,-79.0046053",,,"Pollería en el distrito de El Porvenir, Trujillo , La Libertad, Perú"
ChIJtVbmBxIWrZER91Tp1P_Re1M,https://www.google.com/maps/place/?q=place_id:ChIJtVbmBxIWrZER91Tp1P_Re1M,Pollería Anthony (Parrillas - Mollejitas - Broaster),Restaurante,"José Olaya 1273, El Porvenir 13003",(044) 539178,+51 44 539178,facebook.com,https://www.facebook.com/Anthony-334671220352360/,"-8.083116,-79.0016686",4.3,,"Pollería en el distrito de El Porvenir, Trujillo , La Libertad, Perú"
ChIJy1KKL1A_rZERcW9HTK5LLkM,https://www.google.com/maps/place/?q=place_id:ChIJy1KKL1A_rZERcW9HTK5LLkM,"""BIG CHICKEN"" Pollería Restaurant",Restaurante,"WXPF+96W, El Porvenir 13002",968 617 868,+51 968 617 868,facebook.com,https://www.facebook.com/BigChicken-100725178964674/,"-8.0640178,-79.0269132",,,"Pollería en el distrito de El Porvenir, Trujillo , La Libertad, Perú"
ChIJW4aAEbcXrZER1ZWDrKEMJUw,https://www.google.com/maps/place/?q=place_id:ChIJW4aAEbcXrZER1ZWDrKEMJUw,Ascua pollos y Parrillas - El Porvenir,Restaurante especializado en pollo,"Sta. Clara 684, Víctor Larco Herrera 13004",936 517 967,+51 936 517 967,,,"-8.078051499999999,-78.9966709",,,"Pollería en el distrito de El Porvenir, Trujillo , La Libertad, Perú"
ChIJsyUcfP0VrZERxZw08KPbi3Q,https://www.google.com/maps/place/?q=place_id:ChIJsyUcfP0VrZERxZw08KPbi3Q,"Polleria "" El Viejo "" - CrisCar",Restaurante,El Porvenir 13003,,,,,"-8.064796099999999,-79.0064934",,,"Pollería en el distrito de El Porvenir, Trujillo , La Libertad, Perú"
ChIJ96mdNTo_rZERkWbqf5OFZQU,https://www.google.com/maps/place/?q=place_id:ChIJ96mdNTo_rZERkWbqf5OFZQU,Pollería el tronco,Restaurante especializado en pollo,"WXMF+4G2, Las Margaritas, El Porvenir 13002",,,,,"-8.0672367,-79.02624",,,"Pollería en el distrito de El Porvenir, Trujillo , La Libertad, Perú"
ChIJ6b6FvwUWrZER8YOjSOMcnUU,https://www.google.com/maps/place/?q=place_id:ChIJ6b6FvwUWrZER8YOjSOMcnUU,Pollería Roly's,Pollería,"Mayta Capac 357, Víctor Larco Herrera 13003",,,,,"-8.079259,-79.00954709999999",,,"Pollería en el distrito de El Porvenir, Trujillo , La Libertad, Perú"
ChIJM297hVMVrZERDWWp8u8LUU8,https://www.google.com/maps/place/?q=place_id:ChIJM297hVMVrZERDWWp8u8LUU8,Polleria Saldaña II,Restaurante especializado en pollo,"WXJQ+35P, El Porvenir 13003",969 347 630,+51 969 347 630,,,"-8.0697996,-79.0120398",,,"Pollería en el distrito de El Porvenir, Trujillo , La Libertad, Perú"
ChIJ5U6nmCcXrZERfAKraD5lrXg,https://www.google.com/maps/place/?q=place_id:ChIJ5U6nmCcXrZERfAKraD5lrXg,Polleri EL REY SB #1,Restaurante especializado en pollo,"María Parado De Bellido 574, El Porvenir 13003",,,,,"-8.0843966,-79.00301809999999",4.8,,"Pollería en el distrito de El Porvenir, Trujillo , La Libertad, Perú"
