id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJAQgTTAA9rZERmFA2FMnX7PE,https://www.google.com/maps/place/?q=place_id:ChIJAQgTTAA9rZERmFA2FMnX7PE,Pollería La Granja del Chato,Restaurante especializado en pollo,"Av. Mansiche 1532, Trujillo 13011",949 789 308,+51 949 789 308,,,"-8.1017607,-79.0435285",4.9,,"Pollería en el distrito de Poroto, Trujillo , La Libertad, Perú"
ChIJc9mSKoU9rZERGpElT-KmYdc,https://www.google.com/maps/place/?q=place_id:ChIJc9mSKoU9rZERGpElT-KmYdc,Kikiriki Chicken,Restaurante,"VXMF+RXR, Av. España, Trujillo 13001",(044) 245480,+51 44 245480,,,"-8.115395099999999,-79.0251004",4.1,,"Pollería en el distrito de Poroto, Trujillo , La Libertad, Perú"
ChIJp4nmYNY9rZERPKQfop0DKKg,https://www.google.com/maps/place/?q=place_id:ChIJp4nmYNY9rZERPKQfop0DKKg,D' Gilberth,Restaurante especializado en pollo,"WWFR+FXV, Cahuide, La Esperanza 13012",(044) 523594,+51 44 523594,,,"-8.076262999999999,-79.0575877",3.9,,"Pollería en el distrito de Poroto, Trujillo , La Libertad, Perú"
ChIJ_65FCYI9rZERpdt-chMwnjE,https://www.google.com/maps/place/?q=place_id:ChIJ_65FCYI9rZERpdt-chMwnjE,Super Pollotes,Restaurante,"Jirón Diego De Almagro 874, Trujillo 13001",,,,,"-8.1156192,-79.026005",4.3,,"Pollería en el distrito de Poroto, Trujillo , La Libertad, Perú"
ChIJTy8BVQAXrZER7gSMeR9Ad6Q,https://www.google.com/maps/place/?q=place_id:ChIJTy8BVQAXrZER7gSMeR9Ad6Q,Polleria El pollito Torres,Restaurante especializado en pollo,"Av. América N 644, Trujillo 13001",,,,,"-8.096584199999999,-79.0172249",,,"Pollería en el distrito de Poroto, Trujillo , La Libertad, Perú"
ChIJOwIzhS8WrZERX2lRO6dczBs,https://www.google.com/maps/place/?q=place_id:ChIJOwIzhS8WrZERX2lRO6dczBs,Polleria La Noria,Restaurante especializado en pollo,"Av. América Sur 583, Trujillo 13007",945 866 211,+51 945 866 211,facebook.com,https://www.facebook.com/PolleriaLaNoria,"-8.105467299999999,-79.0101883",3.8,,"Pollería en el distrito de Poroto, Trujillo , La Libertad, Perú"
ChIJ9xPJSPs7rZERirHzy99X5bo,https://www.google.com/maps/place/?q=place_id:ChIJ9xPJSPs7rZERirHzy99X5bo,Pollería La Barra,Restaurante,"Los Helechos, Huanchaco 13000",(044) 639786,+51 44 639786,,,"-8.081906,-79.12036959999999",4.3,,"Pollería en el distrito de Poroto, Trujillo , La Libertad, Perú"
ChIJdVdEO7wXrZERov_BclUc9nI,https://www.google.com/maps/place/?q=place_id:ChIJdVdEO7wXrZERov_BclUc9nI,"""DON OCTAVIO"" REST. POLLERIA",Restaurante,"Tupac Yupanqui 209, Trujillo 13006",953 431 251,+51 953 431 251,,,"-8.1164049,-79.025044",3.8,,"Pollería en el distrito de Poroto, Trujillo , La Libertad, Perú"
ChIJ15GG8DwXrZER74FCo0_QbUM,https://www.google.com/maps/place/?q=place_id:ChIJ15GG8DwXrZER74FCo0_QbUM,El Pollito Perez,Carnicería,"Huayna Capac 946, El Porvenir 13001",919 293 334,+51 919 293 334,facebook.com,https://www.facebook.com/elpollitoperezoficial,"-8.073711399999999,-79.0077403",3.5,,"Pollería en el distrito de Poroto, Trujillo , La Libertad, Perú"
ChIJdbzXP3c9rZERYGFXJrODKgw,https://www.google.com/maps/place/?q=place_id:ChIJdbzXP3c9rZERYGFXJrODKgw,Pollería,Restaurante especializado en pollo,"Isabel de Bobadilla 302, Trujillo 13008",996 065 547,+51 996 065 547,,,"-8.1202734,-79.0321098",3.5,,"Pollería en el distrito de Poroto, Trujillo , La Libertad, Perú"
ChIJtWUwBwA9rZERl7Qak-c2A7c,https://www.google.com/maps/place/?q=place_id:ChIJtWUwBwA9rZERl7Qak-c2A7c,Octavito Pollería y Restaurant.,Restaurante familiar,"Av. Larco 2186, Víctor Larco Herrera 13009",991 850 521,+51 991 850 521,,,"-8.132277199999999,-79.04570079999999",3,,"Pollería en el distrito de Poroto, Trujillo , La Libertad, Perú"
