id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJjxi1sTvvTJARm97PFJkRub4,https://www.google.com/maps/place/?q=place_id:ChIJjxi1sTvvTJARm97PFJkRub4,Brasa Roja Chicken,Restaurante especializado en pollo,"Av. Sta. Victoria 700, Chiclayo 14008",(074) 235588,+51 74 235588,,,"-6.7851626,-79.8441264",4.2,,"Pollería en el distrito de Chiclayo, Chiclayo , Lambayeque, Perú"
ChIJ_91jxU_vTJARZUWBDvfQAPI,https://www.google.com/maps/place/?q=place_id:ChIJ_91jxU_vTJARZUWBDvfQAPI,Brasas Chicken Sede Grau,Pollería,"Av. Grau 1090, Chiclayo 14008",(074) 782352,+51 74 782352,,,"-6.7841755,-79.84599709999999",4.5,,"Pollería en el distrito de Chiclayo, Chiclayo , Lambayeque, Perú"
ChIJ29ZYIufuTJARRdDEMJvVGh0,https://www.google.com/maps/place/?q=place_id:ChIJ29ZYIufuTJARRdDEMJvVGh0,"Pollos Y Parrilas ""Campos""",Restaurante especializado en pollo,"Av. Fernando Belaúnde 495, Chiclayo 14009",(074) 618781,+51 74 618781,,,"-6.7649441,-79.8544012",,,"Pollería en el distrito de Chiclayo, Chiclayo , Lambayeque, Perú"
ChIJH7vq7NTvTJARyr4wwOAUXCc,https://www.google.com/maps/place/?q=place_id:ChIJH7vq7NTvTJARyr4wwOAUXCc,Royal Chicken,Restaurante especializado en pollo,"Vicente de la Vega 869, Chiclayo 14001",(074) 236294,+51 74 236294,,,"-6.7704740999999995,-79.8388501",4,,"Pollería en el distrito de Chiclayo, Chiclayo , Lambayeque, Perú"
ChIJKUcbzU3vTJARHrMqmiFPJus,https://www.google.com/maps/place/?q=place_id:ChIJKUcbzU3vTJARHrMqmiFPJus,Campo's Premium,Restaurante especializado en pollo,"Av. Sta. Victoria 798, Chiclayo 14007",(074) 780072,+51 74 780072,camposchicken.pe,https://camposchicken.pe/,"-6.7864828,-79.8445787",4.1,,"Pollería en el distrito de Chiclayo, Chiclayo , Lambayeque, Perú"
ChIJh4179izvTJARIR5YUQpZk0o,https://www.google.com/maps/place/?q=place_id:ChIJh4179izvTJARIR5YUQpZk0o,Pardos Chicken Chiclayo,Restaurante especializado en pollo,"Andrés C. C. Real Plaza Chiclayo. Avelino Cáceres, Chiclayo 14008",(074) 222322,+51 74 222322,pardoschicken.pe,https://www.pardoschicken.pe/,"-6.7778392,-79.83275859999999",4.1,,"Pollería en el distrito de Chiclayo, Chiclayo , Lambayeque, Perú"
ChIJ4UaVUjrvTJARO1YEOiBvVfY,https://www.google.com/maps/place/?q=place_id:ChIJ4UaVUjrvTJARO1YEOiBvVfY,Kinde's chicken,Restaurante especializado en pollo,"Av. Fernando Belaúnde 495, Chiclayo 14009",974 190 311,+51 974 190 311,,,"-6.7649582,-79.8542447",3.7,,"Pollería en el distrito de Chiclayo, Chiclayo , Lambayeque, Perú"
ChIJebV-fSfvTJARcTeCDIz1RWs,https://www.google.com/maps/place/?q=place_id:ChIJebV-fSfvTJARcTeCDIz1RWs,D'luchos Pollería,Tienda de aves de corral,"Elías Aguirre 141, Chiclayo 14001",942 028 465,+51 942 028 465,,,"-6.7712145,-79.8441394",3.9,,"Pollería en el distrito de Chiclayo, Chiclayo , Lambayeque, Perú"
ChIJ14YPAtfuTJAR_8J5jDUs0PA,https://www.google.com/maps/place/?q=place_id:ChIJ14YPAtfuTJAR_8J5jDUs0PA,Don Carlos Pollería,Restaurante,"Av. José Balta 1259, Chiclayo 14001",(074) 271540,+51 74 271540,,,"-6.7681388,-79.8382472",,,"Pollería en el distrito de Chiclayo, Chiclayo , Lambayeque, Perú"
ChIJW4LxsdfuTJARoLx5E5aptrg,https://www.google.com/maps/place/?q=place_id:ChIJW4LxsdfuTJARoLx5E5aptrg,El Rancho - Los Mellizos,Restaurante,"Leoncio Prado 895, Chiclayo 14001",979 357 379,+51 979 357 379,,,"-6.769088099999999,-79.83827509999999",3.8,,"Pollería en el distrito de Chiclayo, Chiclayo , Lambayeque, Perú"
ChIJI5ov9BDvTJARW8Yap0ccgcE,https://www.google.com/maps/place/?q=place_id:ChIJI5ov9BDvTJARW8Yap0ccgcE,"Restaurant - Pollería ""María Jesús""",Restaurante,"Teatro 135, Chiclayo 14011",945 385 409,+51 945 385 409,,,"-6.7797282999999995,-79.8675378",5,,"Pollería en el distrito de Chiclayo, Chiclayo , Lambayeque, Perú"
ChIJI5P19PXvTJARflC004LBAdI,https://www.google.com/maps/place/?q=place_id:ChIJI5P19PXvTJARflC004LBAdI,Pollos y parrillas Punto & sabor,Restaurante,"Av. Francisco Bolognesi 1145, Chiclayo 14008",965 456 595,+51 965 456 595,,,"-6.7761306,-79.8331211",4,,"Pollería en el distrito de Chiclayo, Chiclayo , Lambayeque, Perú"
ChIJZ9gG60fvTJARl6gqJVFAPY4,https://www.google.com/maps/place/?q=place_id:ChIJZ9gG60fvTJARl6gqJVFAPY4,Fogón Norteño Restaurante & Pollería,Restaurante,"San José 325, Chiclayo 14001",935 584 414,+51 935 584 414,facebook.com,https://www.facebook.com/Fog%C3%B3n-Norte%C3%B1o-Restaurante-Cevicheria-107710264921459/?tsid=0.67745339325854&source=result,"-6.7705283,-79.84291379999999",3.1,,"Pollería en el distrito de Chiclayo, Chiclayo , Lambayeque, Perú"
ChIJO0kSewLvTJARLqJHmFjKdOI,https://www.google.com/maps/place/?q=place_id:ChIJO0kSewLvTJARLqJHmFjKdOI,POLLERÍA EL JADE - POLLOS Y PARRILLAS,Restaurante,"14007, Chiclayo 14007",912 368 070,+51 912 368 070,,,"-6.784749,-79.8436305",4,,"Pollería en el distrito de Chiclayo, Chiclayo , Lambayeque, Perú"
