id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJPXqGVd_LTJARuzm5YOT6iw4,https://www.google.com/maps/place/?q=place_id:ChIJPXqGVd_LTJARuzm5YOT6iw4,polleria CIEZA,Restaurante,"Simón Bolivar 1352, Chongoyape 14001",948 452 143,+51 948 452 143,facebook.com,https://www.facebook.com/polleriacieza/,"-6.6428246,-79.3859911",4.7,,"Pollería en el distrito de Chongoyape, Chiclayo , Lambayeque, Perú"
ChIJVeS4DgDLTJARaMHZNIOYsdo,https://www.google.com/maps/place/?q=place_id:ChIJVeS4DgDLTJARaMHZNIOYsdo,El campero,Pollería,"Av. Chiclayo 2849, Chongoyape 14620",,,,,"-6.635551599999999,-79.3973377",,,"Pollería en el distrito de Chongoyape, Chiclayo , Lambayeque, Perú"
ChIJp9Mp2K7KTJARQD8W6a0ydH0,https://www.google.com/maps/place/?q=place_id:ChIJp9Mp2K7KTJARQD8W6a0ydH0,"Restaurant - Pollería ""El Carbón Rojo""",Restaurante,"Simón Bolivar 2304, Chongoyape 14621",971 274 143,+51 971 274 143,,,"-6.640978,-79.3887125",4.1,,"Pollería en el distrito de Chongoyape, Chiclayo , Lambayeque, Perú"
ChIJk-nNcMzLTJAR4sCvofI4EQA,https://www.google.com/maps/place/?q=place_id:ChIJk-nNcMzLTJAR4sCvofI4EQA,DON BERNAL RESTAURANTE,Restaurante,"Sta. Catalina 1234, Chongoyape 14621",947 164 199,+51 947 164 199,,,"-6.6431035,-79.3849554",3.7,,"Pollería en el distrito de Chongoyape, Chiclayo , Lambayeque, Perú"
ChIJ_91jxU_vTJARZUWBDvfQAPI,https://www.google.com/maps/place/?q=place_id:ChIJ_91jxU_vTJARZUWBDvfQAPI,Brasas Chicken Sede Grau,Pollería,"Av. Grau 1090, Chiclayo 14008",(074) 782352,+51 74 782352,,,"-6.7841755,-79.84599709999999",4.5,,"Pollería en el distrito de Chongoyape, Chiclayo , Lambayeque, Perú"
ChIJ29ZYIufuTJARRdDEMJvVGh0,https://www.google.com/maps/place/?q=place_id:ChIJ29ZYIufuTJARRdDEMJvVGh0,"Pollos Y Parrilas ""Campos""",Restaurante especializado en pollo,"Av. Fernando Belaúnde 495, Chiclayo 14009",(074) 618781,+51 74 618781,,,"-6.7649441,-79.8544012",4.1,,"Pollería en el distrito de Chongoyape, Chiclayo , Lambayeque, Perú"
ChIJ3ysVTa_KTJARekxXlXGAkKE,https://www.google.com/maps/place/?q=place_id:ChIJ3ysVTa_KTJARekxXlXGAkKE,Chongoyape,,,,,,,"-6.6376498999999995,-79.3887901",,,"Pollería en el distrito de Chongoyape, Chiclayo , Lambayeque, Perú"
ChIJ14YPAtfuTJAR_8J5jDUs0PA,https://www.google.com/maps/place/?q=place_id:ChIJ14YPAtfuTJAR_8J5jDUs0PA,Don Carlos Pollería,Restaurante,"Av. José Balta 1259, Chiclayo 14001",(074) 271540,+51 74 271540,,,"-6.7681388,-79.8382472",3.8,,"Pollería en el distrito de Chongoyape, Chiclayo , Lambayeque, Perú"
ChIJybrFXqfPTJAR6IeJAdIuOmA,https://www.google.com/maps/place/?q=place_id:ChIJybrFXqfPTJAR6IeJAdIuOmA,LA CABAÑA DEL PAISA - RICO SABOR CHOTANO,Restaurante,"la cria, patapo 14610",934 404 415,+51 934 404 415,instagram.com,https://www.instagram.com/lacaba1721/?igsh=Nm9pdWUzM3BnZTNn#,"-6.7357283,-79.5414088",4.2,,"Pollería en el distrito de Chongoyape, Chiclayo , Lambayeque, Perú"
ChIJifjuOwDvTJAR1l40RXRQZ1c,https://www.google.com/maps/place/?q=place_id:ChIJifjuOwDvTJAR1l40RXRQZ1c,Mr. Rico Pollería,Restaurante especializado en pollo,"Bernabé Cobos 129, Chiclayo 14011",,,,,"-6.7753255999999995,-79.8664641",,,"Pollería en el distrito de Chongoyape, Chiclayo , Lambayeque, Perú"
ChIJ4UaVUjrvTJARO1YEOiBvVfY,https://www.google.com/maps/place/?q=place_id:ChIJ4UaVUjrvTJARO1YEOiBvVfY,Kinde's chicken,Restaurante especializado en pollo,"Av. Fernando Belaúnde 495, Chiclayo 14009",974 190 311,+51 974 190 311,,,"-6.7649582,-79.8542447",3.7,,"Pollería en el distrito de Chongoyape, Chiclayo , Lambayeque, Perú"
ChIJfzTin33PTJARGpaJQDw9bkE,https://www.google.com/maps/place/?q=place_id:ChIJfzTin33PTJARGpaJQDw9bkE,Restaurante El Chancayanito,Restaurante,"Pátapo - a cría, 6A carretera chongoyape La cría, Lambayeque 14610",,,,,"-6.7360432999999995,-79.54128659999999",5,,"Pollería en el distrito de Chongoyape, Chiclayo , Lambayeque, Perú"
ChIJMaOSSQDFTJARWDbKLhWj5C4,https://www.google.com/maps/place/?q=place_id:ChIJMaOSSQDFTJARWDbKLhWj5C4,Granja de POLLOS NG,Granja,"7999+JW, Patapo 14610",,,,,"-6.7309724,-79.630246",,,"Pollería en el distrito de Chongoyape, Chiclayo , Lambayeque, Perú"
ChIJW4LxsdfuTJARoLx5E5aptrg,https://www.google.com/maps/place/?q=place_id:ChIJW4LxsdfuTJARoLx5E5aptrg,El Rancho - Los Mellizos,Restaurante,"Leoncio Prado 895, Chiclayo 14001",979 357 379,+51 979 357 379,,,"-6.769088099999999,-79.83827509999999",3.8,,"Pollería en el distrito de Chongoyape, Chiclayo , Lambayeque, Perú"
ChIJxY5mWsPvTJARwVnYxgFoN6k,https://www.google.com/maps/place/?q=place_id:ChIJxY5mWsPvTJARwVnYxgFoN6k,Brasa Peru,Restaurante,"Av. Sáenz Peña 2218 A, José Leonardo Ortiz 14001",943 686 136,+51 943 686 136,facebook.com,https://www.facebook.com/PolleriaBrasasPeru/,"-6.7596794,-79.8340073",4.8,,"Pollería en el distrito de Chongoyape, Chiclayo , Lambayeque, Perú"
ChIJ1eSsBcu1TJAReOLX-P4LLto,https://www.google.com/maps/place/?q=place_id:ChIJ1eSsBcu1TJAReOLX-P4LLto,El Secreto de la Sazón,Restaurante,Chongoyape 14620,961 075 435,+51 961 075 435,,,"-6.6256996,-79.4148654",4.9,,"Pollería en el distrito de Chongoyape, Chiclayo , Lambayeque, Perú"
ChIJd35tZwDvTJARLaNf8EwxfjM,https://www.google.com/maps/place/?q=place_id:ChIJd35tZwDvTJARLaNf8EwxfjM,Polleria Don Carlos,Tienda de aves de corral,"14000, Chiclayo 14001",912 767 676,+51 912 767 676,,,"-6.770537,-79.83946",,,"Pollería en el distrito de Chongoyape, Chiclayo , Lambayeque, Perú"
ChIJq0PbXCjPTJARlgyWq619tYk,https://www.google.com/maps/place/?q=place_id:ChIJq0PbXCjPTJARlgyWq619tYk,Restaurante,Restaurante,La Cria 14610,990 120 792,+51 990 120 792,,,"-6.7360142,-79.5400506",4.8,,"Pollería en el distrito de Chongoyape, Chiclayo , Lambayeque, Perú"
ChIJh4179izvTJARIR5YUQpZk0o,https://www.google.com/maps/place/?q=place_id:ChIJh4179izvTJARIR5YUQpZk0o,Pardos Chicken Chiclayo,Restaurante especializado en pollo,"Andrés C. C. Real Plaza Chiclayo. Avelino Cáceres, Chiclayo 14008",(074) 222322,+51 74 222322,pardoschicken.pe,https://www.pardoschicken.pe/,"-6.7778392,-79.83275859999999",4.1,,"Pollería en el distrito de Chongoyape, Chiclayo , Lambayeque, Perú"
ChIJeV0bZSTvTJARtPeeTc9TTnA,https://www.google.com/maps/place/?q=place_id:ChIJeV0bZSTvTJARtPeeTc9TTnA,LA GRAN BRASA,Restaurante especializado en pollo,"MZ. F LT. 00015 LA PERLA DEL PACIFICO, Chiclayo",994 420 195,+51 994 420 195,,,"-6.7782877,-79.8887598",5,,"Pollería en el distrito de Chongoyape, Chiclayo , Lambayeque, Perú"
ChIJ9cZq2Mm1TJARZzwRFEFJ1Fg,https://www.google.com/maps/place/?q=place_id:ChIJ9cZq2Mm1TJARZzwRFEFJ1Fg,RESTAURANT CEVICHERIA EL MULATO,Restaurante,"A una cuadra de, Carr Chiclayo - Chota",935 427 928,+51 935 427 928,,,"-6.6334389,-79.3891159",4.4,,"Cevichería en el distrito de Chongoyape, Chiclayo , Lambayeque, Perú"
ChIJ5dZ-qMDLTJAR-MvA0bUjtA0,https://www.google.com/maps/place/?q=place_id:ChIJ5dZ-qMDLTJAR-MvA0bUjtA0,"CEVICHERÍA ""LAGUNA AZUL""chongoyape",Restaurante,"Simón Bolivar 1897, Chongoyape 14621",946 079 765,+51 946 079 765,,,"-6.640592,-79.3901303",4.5,,"Cevichería en el distrito de Chongoyape, Chiclayo , Lambayeque, Perú"
ChIJBzpwwCLLTJAR9JqzGyIjvVQ,https://www.google.com/maps/place/?q=place_id:ChIJBzpwwCLLTJAR9JqzGyIjvVQ,"Cebichería""EL Tiburon""",Restaurante,"Jirón Ayacucho 306, Chongoyape 14621",,,,,"-6.641960699999999,-79.3868469",5,,"Cevichería en el distrito de Chongoyape, Chiclayo , Lambayeque, Perú"
ChIJ9Qo5BQDLTJARRJueA2pueGg,https://www.google.com/maps/place/?q=place_id:ChIJ9Qo5BQDLTJARRJueA2pueGg,CHASQUI'S RESTAURANT-CEVICHERIA,Restaurante,"PIEDRA PARADA CHONGOYAPE, Av. CHICLAYO S/N, 14620",973 391 442,+51 973 391 442,,,"-6.6360036,-79.4113977",4.7,,"Cevichería en el distrito de Chongoyape, Chiclayo , Lambayeque, Perú"
ChIJlaXkewDLTJARMIz8VQUGjSM,https://www.google.com/maps/place/?q=place_id:ChIJlaXkewDLTJARMIz8VQUGjSM,Don Bernal - Cevichería,Bar,"Ricardo Moreno 1586, Chongoyape 14621",986 348 683,+51 986 348 683,,,"-6.6414142,-79.38577699999999",,,"Cevichería en el distrito de Chongoyape, Chiclayo , Lambayeque, Perú"
