id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJMfexiWLjTJARBIUUDwuA0Yk,https://www.google.com/maps/place/?q=place_id:ChIJMfexiWLjTJARBIUUDwuA0Yk,"Restaurante - Pollería ""El Puerto""",Restaurante,"San Martín 130, Eten 14810",,,,,"-6.9259965999999995,-79.8661365",5,,"Pollería en el distrito de Eten Puerto, Chiclayo , Lambayeque, Perú"
ChIJd7TeFLvjTJARNQ37wsZdQF0,https://www.google.com/maps/place/?q=place_id:ChIJd7TeFLvjTJARNQ37wsZdQF0,Pollería ROYAL CHICKEN,Pollería,"JR, Manuel C. Bonilla 398, Eten 00511",921 443 855,+51 921 443 855,facebook.com,https://www.facebook.com/Poller%C3%ADa-Royal-Chicken-611811308924314/,"-6.9079052,-79.86459909999999",4.5,,"Pollería en el distrito de Eten Puerto, Chiclayo , Lambayeque, Perú"
ChIJU9TOXgDtTJARAoHTqWZVX9Q,https://www.google.com/maps/place/?q=place_id:ChIJU9TOXgDtTJARAoHTqWZVX9Q,Pollería Puerto Madero - Lambayeque,Restaurante especializado en pollo,"Los Tulipanes 245, Lambayeque 14013",943 377 665,+51 943 377 665,facebook.com,https://www.facebook.com/profile.php?id=61563699578872&mibextid=ZbWKwL,"-6.6985842,-79.9011714",4.8,,"Pollería en el distrito de Eten Puerto, Chiclayo , Lambayeque, Perú"
ChIJvS7v0CHjTJARQyhbqYo1KgE,https://www.google.com/maps/place/?q=place_id:ChIJvS7v0CHjTJARQyhbqYo1KgE,COMO EN CASA POLLOS Y PARRILLAS,Restaurante,"Mariscal Sucre 324, Puerto Eten 14810",946 465 766,+51 946 465 766,ola.click,https://comoencasapollosyparrillas.ola.click/,"-6.9249146999999995,-79.8681618",,,"Pollería en el distrito de Eten Puerto, Chiclayo , Lambayeque, Perú"
ChIJ4e2RGIXjTJAR_1AFxpnYVbI,https://www.google.com/maps/place/?q=place_id:ChIJ4e2RGIXjTJAR_1AFxpnYVbI,POLLERIAS BRASAS DORADAS,Restaurante,"Manuel C. Bonilla 222, Eten 14821",979 563 955,+51 979 563 955,,,"-6.9077809,-79.8656163",4.5,,"Pollería en el distrito de Eten Puerto, Chiclayo , Lambayeque, Perú"
ChIJ_91jxU_vTJARZUWBDvfQAPI,https://www.google.com/maps/place/?q=place_id:ChIJ_91jxU_vTJARZUWBDvfQAPI,Brasas Chicken Sede Grau,Pollería,"Av. Grau 1090, Chiclayo 14008",(074) 782352,+51 74 782352,,,"-6.7841755,-79.84599709999999",4.5,,"Pollería en el distrito de Eten Puerto, Chiclayo , Lambayeque, Perú"
ChIJl_1nKaTjTJARZciUcYX5bEk,https://www.google.com/maps/place/?q=place_id:ChIJl_1nKaTjTJARZciUcYX5bEk,El Nuevo Ferrocarril,Restaurante,"Diego Ferré 116, Puerto Eten 14810",979 111 143,+51 979 111 143,,,"-6.9274195,-79.868267",4.1,,"Pollería en el distrito de Eten Puerto, Chiclayo , Lambayeque, Perú"
ChIJfX88f6bjTJARKGybaDJeytI,https://www.google.com/maps/place/?q=place_id:ChIJfX88f6bjTJARKGybaDJeytI,Restaurante El Parral,Restaurante,Puerto Eten 14810,958 640 141,+51 958 640 141,,,"-6.9273251,-79.8686453",3.9,,"Pollería en el distrito de Eten Puerto, Chiclayo , Lambayeque, Perú"
ChIJH7vq7NTvTJARyr4wwOAUXCc,https://www.google.com/maps/place/?q=place_id:ChIJH7vq7NTvTJARyr4wwOAUXCc,Royal Chicken,Restaurante especializado en pollo,"Vicente de la Vega 869, Chiclayo 14001",(074) 236294,+51 74 236294,,,"-6.7704740999999995,-79.8388501",4,,"Pollería en el distrito de Eten Puerto, Chiclayo , Lambayeque, Perú"
ChIJeV0bZSTvTJARtPeeTc9TTnA,https://www.google.com/maps/place/?q=place_id:ChIJeV0bZSTvTJARtPeeTc9TTnA,LA GRAN BRASA,Restaurante especializado en pollo,"MZ. F LT. 00015 LA PERLA DEL PACIFICO, Chiclayo",994 420 195,+51 994 420 195,,,"-6.7782877,-79.8887598",5,,"Pollería en el distrito de Eten Puerto, Chiclayo , Lambayeque, Perú"
