id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJW_rV0FYts5ERdGGrlDdfuQY,https://www.google.com/maps/place/?q=place_id:ChIJW_rV0FYts5ERdGGrlDdfuQY,Polleria Mi Victoria Y Perito,Tienda de aves de corral,"Tarapaca 320, Oyotún 14741",940 649 614,+51 940 649 614,,,"-6.844828499999999,-79.301958",5,,"Pollería en el distrito de Oyotun, Chiclayo , Lambayeque, Perú"
ChIJBfxpJTIss5ER0bt45Ve0vME,https://www.google.com/maps/place/?q=place_id:ChIJBfxpJTIss5ER0bt45Ve0vME,Polleria sandoval,Tienda de artículos para el hogar,"Tarapaca 745, Oyotún 14741",935 559 943,+51 935 559 943,,,"-6.8486335,-79.3036522",,,"Pollería en el distrito de Oyotun, Chiclayo , Lambayeque, Perú"
ChIJiwe8gfgts5ERTGfjtp5pnxE,https://www.google.com/maps/place/?q=place_id:ChIJiwe8gfgts5ERTGfjtp5pnxE,BAR POLLERIA NIKO'S,Restaurante,"Jose Olaya 720, Oyotún 14741",964 558 455,+51 964 558 455,,,"-6.8451832999999995,-79.30108659999999",4.2,,"Pollería en el distrito de Oyotun, Chiclayo , Lambayeque, Perú"
ChIJd48KEbQts5ERLP6fTvnQnHw,https://www.google.com/maps/place/?q=place_id:ChIJd48KEbQts5ERLP6fTvnQnHw,"Restaurant-polleria-chifa""CAROV""",Restaurante,"Tarapaca 413, Oyotún 14741",942 347 368,+51 942 347 368,,,"-6.8457085,-79.30227239999999",,,"Pollería en el distrito de Oyotun, Chiclayo , Lambayeque, Perú"
ChIJaWd9MAots5ERx_weWS19TAU,https://www.google.com/maps/place/?q=place_id:ChIJaWd9MAots5ERx_weWS19TAU,Cevicheria Entre limón & Aji,Marisquería,"1NI 1220, Oyotún 14741",997 615 992,+51 997 615 992,,,"-6.8543018,-79.3064136",4.6,,"Cevichería en el distrito de Oyotun, Chiclayo , Lambayeque, Perú"
ChIJ-XBGVQAts5ERUK3Tm7vLZss,https://www.google.com/maps/place/?q=place_id:ChIJ-XBGVQAts5ERUK3Tm7vLZss,Cevicheria PEZ Y LIMON,Marisquería,"Jose Olaya 1439, Oyotún 14741",,,,,"-6.8528902,-79.3041045",5,,"Cevichería en el distrito de Oyotun, Chiclayo , Lambayeque, Perú"
ChIJdyOMKADvTJARDYCNBh3nF_I,https://www.google.com/maps/place/?q=place_id:ChIJdyOMKADvTJARDYCNBh3nF_I,Pizzería La Italiana,Cafetería,"Virú 488, La Victoria 14007",941 166 551,+51 941 166 551,,,"-6.794442699999999,-79.8451047",4.9,,"Pizzería en el distrito de Oyotun, Chiclayo , Lambayeque, Perú"
ChIJO9AnHpLtTJAROZZHbvmnkow,https://www.google.com/maps/place/?q=place_id:ChIJO9AnHpLtTJAROZZHbvmnkow,La Italiana Pizzería,Pizzería,"Emiliano Niño 666, Lambayeque 14013",971 013 886,+51 971 013 886,facebook.com,https://www.facebook.com/Laitalianapizzeria1/,"-6.7052198999999995,-79.90783189999999",4.4,,"Pizzería en el distrito de Oyotun, Chiclayo , Lambayeque, Perú"
ChIJ6R6AiATvTJARrZ_p4Xzjn-U,https://www.google.com/maps/place/?q=place_id:ChIJ6R6AiATvTJARrZ_p4Xzjn-U,Pizzas y Donuts - Triple A,Pizzería,"Av. México 3021, José Leonardo Ortiz 14003",979 026 401,+51 979 026 401,,,"-6.7546453,-79.8491451",4.8,,"Pizzería en el distrito de Oyotun, Chiclayo , Lambayeque, Perú"
ChIJ-S8Hhd7uTJARPISe5NdKJSI,https://www.google.com/maps/place/?q=place_id:ChIJ-S8Hhd7uTJARPISe5NdKJSI,Pizzeria Sole Mio,Pizzería,"Eufemio Lora y Lora 1065, Chiclayo 14009",954 881 390,+51 954 881 390,,,"-6.7656363,-79.8509911",4.4,,"Pizzería en el distrito de Oyotun, Chiclayo , Lambayeque, Perú"
ChIJIfK3eSnvTJARHf-PE5RrPJw,https://www.google.com/maps/place/?q=place_id:ChIJIfK3eSnvTJARHf-PE5RrPJw,La Italiana Pizzería,Pizzería,"Av. Sáenz Peña 480, Chiclayo 14001",971 013 886,+51 971 013 886,,,"-6.7738024,-79.8359384",4.2,,"Pizzería en el distrito de Oyotun, Chiclayo , Lambayeque, Perú"
ChIJxwS7GGHvTJARqV_NQXPrn1I,https://www.google.com/maps/place/?q=place_id:ChIJxwS7GGHvTJARqV_NQXPrn1I,La Italiana Pizzeria - Elias Aguirre,Pizzería,"Elías Aguirre 115, Lambayeque 14001",971 335 561,+51 971 335 561,paginasamarillas.com.pe,https://www.paginasamarillas.com.pe/servicios/la-italiana-pizzeria,"-6.771060599999999,-79.84462189999999",4.4,,"Pizzería en el distrito de Oyotun, Chiclayo , Lambayeque, Perú"
ChIJf_vZgVbvTJARmyl7fguecg4,https://www.google.com/maps/place/?q=place_id:ChIJf_vZgVbvTJARmyl7fguecg4,La Peruanita Pizzería,Restaurante,"Av. Sta. Victoria 628, Chiclayo 14008",(074) 490575,+51 74 490575,facebook.com,https://www.facebook.com/La-Peruanita-Pizzeria-1378775605522596/,"-6.7838727,-79.84364959999999",4.7,,"Pizzería en el distrito de Oyotun, Chiclayo , Lambayeque, Perú"
ChIJZ1Ps-SjvTJARN5ADn-RQyKM,https://www.google.com/maps/place/?q=place_id:ChIJZ1Ps-SjvTJARN5ADn-RQyKM,Chez Maggy,Pizzería,"Av. José Balta N° 417, Chiclayo 14001",(074) 209453,+51 74 209453,,,"-6.7740181999999995,-79.8388714",4.2,,"Pizzería en el distrito de Oyotun, Chiclayo , Lambayeque, Perú"
ChIJS0uQzzrvTJARjy-Th7M8mSI,https://www.google.com/maps/place/?q=place_id:ChIJS0uQzzrvTJARjy-Th7M8mSI,Napoles Trattoria,Restaurante,"Av. José Balta 002, Chiclayo 14008",958 966 810,+51 958 966 810,,,"-6.7793645,-79.8388883",4,,"Pizzería en el distrito de Oyotun, Chiclayo , Lambayeque, Perú"
ChIJFXbH-SjvTJARF-Q32oJNZj0,https://www.google.com/maps/place/?q=place_id:ChIJFXbH-SjvTJARF-Q32oJNZj0,Pizzería Venecia,Pizzería,"Av. José Balta 365, Chiclayo 14001",956 004 216,+51 956 004 216,,,"-6.7743831,-79.8388035",4.3,,"Pizzería en el distrito de Oyotun, Chiclayo , Lambayeque, Perú"
ChIJNdkFhUXvTJAR1wJySqRo6RA,https://www.google.com/maps/place/?q=place_id:ChIJNdkFhUXvTJAR1wJySqRo6RA,Ok Pizza Chiclayo,Pizzería,"Av. Sáenz Peña 1227, Chiclayo 14001",977 613 903,+51 977 613 903,facebook.com,https://www.facebook.com/okpizza.cix,"-6.7686177999999995,-79.8359535",4.4,,"Pizzería en el distrito de Oyotun, Chiclayo , Lambayeque, Perú"
ChIJrfMwOiXvTJAROsvL7i6zHoU,https://www.google.com/maps/place/?q=place_id:ChIJrfMwOiXvTJAROsvL7i6zHoU,PizzeriaVeneciaSantaVictoria,Pizzería,"Av. Sta. Victoria 456, Chiclayo 14001",(074) 205200,+51 74 205200,,,"-6.7807414999999995,-79.84261529999999",4.3,,"Pizzería en el distrito de Oyotun, Chiclayo , Lambayeque, Perú"
ChIJCwforDrvTJARqnj6MO1dkpw,https://www.google.com/maps/place/?q=place_id:ChIJCwforDrvTJARqnj6MO1dkpw,Toscana Pizza & Café,Pizzería,"Ca. los pinos 322, Chiclayo 14008",(074) 221690,+51 74 221690,,,"-6.782030499999999,-79.84096989999999",4.2,,"Pizzería en el distrito de Oyotun, Chiclayo , Lambayeque, Perú"
ChIJo25FYnLvTJARP5FV7VQjQHc,https://www.google.com/maps/place/?q=place_id:ChIJo25FYnLvTJARP5FV7VQjQHc,La Italiana Pizzería - Libertad,Restaurante,"Av. Libertad 401, Chiclayo 14001",941 166 551,+51 941 166 551,facebook.com,https://www.facebook.com/share/1KsfEn48ZF/?mibextid=wwXIfr,"-6.7822778,-79.8411943",,,"Pizzería en el distrito de Oyotun, Chiclayo , Lambayeque, Perú"
ChIJeSsDu27vTJAR4G6Q3GNk36c,https://www.google.com/maps/place/?q=place_id:ChIJeSsDu27vTJAR4G6Q3GNk36c,La Martina pizzería,Restaurante,"Santo Domingo 195, Chiclayo 14000",947 761 260,+51 947 761 260,instagram.com,https://www.instagram.com/pizzeriamartina_?igsh=MWpqdWhvNmdvMnFzcQ==,"-6.7805729,-79.8668383",4.4,,"Pizzería en el distrito de Oyotun, Chiclayo , Lambayeque, Perú"
