id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJudFfEBDETJARR6-iG7f2wk8,https://www.google.com/maps/place/?q=place_id:ChIJudFfEBDETJARR6-iG7f2wk8,POLLERIA BRASA NORTE,Restaurante,"Av. San Martin 63, Patapo 14610",979 121 782,+51 979 121 782,,,"-6.7356972,-79.6386811",4.8,,"Pollería en el distrito de Patapo, Chiclayo , Lambayeque, Perú"
ChIJe7HcBA7ETJARndEHHJ86FcQ,https://www.google.com/maps/place/?q=place_id:ChIJe7HcBA7ETJARndEHHJ86FcQ,Pollería 5 sabores,Restaurante,"7966+26J, Carretera Chongoyape, Patapo 14611",,,,,"-6.7399157999999995,-79.63948649999999",3.5,,"Pollería en el distrito de Patapo, Chiclayo , Lambayeque, Perú"
ChIJMaOSSQDFTJARWDbKLhWj5C4,https://www.google.com/maps/place/?q=place_id:ChIJMaOSSQDFTJARWDbKLhWj5C4,Granja de POLLOS NG,Granja,"7999+JW, Patapo 14610",,,,,"-6.7309724,-79.630246",,,"Pollería en el distrito de Patapo, Chiclayo , Lambayeque, Perú"
ChIJKZW_jxfETJARU1c8adXalNs,https://www.google.com/maps/place/?q=place_id:ChIJKZW_jxfETJARU1c8adXalNs,Mi Leidy y Nicol,Restaurante especializado en pollo,"Francisco Bolognesi Mz.C1 - Lt.5, Patapo 14610",,,,,"-6.7356164,-79.6297649",3.7,,"Pollería en el distrito de Patapo, Chiclayo , Lambayeque, Perú"
ChIJy7qHPxDETJAR8aWRdSHa5hU,https://www.google.com/maps/place/?q=place_id:ChIJy7qHPxDETJAR8aWRdSHa5hU,"Polleria ""El Sabroson""",Restaurante,"7976+9QX, Av Trapiche, Patapo 14611",,,,,"-6.7365075,-79.6380078",4.1,,"Pollería en el distrito de Patapo, Chiclayo , Lambayeque, Perú"
ChIJE8d3cxfETJARkdAW46aZst8,https://www.google.com/maps/place/?q=place_id:ChIJE8d3cxfETJARkdAW46aZst8,"Pollería ""El Bon Appetit""",Restaurante,"7979+GM2, 6A, Patapo 14610",,,,,"-6.7362307999999995,-79.63085009999999",,,"Pollería en el distrito de Patapo, Chiclayo , Lambayeque, Perú"
ChIJG62XI_XtTJAR5OURovF-LrY,https://www.google.com/maps/place/?q=place_id:ChIJG62XI_XtTJAR5OURovF-LrY,PULPO POL RESTOBAR,Restaurante,"Juan XXIII 370, Lambayeque 14013",956 627 136,+51 956 627 136,facebook.com,https://web.facebook.com/PulpoPolRestobar/?_rdc=1&_rdr,"-6.706135799999999,-79.9062546",4,,"Cevichería en el distrito de Patapo, Chiclayo , Lambayeque, Perú"
ChIJsalhWCXtTJARVCpHRa8cyqA,https://www.google.com/maps/place/?q=place_id:ChIJsalhWCXtTJARVCpHRa8cyqA,"El Atajo del Paisa ""Cevicheria""",Restaurante,"Andrés Rázuri 304, Lambayeque 14013",995 627 143,+51 995 627 143,facebook.com,https://www.facebook.com/cevicheriaatajodelpaisa,"-6.7091562,-79.9015587",4.7,,"Cevichería en el distrito de Patapo, Chiclayo , Lambayeque, Perú"
ChIJ8x3ari_vTJARReXyFGYNo2U,https://www.google.com/maps/place/?q=place_id:ChIJ8x3ari_vTJARReXyFGYNo2U,Cevichería Fish Town,Marisquería,"Av. Manuel Arteaga N°166, Chiclayo 14001",,,m.facebook.com,https://m.facebook.com/pages/category/Restaurant/Fish-Town-Cevicheria-469763980043084/,"-6.7716312,-79.851928",4.4,,"Cevichería en el distrito de Patapo, Chiclayo , Lambayeque, Perú"
ChIJo2RfHl7tTJARb7hISCZ-iWE,https://www.google.com/maps/place/?q=place_id:ChIJo2RfHl7tTJARb7hISCZ-iWE,Cevichería Tito,Restaurante,"Garcilaso de la Vega 549, Lambayeque 14013",958 931 750,+51 958 931 750,facebook.com,https://www.facebook.com/TitoRestauranteOficial,"-6.7013962,-79.91263169999999",4.7,,"Cevichería en el distrito de Patapo, Chiclayo , Lambayeque, Perú"
