id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ_91jxU_vTJARZUWBDvfQAPI,https://www.google.com/maps/place/?q=place_id:ChIJ_91jxU_vTJARZUWBDvfQAPI,Brasas Chicken Sede Grau,Pollería,"Av. Grau 1090, Chiclayo 14008",(074) 782352,+51 74 782352,,,"-6.7841755,-79.84599709999999",4.5,,"Pollería en el distrito de Saña, Chiclayo , Lambayeque, Perú"
ChIJ29ZYIufuTJARRdDEMJvVGh0,https://www.google.com/maps/place/?q=place_id:ChIJ29ZYIufuTJARRdDEMJvVGh0,"Pollos Y Parrilas ""Campos""",Restaurante especializado en pollo,"Av. Fernando Belaúnde 495, Chiclayo 14009",(074) 618781,+51 74 618781,,,"-6.7649441,-79.8544012",4.1,,"Pollería en el distrito de Saña, Chiclayo , Lambayeque, Perú"
ChIJbS8PKALvTJARZNuESZC3Jf4,https://www.google.com/maps/place/?q=place_id:ChIJbS8PKALvTJARZNuESZC3Jf4,Campo's Chicken,Restaurante especializado en pollo,"Av. Zarumilla 055, Chiclayo 14009",(074) 640210,+51 74 640210,camposchicken.pe,https://camposchicken.pe/,"-6.7737029,-79.8689006",4.1,,"Pollería en el distrito de Saña, Chiclayo , Lambayeque, Perú"
ChIJv7L78f3vTJARQvv8pnc_OEI,https://www.google.com/maps/place/?q=place_id:ChIJv7L78f3vTJARQvv8pnc_OEI,Polleria MAC Chicken Pimentel,Restaurante especializado en pollo,"Pimentel 4.5km, Chiclayo 14000",979 926 808,+51 979 926 808,facebook.com,https://www.facebook.com/macchickenpolleriapimentel,"-6.794247599999999,-79.8822342",4,,"Pollería en el distrito de Saña, Chiclayo , Lambayeque, Perú"
ChIJ4UaVUjrvTJARO1YEOiBvVfY,https://www.google.com/maps/place/?q=place_id:ChIJ4UaVUjrvTJARO1YEOiBvVfY,Kinde's chicken,Restaurante especializado en pollo,"Av. Fernando Belaúnde 495, Chiclayo 14009",974 190 311,+51 974 190 311,,,"-6.7649582,-79.8542447",3.7,,"Pollería en el distrito de Saña, Chiclayo , Lambayeque, Perú"
ChIJ49V4gCvvTJARLGDwF0-LgXM,https://www.google.com/maps/place/?q=place_id:ChIJ49V4gCvvTJARLGDwF0-LgXM,Campo's Chicken,Restaurante,"Av. Francisco Bolognesi 1177, Chiclayo 14001",(074) 267222,+51 74 267222,,,"-6.776320999999999,-79.8324806",4.1,,"Pollería en el distrito de Saña, Chiclayo , Lambayeque, Perú"
ChIJKxAvPQftTJARtkD5Tm70S1w,https://www.google.com/maps/place/?q=place_id:ChIJKxAvPQftTJARtkD5Tm70S1w,Campos Chicken Lambayeque,Restaurante,"Al costado de la EE. SS. San Roque, Au. Panamericana N km 780, Lambayeque 14000",944 231 696,+51 944 231 696,camposchicken.pe,https://camposchicken.pe/carta-delivery/lambayeque-delivery/,"-6.709577899999999,-79.9031345",2.9,,"Pollería en el distrito de Saña, Chiclayo , Lambayeque, Perú"
ChIJeV0bZSTvTJARtPeeTc9TTnA,https://www.google.com/maps/place/?q=place_id:ChIJeV0bZSTvTJARtPeeTc9TTnA,LA GRAN BRASA,Restaurante especializado en pollo,"MZ. F LT. 00015 LA PERLA DEL PACIFICO, Chiclayo",994 420 195,+51 994 420 195,,,"-6.7782877,-79.8887598",5,,"Pollería en el distrito de Saña, Chiclayo , Lambayeque, Perú"
ChIJxY5mWsPvTJARwVnYxgFoN6k,https://www.google.com/maps/place/?q=place_id:ChIJxY5mWsPvTJARwVnYxgFoN6k,Brasa Peru,Restaurante,"Av. Sáenz Peña 2218 A, José Leonardo Ortiz 14001",943 686 136,+51 943 686 136,facebook.com,https://www.facebook.com/PolleriaBrasasPeru/,"-6.7596794,-79.8340073",4.8,,"Pollería en el distrito de Saña, Chiclayo , Lambayeque, Perú"
ChIJh4179izvTJARIR5YUQpZk0o,https://www.google.com/maps/place/?q=place_id:ChIJh4179izvTJARIR5YUQpZk0o,Pardos Chicken Chiclayo,Restaurante especializado en pollo,"Andrés C. C. Real Plaza Chiclayo. Avelino Cáceres, Chiclayo 14008",(074) 222322,+51 74 222322,pardoschicken.pe,https://www.pardoschicken.pe/,"-6.7778392,-79.83275859999999",4.1,,"Pollería en el distrito de Saña, Chiclayo , Lambayeque, Perú"
ChIJd7Mw6hjvTJARYrhEqkDHYUg,https://www.google.com/maps/place/?q=place_id:ChIJd7Mw6hjvTJARYrhEqkDHYUg,Campo's Chicken El Dorado - Delivery,Restaurante especializado en pollo,"Dorado 1777, José Leonardo Ortiz 14002",914 611 480,+51 914 611 480,camposchicken.pe,https://camposchicken.pe/,"-6.7588285,-79.8424289",4,,"Pollería en el distrito de Saña, Chiclayo , Lambayeque, Perú"
ChIJ-bUDW0nvTJARLs2yXxDN03s,https://www.google.com/maps/place/?q=place_id:ChIJ-bUDW0nvTJARLs2yXxDN03s,Polleria Lucerito 2,Restaurante,"Pachacútec 1098, La Victoria 14007",(074) 621402,+51 74 621402,,,"-6.794573199999999,-79.83622679999999",4.1,,"Pollería en el distrito de Saña, Chiclayo , Lambayeque, Perú"
ChIJT6n1nRXvTJARO-AZqubDiJ0,https://www.google.com/maps/place/?q=place_id:ChIJT6n1nRXvTJARO-AZqubDiJ0,Polleria “Pollo Loco”,Restaurante especializado en pollo,"Av. Fernando Belaúnde 486, Chiclayo 14009",996 178 956,+51 996 178 956,,,"-6.7653045,-79.8543649",4,,"Pollería en el distrito de Saña, Chiclayo , Lambayeque, Perú"
ChIJjxNo683uTJARj93BudFYoyA,https://www.google.com/maps/place/?q=place_id:ChIJjxNo683uTJARj93BudFYoyA,Campo's Chicken - Plaza Cívica,Restaurante especializado en pollo,"Av. Sáenz Peña 2232, José Leonardo Ortiz 14002",(074) 621814,+51 74 621814,camposchicken.pe,https://camposchicken.pe/,"-6.7594015,-79.8339755",4.2,,"Pollería en el distrito de Saña, Chiclayo , Lambayeque, Perú"
ChIJaSNDhl7vTJARKZEXvRzwugI,https://www.google.com/maps/place/?q=place_id:ChIJaSNDhl7vTJARKZEXvRzwugI,Haku Chicken,Restaurante de comida para llevar,"14001, Chiclayo 14001",933 144 096,+51 933 144 096,,,"-6.770196899999999,-79.8598915",5,,"Pollería en el distrito de Saña, Chiclayo , Lambayeque, Perú"
ChIJ03CKb-fvTJARj4NlQEeLiBc,https://www.google.com/maps/place/?q=place_id:ChIJ03CKb-fvTJARj4NlQEeLiBc,Pollo loco,Tienda de aves de corral,"Prol. Av. Francisco Bolognesi 182, Chiclayo 14011",963 852 588,+51 963 852 588,,,"-6.780581799999999,-79.8548648",5,,"Pollería en el distrito de Saña, Chiclayo , Lambayeque, Perú"
ChIJQ-EdUmrvTJARu77d7jUOu-c,https://www.google.com/maps/place/?q=place_id:ChIJQ-EdUmrvTJARu77d7jUOu-c,Campo's Chicken,Restaurante,"Pedro Ruiz 1034, Chiclayo 14001",(074) 321114,+51 74 321114,camposchicken.pe,https://camposchicken.pe/,"-6.7680691,-79.8377369",4.5,,"Pollería en el distrito de Saña, Chiclayo , Lambayeque, Perú"
ChIJl9qXlujvTJARU6FcjldPtmQ,https://www.google.com/maps/place/?q=place_id:ChIJl9qXlujvTJARU6FcjldPtmQ,Pollería Súper Pollo,Restaurante especializado en pollo,"65V6+QHJ, Av. México, José Leonardo Ortiz 14003",942 955 157,+51 942 955 157,,,"-6.755547,-79.83861979999999",4.3,,"Pollería en el distrito de Saña, Chiclayo , Lambayeque, Perú"
ChIJjxi1sTvvTJARm97PFJkRub4,https://www.google.com/maps/place/?q=place_id:ChIJjxi1sTvvTJARm97PFJkRub4,Brasa Roja Chicken,Restaurante especializado en pollo,"Av. Sta. Victoria 700, Chiclayo 14008",(074) 235588,+51 74 235588,,,"-6.7851626,-79.8441264",4.2,,"Pollería en el distrito de Saña, Chiclayo , Lambayeque, Perú"
ChIJH7vq7NTvTJARyr4wwOAUXCc,https://www.google.com/maps/place/?q=place_id:ChIJH7vq7NTvTJARyr4wwOAUXCc,Royal Chicken,Restaurante especializado en pollo,"Vicente de la Vega 869, Chiclayo 14001",(074) 236294,+51 74 236294,,,"-6.7704740999999995,-79.8388501",4,,"Pollería en el distrito de Saña, Chiclayo , Lambayeque, Perú"
ChIJ75W6O4_tTJARIk3dHisDIfc,https://www.google.com/maps/place/?q=place_id:ChIJ75W6O4_tTJARIk3dHisDIfc,Polleria Gloria,Restaurante,"Garcilaso de la Vega 485, Lambayeque 14013",976 895 217,+51 976 895 217,,,"-6.7005202,-79.9127366",3.8,,"Pollería en el distrito de Saña, Chiclayo , Lambayeque, Perú"
ChIJM62hyQftTJAR3d4AemE1NWQ,https://www.google.com/maps/place/?q=place_id:ChIJM62hyQftTJAR3d4AemE1NWQ,Restaurante y Polleria - San Martín,Restaurante,"Garcilaso de la Vega 498, Lambayeque 14001",971 420 806,+51 971 420 806,,,"-6.7005231,-79.9128747",5,,"Pollería en el distrito de Saña, Chiclayo , Lambayeque, Perú"
ChIJJRrVFBvvTJAR0GLUS4BaclY,https://www.google.com/maps/place/?q=place_id:ChIJJRrVFBvvTJAR0GLUS4BaclY,La Cevichería,Restaurante peruano,"Imelda López 279, Chiclayo 14011",,,,,"-6.7716167,-79.86042789999999",4.7,,"Cevichería en el distrito de Saña, Chiclayo , Lambayeque, Perú"
ChIJw2sCnxjZTJAR5LANIM1TvQo,https://www.google.com/maps/place/?q=place_id:ChIJw2sCnxjZTJAR5LANIM1TvQo,EL ENCANTO ZAÑERO - SEDE ZAÑA,Restaurante,"Av. Víctor Raúl Haya De La Torre 202, Zaña 14711",942 002 314,+51 942 002 314,facebook.com,https://www.facebook.com/encantozanero?mibextid=ZbWKwL,"-6.9169374999999995,-79.5861875",3.8,,"Cevichería en el distrito de Saña, Chiclayo , Lambayeque, Perú"
ChIJ7zKcCzHvTJAR4Rv5WSi5qOw,https://www.google.com/maps/place/?q=place_id:ChIJ7zKcCzHvTJAR4Rv5WSi5qOw,Cevichería Bocana,Restaurante,"Av. Sáenz Peña 401, Chiclayo 14001",,,,,"-6.774642999999999,-79.8359321",4.4,,"Cevichería en el distrito de Saña, Chiclayo , Lambayeque, Perú"
ChIJo2RfHl7tTJARb7hISCZ-iWE,https://www.google.com/maps/place/?q=place_id:ChIJo2RfHl7tTJARb7hISCZ-iWE,Cevichería Tito,Restaurante,"Garcilaso de la Vega 549, Lambayeque 14013",958 931 750,+51 958 931 750,facebook.com,https://www.facebook.com/TitoRestauranteOficial,"-6.7013962,-79.91263169999999",4.7,,"Cevichería en el distrito de Saña, Chiclayo , Lambayeque, Perú"
ChIJ_8RgYznvTJAR1K5jw89EELk,https://www.google.com/maps/place/?q=place_id:ChIJ_8RgYznvTJAR1K5jw89EELk,Restaurante Cevichería Limón & Sal,Restaurante peruano,"Unión 615, La Victoria 14007",963 450 182,+51 963 450 182,m.facebook.com,https://m.facebook.com/LimonySalChiclayo/,"-6.7929885,-79.836665",4.3,,"Cevichería en el distrito de Saña, Chiclayo , Lambayeque, Perú"
ChIJ3Z2lLqrvTJARVo1ZJFz1roc,https://www.google.com/maps/place/?q=place_id:ChIJ3Z2lLqrvTJARVo1ZJFz1roc,Sabor Y Sazón sea food RUC,Restaurante,"Federico Villarreal 342, Chiclayo 14009",968 787 665,+51 968 787 665,,,"-6.7736161,-79.84742279999999",4.5,,"Cevichería en el distrito de Saña, Chiclayo , Lambayeque, Perú"
