id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJxbBj6PyPB5ERoknRCEA-WV8,https://www.google.com/maps/place/?q=place_id:ChIJxbBj6PyPB5ERoknRCEA-WV8,Polleria D' Sole,Tienda de aves de corral,"Jr. Grau, Cajatambo 15195",929 330 949,+51 929 330 949,,,"-10.4732858,-76.9927331",,,"Pollería en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJx49mJgCPB5ERlGE9PGWTUUE,https://www.google.com/maps/place/?q=place_id:ChIJx49mJgCPB5ERlGE9PGWTUUE,Pollo Broaster,Restaurante,"G2G4+MWR, Cajatambo 15195",,,,,"-10.4732831,-76.992504",,,"Pollería en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJQR2z-hzJBZERX0r21rkKOuE,https://www.google.com/maps/place/?q=place_id:ChIJQR2z-hzJBZERX0r21rkKOuE,La Plaza Artesanal Miraflores,Restaurante italiano,"Ca. Gral. Borgoño 245, Miraflores 15074",998 356 900,+51 998 356 900,,,"-12.1174394,-77.03361579999999",5,,"Pizzería en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJu3fXpOfHBZERKq5IAijRvTA,https://www.google.com/maps/place/?q=place_id:ChIJu3fXpOfHBZERKq5IAijRvTA,Er Pizzettaro,Pizzería,"Paul Linder 132, San Borja 15036",933 770 289,+51 933 770 289,facebook.com,https://www.facebook.com/ErPizzettaroilVeroSaporediRoma/,"-12.1085313,-77.0011918",4.3,,"Pizzería en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJf9ZiVLvHBZER0jbAbG5Ld9Y,https://www.google.com/maps/place/?q=place_id:ChIJf9ZiVLvHBZER0jbAbG5Ld9Y,Pizzanova Peru,Pizzería,"ladoga 193 urbanización rinconada del lago La Molina Municipalidad Metropolitana de Lima LIMA, 12",915 399 088,+51 915 399 088,,,"-12.093314999999999,-76.9240135",4.8,,"Pizzería en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJfaQ-K-3JBZERZ6sTp8YmcHk,https://www.google.com/maps/place/?q=place_id:ChIJfaQ-K-3JBZERZ6sTp8YmcHk,Genoveva Pizza Porteña,Pizzería,"Edificio los olivos, Jesús María 15072",955 616 437,+51 955 616 437,,,"-12.086505299999999,-77.0514721",4.8,,"Pizzería en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJxR0cHnXPBZERnWfCeUXWz2M,https://www.google.com/maps/place/?q=place_id:ChIJxR0cHnXPBZERnWfCeUXWz2M,La Plaza Artesanal Los Olivos,Pizzería,"Av. Santiago Antunez de Mayolo 1437 A, Los Olivos 15301",998 356 900,+51 998 356 900,instagram.com,https://www.instagram.com/laplaza_artesanal?igsh=cmdkMm9tdWg1MDF3,"-11.9958683,-77.0812945",4.8,,"Pizzería en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJY66auu3HBZERJ7qpZR7IoPA,https://www.google.com/maps/place/?q=place_id:ChIJY66auu3HBZERJ7qpZR7IoPA,La Linterna,Pizzería,"Av. Caminos del Inca 1320, Santiago de Surco 15039",991 073 184,+51 991 073 184,pizzerialalinterna.com,https://www.pizzerialalinterna.com/,"-12.1235123,-76.9854237",4.4,,"Pizzería en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJIZdtsXzJBZERMrpCM7coGHc,https://www.google.com/maps/place/?q=place_id:ChIJIZdtsXzJBZERMrpCM7coGHc,Casa Tambo Restaurant,Restaurante peruano,"Jirón de la Unión 1066, Lima 15001",983 397 305,+51 983 397 305,casatambo.com.pe,https://casatambo.com.pe/%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20https://app.cloudpano.com/tours/g_-6VL89n,"-12.053035099999999,-77.036627",4.6,,"Pizzería en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJM27JuOS3BZERrfe3t6xNtRk,https://www.google.com/maps/place/?q=place_id:ChIJM27JuOS3BZERrfe3t6xNtRk,Valentina Pizza Artesanal,Pizzería,"Jr. Soldado Cabada 231, Barranco 15063",986 327 727,+51 986 327 727,instagram.com,https://www.instagram.com/valentinapizzaartesanal/,"-12.1362121,-77.0208128",4.9,,"Pizzería en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJEdEsJ6jHBZER0h8HQsMyoOM,https://www.google.com/maps/place/?q=place_id:ChIJEdEsJ6jHBZER0h8HQsMyoOM,Pizza al Volo,Pizza para llevar,"Av. Caminos del Inca 897, Santiago de Surco 15038",967 461 081,+51 967 461 081,,,"-12.119633499999999,-76.98834719999999",5,,"Pizzería en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJT8KYdhfIBZERJb3j5nkR6Gc,https://www.google.com/maps/place/?q=place_id:ChIJT8KYdhfIBZERJb3j5nkR6Gc,Morelia Pizza a la Parrilla,Restaurante,"C. Atahualpa 196, Miraflores 15074",987 940 033,+51 987 940 033,morelia.pe,http://morelia.pe/,"-12.1181448,-77.03020529999999",4.4,,"Pizzería en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJrei_AHLIBZERvo5LoUJW8Cc,https://www.google.com/maps/place/?q=place_id:ChIJrei_AHLIBZERvo5LoUJW8Cc,Papa John's Aramburú,Pizzería,"Av. Andrés Aramburú 855, San Isidro 15047",(01) 6060000,+51 1 6060000,papajohns.com.pe,https://papajohns.com.pe/?utm_source=yext-google-my-business&utm_medium=organic-search&utm_campaign=local-listing,"-12.1019849,-77.0217954",4.1,,"Pizzería en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJPbbGzUS5BZER7tFWc6Qz_EI,https://www.google.com/maps/place/?q=place_id:ChIJPbbGzUS5BZER7tFWc6Qz_EI,Pizzería La 88 (HH),Pizzería,"Jirón, Av Jose Rufino Echenique 323, San Juan de Miraflores 15803",,,,,"-12.1488924,-76.97610399999999",5,,"Pizzería en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJQbww3jnOBZERbxmrm2cfzPA,https://www.google.com/maps/place/?q=place_id:ChIJQbww3jnOBZERbxmrm2cfzPA,"Tradiciones ""Mi Choza Cajatambina""",Restaurante peruano,"Av. Marañon 420, Los Olivos 15304",972 518 580,+51 972 518 580,,,"-11.971255,-77.06818",4.1,,"Pizzería en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJIZdtsXzJBZERMrpCM7coGHc,https://www.google.com/maps/place/?q=place_id:ChIJIZdtsXzJBZERMrpCM7coGHc,Casa Tambo Restaurant,Restaurante peruano,"Jirón de la Unión 1066, Lima 15001",983 397 305,+51 983 397 305,casatambo.com.pe,https://casatambo.com.pe/%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20https://app.cloudpano.com/tours/g_-6VL89n,"-12.053035099999999,-77.036627",4.6,,"Comida oriental en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJB_gSUsfJBZERlBy4USkcnJo,https://www.google.com/maps/place/?q=place_id:ChIJB_gSUsfJBZERlBy4USkcnJo,Shimao,Restaurante de cocina panasiática,"Av. Almte. Miguel Grau 1198, Barranco 15063",,,shimao.pe,http://shimao.pe/,"-12.1398291,-77.02217259999999",4.8,,"Comida oriental en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJASJQaNHHBZERK4uq0K69k78,https://www.google.com/maps/place/?q=place_id:ChIJASJQaNHHBZERK4uq0K69k78,Mi Jato Restaurante Oriental,Restaurante chino,"Av. Aviación 2495, San Borja 15037",(01) 2961841,+51 1 2961841,,,"-12.0904891,-77.00298169999999",4.1,,"Comida oriental en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJe-0esryPB5ERb_htM1gXQrk,https://www.google.com/maps/place/?q=place_id:ChIJe-0esryPB5ERb_htM1gXQrk,Tambo del Inca | Hotel en Cajatambo,Hotel,"Jr. miguel grau n° 231, Cajatambo 15195",931 743 506,+51 931 743 506,tambodelinca.com,http://tambodelinca.com/,"-10.4734935,-76.99238629999999",4.5,,"Comida oriental en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJQbww3jnOBZERbxmrm2cfzPA,https://www.google.com/maps/place/?q=place_id:ChIJQbww3jnOBZERbxmrm2cfzPA,"Tradiciones ""Mi Choza Cajatambina""",Restaurante peruano,"Av. Marañon 420, Los Olivos 15304",972 518 580,+51 972 518 580,,,"-11.971255,-77.06818",4.1,,"Comida oriental en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJbU39pQbDBZER0FWprb4k-sE,https://www.google.com/maps/place/?q=place_id:ChIJbU39pQbDBZER0FWprb4k-sE,ITADAKI - Cocina Nikkei,Restaurante de sushi,"Ex, Urb. Los Jardines de Santa Clara, C. Huaychao, Ate LIMA 03",,,,,"-12.025820399999999,-76.8886679",4.3,,"Comida oriental en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJ7-l7lo4jB5ERyLv6Rpodal8,https://www.google.com/maps/place/?q=place_id:ChIJ7-l7lo4jB5ERyLv6Rpodal8,Restaurant Chifa España,Restaurante,"29J3+5FR, Villa Agraria 15160",,,,,"-10.969524,-77.6463535",3.9,,"Comida oriental en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJR8ba6_jIBZERoLId4zAS-xg,https://www.google.com/maps/place/?q=place_id:ChIJR8ba6_jIBZERoLId4zAS-xg,Cocina Natural,Restaurante vegetariano,"Jirón Luis Sánchez Cerro 2160, Jesús María 15072",977 640 867,+51 977 640 867,,,"-12.0845755,-77.0490564",4.6,,"Comida oriental en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJ4XSYwKPHBZERHqlu_A69tKY,https://www.google.com/maps/place/?q=place_id:ChIJ4XSYwKPHBZERHqlu_A69tKY,Osaka El Polo II,Restaurante,"El Polo 660, Santiago de Surco 15023",(01) 4377320,+51 1 4377320,osakanikkei.com,http://www.osakanikkei.com/,"-12.1023496,-76.97145499999999",4.6,,"Comida oriental en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJtz09lLPIBZERoNHecjHRUYk,https://www.google.com/maps/place/?q=place_id:ChIJtz09lLPIBZERoNHecjHRUYk,La Muralla Restaurante,Restaurante peruano,"Jirón Amazonas cdra 1, Lima 15001",919 611 867,+51 919 611 867,lamurallarestaurante.pe,https://lamurallarestaurante.pe/,"-12.0444345,-77.0265232",4.4,,"Comida oriental en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJLXp3wKk7B5ERmdhcV1930M4,https://www.google.com/maps/place/?q=place_id:ChIJLXp3wKk7B5ERmdhcV1930M4,Restaurante El Jardín Oriental - Caleta Vidal,Restaurante,Caleta Vidal 15161,999 669 716,+51 999 669 716,eljardinoriental.com,http://www.eljardinoriental.com/,"-10.8549898,-77.70085089999999",4.8,,"Comida oriental en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJxQ30s6ZtCJER2gBbcFtcr4c,https://www.google.com/maps/place/?q=place_id:ChIJxQ30s6ZtCJER2gBbcFtcr4c,Chifa La sazón de Don Jose,Restaurante chino,"6PXR+565, Colquijirca 19400",,,,,"-10.752281799999999,-76.259633",4.3,,"Comida oriental en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJb19mqIrHBZERXasWO8Zgqc4,https://www.google.com/maps/place/?q=place_id:ChIJb19mqIrHBZERXasWO8Zgqc4,Ozu - Asian Peruvian Cuisine,Restaurante,"Av. Alfredo Benavides 4862, Lima 15039",980 838 434,+51 980 838 434,ozu.mesa247.pe,https://ozu.mesa247.pe/,"-12.1282473,-76.9868153",4.5,,"Comida oriental en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJ_w9HEP7HBZERpiEv-3CpnX8,https://www.google.com/maps/place/?q=place_id:ChIJ_w9HEP7HBZERpiEv-3CpnX8,Tomo Cocina Nikkei,Restaurante,"Francisco de Paula Camino 260, Lima 15038",913 332 164,+51 913 332 164,tomococinanikkei.meitre.com,https://tomococinanikkei.meitre.com/?fbclid=PAAaa4ogakxsIsKxSl8VwKLt8EXzJ7pS--FEUGC2BfIad-ocfMWaeOhb273Z4,"-12.1206166,-77.03238499999999",4.5,,"Comida oriental en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJLUikm2vhB5ERHvaagiyqm2A,https://www.google.com/maps/place/?q=place_id:ChIJLUikm2vhB5ERHvaagiyqm2A,Chifa Oriental,Restaurante de cocina mandarina,"9F35+8G, Amadochacra 19600",947 829 613,+51 947 829 613,,,"-10.6466809,-76.5412072",5,,"Comida oriental en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJ34oWp-sTCJERZPp0B94cxAI,https://www.google.com/maps/place/?q=place_id:ChIJ34oWp-sTCJERZPp0B94cxAI,Restaurant Oriental Chifast - Centro Comercial,Restaurante,Parque El Comercio Edificio 2 Tienda 4,964 175 885,+51 964 175 885,,,"-10.666952199999999,-76.2529342",3.5,,"Comida oriental en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJd8WmweTIBZEReuWMKxunRLg,https://www.google.com/maps/place/?q=place_id:ChIJd8WmweTIBZEReuWMKxunRLg,Don Bosco Restaurante Comida Peruana Criolla,Restaurante peruano,"Av. Cuba 1265, Jesús María 15072",(01) 6572431,+51 1 6572431,facebook.com,https://www.facebook.com/DonBoscoRestaurante,"-12.075282099999999,-77.04737089999999",4.2,,"Comida oriental en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJrVpYEPK3BZERkgmRrLHWZTc,https://www.google.com/maps/place/?q=place_id:ChIJrVpYEPK3BZERkgmRrLHWZTc,Gran Chifa Chung Yion,Restaurante cantonés,"Jiron Unión 126, Barranco 15063",(01) 4770550,+51 1 4770550,chifachungyionunionbarranco.com,https://chifachungyionunionbarranco.com/,"-12.1473055,-77.0209857",4.3,,"Comida oriental en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJUYgsUBPIBZER261mNHLlgjE,https://www.google.com/maps/place/?q=place_id:ChIJUYgsUBPIBZER261mNHLlgjE,Chifa Hou Wha,Restaurante chino,"Carlos Tenaud 490, Miraflores 15046",(01) 4400442,+51 1 4400442,chifahouwha.com.pe,https://chifahouwha.com.pe/,"-12.1082492,-77.02696619999999",4.5,,"Comida oriental en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJCRzsWEeLBpERgLYjmCRpz6g,https://www.google.com/maps/place/?q=place_id:ChIJCRzsWEeLBpERgLYjmCRpz6g,Comida oriental,Restaurante,"Calle los ángeles de, Av. los Naturales Mz A, Huaral",,,dmateo.online,https://www.dmateo.online/,"-11.488033699999999,-77.2026929",,,"Comida oriental en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJIZdtsXzJBZERMrpCM7coGHc,https://www.google.com/maps/place/?q=place_id:ChIJIZdtsXzJBZERMrpCM7coGHc,Casa Tambo Restaurant,Restaurante peruano,"Jirón de la Unión 1066, Lima 15001",983 397 305,+51 983 397 305,casatambo.com.pe,https://casatambo.com.pe/%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20https://app.cloudpano.com/tours/g_-6VL89n,"-12.053035099999999,-77.036627",4.6,,"Comida peruana en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJe-0esryPB5ERb_htM1gXQrk,https://www.google.com/maps/place/?q=place_id:ChIJe-0esryPB5ERb_htM1gXQrk,Tambo del Inca | Hotel en Cajatambo,Hotel,"Jr. miguel grau n° 231, Cajatambo 15195",931 743 506,+51 931 743 506,tambodelinca.com,http://tambodelinca.com/,"-10.4734935,-76.99238629999999",4.5,,"Comida peruana en el distrito de Cajatambo, Cajatambo , Lima, Perú"
ChIJQbww3jnOBZERbxmrm2cfzPA,https://www.google.com/maps/place/?q=place_id:ChIJQbww3jnOBZERbxmrm2cfzPA,"Tradiciones ""Mi Choza Cajatambina""",Restaurante peruano,"Av. Marañon 420, Los Olivos 15304",972 518 580,+51 972 518 580,,,"-11.971255,-77.06818",4.1,,"Comida peruana en el distrito de Cajatambo, Cajatambo , Lima, Perú"
