id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJYQCy_hLOBZERi_z0wMkm-Ls,https://www.google.com/maps/place/?q=place_id:ChIJYQCy_hLOBZERi_z0wMkm-Ls,Villa Granja,Restaurante especializado en pollo,"Mz A, Av. Canta Callao 165, San Martín de Porres 15112",(01) 7667133,+51 1 7667133,,,"-11.9738654,-77.0887285",4.2,,"Pollería en el distrito de Canta, Canta , Lima, Perú"
ChIJEfOHYHbOBZERxpSRQe5eqTU,https://www.google.com/maps/place/?q=place_id:ChIJEfOHYHbOBZERxpSRQe5eqTU,Soto's Grill & Chicken,Restaurante,"Av. Canta Callao de, San Martín de Porres 15109",(01) 5752708,+51 1 5752708,,,"-11.9837207,-77.099907",4,,"Pollería en el distrito de Canta, Canta , Lima, Perú"
ChIJl1d_sO7BBZER3JirkrQ5Lxw,https://www.google.com/maps/place/?q=place_id:ChIJl1d_sO7BBZER3JirkrQ5Lxw,Polleria Canta'H,Pollería,"1, Ate",962 716 690,+51 962 716 690,,,"-12.0351921,-76.9047404",,,"Pollería en el distrito de Canta, Canta , Lima, Perú"
ChIJzdFTParHBZERc2KeittG0fc,https://www.google.com/maps/place/?q=place_id:ChIJzdFTParHBZERc2KeittG0fc,Santoku Sushi-bar makis,Restaurante de sushi,"Av Cánada 3719 San Luis Gobierno Regional de Lima LIMA, 18",952 328 556,+51 952 328 556,santokusushi.com.pe,http://www.santokusushi.com.pe/,"-12.079882699999999,-76.99232889999999",,,"Makis en el distrito de Canta, Canta , Lima, Perú"
ChIJ7VwmYeXHBZERbmUscP_N-o0,https://www.google.com/maps/place/?q=place_id:ChIJ7VwmYeXHBZERbmUscP_N-o0,Sushi en Bici,Restaurante asiático,"Ca. la Granada 147-A, Lima 15004",922 117 550,+51 922 117 550,instagram.com,http://www.instagram.com/Sushienbicicleta,"-12.0559251,-77.0046035",,,"Makis en el distrito de Canta, Canta , Lima, Perú"
ChIJgxgpuaTNBZERUH9WwpK4xdw,https://www.google.com/maps/place/?q=place_id:ChIJgxgpuaTNBZERUH9WwpK4xdw,KyotoRolls 🥢- Makis - Sushi & Alitas 🍗,Restaurante japonés,"Av Bertello Mz H Lote 2, San Martín de Porres 15103",993 460 649,+51 993 460 649,kyotorolls.com,http://www.kyotorolls.com/,"-11.9958294,-77.113534",3.9,,"Makis en el distrito de Canta, Canta , Lima, Perú"
ChIJ_YSObvoZBpERHEu_npdDYNs,https://www.google.com/maps/place/?q=place_id:ChIJ_YSObvoZBpERHEu_npdDYNs,Don Fernando Chifa Restaurant,Restaurante,"esquina con, Av Nueva s/n, Canta 15360",,,facebook.com,https://web.facebook.com/donfernandoencanta.restaurante/,"-11.468755199999999,-76.6227055",,,"Comida oriental en el distrito de Canta, Canta , Lima, Perú"
ChIJRfJ_SRPJBZEReCy925C09XA,https://www.google.com/maps/place/?q=place_id:ChIJRfJ_SRPJBZEReCy925C09XA,Yuuki Kawaii Asian food,Restaurante asiático,"Av. Dos de Mayo 585, San Isidro 15073",905 463 539,+51 905 463 539,whatsapp.com,https://whatsapp.com/channel/0029VaFgogRKGGGIp7tTvo3v,"-12.091356399999999,-77.037768",4.6,,"Comida oriental en el distrito de Canta, Canta , Lima, Perú"
ChIJSc7Do9vHBZERs1YSbFxm8UA,https://www.google.com/maps/place/?q=place_id:ChIJSc7Do9vHBZERs1YSbFxm8UA,Naruto Japanese Food,Restaurante japonés,"Av. Aviación 2982, San Borja 15036",934 873 650,+51 934 873 650,naruto.pe,http://www.naruto.pe/,"-12.099271199999999,-77.00219589999999",4.5,,"Comida oriental en el distrito de Canta, Canta , Lima, Perú"
ChIJG4vOX4UZBpERbKGMxbTAoRo,https://www.google.com/maps/place/?q=place_id:ChIJG4vOX4UZBpERbKGMxbTAoRo,Inkanta Resto - Bar,Restaurante,"Jr. Tarapacá 700-702, Canta 15360",923 240 906,+51 923 240 906,instagram.com,https://www.instagram.com/inkanta.pe/,"-11.4668394,-76.6224594",,,"Comida oriental en el distrito de Canta, Canta , Lima, Perú"
