id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJkeRRo3j7D5ERzrvzRMEsuE4,https://www.google.com/maps/place/?q=place_id:ChIJkeRRo3j7D5ERzrvzRMEsuE4,Polleria Valentina,Restaurante,"Augusto B. Leguía 131, Nuevo Imperial 15723",,,,,"-13.0760144,-76.31665439999999",3.7,,"Pollería en el distrito de Nuevo Imperial, Cañete , Lima, Perú"
ChIJrctgcI37D5ERxT_Zpvm0QCM,https://www.google.com/maps/place/?q=place_id:ChIJrctgcI37D5ERxT_Zpvm0QCM,"Restaurante Polleria ""Manitos""",Restaurante,"Av, Augusto B. Leguía #139, Nuevo Imperial",946 037 227,+51 946 037 227,,,"-13.0759112,-76.3168563",4.1,,"Pollería en el distrito de Nuevo Imperial, Cañete , Lima, Perú"
ChIJacu86mr7D5ER_5taEJoI6Hg,https://www.google.com/maps/place/?q=place_id:ChIJacu86mr7D5ER_5taEJoI6Hg,CAMPITOS CHICKEN,Restaurante,"051, Nuevo Imperial 15723",914 204 358,+51 914 204 358,,,"-13.0754703,-76.3179328",3.5,,"Pollería en el distrito de Nuevo Imperial, Cañete , Lima, Perú"
ChIJoajKG9n7D5ER1TgopgZJzFU,https://www.google.com/maps/place/?q=place_id:ChIJoajKG9n7D5ER1TgopgZJzFU,"RESTAURANTE-POLLERIA ""LA SAZÓN DE ROSITA""-NUEVO IMPERIAL",Restaurante,"Fundo Santa Adela, Imperial 15701",,,facebook.com,https://www.facebook.com/La-Saz%C3%B3n-De-Rosita-111215041050623/,"-13.0705832,-76.3331632",4.2,,"Pollería en el distrito de Nuevo Imperial, Cañete , Lima, Perú"
ChIJ8RH-JF_7D5ERP6ljJnAH1oI,https://www.google.com/maps/place/?q=place_id:ChIJ8RH-JF_7D5ERP6ljJnAH1oI,"Polleria - Restaurant ""El pollo picoton""",Restaurante,"Jr. Víctor salas melendez, Nuevo Imperial 15723",951 356 258,+51 951 356 258,,,"-13.076834,-76.3174351",,,"Pollería en el distrito de Nuevo Imperial, Cañete , Lima, Perú"
ChIJW7lFs8L7D5ERfzNpqeUqR5o,https://www.google.com/maps/place/?q=place_id:ChIJW7lFs8L7D5ERfzNpqeUqR5o,Pollería Valentina,Restaurante,"Av. 28 de julio 409, Imperial 15701",965 475 986,+51 965 475 986,,,"-13.061009199999999,-76.35209689999999",3.8,,"Pollería en el distrito de Nuevo Imperial, Cañete , Lima, Perú"
ChIJH5t5iLr7D5ERW4PGSUBRua0,https://www.google.com/maps/place/?q=place_id:ChIJH5t5iLr7D5ERW4PGSUBRua0,D' PEPITO CHICKEN - BRASAS Y PARRILLAS,Restaurante especializado en pollo,"Lima 130, Nuevo Imperial 15723",900 543 794,+51 900 543 794,,,"-13.076370599999999,-76.3170367",,,"Pollería en el distrito de Nuevo Imperial, Cañete , Lima, Perú"
ChIJaVhsusL7D5ERRChQcdA1iIk,https://www.google.com/maps/place/?q=place_id:ChIJaVhsusL7D5ERRChQcdA1iIk,Polleria Las Delicias N1,Restaurante,"Av Ramos 503, Imperial 15701",955 939 572,+51 955 939 572,,,"-13.060829,-76.3512123",4.1,,"Pollería en el distrito de Nuevo Imperial, Cañete , Lima, Perú"
ChIJH4a1tML7D5ERVLojyggblSU,https://www.google.com/maps/place/?q=place_id:ChIJH4a1tML7D5ERVLojyggblSU,Restaurante & Pollería Arizona,Restaurante,"Jirón El Carmen 402, Imperial 15701",948 440 884,+51 948 440 884,,,"-13.0609436,-76.3521373",4,,"Pollería en el distrito de Nuevo Imperial, Cañete , Lima, Perú"
ChIJc-fQSwD7D5ERrVUuycV-HRI,https://www.google.com/maps/place/?q=place_id:ChIJc-fQSwD7D5ERrVUuycV-HRI,Pollería la cabaña,Restaurante especializado en pollo,"Av Ramos 549, Imperial 15701",,,,,"-13.060506,-76.351058",4.7,,"Pollería en el distrito de Nuevo Imperial, Cañete , Lima, Perú"
ChIJxxqn3r37D5ERGLbw7WjIIS8,https://www.google.com/maps/place/?q=place_id:ChIJxxqn3r37D5ERGLbw7WjIIS8,Mi Granja - Alimentos balanceados,Supermercado,"24, 416, Nuevo Imperial 15723",,,,,"-13.076804099999999,-76.315113",4.5,,"Pollería en el distrito de Nuevo Imperial, Cañete , Lima, Perú"
ChIJVeAi0o_7D5ERd8HtIYkpN-A,https://www.google.com/maps/place/?q=place_id:ChIJVeAi0o_7D5ERd8HtIYkpN-A,Restaurant Campestre Campitos,Restaurante,"WMH9+2CC, Imperial 15701",945 690 398,+51 945 690 398,,,"-13.0724361,-76.33148609999999",4.1,,"Pollería en el distrito de Nuevo Imperial, Cañete , Lima, Perú"
ChIJfZPIKQD7D5ERWkD2cvnWbD8,https://www.google.com/maps/place/?q=place_id:ChIJfZPIKQD7D5ERWkD2cvnWbD8,"CHIFA-POLLERIA ""El Sabroso""",Restaurante,"Jiron Antenor Rizo Patron 364, Nuevo Imperial 15723",,,,,"-13.075442899999999,-76.3168185",,,"Pollería en el distrito de Nuevo Imperial, Cañete , Lima, Perú"
ChIJP4s5UzD7D5ERUGAp-RBqkYE,https://www.google.com/maps/place/?q=place_id:ChIJP4s5UzD7D5ERUGAp-RBqkYE,Las Palmeras Restaurante & Eventos,Restaurante peruano,"Jirón Bellavista 266, Nuevo Imperial 15723",950 378 085,+51 950 378 085,,,"-13.0775209,-76.3197658",4.2,,"Pollería en el distrito de Nuevo Imperial, Cañete , Lima, Perú"
ChIJjRhH_JH7D5ERsINx0NBTMKM,https://www.google.com/maps/place/?q=place_id:ChIJjRhH_JH7D5ERsINx0NBTMKM,Restaurant Sabor de Santa Adela,Restaurante,"WMH8+47X, Nuevo Imperial 15701",976 508 629,+51 976 508 629,,,"-13.072143599999999,-76.3342687",4,,"Pollería en el distrito de Nuevo Imperial, Cañete , Lima, Perú"
ChIJD2JGrML7D5ERm6mZfbxAr7Y,https://www.google.com/maps/place/?q=place_id:ChIJD2JGrML7D5ERm6mZfbxAr7Y,Pollería Continental,Restaurante,"Av Ramos 377, Imperial 15701",,,,,"-13.0615949,-76.351936",4.2,,"Pollería en el distrito de Nuevo Imperial, Cañete , Lima, Perú"
ChIJo46V8nj7D5ERHkIh0xBsTpY,https://www.google.com/maps/place/?q=place_id:ChIJo46V8nj7D5ERHkIh0xBsTpY,"Restaurante ""El Recreo""",Restaurante,"Carr. Cañete Yauyos 148A, Nuevo Imperial 15723",,,,,"-13.0748575,-76.3158742",4.1,,"Pollería en el distrito de Nuevo Imperial, Cañete , Lima, Perú"
ChIJpTDsqm37D5ERXxCnRWr0j1g,https://www.google.com/maps/place/?q=place_id:ChIJpTDsqm37D5ERXxCnRWr0j1g,MARKY'S IMPERIAL,Restaurante,"Av Ramos 231, Imperial 15701",(01) 4784829,+51 1 4784829,,,"-13.062168699999999,-76.3523687",3.9,,"Pollería en el distrito de Nuevo Imperial, Cañete , Lima, Perú"
ChIJQ8p70_T5D5ERt3rpWaRb2rQ,https://www.google.com/maps/place/?q=place_id:ChIJQ8p70_T5D5ERt3rpWaRb2rQ,Pollería y parrillas Corralito,Restaurante,"Av. Mariscal Benavides 1362, San Vicente de Cañete 15701",971 002 395,+51 971 002 395,,,"-13.0744736,-76.3710333",4,,"Pollería en el distrito de Nuevo Imperial, Cañete , Lima, Perú"
