id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ2YZSfiX5D5ERxH9LWxXmomE,https://www.google.com/maps/place/?q=place_id:ChIJ2YZSfiX5D5ERxH9LWxXmomE,Rest. Mar Y Tierra,Restaurante,"Antigua Panamericana Sur 2, San Luis de Cañete 15700",996 614 175,+51 996 614 175,,,"-13.0758291,-76.4011707",3.9,,"Cevichería en el distrito de San Luis, Cañete , Lima, Perú"
ChIJE-clkDPGBZERjI3LZZyfGHA,https://www.google.com/maps/place/?q=place_id:ChIJE-clkDPGBZERjI3LZZyfGHA,EL MUELLECITO,Restaurante peruano,"Avenida Agustín de la Rosa Toro 960, San Luis 15021",(01) 3464176,+51 1 3464176,facebook.com,https://www.facebook.com/elmuellecito/,"-12.0802221,-76.99395439999999",4.1,,"Cevichería en el distrito de San Luis, Cañete , Lima, Perú"
ChIJ8zfamzrGBZERzSaxsANYymo,https://www.google.com/maps/place/?q=place_id:ChIJ8zfamzrGBZERzSaxsANYymo,La Esquina Del Pescador,Restaurante,"Manuel Beingolea 215 con, Felipe Bargna 999, Lima 15021",(01) 7763038,+51 1 7763038,,,"-12.0720408,-76.9969323",4.3,,"Cevichería en el distrito de San Luis, Cañete , Lima, Perú"
ChIJT-vDxPX5D5ERGlNPYmqBgWY,https://www.google.com/maps/place/?q=place_id:ChIJT-vDxPX5D5ERGlNPYmqBgWY,Se salió el mar,Restaurante,"Av. 28 de Julio 317, San Vicente de Cañete 15701",990 264 465,+51 990 264 465,,,"-13.0827032,-76.38585599999999",4.2,,"Cevichería en el distrito de San Luis, Cañete , Lima, Perú"
ChIJq00bj0rGBZER_aCihoHIp9I,https://www.google.com/maps/place/?q=place_id:ChIJq00bj0rGBZER_aCihoHIp9I,Sabor Marino,Marisquería,"Av. Circunvalación 2594, San Luis 15021",995 250 557,+51 995 250 557,,,"-12.0786477,-76.98882019999999",4.2,,"Cevichería en el distrito de San Luis, Cañete , Lima, Perú"
ChIJ2TBerun7D5ERKqbkCTYv-qk,https://www.google.com/maps/place/?q=place_id:ChIJ2TBerun7D5ERKqbkCTYv-qk,"Cevichería ""El Chato""",Marisquería,"Av. Circunvalación, Imperial 15701",(01) 2511934,+51 1 2511934,,,"-13.064131999999999,-76.3488273",3.8,,"Cevichería en el distrito de San Luis, Cañete , Lima, Perú"
ChIJMTE_ymD5D5ERhRYqVc-J690,https://www.google.com/maps/place/?q=place_id:ChIJMTE_ymD5D5ERhRYqVc-J690,Cevicheria EL CORAL - San Vicente - CAÑETE,Restaurante,"Sta. Rosa 630, San Vicente de Cañete 15701",(01) 2988992,+51 1 2988992,,,"-13.075783699999999,-76.3859622",3.8,,"Cevichería en el distrito de San Luis, Cañete , Lima, Perú"
ChIJdbuP7TPGBZERUyGKPj3ds5Q,https://www.google.com/maps/place/?q=place_id:ChIJdbuP7TPGBZERUyGKPj3ds5Q,El Cevichito,Restaurante,"Avenida Agustín de la Rosa Toro 883, San Borja 15021",990 997 527,+51 990 997 527,facebook.com,https://www.facebook.com/pg/elcevichitosanluis,"-12.079337599999999,-76.99382829999999",4.1,,"Cevichería en el distrito de San Luis, Cañete , Lima, Perú"
ChIJHThXzs3HBZER3vr8aUGAa80,https://www.google.com/maps/place/?q=place_id:ChIJHThXzs3HBZER3vr8aUGAa80,Las Barras de Ronald Cevichería,Restaurante peruano,"Av. San Luis 1962, San Borja 15037",973 013 041,+51 973 013 041,lasbarrasderonald.com,https://www.lasbarrasderonald.com/,"-12.088706499999999,-76.996619",3.9,,"Cevichería en el distrito de San Luis, Cañete , Lima, Perú"
ChIJH-oi1kn5D5ERHUgVOFv2fQI,https://www.google.com/maps/place/?q=place_id:ChIJH-oi1kn5D5ERHUgVOFv2fQI,Piris Restaurant Cevichería,Restaurante,"WJC6+PX7, San Vicente de Cañete 15701",(01) 5844065,+51 1 5844065,,,"-13.0782137,-76.38758159999999",3.7,,"Cevichería en el distrito de San Luis, Cañete , Lima, Perú"
ChIJQchx2bZXBZER7l7m5FcWvQ4,https://www.google.com/maps/place/?q=place_id:ChIJQchx2bZXBZER7l7m5FcWvQ4,Puerto azul,Restaurante,"José Olaya 939, Cerro Azul 15717",979 770 686,+51 979 770 686,,,"-13.026084899999999,-76.4809112",4.1,,"Cevichería en el distrito de San Luis, Cañete , Lima, Perú"
ChIJZ92kkjf5D5ER_0d5g7-QSoI,https://www.google.com/maps/place/?q=place_id:ChIJZ92kkjf5D5ER_0d5g7-QSoI,Restaurant Cevicheria Magdalena El Sabor Del Negro,Restaurante,"Bolognesi, San Vicente de Cañete 15701",955 039 286,+51 955 039 286,,,"-13.076067199999999,-76.3884648",3.8,,"Cevichería en el distrito de San Luis, Cañete , Lima, Perú"
ChIJvw0Dbp0dEJERSW_9jbuIILA,https://www.google.com/maps/place/?q=place_id:ChIJvw0Dbp0dEJERSW_9jbuIILA,Cevicheria piris,Restaurante,"RQ52+8R8, San Vicente de Cañete 15700",,,,,"-13.1917039,-76.247912",5,,"Cevichería en el distrito de San Luis, Cañete , Lima, Perú"
ChIJR395_GX5D5ER6PiJKr2SoIc,https://www.google.com/maps/place/?q=place_id:ChIJR395_GX5D5ER6PiJKr2SoIc,Cevicheria Rico Rico,Restaurante,"C. San Martín 832, San Luis de Cañete 15719",,,,,"-13.051698499999999,-76.4304587",,,"Cevichería en el distrito de San Luis, Cañete , Lima, Perú"
ChIJP-Xzezf5D5ERqbTJSA-Mago,https://www.google.com/maps/place/?q=place_id:ChIJP-Xzezf5D5ERqbTJSA-Mago,"Restaurant Turistico ""El piqueo marino""",Restaurante,"WJF5+MWV, San Vicente de Cañete 15701",902 476 469,+51 902 476 469,,,"-13.075763799999999,-76.3902052",4.4,,"Cevichería en el distrito de San Luis, Cañete , Lima, Perú"
ChIJ46f3Akr5D5ERZ_8hMdpU7LY,https://www.google.com/maps/place/?q=place_id:ChIJ46f3Akr5D5ERZ_8hMdpU7LY,Restaurante Cevicheria El Marinero-Delicias Del Mar,Restaurante,"Av. 28 de Julio 183, San Vicente de Cañete 15701",5812432,+51 5812432,,,"-13.0809296,-76.3862233",2,,"Cevichería en el distrito de San Luis, Cañete , Lima, Perú"
ChIJycWyV6n5D5ERKX3ypf9Y19E,https://www.google.com/maps/place/?q=place_id:ChIJycWyV6n5D5ERKX3ypf9Y19E,PUERTO CAÑETE,Restaurante,"Av. Mariscal Benavides 290, San Vicente de Cañete 15701",946 846 781,+51 946 846 781,,,"-13.0763012,-76.3822473",4,,"Cevichería en el distrito de San Luis, Cañete , Lima, Perú"
ChIJw0x6NDb5D5ERPDK1rxoAp2o,https://www.google.com/maps/place/?q=place_id:ChIJw0x6NDb5D5ERPDK1rxoAp2o,Sanchez Comida de Mar,Restaurante,"Miguel Grau 553, San Vicente de Cañete 15701",,,,,"-13.078301699999999,-76.3880258",4.3,,"Cevichería en el distrito de San Luis, Cañete , Lima, Perú"
