id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJyZuZFRtjBpERLeRqzNIwf-g,https://www.google.com/maps/place/?q=place_id:ChIJyZuZFRtjBpERLeRqzNIwf-g,DEL GALPON,Tienda de aves de corral,"aucallama 15126 san luis Cerca de Aucallama 15126, Huaral 05111",981 598 410,+51 981 598 410,,,"-11.5595407,-77.1732315",4,,"Pollería en el distrito de Aucallama, Huaral , Lima, Perú"
ChIJd6ZxpudjBpERX0VfxcNBFm4,https://www.google.com/maps/place/?q=place_id:ChIJd6ZxpudjBpERX0VfxcNBFm4,Chifa pollos ala brasa el mostro,Tienda de mobiliario para bares y restaurantes,"01, Aucallama",962 972 069,+51 962 972 069,,,"-11.561679,-77.1747343",3.5,,"Pollería en el distrito de Aucallama, Huaral , Lima, Perú"
ChIJ1_FKdwBjBpERwAsw075YEuE,https://www.google.com/maps/place/?q=place_id:ChIJ1_FKdwBjBpERwAsw075YEuE,El Brasero🔥Pollos y Parrillas,Restaurante,Aucallama 15125,970 578 830,+51 970 578 830,,,"-11.5727964,-77.170295",5,,"Pollería en el distrito de Aucallama, Huaral , Lima, Perú"
ChIJAwUrVqljBpERk1eejHxcRVk,https://www.google.com/maps/place/?q=place_id:ChIJAwUrVqljBpERk1eejHxcRVk,CHIFA POLLERIA CHELELE,Restaurante especializado en pollo,Aucallama 15126,,,,,"-11.5624243,-77.1711152",4.5,,"Pollería en el distrito de Aucallama, Huaral , Lima, Perú"
ChIJNch7vh5jBpERlDH6-Bh7yNo,https://www.google.com/maps/place/?q=place_id:ChIJNch7vh5jBpERlDH6-Bh7yNo,chifafulai,Tienda de aves de corral,"cruce de boza s/n, Aucallama 15201",921 777 307,+51 921 777 307,,,"-11.564464599999999,-77.1743983",,,"Pollería en el distrito de Aucallama, Huaral , Lima, Perú"
ChIJkX0RaQBjBpERk2nRCg0yfAU,https://www.google.com/maps/place/?q=place_id:ChIJkX0RaQBjBpERk2nRCg0yfAU,"""CHIQUIAN"" chicken brassa",Restaurante especializado en pollo,"CRQH+9F3, Aucallama 15126",,,,,"-11.5616174,-77.1713419",3.8,,"Pollería en el distrito de Aucallama, Huaral , Lima, Perú"
ChIJl4Mf1BOKBpER817WMZ_eJi4,https://www.google.com/maps/place/?q=place_id:ChIJl4Mf1BOKBpER817WMZ_eJi4,"Pollos a la brasa ""Señor Cautivo""",Restaurante,"Blvd. El Solar 112, Huaral 15201",912 994 546,+51 912 994 546,,,"-11.4961182,-77.20913159999999",4.1,,"Pollería en el distrito de Aucallama, Huaral , Lima, Perú"
ChIJO5I1T2-LBpERbVT2t_wguCQ,https://www.google.com/maps/place/?q=place_id:ChIJO5I1T2-LBpERbVT2t_wguCQ,"Pollos a la brasa ""Don Megia"" de Av. 2 de Mayo",Restaurante,"Av, 2 De Mayo N° 399, Huaral 15201",(01) 3395378,+51 1 3395378,facebook.com,https://www.facebook.com/Donmegia/,"-11.4970429,-77.2086834",4,,"Pollería en el distrito de Aucallama, Huaral , Lima, Perú"
ChIJTeF6VgDHBZERsx5faR-JPEI,https://www.google.com/maps/place/?q=place_id:ChIJTeF6VgDHBZERsx5faR-JPEI,Pollos RED CHICKEN L&G,Restaurante de comida rápida,"de américas fase 5, Av. La Cumbre, El Agustino 15004",,,,,"-12.058132599999999,-77.0002647",,,"Pollería en el distrito de Aucallama, Huaral , Lima, Perú"
ChIJo-vR8g2KBpER6uTMVY0lgCc,https://www.google.com/maps/place/?q=place_id:ChIJo-vR8g2KBpER6uTMVY0lgCc,Polleria Tochi,Restaurante especializado en pollo,"Calle Derecha 585, Huaral 15201",(01) 6992831,+51 1 6992831,,,"-11.4948462,-77.20543889999999",4.2,,"Pollería en el distrito de Aucallama, Huaral , Lima, Perú"
ChIJKdgRCp6LBpERB8GBWeJFV-4,https://www.google.com/maps/place/?q=place_id:ChIJKdgRCp6LBpERB8GBWeJFV-4,Pollería La Fogata,Pollería,"Calle Derecha 727, Huaral 15201",,,,,"-11.4942411,-77.2044715",3.8,,"Pollería en el distrito de Aucallama, Huaral , Lima, Perú"
ChIJkTVZqBeKBpERs-1kmAI2tKI,https://www.google.com/maps/place/?q=place_id:ChIJkTVZqBeKBpERs-1kmAI2tKI,Pollería Tochi 2,Restaurante,"Auxilio mutuos, Las Americas mz g lote 3 urb, Huaral 15202",(01) 7963038,+51 1 7963038,,,"-11.5000556,-77.21482069999999",4,,"Pollería en el distrito de Aucallama, Huaral , Lima, Perú"
ChIJORRdGhKKBpERZMWDspbKkV8,https://www.google.com/maps/place/?q=place_id:ChIJORRdGhKKBpERZMWDspbKkV8,Pollería Toshimey,Restaurante,"Calle Derecha 354, Huaral 15201",901 874 844,+51 901 874 844,,,"-11.495685,-77.206937",4.2,,"Pollería en el distrito de Aucallama, Huaral , Lima, Perú"
ChIJdQgtGB6LBpERtSTxnkmVOb0,https://www.google.com/maps/place/?q=place_id:ChIJdQgtGB6LBpERtSTxnkmVOb0,kankay pollos a la brasa,Restaurante especializado en pollo,"calle, Benjamin Vizquerra 176, Huaral 10501",934 111 871,+51 934 111 871,,,"-11.4964009,-77.2083734",5,,"Pollería en el distrito de Aucallama, Huaral , Lima, Perú"
ChIJP905HhGLBpERKOpHH26fK8o,https://www.google.com/maps/place/?q=place_id:ChIJP905HhGLBpERKOpHH26fK8o,Polleria Don Nieto,Restaurante,"C. Luis Colan 134, Huaral 15201",,,,,"-11.494587,-77.2080944",4.8,,"Pollería en el distrito de Aucallama, Huaral , Lima, Perú"
ChIJq_msCRzGBZERwapQXt4A6R4,https://www.google.com/maps/place/?q=place_id:ChIJq_msCRzGBZERwapQXt4A6R4,Polleria EL GORDO CARMELO,Restaurante,"Av. Riva Agüero 397, El Agustino 15003",(01) 4325812,+51 1 4325812,,,"-12.0554264,-77.0047898",4,,"Pollería en el distrito de Aucallama, Huaral , Lima, Perú"
ChIJH_RbxsrHBZERhHJEXootzFk,https://www.google.com/maps/place/?q=place_id:ChIJH_RbxsrHBZERhHJEXootzFk,Restaurante pollería Al Fondo hay Sitio,Restaurante especializado en pollo,"Av los Rosales 203, Ate 15019",990 726 826,+51 990 726 826,,,"-12.061996899999999,-76.99394939999999",4.5,,"Pollería en el distrito de Aucallama, Huaral , Lima, Perú"
ChIJC0PWx-6LBpERC1NMvHFObT8,https://www.google.com/maps/place/?q=place_id:ChIJC0PWx-6LBpERC1NMvHFObT8,Pollos y Parrillas Bekan's,Restaurante,"av, Los Geranios 15201, Huaral",988 220 312,+51 988 220 312,facebook.com,https://web.facebook.com/Bekanschicken,"-11.4872259,-77.2138868",5,,"Pollería en el distrito de Aucallama, Huaral , Lima, Perú"
ChIJTeX03pnHBZERhxawTE3Dtws,https://www.google.com/maps/place/?q=place_id:ChIJTeX03pnHBZERhxawTE3Dtws,El Cilindro de Don Ignacio,Servicio de catering,"San Martin 210, El Agustino 15003",952 145 382,+51 952 145 382,,,"-12.0559233,-77.0067475",4,,"Pollería en el distrito de Aucallama, Huaral , Lima, Perú"
ChIJ3TgRY-CLBpERqXGxey6soYI,https://www.google.com/maps/place/?q=place_id:ChIJ3TgRY-CLBpERqXGxey6soYI,RESTAURANTE Y POLLERYA LA CHACRA,Tienda de aves de corral,"GRAMADALES, Huaral 15201",920 525 136,+51 920 525 136,,,"-11.496520199999999,-77.211748",,,"Pollería en el distrito de Aucallama, Huaral , Lima, Perú"
