id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJKa4W3HXFBZERs73YnOMIoIU,https://www.google.com/maps/place/?q=place_id:ChIJKa4W3HXFBZERs73YnOMIoIU,"YOVIS Polladas, Parrillas y Buffet Criollo",Restaurante especializado en pollo,"Tacaymano 1819 Urb, San Juan de Lurigancho LIMA 36",983 552 000,+51 983 552 000,facebook.com,https://www.facebook.com/PolladasParrillas.Yovis,"-12.016515,-76.9842762",5,,"Pollería en el distrito de Pacaraos, Huaral , Lima, Perú"
ChIJj6q0slbOBZEReMCTGOYgDec,https://www.google.com/maps/place/?q=place_id:ChIJj6q0slbOBZEReMCTGOYgDec,Perú Chicken Grill,Restaurante especializado en pollo,"C. 1 Mz. A, Independencia 15311",(01) 5232748,+51 1 5232748,,,"-11.9919569,-77.06303539999999",4,,"Pollería en el distrito de Pacaraos, Huaral , Lima, Perú"
ChIJO5I1T2-LBpERbVT2t_wguCQ,https://www.google.com/maps/place/?q=place_id:ChIJO5I1T2-LBpERbVT2t_wguCQ,"Pollos a la brasa ""Don Megia"" de Av. 2 de Mayo",Restaurante,"Av, 2 De Mayo N° 399, Huaral 15201",(01) 3395378,+51 1 3395378,facebook.com,https://www.facebook.com/Donmegia/,"-11.4970429,-77.2086834",4,,"Pollería en el distrito de Pacaraos, Huaral , Lima, Perú"
ChIJZYTwiEHFBZERjunUwIP_qqs,https://www.google.com/maps/place/?q=place_id:ChIJZYTwiEHFBZERjunUwIP_qqs,BRASILIA Pollos y Parrillas,Restaurante especializado en pollo,"Av. Gran Chimú 901, San Juan de Lurigancho 15401",984 570 546,+51 984 570 546,linktr.ee,https://linktr.ee/brasiliapollosyparrillas,"-12.024830999999999,-76.99842699999999",4.3,,"Pollería en el distrito de Pacaraos, Huaral , Lima, Perú"
ChIJkTVZqBeKBpERs-1kmAI2tKI,https://www.google.com/maps/place/?q=place_id:ChIJkTVZqBeKBpERs-1kmAI2tKI,Pollería Tochi 2,Restaurante,"Auxilio mutuos, Las Americas mz g lote 3 urb, Huaral 15202",(01) 7963038,+51 1 7963038,,,"-11.5000556,-77.21482069999999",4,,"Pollería en el distrito de Pacaraos, Huaral , Lima, Perú"
ChIJo-vR8g2KBpER6uTMVY0lgCc,https://www.google.com/maps/place/?q=place_id:ChIJo-vR8g2KBpER6uTMVY0lgCc,Polleria Tochi,Restaurante especializado en pollo,"Calle Derecha 585, Huaral 15201",(01) 6992831,+51 1 6992831,,,"-11.4948462,-77.20543889999999",4.2,,"Pollería en el distrito de Pacaraos, Huaral , Lima, Perú"
ChIJl4Mf1BOKBpER817WMZ_eJi4,https://www.google.com/maps/place/?q=place_id:ChIJl4Mf1BOKBpER817WMZ_eJi4,"Pollos a la brasa ""Señor Cautivo""",Restaurante,"Blvd. El Solar 112, Huaral 15201",912 994 546,+51 912 994 546,,,"-11.4961182,-77.20913159999999",4.1,,"Pollería en el distrito de Pacaraos, Huaral , Lima, Perú"
ChIJeZJ8mDvFBZERfDU6s83xRBo,https://www.google.com/maps/place/?q=place_id:ChIJeZJ8mDvFBZERfDU6s83xRBo,POLLERIA EL PATRÓN,Restaurante,"PARADERO 3 DE HUASCAR MZ115A LOTE13 GRUPO2, San Juan de Lurigancho 15412",984 701 309,+51 984 701 309,facebook.com,https://www.facebook.com/share/16jrZDbza4/,"-11.965513999999999,-77.00956099999999",3.9,,"Pollería en el distrito de Pacaraos, Huaral , Lima, Perú"
ChIJORRdGhKKBpERZMWDspbKkV8,https://www.google.com/maps/place/?q=place_id:ChIJORRdGhKKBpERZMWDspbKkV8,Pollería Toshimey,Restaurante,"Calle Derecha 354, Huaral 15201",901 874 844,+51 901 874 844,,,"-11.495685,-77.206937",4.2,,"Pollería en el distrito de Pacaraos, Huaral , Lima, Perú"
ChIJKdgRCp6LBpERB8GBWeJFV-4,https://www.google.com/maps/place/?q=place_id:ChIJKdgRCp6LBpERB8GBWeJFV-4,Pollería La Fogata,Pollería,"Calle Derecha 727, Huaral 15201",,,,,"-11.4942411,-77.2044715",3.8,,"Pollería en el distrito de Pacaraos, Huaral , Lima, Perú"
