id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJk3b-e4_lBZERC6ucSnsrXKQ,https://www.google.com/maps/place/?q=place_id:ChIJk3b-e4_lBZERC6ucSnsrXKQ,Pollería La Casona de Kevin,Restaurante,"Jr, Salaverry 119 - Chosica, Lurigancho-Chosica 15468",958 451 162,+51 958 451 162,,,"-11.9326358,-76.6927388",4.2,,"Pollería en el distrito de Huanza, Huarochirí , Lima, Perú"
ChIJuRgm6dTvBZERgXG7DS9M9NY,https://www.google.com/maps/place/?q=place_id:ChIJuRgm6dTvBZERgXG7DS9M9NY,Polleria Las Terrazas en Chosica,Pollería,"Espalda del Colegio Maria Auxiliadora, Jr. Cuzco 414 Chosica, Lurigancho-Chosica 15468",963 435 234,+51 963 435 234,,,"-11.937154999999999,-76.6997167",3.7,,"Pollería en el distrito de Huanza, Huarochirí , Lima, Perú"
ChIJqXTiRoflBZEREys4n3AmgR0,https://www.google.com/maps/place/?q=place_id:ChIJqXTiRoflBZEREys4n3AmgR0,Pollería Bonanza,Restaurante,"Arequipa 366, Lurigancho-Chosica 15468",910 737 745,+51 910 737 745,instagram.com,https://www.instagram.com/bonanza_chosica/,"-11.9341148,-76.69454499999999",3.7,,"Pollería en el distrito de Huanza, Huarochirí , Lima, Perú"
ChIJuQmwr2LHBZERH5yzWdXjyTQ,https://www.google.com/maps/place/?q=place_id:ChIJuQmwr2LHBZERH5yzWdXjyTQ,Restaurante Pollería el Zapallo del Chef,Restaurante,"Av. José Carlos Mariátegui 2035, El Agustino 15003",935 217 592,+51 935 217 592,,,"-12.038309,-76.9976363",4.6,,"Pollería en el distrito de Huanza, Huarochirí , Lima, Perú"
ChIJH_RbxsrHBZERhHJEXootzFk,https://www.google.com/maps/place/?q=place_id:ChIJH_RbxsrHBZERhHJEXootzFk,Restaurante pollería Al Fondo hay Sitio,Restaurante especializado en pollo,"Av los Rosales 203, Ate 15019",990 726 826,+51 990 726 826,,,"-12.061996899999999,-76.99394939999999",4.5,,"Pollería en el distrito de Huanza, Huarochirí , Lima, Perú"
ChIJl2VdxqnHBZERs3XfPxiYF9E,https://www.google.com/maps/place/?q=place_id:ChIJl2VdxqnHBZERs3XfPxiYF9E,Pollería Lucho,Restaurante especializado en pollo,"Valdez 696, Lima 15019",923 034 587,+51 923 034 587,,,"-12.0648419,-77.00401939999999",5,,"Pollería en el distrito de Huanza, Huarochirí , Lima, Perú"
ChIJT79aQwDJBZERcIgg_wTRUMw,https://www.google.com/maps/place/?q=place_id:ChIJT79aQwDJBZERcIgg_wTRUMw,Polleria huanuqueño,Restaurante especializado en pollo,"Jr. Huánuco 1354, Lima 15018",,,,,"-12.0608106,-77.0159225",,,"Pollería en el distrito de Huanza, Huarochirí , Lima, Perú"
ChIJmQpHjX3HBZER0qbSSHSd_Q8,https://www.google.com/maps/place/?q=place_id:ChIJmQpHjX3HBZER0qbSSHSd_Q8,Pollos a la Brasa D'Reyes,Restaurante especializado en pollo,"Av. Riva Agüero 285, El Agustino 15003",947 595 712,+51 947 595 712,,,"-12.056525599999999,-77.00567989999999",3.9,,"Pollería en el distrito de Huanza, Huarochirí , Lima, Perú"
ChIJq0xb9DzGBZERs8XMn16o8_4,https://www.google.com/maps/place/?q=place_id:ChIJq0xb9DzGBZERs8XMn16o8_4,"Restaurante & Pollería ""EL Tauro Burger",Restaurante,"Manuel Echeandia 298, Lima 15019",965 285 321,+51 965 285 321,,,"-12.0654849,-76.9963392",4,,"Pollería en el distrito de Huanza, Huarochirí , Lima, Perú"
ChIJr9kRJAXGBZERVvdUdR_Omp4,https://www.google.com/maps/place/?q=place_id:ChIJr9kRJAXGBZERVvdUdR_Omp4,Pollería Yaoky's,Tienda de aves de corral,"XX2X+5FC, Lima 15003",997 676 463,+51 997 676 463,,,"-12.0495676,-77.001348",4.2,,"Pollería en el distrito de Huanza, Huarochirí , Lima, Perú"
