id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ42Yp8JnIBZERBjyrPuM8VUY,https://www.google.com/maps/place/?q=place_id:ChIJ42Yp8JnIBZERBjyrPuM8VUY,Cevichería Mi Barrunto,Marisquería,"Jr. Sebastián Barranca 935, La Victoria 15018",(01) 4272066,+51 1 4272066,mibarrunto.com,http://www.mibarrunto.com/,"-12.0676621,-77.0215643",4.4,,"Cevichería en el distrito de Matucana, Huarochirí , Lima, Perú"
ChIJR4t7YdHHBZERLHvLTa9uOXA,https://www.google.com/maps/place/?q=place_id:ChIJR4t7YdHHBZERLHvLTa9uOXA,EL CHURRE RESTAURANT CEVICHERIA,Restaurante,"El CHURRE RESTAURANT CEVICHERIA, Av. Huarochiri 173, La Molina 15012",968 661 721,+51 968 661 721,,,"-12.0625561,-76.941216",3,,"Cevichería en el distrito de Matucana, Huarochirí , Lima, Perú"
ChIJAawOrVnFBZERrCftXjG_jus,https://www.google.com/maps/place/?q=place_id:ChIJAawOrVnFBZERrCftXjG_jus,Ceviche Mas Na,Restaurante,"Jr Haravicu 448 - Zarate (altura de la cuadra 14 de, Av. Gran Chimú, San Juan de Lurigancho 15427",934 290 632,+51 934 290 632,facebook.com,http://www.facebook.com/cevichemasna,"-12.0237809,-76.9888632",4.5,,"Cevichería en el distrito de Matucana, Huarochirí , Lima, Perú"
ChIJ8aJGRYbIBZERYbc6r9wczKw,https://www.google.com/maps/place/?q=place_id:ChIJ8aJGRYbIBZERYbc6r9wczKw,Puro Tumbes,Marisquería,"Av. Canadá 690, La Victoria 15034",(01) 7043298,+51 1 7043298,,,"-12.0814269,-77.01984759999999",4.2,,"Cevichería en el distrito de Matucana, Huarochirí , Lima, Perú"
ChIJhaKF4ffFBZEReI9Y9hQ3FeM,https://www.google.com/maps/place/?q=place_id:ChIJhaKF4ffFBZEReI9Y9hQ3FeM,Cevicheria Piter,Restaurante,"Jr. Los Chasquis 290, Lima 15401",994 861 094,+51 994 861 094,,,"-12.027518299999999,-77.01018599999999",4.1,,"Cevichería en el distrito de Matucana, Huarochirí , Lima, Perú"
ChIJC9OKKxv6BZERnn5I8-Zeoo4,https://www.google.com/maps/place/?q=place_id:ChIJC9OKKxv6BZERnn5I8-Zeoo4,Restaurant Camping Chilito,Restaurante,"Ctra. Central 945, 15545",989 198 471,+51 989 198 471,chilitoperu.com,http://www.chilitoperu.com/,"-11.918118999999999,-76.558275",4.1,,"Cevichería en el distrito de Matucana, Huarochirí , Lima, Perú"
ChIJf-27atzPBZER9IcfAqJVvgs,https://www.google.com/maps/place/?q=place_id:ChIJf-27atzPBZER9IcfAqJVvgs,"CEVICHERIA ""LA CACHINA FISH""",Restaurante,"Av. Las Flores de Primavera 1758, San Juan de Lurigancho 15408",920 826 294,+51 920 826 294,,,"-11.9996811,-77.0137431",4.5,,"Cevichería en el distrito de Matucana, Huarochirí , Lima, Perú"
ChIJydIMYLzIBZERcy1YHd47G3Y,https://www.google.com/maps/place/?q=place_id:ChIJydIMYLzIBZERcy1YHd47G3Y,Cevichería Puro Tumbes,Marisquería,"Av. Miguel Grau 670, Lima 15033",(01) 3320289,+51 1 3320289,,,"-12.058746099999999,-77.0250154",4.1,,"Cevichería en el distrito de Matucana, Huarochirí , Lima, Perú"
ChIJv3YOGRjGBZERvzPazSyJRNQ,https://www.google.com/maps/place/?q=place_id:ChIJv3YOGRjGBZERvzPazSyJRNQ,"Cevicheria ""EL ARCA DE NOE"" LUCHO",Restaurante,"Los Incas 189, San Luis 2025",,,,,"-12.0604798,-76.9993652",4,,"Cevichería en el distrito de Matucana, Huarochirí , Lima, Perú"
ChIJcSXIZwDFBZERm0iF_HY0xL4,https://www.google.com/maps/place/?q=place_id:ChIJcSXIZwDFBZERm0iF_HY0xL4,Cevicheria Romina,Restaurante,"23F5+8J4, Av. Unión Jicamarca, Lima 15461",,,,,"-11.9767377,-76.9409242",3.5,,"Cevichería en el distrito de Matucana, Huarochirí , Lima, Perú"
