id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJTeF6VgDHBZERsx5faR-JPEI,https://www.google.com/maps/place/?q=place_id:ChIJTeF6VgDHBZERsx5faR-JPEI,Pollos RED CHICKEN L&G,Restaurante de comida rápida,"de américas fase 5, Av. La Cumbre, El Agustino 15004",,,,,"-12.058132599999999,-77.0002647",,,"Pollería en el distrito de San Pedro de Casta, Huarochirí , Lima, Perú"
ChIJmQpHjX3HBZER0qbSSHSd_Q8,https://www.google.com/maps/place/?q=place_id:ChIJmQpHjX3HBZER0qbSSHSd_Q8,Pollos a la Brasa D'Reyes,Restaurante especializado en pollo,"Av. Riva Agüero 285, El Agustino 15003",947 595 712,+51 947 595 712,,,"-12.056525599999999,-77.00567989999999",3.9,,"Pollería en el distrito de San Pedro de Casta, Huarochirí , Lima, Perú"
ChIJTeX03pnHBZERhxawTE3Dtws,https://www.google.com/maps/place/?q=place_id:ChIJTeX03pnHBZERhxawTE3Dtws,El Cilindro de Don Ignacio,Servicio de catering,"San Martin 210, El Agustino 15003",952 145 382,+51 952 145 382,,,"-12.0559233,-77.0067475",4,,"Pollería en el distrito de San Pedro de Casta, Huarochirí , Lima, Perú"
ChIJq_msCRzGBZERwapQXt4A6R4,https://www.google.com/maps/place/?q=place_id:ChIJq_msCRzGBZERwapQXt4A6R4,Polleria EL GORDO CARMELO,Restaurante,"Av. Riva Agüero 397, El Agustino 15003",(01) 4325812,+51 1 4325812,,,"-12.0554264,-77.0047898",4,,"Pollería en el distrito de San Pedro de Casta, Huarochirí , Lima, Perú"
ChIJtbJQAhzGBZERUaNg8-qMG30,https://www.google.com/maps/place/?q=place_id:ChIJtbJQAhzGBZERUaNg8-qMG30,Pollería LOS GORDITOS,Restaurante especializado en pollo,"Av. Riva Agüero 310, El Agustino 15003",(01) 4325746,+51 1 4325746,,,"-12.0562168,-77.0050763",3.7,,"Pollería en el distrito de San Pedro de Casta, Huarochirí , Lima, Perú"
ChIJZ3IPLtfHBZERLO3o8RuZZ_k,https://www.google.com/maps/place/?q=place_id:ChIJZ3IPLtfHBZERLO3o8RuZZ_k,Florkis brosteria,Restaurante especializado en pollo,"15003, 100, El Agustino 15003",,,,,"-12.0535965,-77.0045447",4.7,,"Pollería en el distrito de San Pedro de Casta, Huarochirí , Lima, Perú"
ChIJr9kRJAXGBZERVvdUdR_Omp4,https://www.google.com/maps/place/?q=place_id:ChIJr9kRJAXGBZERVvdUdR_Omp4,Pollería Yaoky's,Tienda de aves de corral,"XX2X+5FC, Lima 15003",997 676 463,+51 997 676 463,,,"-12.0495676,-77.001348",4.2,,"Pollería en el distrito de San Pedro de Casta, Huarochirí , Lima, Perú"
ChIJUbUgPefHBZERWOg15ls7kLQ,https://www.google.com/maps/place/?q=place_id:ChIJUbUgPefHBZERWOg15ls7kLQ,CARBONERITO CHICKEN,Restaurante especializado en pollo,"Av. Tupac Amaru 184, El Agustino 15003",984 584 229,+51 984 584 229,,,"-12.0525149,-77.00429009999999",3.9,,"Pollería en el distrito de San Pedro de Casta, Huarochirí , Lima, Perú"
ChIJaR3rbwDHBZERx_MRiP7hPDI,https://www.google.com/maps/place/?q=place_id:ChIJaR3rbwDHBZERx_MRiP7hPDI,EL CARMELO POLLOS A LA BRASA,Restaurante especializado en pollo,"Av. Riva Agüero 822, Lima 15003",,,,,"-12.052610699999999,-77.0035154",5,,"Pollería en el distrito de San Pedro de Casta, Huarochirí , Lima, Perú"
ChIJB19HRQXGBZERqGMxJebUajs,https://www.google.com/maps/place/?q=place_id:ChIJB19HRQXGBZERqGMxJebUajs,Restaurante Pollería y Chifa Tres Estrellas,Restaurante,"X222+449, Hoyle Palacios, Lima 15006",996 112 360,+51 996 112 360,,,"-12.0497246,-76.9996405",3.9,,"Pollería en el distrito de San Pedro de Casta, Huarochirí , Lima, Perú"
ChIJ9Zgh4DHHBZERr8N-213OQHw,https://www.google.com/maps/place/?q=place_id:ChIJ9Zgh4DHHBZERr8N-213OQHw,Braseria San Cayetano,Restaurante especializado en pollo,"C. Mariscal Jose de la Mar 100, Lima 15003",958 170 854,+51 958 170 854,,,"-12.0577878,-77.007097",1,,"Pollería en el distrito de San Pedro de Casta, Huarochirí , Lima, Perú"
ChIJP_8XFQDHBZERrD392ua13-s,https://www.google.com/maps/place/?q=place_id:ChIJP_8XFQDHBZERrD392ua13-s,Pollería Paredes,,"Av. México 2005, La Victoria 15019",,,,,"-12.0687945,-77.00738",4,,"Pollería en el distrito de San Pedro de Casta, Huarochirí , Lima, Perú"
ChIJLwlpkqbJBZERBxnz1X5nbWg,https://www.google.com/maps/place/?q=place_id:ChIJLwlpkqbJBZERBxnz1X5nbWg,Astrid restaurante,Restaurante,"Av. Nicolás Ayllón 337, Lima 15018",912 486 054,+51 912 486 054,,,"-12.0568227,-77.01083369999999",4.4,,"Pollería en el distrito de San Pedro de Casta, Huarochirí , Lima, Perú"
ChIJH_RbxsrHBZERhHJEXootzFk,https://www.google.com/maps/place/?q=place_id:ChIJH_RbxsrHBZERhHJEXootzFk,Restaurante pollería Al Fondo hay Sitio,Restaurante especializado en pollo,"Av los Rosales 203, Ate 15019",990 726 826,+51 990 726 826,,,"-12.061996899999999,-76.99394939999999",4.5,,"Pollería en el distrito de San Pedro de Casta, Huarochirí , Lima, Perú"
ChIJ69XzJqrIBZERK2D23ErrWuc,https://www.google.com/maps/place/?q=place_id:ChIJ69XzJqrIBZERK2D23ErrWuc,Polleria Pipas,Restaurante,"Avenida Sebastián Lorente 319, Lima 01",933 918 750,+51 933 918 750,,,"-12.0452912,-77.0122744",4,,"Pollería en el distrito de San Pedro de Casta, Huarochirí , Lima, Perú"
ChIJJYgN8e3HBZERuJ2qm9Li1AQ,https://www.google.com/maps/place/?q=place_id:ChIJJYgN8e3HBZERuJ2qm9Li1AQ,Polleria Josesito's,Restaurante,"WXRX+285, Jr. Cesar Vallejo, El Agustino 15004",,,,,"-12.059997899999999,-77.00163599999999",5,,"Pollería en el distrito de San Pedro de Casta, Huarochirí , Lima, Perú"
ChIJm5Giiq7HBZER9PCVf_f_VEw,https://www.google.com/maps/place/?q=place_id:ChIJm5Giiq7HBZER9PCVf_f_VEw,"SUPER POLLO ( pollos Ala Brasa ) Parrillas ,Comidas Criollas",Restaurante,"Av. Riva Agüero 1307, El Agustino 15006",901 128 057,+51 901 128 057,,,"-12.0489955,-77.00135689999999",3.9,,"Pollería en el distrito de San Pedro de Casta, Huarochirí , Lima, Perú"
ChIJwwr-yrzHBZERP4i-CsJFhOQ,https://www.google.com/maps/place/?q=place_id:ChIJwwr-yrzHBZERP4i-CsJFhOQ,"Pollos a la Brasa ""Luchito""",Restaurante,"Urb San Pablo 1 Etapa - Av 26 de Julio Mz 703 Lote 1A, 15019",972 332 712,+51 972 332 712,,,"-12.062864999999999,-76.9979189",3.2,,"Pollería en el distrito de San Pedro de Casta, Huarochirí , Lima, Perú"
ChIJQ4OL_HvGBZERVqsT84oCY54,https://www.google.com/maps/place/?q=place_id:ChIJQ4OL_HvGBZERVqsT84oCY54,San Pedro Cebicheria - Restaurant,Restaurante,"Av. Los Eucaliptos 1256, Santa Anita 15008",(01) 3626584,+51 1 3626584,,,"-12.0438134,-76.9707284",4,,"Cevichería en el distrito de San Pedro de Casta, Huarochirí , Lima, Perú"
ChIJSRjwbQDJBZERefJQMsd_Sj0,https://www.google.com/maps/place/?q=place_id:ChIJSRjwbQDJBZERefJQMsd_Sj0,Cevichería Yaki,,"Jirón Hipólito Unanue 1160, Lima Metropolitana 15018",,,,,"-12.0659926,-77.0187871",,,"Cevichería en el distrito de San Pedro de Casta, Huarochirí , Lima, Perú"
ChIJlfD6CwDJBZERdjvxoF_23gw,https://www.google.com/maps/place/?q=place_id:ChIJlfD6CwDJBZERdjvxoF_23gw,Cevicheria La Piedra,Restaurante,"Jr. Junín 1019, Lima 15001",932 532 667,+51 932 532 667,,,"-12.0508104,-77.0210754",,,"Cevichería en el distrito de San Pedro de Casta, Huarochirí , Lima, Perú"
ChIJCcNhI9XHBZERBzdAcKMvxh0,https://www.google.com/maps/place/?q=place_id:ChIJCcNhI9XHBZERBzdAcKMvxh0,Cevicheria Restaurante El Rey del Mar AyJ,Restaurante,"C. Cucarda 113, Lima 15004",991 813 481,+51 991 813 481,,,"-12.0587384,-77.00619209999999",4.3,,"Cevichería en el distrito de San Pedro de Casta, Huarochirí , Lima, Perú"
ChIJ3eZhfnvHBZER3aXUsLF_Di8,https://www.google.com/maps/place/?q=place_id:ChIJ3eZhfnvHBZER3aXUsLF_Di8,EL POINT CEVICHERO COCOLISO,Restaurante,"Calle San Vicente de Paul 152, El Agustino 15003",997 622 925,+51 997 622 925,,,"-12.0543255,-77.0066372",4.4,,"Cevichería en el distrito de San Pedro de Casta, Huarochirí , Lima, Perú"
ChIJ-5U5-xzGBZERFLnIfOTmeRM,https://www.google.com/maps/place/?q=place_id:ChIJ-5U5-xzGBZERFLnIfOTmeRM,Cevicheria El Charapa,Restaurante,"Jr. Chiquian 2080, Lima 15003",(01) 4051122,+51 1 4051122,,,"-12.0527432,-77.00686859999999",4.1,,"Cevichería en el distrito de San Pedro de Casta, Huarochirí , Lima, Perú"
ChIJ9aoBianIBZERqLFpkzuAyss,https://www.google.com/maps/place/?q=place_id:ChIJ9aoBianIBZERqLFpkzuAyss,Cevichería restaurante Morita,Restaurante,"Avenida Sebastián Lorente 363, Lima 15003",963 877 964,+51 963 877 964,,,"-12.0458394,-77.012249",4.2,,"Cevichería en el distrito de San Pedro de Casta, Huarochirí , Lima, Perú"
ChIJkWiB_OHHBZERvmNeAE6usGY,https://www.google.com/maps/place/?q=place_id:ChIJkWiB_OHHBZERvmNeAE6usGY,Conche Barra Cevichera,Restaurante,"Calle, Sta. Isabel 103, El Agustino 15004",942 830 653,+51 942 830 653,,,"-12.0551098,-77.0037627",4.5,,"Cevichería en el distrito de San Pedro de Casta, Huarochirí , Lima, Perú"
ChIJ_5f9XAXGBZERJi-8Y2IHVDc,https://www.google.com/maps/place/?q=place_id:ChIJ_5f9XAXGBZERJi-8Y2IHVDc,TOQUE MARINO,Restaurante,"X222+96G, Jirón Quiñones, Lima 15006",4391980,+51 4391980,facebook.com,http://www.facebook.com/toquemarino/?ref=br_rs,"-12.049056799999999,-76.99942109999999",4,,"Cevichería en el distrito de San Pedro de Casta, Huarochirí , Lima, Perú"
ChIJp1_CsTXHBZERi_7ig1PmqpE,https://www.google.com/maps/place/?q=place_id:ChIJp1_CsTXHBZERi_7ig1PmqpE,Cevicheria Jaime,Restaurante de fish & chips,"Calle Sta. Clara 812, El Agustino 15003",991 350 079,+51 991 350 079,,,"-12.052042799999999,-77.00456489999999",4.4,,"Cevichería en el distrito de San Pedro de Casta, Huarochirí , Lima, Perú"
ChIJ66-jkgjHBZERFgxRxbg2MGo,https://www.google.com/maps/place/?q=place_id:ChIJ66-jkgjHBZERFgxRxbg2MGo,Cevicheria JULY,Restaurante,"WXVW+XFX, El Agustino 15004",,,,,"-12.0550161,-77.0037806",3.9,,"Cevichería en el distrito de San Pedro de Casta, Huarochirí , Lima, Perú"
ChIJO7HkJgXGBZERVpBrXfkT3xU,https://www.google.com/maps/place/?q=place_id:ChIJO7HkJgXGBZERVpBrXfkT3xU,CEVICHERIA GOURMET REAL PEZ,Restaurante,"Av. Riva Agüero 1270, El Agustino 15004",(01) 2313729,+51 1 2313729,,,"-12.0496666,-77.0015288",4,,"Cevichería en el distrito de San Pedro de Casta, Huarochirí , Lima, Perú"
