id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJq_msCRzGBZERwapQXt4A6R4,https://www.google.com/maps/place/?q=place_id:ChIJq_msCRzGBZERwapQXt4A6R4,Polleria EL GORDO CARMELO,Restaurante,"Av. Riva Agüero 397, El Agustino 15003",(01) 4325812,+51 1 4325812,,,"-12.0554264,-77.0047898",4,,"Pollería en el distrito de Surco, Huarochirí , Lima, Perú"
ChIJmQpHjX3HBZER0qbSSHSd_Q8,https://www.google.com/maps/place/?q=place_id:ChIJmQpHjX3HBZER0qbSSHSd_Q8,Pollos a la Brasa D'Reyes,Restaurante especializado en pollo,"Av. Riva Agüero 285, El Agustino 15003",947 595 712,+51 947 595 712,,,"-12.056525599999999,-77.00567989999999",3.9,,"Pollería en el distrito de Surco, Huarochirí , Lima, Perú"
ChIJtbJQAhzGBZERUaNg8-qMG30,https://www.google.com/maps/place/?q=place_id:ChIJtbJQAhzGBZERUaNg8-qMG30,Pollería LOS GORDITOS,Restaurante especializado en pollo,"Av. Riva Agüero 310, El Agustino 15003",(01) 4325746,+51 1 4325746,,,"-12.0562168,-77.0050763",3.7,,"Pollería en el distrito de Surco, Huarochirí , Lima, Perú"
ChIJaR3rbwDHBZERx_MRiP7hPDI,https://www.google.com/maps/place/?q=place_id:ChIJaR3rbwDHBZERx_MRiP7hPDI,EL CARMELO POLLOS A LA BRASA,Restaurante especializado en pollo,"Av. Riva Agüero 822, Lima 15003",,,,,"-12.052610699999999,-77.0035154",5,,"Pollería en el distrito de Surco, Huarochirí , Lima, Perú"
ChIJPedlKAC5BZER1BNaupkqmCY,https://www.google.com/maps/place/?q=place_id:ChIJPedlKAC5BZER1BNaupkqmCY,PUCARÁ Pollos a la brasa,Restaurante especializado en pollo,"Av. Caminos del Inca 2258, Santiago de Surco 15039",,,,,"-12.133438199999999,-76.98344159999999",5,,"Pollería en el distrito de Surco, Huarochirí , Lima, Perú"
ChIJX1WR-p_HBZERI4QUuLChcY8,https://www.google.com/maps/place/?q=place_id:ChIJX1WR-p_HBZERI4QUuLChcY8,Campollo Pollos & Grill Restaurant,Restaurante especializado en pollo,"Av. Central 121, Santiago de Surco 15023",(01) 3140816,+51 1 3140816,,,"-12.1053128,-76.96490229999999",4.2,,"Pollería en el distrito de Surco, Huarochirí , Lima, Perú"
ChIJV4S-me3HBZERP1XA69J7Pf8,https://www.google.com/maps/place/?q=place_id:ChIJV4S-me3HBZERP1XA69J7Pf8,Fabrizio: Carnes Y Pollos A La Leña,Restaurante especializado en pollo,"Av. Caminos del Inca 520, Santiago de Surco 15038",942 177 719,+51 942 177 719,,,"-12.1160304,-76.9908684",4.1,,"Pollería en el distrito de Surco, Huarochirí , Lima, Perú"
ChIJQaf_XvXHBZERSlOcGn_6SC4,https://www.google.com/maps/place/?q=place_id:ChIJQaf_XvXHBZERSlOcGn_6SC4,Don Tito,Restaurante especializado en pollo,"Av. Alfredo Benavides 4592, Santiago de Surco 15038",,,dontito.pe,https://dontito.pe/,"-12.1280583,-76.9886478",4.4,,"Pollería en el distrito de Surco, Huarochirí , Lima, Perú"
ChIJ69XzJqrIBZERK2D23ErrWuc,https://www.google.com/maps/place/?q=place_id:ChIJ69XzJqrIBZERK2D23ErrWuc,Polleria Pipas,Restaurante,"Avenida Sebastián Lorente 319, Lima 01",933 918 750,+51 933 918 750,,,"-12.0452912,-77.0122744",4,,"Pollería en el distrito de Surco, Huarochirí , Lima, Perú"
ChIJL36l-za4BZER-9ETAX7vUwM,https://www.google.com/maps/place/?q=place_id:ChIJL36l-za4BZER-9ETAX7vUwM,Pollería EL PARQUE - Surco,Restaurante,"Av. Guardia Civil Sur 329, Santiago de Surco 15054",(01) 3837002,+51 1 3837002,facebook.com,https://www.facebook.com/polleriaelparque/,"-12.1652384,-76.9905098",3.6,,"Pollería en el distrito de Surco, Huarochirí , Lima, Perú"
ChIJ6z5K_XC4BZEREfycL-eU0Tk,https://www.google.com/maps/place/?q=place_id:ChIJ6z5K_XC4BZEREfycL-eU0Tk,Chickenjaus Pollos a la Brasa,Restaurante especializado en pollo,"Av Cerro Chico 231, Santiago de Surco 15803",(01) 2790384,+51 1 2790384,chickenjaus.com.pe,http://chickenjaus.com.pe/,"-12.1355009,-76.9786513",4.4,,"Pollería en el distrito de Surco, Huarochirí , Lima, Perú"
ChIJTeX03pnHBZERhxawTE3Dtws,https://www.google.com/maps/place/?q=place_id:ChIJTeX03pnHBZERhxawTE3Dtws,El Cilindro de Don Ignacio,Servicio de catering,"San Martin 210, El Agustino 15003",952 145 382,+51 952 145 382,,,"-12.0559233,-77.0067475",4,,"Pollería en el distrito de Surco, Huarochirí , Lima, Perú"
ChIJUbUgPefHBZERWOg15ls7kLQ,https://www.google.com/maps/place/?q=place_id:ChIJUbUgPefHBZERWOg15ls7kLQ,CARBONERITO CHICKEN,Restaurante especializado en pollo,"Av. Tupac Amaru 184, El Agustino 15003",984 584 229,+51 984 584 229,,,"-12.0525149,-77.00429009999999",3.9,,"Pollería en el distrito de Surco, Huarochirí , Lima, Perú"
ChIJuSKxCKXHBZERbEfDmIWD6IQ,https://www.google.com/maps/place/?q=place_id:ChIJuSKxCKXHBZERbEfDmIWD6IQ,El Corazón de Surco,Restaurante,"Jr. el Cortijo 103, Santiago de Surco 15023",981 175 757,+51 981 175 757,facebook.com,http://www.facebook.com/ElCorazonDeSurco,"-12.095977099999999,-76.97325889999999",4,,"Pollería en el distrito de Surco, Huarochirí , Lima, Perú"
ChIJH9HX4y7HBZERggPUhKEdTsE,https://www.google.com/maps/place/?q=place_id:ChIJH9HX4y7HBZERggPUhKEdTsE,Don Melchor Pollos y Parrillas Sede Primavera,Restaurante especializado en pollo,"Av. Primavera 1000, Lima 15039",(01) 7106229,+51 1 7106229,donmelchorpollos.com,https://donmelchorpollos.com/,"-12.110718799999999,-76.9812244",4.4,,"Pollería en el distrito de Surco, Huarochirí , Lima, Perú"
ChIJr9kRJAXGBZERVvdUdR_Omp4,https://www.google.com/maps/place/?q=place_id:ChIJr9kRJAXGBZERVvdUdR_Omp4,Pollería Yaoky's,Tienda de aves de corral,"XX2X+5FC, Lima 15003",997 676 463,+51 997 676 463,,,"-12.0495676,-77.001348",4.2,,"Pollería en el distrito de Surco, Huarochirí , Lima, Perú"
ChIJh1F3KKbHBZERVYarCIr1Wns,https://www.google.com/maps/place/?q=place_id:ChIJh1F3KKbHBZERVYarCIr1Wns,Pardos Chicken Surco,Restaurante especializado en pollo,"Av. El Golf Los Incas 498, Santiago de Surco 15023",(01) 2198000,+51 1 2198000,,,"-12.0938161,-76.9678758",4.3,,"Pollería en el distrito de Surco, Huarochirí , Lima, Perú"
ChIJB19HRQXGBZERqGMxJebUajs,https://www.google.com/maps/place/?q=place_id:ChIJB19HRQXGBZERqGMxJebUajs,Restaurante Pollería y Chifa Tres Estrellas,Restaurante,"X222+449, Hoyle Palacios, Lima 15006",996 112 360,+51 996 112 360,,,"-12.0497246,-76.9996405",3.9,,"Pollería en el distrito de Surco, Huarochirí , Lima, Perú"
ChIJMYQ3_0a4BZER-Gxd2QK4R2g,https://www.google.com/maps/place/?q=place_id:ChIJMYQ3_0a4BZER-Gxd2QK4R2g,Pollería El Carbonero,Restaurante,"Casa de Belen, AA.HH. Luis Felipe, las Grieve Mz. A, Santiago de Surco 15039",(01) 2744053,+51 1 2744053,facebook.com,https://www.facebook.com/PollosALaBrasaElCarbonero/,"-12.1586947,-76.984177",4.2,,"Pollería en el distrito de Surco, Huarochirí , Lima, Perú"
ChIJrQlbTgDHBZERe0it4Tv54NY,https://www.google.com/maps/place/?q=place_id:ChIJrQlbTgDHBZERe0it4Tv54NY,D'Carbón Pollos y Parrillas,Restaurante peruano,"Av. Caminos del Inca 758, Santiago de Surco 15038",(01) 7482566,+51 1 7482566,dcarbon.com.pe,http://www.dcarbon.com.pe/,"-12.1184639,-76.9893951",4.4,,"Pollería en el distrito de Surco, Huarochirí , Lima, Perú"
ChIJ3eZhfnvHBZER3aXUsLF_Di8,https://www.google.com/maps/place/?q=place_id:ChIJ3eZhfnvHBZER3aXUsLF_Di8,EL POINT CEVICHERO COCOLISO,Restaurante,"Calle San Vicente de Paul 152, El Agustino 15003",997 622 925,+51 997 622 925,,,"-12.0543255,-77.0066372",4.4,,"Cevichería en el distrito de Surco, Huarochirí , Lima, Perú"
