id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ9_THvWUgB5ER3yxN6UE-zGg,https://www.google.com/maps/place/?q=place_id:ChIJ9_THvWUgB5ER3yxN6UE-zGg,POLLERÍA HUAURA,Restaurante especializado en pollo,"Calle Bolívar 120, Huaura 15138",957 022 739,+51 957 022 739,m.facebook.com,https://m.facebook.com/PolleriaHuaura/,"-11.070229099999999,-77.59788689999999",3.9,,"Pollería en el distrito de Checras, Huaura , Lima, Perú"
ChIJASng0EMhB5ER8pywljG-GAM,https://www.google.com/maps/place/?q=place_id:ChIJASng0EMhB5ER8pywljG-GAM,POLLERÍA RESTAURANTE D' RODRIGUEZ,Restaurante,"Av. Ancash 271, Huaura 15138",(01) 3977123,+51 1 3977123,,,"-11.0710748,-77.6034737",4.6,,"Pollería en el distrito de Checras, Huaura , Lima, Perú"
ChIJV3Q7ysYhB5ERoJWQOn2bLhw,https://www.google.com/maps/place/?q=place_id:ChIJV3Q7ysYhB5ERoJWQOn2bLhw,Polleria pineda,Pollería,"15138, Huaura 15138",991 863 943,+51 991 863 943,,,"-11.0704771,-77.6009005",4.2,,"Pollería en el distrito de Checras, Huaura , Lima, Perú"
ChIJhahhIgQhB5ERf0nYtH7psMk,https://www.google.com/maps/place/?q=place_id:ChIJhahhIgQhB5ERf0nYtH7psMk,Pollería la Villa Chicken & Grill,Restaurante especializado en pollo,"WCJ2+7R6, Av. Coronel Portillo, Huaura 15138",923 819 802,+51 923 819 802,,,"-11.069345,-77.5979929",4.9,,"Pollería en el distrito de Checras, Huaura , Lima, Perú"
ChIJY-_F9wG5B5ERTelnxvE0z3M,https://www.google.com/maps/place/?q=place_id:ChIJY-_F9wG5B5ERTelnxvE0z3M,"Pollería & Restaurant ""Shumac Goyllur""",Restaurante,"Leoncio Prado, Churín 120",974 124 797,+51 974 124 797,,,"-10.810344299999999,-76.87456829999999",4.2,,"Pollería en el distrito de Checras, Huaura , Lima, Perú"
ChIJlRRy6HDPBZERVGWEuw27ZtU,https://www.google.com/maps/place/?q=place_id:ChIJlRRy6HDPBZERVGWEuw27ZtU,LA CHACRA POLLERIA,Restaurante,"Av. Carlos Izaguirre 848, Los Olivos 15301",951 245 479,+51 951 245 479,,,"-11.990804299999999,-77.070954",4.1,,"Pollería en el distrito de Checras, Huaura , Lima, Perú"
ChIJu0PZnR-5B5ERucYlPys2Kb4,https://www.google.com/maps/place/?q=place_id:ChIJu0PZnR-5B5ERucYlPys2Kb4,Pollería La Leña,Restaurante,"18 374, Churín 15270",945 134 498,+51 945 134 498,,,"-10.8119868,-76.8748174",2.6,,"Pollería en el distrito de Checras, Huaura , Lima, Perú"
ChIJQd-8O1-5B5ER02E4GB5lFog,https://www.google.com/maps/place/?q=place_id:ChIJQd-8O1-5B5ER02E4GB5lFog,CHICKEN SUDAMERICANO A LA LEÑA,Pollería,"315 18, Churín",,,,,"-10.8115883,-76.8749958",4,,"Pollería en el distrito de Checras, Huaura , Lima, Perú"
ChIJ0WXhj4l_BpERc_vnNkRHpj4,https://www.google.com/maps/place/?q=place_id:ChIJ0WXhj4l_BpERc_vnNkRHpj4,"Pollería ""Las Brasas de Haaroji""",Restaurante,"6RFM+CW7, Ancón 15123",924 967 954,+51 924 967 954,,,"-11.7764518,-77.1652004",4.3,,"Pollería en el distrito de Checras, Huaura , Lima, Perú"
ChIJcVSwj_G5B5ER5Eo4fxx-ot0,https://www.google.com/maps/place/?q=place_id:ChIJcVSwj_G5B5ER5Eo4fxx-ot0,MANDALA POLLERIA RESTAURANTE,Restaurante peruano,"Mariscal Castilla 187, Churín 15270",964 666 486,+51 964 666 486,,,"-10.811029099999999,-76.8743333",4.3,,"Pollería en el distrito de Checras, Huaura , Lima, Perú"
