id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJY15FCFjPBZERlpoVpSqdrOg,https://www.google.com/maps/place/?q=place_id:ChIJY15FCFjPBZERlpoVpSqdrOg,Pardos Chicken San Juan de Lurigancho,Restaurante especializado en pollo,"Frente a la estación del tren, Jr. Los Chasquis 201, San Juan de Lurigancho LIMA 36",(01) 2198000,+51 1 2198000,pardoschicken.pe,https://www.pardoschicken.pe/,"-12.027732,-77.010599",4.2,,"Pollería en el distrito de Lurigancho, Lima , Lima, Perú"
ChIJuThix-nFBZERNKJ17eCAPw8,https://www.google.com/maps/place/?q=place_id:ChIJuThix-nFBZERNKJ17eCAPw8,Pollos Y Parrillas El Meson Zarate,Restaurante,"Av. Gran Chimú 578, San Juan de Lurigancho 15401",917 054 836,+51 917 054 836,,,"-12.0266854,-77.0040878",4.1,,"Pollería en el distrito de Lurigancho, Lima , Lima, Perú"
ChIJ1_Wu0vHFBZERBFRYoKoRbL4,https://www.google.com/maps/place/?q=place_id:ChIJ1_Wu0vHFBZERBFRYoKoRbL4,Pollos Y Parrillas Riccos Chimu,Restaurante especializado en pollo,"Av. Gran Chimú 840, San Juan de Lurigancho 15401",(01) 5207272,+51 1 5207272,,,"-12.025348,-76.9995352",4.1,,"Pollería en el distrito de Lurigancho, Lima , Lima, Perú"
ChIJyYqW5ZfFBZERIQEge-sGL2M,https://www.google.com/maps/place/?q=place_id:ChIJyYqW5ZfFBZERIQEge-sGL2M,Pollos La Choza,Restaurante peruano,"av.c Mz ll lt.04, San Juan de Lurigancho 15400",975 699 705,+51 975 699 705,,,"-12.0241363,-76.9682806",4.4,,"Pollería en el distrito de Lurigancho, Lima , Lima, Perú"
ChIJNxFLUfrFBZER0cgNXTAS-UM,https://www.google.com/maps/place/?q=place_id:ChIJNxFLUfrFBZER0cgNXTAS-UM,Pollería LA FOGATA,Restaurante especializado en pollo,"Asoc. Valle del Mantaro, jr, Av. los Regadores mz C, San Juan de Lurigancho 15427",984 199 360,+51 984 199 360,,,"-12.013704299999999,-76.9916095",5,,"Pollería en el distrito de Lurigancho, Lima , Lima, Perú"
ChIJfWbm-1fPBZERTEWxG8hMRbk,https://www.google.com/maps/place/?q=place_id:ChIJfWbm-1fPBZERTEWxG8hMRbk,Villa Chicken,Restaurante especializado en pollo,"Av. Gran Chimú 196, San Juan de Lurigancho 15401",(01) 5008800,+51 1 5008800,villachicken.com.pe,http://www.villachicken.com.pe/villaweb/app/#/locales,"-12.029056299999999,-77.0108164",4.2,,"Pollería en el distrito de Lurigancho, Lima , Lima, Perú"
ChIJZYTwiEHFBZERjunUwIP_qqs,https://www.google.com/maps/place/?q=place_id:ChIJZYTwiEHFBZERjunUwIP_qqs,BRASILIA Pollos y Parrillas,Restaurante especializado en pollo,"Av. Gran Chimú 901, San Juan de Lurigancho 15401",984 570 546,+51 984 570 546,linktr.ee,https://linktr.ee/brasiliapollosyparrillas,"-12.024830999999999,-76.99842699999999",4.3,,"Pollería en el distrito de Lurigancho, Lima , Lima, Perú"
ChIJlc1E5vDFBZERGcWkaSbti1U,https://www.google.com/maps/place/?q=place_id:ChIJlc1E5vDFBZERGcWkaSbti1U,Pollería Granja Zarate,Restaurante especializado en pollo,"Av. Gran Chimú 661, San Juan de Lurigancho 15401",940 145 810,+51 940 145 810,,,"-12.026000199999999,-77.0029575",4.3,,"Pollería en el distrito de Lurigancho, Lima , Lima, Perú"
ChIJWZ7XkvfFBZERO-Zpbt5HpUs,https://www.google.com/maps/place/?q=place_id:ChIJWZ7XkvfFBZERO-Zpbt5HpUs,Chick + Chicken | Pollos a la brasa,Restaurante especializado en pollo,"Municipalidad Metropolitana de Avenida Gran Chimú 338 San Juan de Lurigancho, Lima 15401",956 310 176,+51 956 310 176,,,"-12.027683699999999,-77.0088818",4,,"Pollería en el distrito de Lurigancho, Lima , Lima, Perú"
ChIJTeF6VgDHBZERsx5faR-JPEI,https://www.google.com/maps/place/?q=place_id:ChIJTeF6VgDHBZERsx5faR-JPEI,Pollos RED CHICKEN L&G,Restaurante de comida rápida,"de américas fase 5, Av. La Cumbre, El Agustino 15004",,,,,"-12.058132599999999,-77.0002647",,,"Pollería en el distrito de Lurigancho, Lima , Lima, Perú"
