id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJEyy0G6fJBZERhfz19VWhX7Q,https://www.google.com/maps/place/?q=place_id:ChIJEyy0G6fJBZERhfz19VWhX7Q,Pollería San Martín,Restaurante,"Jirón San Martin 580, Magdalena del Mar 15086",(01) 2639014,+51 1 2639014,,,"-12.0896875,-77.07176419999999",4.3,,"Pollería en el distrito de Magdalena del Mar, Lima , Lima, Perú"
ChIJ_Xm6bKfJBZERPkFW6cUEELg,https://www.google.com/maps/place/?q=place_id:ChIJ_Xm6bKfJBZERPkFW6cUEELg,Liliana Chicken Pollos a la brasa,Restaurante,"Jr.Leoncio Prado 993, Magdalena del Mar 15086",(01) 4608670,+51 1 4608670,,,"-12.088762599999999,-77.0719518",4.3,,"Pollería en el distrito de Magdalena del Mar, Lima , Lima, Perú"
ChIJS8s5POfJBZERypO5thHi8AM,https://www.google.com/maps/place/?q=place_id:ChIJS8s5POfJBZERypO5thHi8AM,Tori Pollería - Delivery Magdalena,Tienda de aves de corral,"Jr. Amazonas 635, Magdalena del Mar 15046",(01) 5006188,+51 1 5006188,tori.pe,http://tori.pe/,"-12.0846567,-77.0696035",3.9,,"Pollería en el distrito de Magdalena del Mar, Lima , Lima, Perú"
ChIJ87wkk6XJBZERFqd6gYqAJWs,https://www.google.com/maps/place/?q=place_id:ChIJ87wkk6XJBZERFqd6gYqAJWs,Pollería El Corralito,Restaurante,"Gavilan, Magdalena del Mar 15076",995 429 905,+51 995 429 905,,,"-12.0942777,-77.0690403",4.2,,"Pollería en el distrito de Magdalena del Mar, Lima , Lima, Perú"
ChIJ8X69WqnJBZERa96DJbVo9Mc,https://www.google.com/maps/place/?q=place_id:ChIJ8X69WqnJBZERa96DJbVo9Mc,Pardos Chicken Magdalena,Restaurante peruano,"Av. Javier Prado Oeste 595, Magdalena del Mar 15076",(01) 2198000,+51 1 2198000,,,"-12.092011,-77.062907",4.3,,"Pollería en el distrito de Magdalena del Mar, Lima , Lima, Perú"
ChIJv61waMrJBZERhHZwzgtaCb0,https://www.google.com/maps/place/?q=place_id:ChIJv61waMrJBZERhHZwzgtaCb0,Kumar y sus Polluelos,Restaurante especializado en pollo,"Jr. Tacna 925, Magdalena del Mar 15086",940 100 451,+51 940 100 451,,,"-12.0895984,-77.0709822",4.4,,"Pollería en el distrito de Magdalena del Mar, Lima , Lima, Perú"
ChIJgS6NGafJBZERDBW4zHePd-w,https://www.google.com/maps/place/?q=place_id:ChIJgS6NGafJBZERDBW4zHePd-w,Pollos A La Brasa Sorkyz,Restaurante especializado en pollo,"Jirón San Martin 476, Magdalena del Mar 15086",932 126 516,+51 932 126 516,,,"-12.090088,-77.07073539999999",3.6,,"Pollería en el distrito de Magdalena del Mar, Lima , Lima, Perú"
ChIJ5_NWkKjJBZERmzyjAp6YnZA,https://www.google.com/maps/place/?q=place_id:ChIJ5_NWkKjJBZERmzyjAp6YnZA,Las Canastas - Magdalena,Restaurante,"Av. Brasil 3416, Magdalena del Mar 15086",(01) 5183000,+51 1 5183000,lascanastas.com,http://www.lascanastas.com/,"-12.090876999999999,-77.067089",4.1,,"Pollería en el distrito de Magdalena del Mar, Lima , Lima, Perú"
ChIJxfAr95rJBZERrvXn6Fl0krs,https://www.google.com/maps/place/?q=place_id:ChIJxfAr95rJBZERrvXn6Fl0krs,polleria don erazo,Tienda de aves de corral,"Jirón José Gálvez 732, Magdalena del Mar 15086",939 998 838,+51 939 998 838,bit.ly,https://bit.ly/Donerazo,"-12.089680999999999,-77.0747545",4.4,,"Pollería en el distrito de Magdalena del Mar, Lima , Lima, Perú"
ChIJE9UvLwDJBZERyONP5Y4F-cQ,https://www.google.com/maps/place/?q=place_id:ChIJE9UvLwDJBZERyONP5Y4F-cQ,Pollería Kastillos Brasa,Restaurante especializado en pollo,"Jr. Tacna 871, Magdalena del Mar 15076",,,,,"-12.0903076,-77.071319",4.5,,"Pollería en el distrito de Magdalena del Mar, Lima , Lima, Perú"
ChIJg5xgOanJBZERXPKm8nJGzFo,https://www.google.com/maps/place/?q=place_id:ChIJg5xgOanJBZERXPKm8nJGzFo,Villa Chicken,Restaurante,"Av. Javier Prado Oeste 410, Magdalena del Mar 15076",(01) 5008800,+51 1 5008800,villachicken.com.pe,http://www.villachicken.com.pe/,"-12.0912604,-77.0650276",4.3,,"Pollería en el distrito de Magdalena del Mar, Lima , Lima, Perú"
ChIJq_VjRaHJBZERdBCOebv3CTI,https://www.google.com/maps/place/?q=place_id:ChIJq_VjRaHJBZERdBCOebv3CTI,Norky's,Restaurante,"Grau 601, Magdalena del Mar 15086",(01) 2633253,+51 1 2633253,norkys.pe,http://www.norkys.pe/,"-12.092390199999999,-77.0743967",4,,"Pollería en el distrito de Magdalena del Mar, Lima , Lima, Perú"
