id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJe2ie-FSfBZEREYrbQpwBCW0,https://www.google.com/maps/place/?q=place_id:ChIJe2ie-FSfBZEREYrbQpwBCW0,Granja chicken,Restaurante,"Mar Pacifico Sur 388-396, San Bartolo 15856",997 340 438,+51 997 340 438,,,"-12.3893484,-76.7774031",4.2,,"Pollería en el distrito de San Bartolo, Lima , Lima, Perú"
ChIJ6wBlBdWeBZERqt3qEzIVmv8,https://www.google.com/maps/place/?q=place_id:ChIJ6wBlBdWeBZERqt3qEzIVmv8,Pollos y Parrilladas Nuevo Oriente,Restaurante,"Mar Pacifico Sur, San Bartolo 15856",959 997 792,+51 959 997 792,facebook.com,https://www.facebook.com/nuevoriente,"-12.3892341,-76.7775206",4,,"Pollería en el distrito de San Bartolo, Lima , Lima, Perú"
ChIJY45u6bOfBZERwM1G3f3zyCA,https://www.google.com/maps/place/?q=place_id:ChIJY45u6bOfBZERwM1G3f3zyCA,El Leñador R.J,Pollería,San Bartolo 15856,949 621 065,+51 949 621 065,,,"-12.3887007,-76.77805",4.1,,"Pollería en el distrito de San Bartolo, Lima , Lima, Perú"
ChIJg9ZdBdWeBZER3SB68sJggm0,https://www.google.com/maps/place/?q=place_id:ChIJg9ZdBdWeBZER3SB68sJggm0,Fondo Marino,Restaurante,"J66C+8XM, San Bartolo 15856",,,,,"-12.3891568,-76.77758779999999",4,,"Pollería en el distrito de San Bartolo, Lima , Lima, Perú"
ChIJq_msCRzGBZERwapQXt4A6R4,https://www.google.com/maps/place/?q=place_id:ChIJq_msCRzGBZERwapQXt4A6R4,Polleria EL GORDO CARMELO,Restaurante,"Av. Riva Agüero 397, El Agustino 15003",(01) 4325812,+51 1 4325812,,,"-12.0554264,-77.0047898",4,,"Pollería en el distrito de San Bartolo, Lima , Lima, Perú"
ChIJKfUuR9WeBZERzrQtTnUwZus,https://www.google.com/maps/place/?q=place_id:ChIJKfUuR9WeBZERzrQtTnUwZus,La Milonga del SanTito,Restaurante argentino,"Mar Pacifico Sur 335, San Bartolo 15856",994 866 147,+51 994 866 147,facebook.com,https://www.facebook.com/LaMilongaDelSanTito/info/?tab=page_info,"-12.3880153,-76.7785555",4.3,,"Pollería en el distrito de San Bartolo, Lima , Lima, Perú"
ChIJ9w9yrNaeBZERgGQ6_iC4sMk,https://www.google.com/maps/place/?q=place_id:ChIJ9w9yrNaeBZERgGQ6_iC4sMk,Rocío de Santa María del Mar,Restaurante,"J64G+V77, San Bartolo 15861",(01) 4308184,+51 1 4308184,,,"-12.3928291,-76.7743309",4.2,,"Pollería en el distrito de San Bartolo, Lima , Lima, Perú"
ChIJ69XzJqrIBZERK2D23ErrWuc,https://www.google.com/maps/place/?q=place_id:ChIJ69XzJqrIBZERK2D23ErrWuc,Polleria Pipas,Restaurante,"Avenida Sebastián Lorente 319, Lima 01",933 918 750,+51 933 918 750,,,"-12.0452912,-77.0122744",4,,"Pollería en el distrito de San Bartolo, Lima , Lima, Perú"
ChIJTeF6VgDHBZERsx5faR-JPEI,https://www.google.com/maps/place/?q=place_id:ChIJTeF6VgDHBZERsx5faR-JPEI,Pollos RED CHICKEN L&G,Restaurante de comida rápida,"de américas fase 5, Av. La Cumbre, El Agustino 15004",,,,,"-12.058132599999999,-77.0002647",,,"Pollería en el distrito de San Bartolo, Lima , Lima, Perú"
ChIJZwJONACfBZER-mp975fGltU,https://www.google.com/maps/place/?q=place_id:ChIJZwJONACfBZER-mp975fGltU,Mr. Pollo,Restaurante de comida rápida,"San Bartolo 280, San Bartolo 15856",,,,,"-12.390146,-76.7779553",5,,"Pollería en el distrito de San Bartolo, Lima , Lima, Perú"
ChIJtbJQAhzGBZERUaNg8-qMG30,https://www.google.com/maps/place/?q=place_id:ChIJtbJQAhzGBZERUaNg8-qMG30,Pollería LOS GORDITOS,Restaurante especializado en pollo,"Av. Riva Agüero 310, El Agustino 15003",(01) 4325746,+51 1 4325746,,,"-12.0562168,-77.0050763",3.7,,"Pollería en el distrito de San Bartolo, Lima , Lima, Perú"
ChIJJwRcBNWeBZERfm4Jk0UJVIM,https://www.google.com/maps/place/?q=place_id:ChIJJwRcBNWeBZERfm4Jk0UJVIM,Chelulo's Restaurant,Restaurante,"Mar Pacifico Sur, 388-396, San Bartolo 15856",993 643 694,+51 993 643 694,,,"-12.389334,-76.77741",4.1,,"Pollería en el distrito de San Bartolo, Lima , Lima, Perú"
ChIJrdCUbl-fBZERZeiq7_RIgdQ,https://www.google.com/maps/place/?q=place_id:ChIJrdCUbl-fBZERZeiq7_RIgdQ,Brosteria El Chanchito Runner,Restaurante especializado en pollo,"J66C+4P9, Los Barcos, San Bartolo 15856",,,,,"-12.3897094,-76.7781481",,,"Pollería en el distrito de San Bartolo, Lima , Lima, Perú"
ChIJt5_dKpCfBZERJTuWzqpj-28,https://www.google.com/maps/place/?q=place_id:ChIJt5_dKpCfBZERJTuWzqpj-28,Broaster Lucy,Restaurante,"J66C+8RC, Mercado, Mar Pacifico Sur, San Bartolo 15856",941 045 469,+51 941 045 469,,,"-12.3891811,-76.7779773",5,,"Pollería en el distrito de San Bartolo, Lima , Lima, Perú"
ChIJs32wZOaZBZERi2a2P3Wm-TE,https://www.google.com/maps/place/?q=place_id:ChIJs32wZOaZBZERi2a2P3Wm-TE,A taberna de Dña. Douris,Restaurante,"Av, Calle 6 Lt. 29, San Bartolo",982 744 560,+51 982 744 560,,,"-12.388233999999999,-76.7778711",4.5,,"Pollería en el distrito de San Bartolo, Lima , Lima, Perú"
ChIJY17hwh-fBZER1G6W0NQqNSk,https://www.google.com/maps/place/?q=place_id:ChIJY17hwh-fBZER1G6W0NQqNSk,Antojitos Marinos San Bartolo,Restaurante,"Urb. Javier Pérez de Cuellar Mz. R Lt 30, San Bartolo 15856",957 620 785,+51 957 620 785,facebook.com,https://www.facebook.com/antojitosmarinos01/,"-12.390872499999999,-76.7749951",4.4,,"Pollería en el distrito de San Bartolo, Lima , Lima, Perú"
ChIJmQpHjX3HBZER0qbSSHSd_Q8,https://www.google.com/maps/place/?q=place_id:ChIJmQpHjX3HBZER0qbSSHSd_Q8,Pollos a la Brasa D'Reyes,Restaurante especializado en pollo,"Av. Riva Agüero 285, El Agustino 15003",947 595 712,+51 947 595 712,,,"-12.056525599999999,-77.00567989999999",3.9,,"Pollería en el distrito de San Bartolo, Lima , Lima, Perú"
ChIJH5XuvCKZBZER16DPzTs-6sk,https://www.google.com/maps/place/?q=place_id:ChIJH5XuvCKZBZER16DPzTs-6sk,CHIFA - POLLERIA MAGALY,Restaurante,"Rafael Salazar Morey, San Bartolo 15856",993 903 790,+51 993 903 790,,,"-12.3868823,-76.770719",,,"Pollería en el distrito de San Bartolo, Lima , Lima, Perú"
ChIJf0k56SqfBZERpIrYq8e6dpA,https://www.google.com/maps/place/?q=place_id:ChIJf0k56SqfBZERpIrYq8e6dpA,Restaurant La Terracita,Restaurante,"Frente a la Playa, Rivera Norte baja 420, San Bartolo 01",943 988 803,+51 943 988 803,facebook.com,https://www.facebook.com/LaTerracitaSanBartolo%20https://instagram.com/restaurantelaterracita,"-12.3890029,-76.78163649999999",4,,"Pollería en el distrito de San Bartolo, Lima , Lima, Perú"
ChIJSblLahWfBZERGINM8VS98ak,https://www.google.com/maps/place/?q=place_id:ChIJSblLahWfBZERGINM8VS98ak,Parrillas Tía lucha,Parrilla,"Av Miguel Grau mz B Lt 14 URB San José, San Bartolo",986 841 349,+51 986 841 349,parrillastialucha.ola.click,https://parrillastialucha.ola.click/,"-12.3897024,-76.7731234",4.4,,"Pollería en el distrito de San Bartolo, Lima , Lima, Perú"
ChIJJwRcBNWeBZERfm4Jk0UJVIM,https://www.google.com/maps/place/?q=place_id:ChIJJwRcBNWeBZERfm4Jk0UJVIM,Chelulo's Restaurant,Restaurante,"Mar Pacifico Sur, 388-396, San Bartolo 15856",993 643 694,+51 993 643 694,,,"-12.389334,-76.77741",4.1,,"Cevichería en el distrito de San Bartolo, Lima , Lima, Perú"
ChIJgW3m1fqfBZERpBAO-vTagyE,https://www.google.com/maps/place/?q=place_id:ChIJgW3m1fqfBZERpBAO-vTagyE,Restaurante Secretos Del Mar,Marisquería,San Bartolo 15856,939 516 993,+51 939 516 993,,,"-12.39016,-76.777051",4.3,,"Cevichería en el distrito de San Bartolo, Lima , Lima, Perú"
ChIJt6l8HKmfBZERJNYG33kgWsU,https://www.google.com/maps/place/?q=place_id:ChIJt6l8HKmfBZERJNYG33kgWsU,Cevichería Juaneco,Restaurante,"Av. Jose De San Martin 856, San Bartolo 15856",,,,,"-12.394782,-76.7769691",4.4,,"Cevichería en el distrito de San Bartolo, Lima , Lima, Perú"
ChIJY17hwh-fBZER1G6W0NQqNSk,https://www.google.com/maps/place/?q=place_id:ChIJY17hwh-fBZER1G6W0NQqNSk,Antojitos Marinos San Bartolo,Restaurante,"Urb. Javier Pérez de Cuellar Mz. R Lt 30, San Bartolo 15856",957 620 785,+51 957 620 785,facebook.com,https://www.facebook.com/antojitosmarinos01/,"-12.390872499999999,-76.7749951",4.4,,"Cevichería en el distrito de San Bartolo, Lima , Lima, Perú"
