id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJq0GFe1-4BZERALJqdz3fCsQ,https://www.google.com/maps/place/?q=place_id:ChIJq0GFe1-4BZERALJqdz3fCsQ,El Gran Camperito,Restaurante especializado en pollo,"Av Salvador Allende 808, San Juan de Miraflores 15803",(01) 4663905,+51 1 4663905,,,"-12.152824899999999,-76.9646841",4.1,,"Pollería en el distrito de San Juan de Miraflores, Lima , Lima, Perú"
ChIJI1NTvaC5BZERd8H7BaGPgRc,https://www.google.com/maps/place/?q=place_id:ChIJI1NTvaC5BZERd8H7BaGPgRc,"POLLOS Y PARRILLAS "" LA LEÑA """,Restaurante,"Av. Prol. Canevaro,Mz ò1 Ltd 3, San Juan de Miraflores",(01) 4796588,+51 1 4796588,,,"-12.1758291,-76.9669218",4.3,,"Pollería en el distrito de San Juan de Miraflores, Lima , Lima, Perú"
ChIJKecrRoi4BZERiTUrNZOuky8,https://www.google.com/maps/place/?q=place_id:ChIJKecrRoi4BZERiTUrNZOuky8,"Pollos a la Brasa "" CAba """,Restaurante,"Av San Juan 14, San Juan de Miraflores 15806",(01) 2593553,+51 1 2593553,,,"-12.1403536,-76.9627392",3.9,,"Pollería en el distrito de San Juan de Miraflores, Lima , Lima, Perú"
ChIJZ0lf0f-4BZERSp17ZEYBdkw,https://www.google.com/maps/place/?q=place_id:ChIJZ0lf0f-4BZERSp17ZEYBdkw,Pollería La Reja,Restaurante,"Av. Miguel Iglesias Mz. F - 9, San Juan de Miraflores 15824",990 820 411,+51 990 820 411,,,"-12.1714717,-76.9618176",4.3,,"Pollería en el distrito de San Juan de Miraflores, Lima , Lima, Perú"
ChIJJ3ULdUG4BZERxsVLH_9MBg0,https://www.google.com/maps/place/?q=place_id:ChIJJ3ULdUG4BZERxsVLH_9MBg0,El Canario,Restaurante especializado en pollo,"Los Lirios 297, San Juan de Miraflores 15801",(01) 3405401,+51 1 3405401,,,"-12.153273299999999,-76.9828692",4.2,,"Pollería en el distrito de San Juan de Miraflores, Lima , Lima, Perú"
ChIJR5LuRfe4BZERfj3JmsA2yNk,https://www.google.com/maps/place/?q=place_id:ChIJR5LuRfe4BZERfj3JmsA2yNk,Pollería La Brasa,Restaurante,"Bernardino Romero 997, San Juan de Miraflores 15809",921 688 976,+51 921 688 976,,,"-12.159495699999999,-76.9593247",4.1,,"Pollería en el distrito de San Juan de Miraflores, Lima , Lima, Perú"
ChIJbeU5CFu4BZER82bgmUoWEI4,https://www.google.com/maps/place/?q=place_id:ChIJbeU5CFu4BZER82bgmUoWEI4,Leña & Sabor,Restaurante especializado en filetes,"Av San Juan 1022, San Juan de Miraflores 15801",(01) 2762730,+51 1 2762730,,,"-12.157516699999999,-76.9729868",4.2,,"Pollería en el distrito de San Juan de Miraflores, Lima , Lima, Perú"
ChIJgzl9aFy4BZER8FARVks6Sh4,https://www.google.com/maps/place/?q=place_id:ChIJgzl9aFy4BZER8FARVks6Sh4,El Rey,Restaurante especializado en pollo,"Av. los Héroes 494, San Juan de Miraflores 15801",989 183 006,+51 989 183 006,,,"-12.154256199999999,-76.9722486",4,,"Pollería en el distrito de San Juan de Miraflores, Lima , Lima, Perú"
ChIJaUfVuBu5BZERyM5ydNa5H2Y,https://www.google.com/maps/place/?q=place_id:ChIJaUfVuBu5BZERyM5ydNa5H2Y,Mr. Pollo,Restaurante de comida rápida,"Cesar Vallejo Mz. L, San Juan de Miraflores 15058",940 626 254,+51 940 626 254,,,"-12.180397399999999,-76.9777321",4.4,,"Pollería en el distrito de San Juan de Miraflores, Lima , Lima, Perú"
ChIJW02BJZm5BZER6jh9gOrMYOo,https://www.google.com/maps/place/?q=place_id:ChIJW02BJZm5BZER6jh9gOrMYOo,Polleria el Dorado,Restaurante,"Av. los Héroes 104 Urb, San Juan de Miraflores 15810",968 202 691,+51 968 202 691,,,"-12.1508488,-76.98067809999999",3.7,,"Pollería en el distrito de San Juan de Miraflores, Lima , Lima, Perú"
