id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJQ_OP4S7GBZERG1wCZieNl1E,https://www.google.com/maps/place/?q=place_id:ChIJQ_OP4S7GBZERG1wCZieNl1E,Don Cirilo,Restaurante,"Av. San Juan 701, San Luis 15021",(01) 7549008,+51 1 7549008,doncirilo.pe,http://www.doncirilo.pe/,"-12.075756,-77.0027602",4.3,,"Pollería en el distrito de San Luis, Lima , Lima, Perú"
ChIJURMYMl_QBZERWEKFnorvDDc,https://www.google.com/maps/place/?q=place_id:ChIJURMYMl_QBZERWEKFnorvDDc,El Gallito - Pollos a la Brasa,Pollería,"Juan Pablo Risso 300, San Luis 15019",953 740 168,+51 953 740 168,facebook.com,https://www.facebook.com/elgallitopolleria/,"-12.064860699999999,-76.9971571",4.1,,"Pollería en el distrito de San Luis, Lima , Lima, Perú"
ChIJJcIsDzHGBZERmkhFNZbdrfk,https://www.google.com/maps/place/?q=place_id:ChIJJcIsDzHGBZERmkhFNZbdrfk,Leña & Carbón,Restaurante especializado en pollo,"Avenida Agustín de la Rosa Toro 598, San Luis 15021",(01) 7390999,+51 1 7390999,lenaycarbon.com,http://www.lenaycarbon.com/,"-12.076314499999999,-76.9956452",4,,"Pollería en el distrito de San Luis, Lima , Lima, Perú"
ChIJhXOKCCnGBZERSoQKwpwZ-Fs,https://www.google.com/maps/place/?q=place_id:ChIJhXOKCCnGBZERSoQKwpwZ-Fs,Las Leñas Polleria,Restaurante,"Av. San Juan 361, San Luis 15021",985 556 355,+51 985 556 355,m.facebook.com,https://m.facebook.com/Las-Le%C3%B1as-Polleria-108027974274527/?ref=bookmarks,"-12.076716399999999,-77.0072169",4.1,,"Pollería en el distrito de San Luis, Lima , Lima, Perú"
ChIJjRB3DzHGBZERTLCB062tpU4,https://www.google.com/maps/place/?q=place_id:ChIJjRB3DzHGBZERTLCB062tpU4,Pollería Restaurante Narch's San Luis,Restaurante,"Av del Aire 1403, San Luis 15021",953 062 546,+51 953 062 546,facebook.com,https://www.facebook.com/RestauranteNarchs/,"-12.0761319,-76.9954324",4.2,,"Pollería en el distrito de San Luis, Lima , Lima, Perú"
ChIJu6bPjjrGBZERmbDFA9A5DEU,https://www.google.com/maps/place/?q=place_id:ChIJu6bPjjrGBZERmbDFA9A5DEU,Leñon | Pollos a la brasa,Pollería,"Manuel Beingolea N° 275, San Luis 15021",(01) 7549009,+51 1 7549009,lenon.pe,http://www.lenon.pe/,"-12.0717188,-76.9964215",3.8,,"Pollería en el distrito de San Luis, Lima , Lima, Perú"
ChIJmQpHjX3HBZER0qbSSHSd_Q8,https://www.google.com/maps/place/?q=place_id:ChIJmQpHjX3HBZER0qbSSHSd_Q8,Pollos a la Brasa D'Reyes,Restaurante especializado en pollo,"Av. Riva Agüero 285, El Agustino 15003",947 595 712,+51 947 595 712,,,"-12.056525599999999,-77.00567989999999",3.9,,"Pollería en el distrito de San Luis, Lima , Lima, Perú"
ChIJh4-uui_GBZERVyJQlhm9rZg,https://www.google.com/maps/place/?q=place_id:ChIJh4-uui_GBZERVyJQlhm9rZg,Pollería El Braserito,Restaurante especializado en pollo,"Av. San Luis, San Luis 15021",932 475 260,+51 932 475 260,,,"-12.0748676,-77.0009673",3.5,,"Pollería en el distrito de San Luis, Lima , Lima, Perú"
ChIJDZizF1nHBZER7JXA7_6_QZE,https://www.google.com/maps/place/?q=place_id:ChIJDZizF1nHBZER7JXA7_6_QZE,Taky Pollos a la Leña,Restaurante especializado en pollo,"Av. San Luis 1974 - A, San Borja 15037",995 254 980,+51 995 254 980,,,"-12.0890521,-76.9965407",4,,"Pollería en el distrito de San Luis, Lima , Lima, Perú"
ChIJUbUgPefHBZERWOg15ls7kLQ,https://www.google.com/maps/place/?q=place_id:ChIJUbUgPefHBZERWOg15ls7kLQ,CARBONERITO CHICKEN,Restaurante especializado en pollo,"Av. Tupac Amaru 184, El Agustino 15003",984 584 229,+51 984 584 229,,,"-12.0525149,-77.00429009999999",3.9,,"Pollería en el distrito de San Luis, Lima , Lima, Perú"
ChIJ3QA4VZnHBZERpQnuIshrsY4,https://www.google.com/maps/place/?q=place_id:ChIJ3QA4VZnHBZERpQnuIshrsY4,La Barra Pollera - To Go,Restaurante,"Av. San Luis 1003, San Luis 15021",980 302 585,+51 980 302 585,fb.com,http://fb.com/labarrapollera.togo,"-12.0767667,-76.9998617",3.8,,"Pollería en el distrito de San Luis, Lima , Lima, Perú"
ChIJ9Zgh4DHHBZERr8N-213OQHw,https://www.google.com/maps/place/?q=place_id:ChIJ9Zgh4DHHBZERr8N-213OQHw,Braseria San Cayetano,Restaurante especializado en pollo,"C. Mariscal Jose de la Mar 100, Lima 15003",958 170 854,+51 958 170 854,,,"-12.0577878,-77.007097",1,,"Pollería en el distrito de San Luis, Lima , Lima, Perú"
ChIJVRI2ZbzHBZERT9ZBhYUHzx0,https://www.google.com/maps/place/?q=place_id:ChIJVRI2ZbzHBZERT9ZBhYUHzx0,Pollería Y Cevichería Rudy's,Restaurante,"Blvd. República 625, Lima 15003",910 324 101,+51 910 324 101,,,"-12.049657199999999,-77.0106126",4,,"Pollería en el distrito de San Luis, Lima , Lima, Perú"
ChIJtbJQAhzGBZERUaNg8-qMG30,https://www.google.com/maps/place/?q=place_id:ChIJtbJQAhzGBZERUaNg8-qMG30,Pollería LOS GORDITOS,Restaurante especializado en pollo,"Av. Riva Agüero 310, El Agustino 15003",(01) 4325746,+51 1 4325746,,,"-12.0562168,-77.0050763",3.7,,"Pollería en el distrito de San Luis, Lima , Lima, Perú"
ChIJJ_cZNDTGBZER1IS_6xdDWHE,https://www.google.com/maps/place/?q=place_id:ChIJJ_cZNDTGBZER1IS_6xdDWHE,Norky's Canada,Restaurante especializado en pollo,"Av. Canadá 3904, San Luis 15021",(01) 7178843,+51 1 7178843,,,"-12.0790261,-76.99050129999999",3.9,,"Pollería en el distrito de San Luis, Lima , Lima, Perú"
ChIJq_msCRzGBZERwapQXt4A6R4,https://www.google.com/maps/place/?q=place_id:ChIJq_msCRzGBZERwapQXt4A6R4,Polleria EL GORDO CARMELO,Restaurante,"Av. Riva Agüero 397, El Agustino 15003",(01) 4325812,+51 1 4325812,,,"-12.0554264,-77.0047898",4,,"Pollería en el distrito de San Luis, Lima , Lima, Perú"
ChIJh5Y7HTPGBZERRVor8I9i3BU,https://www.google.com/maps/place/?q=place_id:ChIJh5Y7HTPGBZERRVor8I9i3BU,Roky's,Restaurante especializado en pollo,"Av. Canadá 3296, San Borja 15021",(01) 3461686,+51 1 3461686,,,"-12.0818405,-76.9958575",4,,"Pollería en el distrito de San Luis, Lima , Lima, Perú"
ChIJ435rbvrHBZERHcFlxv_zCng,https://www.google.com/maps/place/?q=place_id:ChIJ435rbvrHBZERHcFlxv_zCng,Brazeros,Restaurante especializado en pollo,"Av del Aire 1208, San Luis 15021",917 878 427,+51 917 878 427,brazeros.com.pe,http://www.brazeros.com.pe/,"-12.0783996,-76.9988065",4.7,,"Pollería en el distrito de San Luis, Lima , Lima, Perú"
ChIJp8IlkMXHBZERHbhXcqeRNYs,https://www.google.com/maps/place/?q=place_id:ChIJp8IlkMXHBZERHbhXcqeRNYs,Pardos Chicken San Borja,Restaurante especializado en pollo,"Av. San Luis 2303, San Borja 15037",(01) 2198000,+51 1 2198000,,,"-12.095628,-76.995142",4.1,,"Pollería en el distrito de San Luis, Lima , Lima, Perú"
