id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJIx5DAMTFBZERtFTT4CB73Es,https://www.google.com/maps/place/?q=place_id:ChIJIx5DAMTFBZERtFTT4CB73Es,Pollería Kely's Santa Anita,Restaurante,"Av. Los Chancas, Santa Anita 15009",(01) 2305230,+51 1 2305230,facebook.com,https://www.facebook.com/kelysperu,"-12.0354757,-76.95892359999999",3.9,,"Pollería en el distrito de Santa Anita, Lima , Lima, Perú"
ChIJyZWl-XvHBZERENmISEb90NA,https://www.google.com/maps/place/?q=place_id:ChIJyZWl-XvHBZERENmISEb90NA,POLLERIA EL REY santa anita,Restaurante,"Av. los Rosales 380, Santa Anita 15009",982 639 892,+51 982 639 892,rappi.app.link,https://rappi.app.link/Polleria_Rey?af_adset=pa-copy,"-12.047647,-76.96060419999999",4.9,,"Pollería en el distrito de Santa Anita, Lima , Lima, Perú"
ChIJ12SRcd7FBZERNkwamZNfVXo,https://www.google.com/maps/place/?q=place_id:ChIJ12SRcd7FBZERNkwamZNfVXo,POLLOS Y PARRILLAS EL MESON SANTA ANITA OFICIAL,Restaurante,"Av. las Alondras, Santa Anita 15009",916 061 038,+51 916 061 038,,,"-12.0532577,-76.9618495",4,,"Pollería en el distrito de Santa Anita, Lima , Lima, Perú"
ChIJmQpHjX3HBZER0qbSSHSd_Q8,https://www.google.com/maps/place/?q=place_id:ChIJmQpHjX3HBZER0qbSSHSd_Q8,Pollos a la Brasa D'Reyes,Restaurante especializado en pollo,"Av. Riva Agüero 285, El Agustino 15003",947 595 712,+51 947 595 712,,,"-12.056525599999999,-77.00567989999999",3.9,,"Pollería en el distrito de Santa Anita, Lima , Lima, Perú"
ChIJI3NElhvHBZERv3i_9qErla8,https://www.google.com/maps/place/?q=place_id:ChIJI3NElhvHBZERv3i_9qErla8,Pollería El Gordo,Restaurante,"Av. Los Eucaliptos 1008, Lima 15008",(01) 3626102 Anexo 013545768,+51 1 3626102 Anexo 013545768,,,"-12.0449255,-76.9737663",4.3,,"Pollería en el distrito de Santa Anita, Lima , Lima, Perú"
ChIJe96IOnHGBZERcTSrFt9mao8,https://www.google.com/maps/place/?q=place_id:ChIJe96IOnHGBZERcTSrFt9mao8,Pollería Leys,Restaurante,"Av. Tupac Amaru 400, Santa Anita 15008",(01) 3830667,+51 1 3830667,,,"-12.044605899999999,-76.97950689999999",4.1,,"Pollería en el distrito de Santa Anita, Lima , Lima, Perú"
ChIJbzzF22bGBZERAexnjqzCKIA,https://www.google.com/maps/place/?q=place_id:ChIJbzzF22bGBZERAexnjqzCKIA,Pardos Chicken Santa Anita,Restaurante especializado en pollo,"CC Mall Aventura Plaza, Ctra. Central 111, Santa Anita 15008",(01) 2198000,+51 1 2198000,pardoschicken.pe,https://www.pardoschicken.pe/,"-12.0569391,-76.9713141",4,,"Pollería en el distrito de Santa Anita, Lima , Lima, Perú"
ChIJm-s8BGLGBZERUUQEpDQkbCs,https://www.google.com/maps/place/?q=place_id:ChIJm-s8BGLGBZERUUQEpDQkbCs,Big Chicken Original,Restaurante especializado en pollo,"Marabu 162, Santa Anita 15009",(01) 3830713,+51 1 3830713,,,"-12.0539463,-76.9646729",4.1,,"Pollería en el distrito de Santa Anita, Lima , Lima, Perú"
ChIJW-HUA2zGBZERhds__U0kBuM,https://www.google.com/maps/place/?q=place_id:ChIJW-HUA2zGBZERhds__U0kBuM,Polleria Marius,Restaurante,"Av. los Nogales 476, Santa Anita 15073",943 720 735,+51 943 720 735,facebook.com,https://www.facebook.com/polleriamariusoficial/?ref=bookmarks,"-12.054729,-76.9817721",4.1,,"Pollería en el distrito de Santa Anita, Lima , Lima, Perú"
ChIJTeX03pnHBZERhxawTE3Dtws,https://www.google.com/maps/place/?q=place_id:ChIJTeX03pnHBZERhxawTE3Dtws,El Cilindro de Don Ignacio,Servicio de catering,"San Martin 210, El Agustino 15003",952 145 382,+51 952 145 382,,,"-12.0559233,-77.0067475",4,,"Pollería en el distrito de Santa Anita, Lima , Lima, Perú"
ChIJEdzeVK_HBZERAL1Bh-SbdjM,https://www.google.com/maps/place/?q=place_id:ChIJEdzeVK_HBZERAL1Bh-SbdjM,Pipos Chicken,Restaurante,"Av. Colectora Industrial Mz A7 Lt. 3 Asociación Los Portales de Santa Anita Santa Anita LIMA, 43",932 434 132,+51 932 434 132,facebook.com,https://www.facebook.com/PiposChicken/,"-12.0421503,-76.9599351",4.1,,"Pollería en el distrito de Santa Anita, Lima , Lima, Perú"
ChIJ_zVSBGLGBZERHHhqcZqSbKo,https://www.google.com/maps/place/?q=place_id:ChIJ_zVSBGLGBZERHHhqcZqSbKo,El Campollo,Restaurante peruano,"Av. Los Ruiseñores 200, Lima 15009",(01) 7662314,+51 1 7662314,,,"-12.0538632,-76.96484989999999",3.9,,"Pollería en el distrito de Santa Anita, Lima , Lima, Perú"
ChIJAZ1KKHXHBZERxTeh--pLH0Q,https://www.google.com/maps/place/?q=place_id:ChIJAZ1KKHXHBZERxTeh--pLH0Q,Festín Brasas Y Leña,Restaurante,"Av Sta Rosa 404, Santa Anita 15008",970 343 005,+51 970 343 005,,,"-12.048057199999999,-76.9629376",4,,"Pollería en el distrito de Santa Anita, Lima , Lima, Perú"
ChIJe5goXybEBZERkp8SAz16bAA,https://www.google.com/maps/place/?q=place_id:ChIJe5goXybEBZERkp8SAz16bAA,Polleria Reyes Brasa - local surge,Pollería,"avenida virreyes mz u lote 29 ubr, Santa Anita 15011",946 570 672,+51 946 570 672,polleriareyesbrasa.com,https://www.polleriareyesbrasa.com/,"-12.030906199999999,-76.9438727",3.9,,"Pollería en el distrito de Santa Anita, Lima , Lima, Perú"
ChIJOxWArH7GBZERd_AlmMf0bbE,https://www.google.com/maps/place/?q=place_id:ChIJOxWArH7GBZERd_AlmMf0bbE,Leña & Carbón,Pollería,"Gran Chimú N° 115, Santa Anita 15009",(01) 7390999,+51 1 7390999,lenaycarbon.com,http://www.lenaycarbon.com/,"-12.043146199999999,-76.96998099999999",4.1,,"Pollería en el distrito de Santa Anita, Lima , Lima, Perú"
ChIJi9Gb0GbGBZERRwS_S-h_xnU,https://www.google.com/maps/place/?q=place_id:ChIJi9Gb0GbGBZERRwS_S-h_xnU,Norky's - Mall Aventura Santa Anita,Restaurante especializado en pollo,"Ctra. Central 111, Santa Anita 15008",994 273 640,+51 994 273 640,,,"-12.0566093,-76.9700177",3.7,,"Pollería en el distrito de Santa Anita, Lima , Lima, Perú"
ChIJUeNO_onGBZER4FBfWD9LwT0,https://www.google.com/maps/place/?q=place_id:ChIJUeNO_onGBZER4FBfWD9LwT0,Roky's,Restaurante,"Av. las Alondras 145, Santa Anita 15009",(01) 6135000,+51 1 6135000,rokys.com,http://www.rokys.com/,"-12.054052299999999,-76.9641418",3.8,,"Pollería en el distrito de Santa Anita, Lima , Lima, Perú"
ChIJtbJQAhzGBZERUaNg8-qMG30,https://www.google.com/maps/place/?q=place_id:ChIJtbJQAhzGBZERUaNg8-qMG30,Pollería LOS GORDITOS,Restaurante especializado en pollo,"Av. Riva Agüero 310, El Agustino 15003",(01) 4325746,+51 1 4325746,,,"-12.0562168,-77.0050763",3.7,,"Pollería en el distrito de Santa Anita, Lima , Lima, Perú"
ChIJq_msCRzGBZERwapQXt4A6R4,https://www.google.com/maps/place/?q=place_id:ChIJq_msCRzGBZERwapQXt4A6R4,Polleria EL GORDO CARMELO,Restaurante,"Av. Riva Agüero 397, El Agustino 15003",(01) 4325812,+51 1 4325812,,,"-12.0554264,-77.0047898",4,,"Pollería en el distrito de Santa Anita, Lima , Lima, Perú"
ChIJSRx79n_GBZERC1869ZJs9ak,https://www.google.com/maps/place/?q=place_id:ChIJSRx79n_GBZERC1869ZJs9ak,Hailton,Restaurante especializado en pollo,"Av Imperial 412, Santa Anita 15009",(01) 4780271,+51 1 4780271,,,"-12.037768,-76.9652287",4.1,,"Pollería en el distrito de Santa Anita, Lima , Lima, Perú"
ChIJbxL3z2bGBZERDpGk46M768k,https://www.google.com/maps/place/?q=place_id:ChIJbxL3z2bGBZERDpGk46M768k,Embarcadero41 Santa Anita,Restaurante peruano,"Av. Nicolás Ayllón 3012, Ate 15023",924 755 404,+51 924 755 404,embarcadero41.com,https://embarcadero41.com/,"-12.0563711,-76.97063849999999",4.7,,"Cevichería en el distrito de Santa Anita, Lima , Lima, Perú"
ChIJcyilSGHGBZERCAjWxSdkQEA,https://www.google.com/maps/place/?q=place_id:ChIJcyilSGHGBZERCAjWxSdkQEA,El Viejo Velero,Restaurante,"Av. Francisco Bolognesi 210, Santa Anita 15008",991 873 135,+51 991 873 135,facebook.com,https://www.facebook.com/ElVeleroOficial/,"-12.0549948,-76.9695437",4.1,,"Cevichería en el distrito de Santa Anita, Lima , Lima, Perú"
ChIJQ4OL_HvGBZERVqsT84oCY54,https://www.google.com/maps/place/?q=place_id:ChIJQ4OL_HvGBZERVqsT84oCY54,San Pedro Cebicheria - Restaurant,Restaurante,"Av. Los Eucaliptos 1256, Santa Anita 15008",(01) 3626584,+51 1 3626584,,,"-12.0438134,-76.9707284",4,,"Cevichería en el distrito de Santa Anita, Lima , Lima, Perú"
ChIJFfXp-3_GBZER5hzygpZpA4k,https://www.google.com/maps/place/?q=place_id:ChIJFfXp-3_GBZER5hzygpZpA4k,Ceviche De Barrio,Marisquería,"Av. Los Chancas 1620, Santa Anita 15011",,,,,"-12.0342059,-76.9525183",4.2,,"Cevichería en el distrito de Santa Anita, Lima , Lima, Perú"
ChIJA7Z63XzGBZERfpRWyYlBmww,https://www.google.com/maps/place/?q=place_id:ChIJA7Z63XzGBZERfpRWyYlBmww,Carloncho Cevichería - Restaurant,Restaurante peruano,"Av. Los Ruiseñores 758, Santa Anita 15008",(01) 5014754,+51 1 5014754,,,"-12.0476045,-76.96777",4,,"Cevichería en el distrito de Santa Anita, Lima , Lima, Perú"
