id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJj0sum67JBZERWX-mqUnQIPc,https://www.google.com/maps/place/?q=place_id:ChIJj0sum67JBZERWX-mqUnQIPc,Pollería El Ricky,Restaurante,"Sta. Rosa 225, Lima 15047",960 605 360,+51 960 605 360,,,"-12.118094099999999,-77.02376459999999",3.5,,"Pollería en el distrito de Santa Rosa, Lima , Lima, Perú"
ChIJm9FybYLJBZER5mwhp9a2lDo,https://www.google.com/maps/place/?q=place_id:ChIJm9FybYLJBZER5mwhp9a2lDo,Pollos y parrillas Ricco's Paruro,Restaurante,"Jr. Sta. Rosa 873, Lima 15001",963 608 426,+51 963 608 426,,,"-12.052428899999999,-77.023641",4.5,,"Pollería en el distrito de Santa Rosa, Lima , Lima, Perú"
ChIJf_bmrp3VBZERcc7OW5tb4ok,https://www.google.com/maps/place/?q=place_id:ChIJf_bmrp3VBZERcc7OW5tb4ok,Pollería El Sabor,Restaurante,"6R7V+CPV, Santa Rosa 15123",(01) 4807204,+51 1 4807204,,,"-11.786386,-77.1557107",3.8,,"Pollería en el distrito de Santa Rosa, Lima , Lima, Perú"
ChIJwdgFDbrIBZEReqA3EtaloYs,https://www.google.com/maps/place/?q=place_id:ChIJwdgFDbrIBZEReqA3EtaloYs,Chicken Brasa,Restaurante,"WXXF+3FM, Jr. Sta. Rosa, Lima 15001",923 781 381,+51 923 781 381,,,"-12.0522908,-77.02634259999999",3.9,,"Pollería en el distrito de Santa Rosa, Lima , Lima, Perú"
ChIJ5ahNqa3FBZER6BqZIFgaRGM,https://www.google.com/maps/place/?q=place_id:ChIJ5ahNqa3FBZER6BqZIFgaRGM,Polleria Santa Rosa,Tienda de aves de corral,"Parque de Horizonte de Zárate 1 Etapa, Av Santa rosa 1778- urb Inca, Manco Capac, San Juan de Lurigancho 15401",994 788 095,+51 994 788 095,,,"-12.000734399999999,-77.0000622",,,"Pollería en el distrito de Santa Rosa, Lima , Lima, Perú"
ChIJ-6OwSDjVBZERuTl9xDTAXbg,https://www.google.com/maps/place/?q=place_id:ChIJ-6OwSDjVBZERuTl9xDTAXbg,Pollos & Parrillas DELBAR CHICKEN,Restaurante,Santa Rosa 07071,,,,,"-11.8171298,-77.1563766",4.3,,"Pollería en el distrito de Santa Rosa, Lima , Lima, Perú"
ChIJ4cfghAvVBZERxxoxFZRWs4g,https://www.google.com/maps/place/?q=place_id:ChIJ4cfghAvVBZERxxoxFZRWs4g,Pollería THAIS,Restaurante,"Media cuadra antes de la Fiscalía, URB. Covitiomar Mz ""H"" Lote ""31 Al costado de la, Santa Rosa 15123",974 724 085,+51 974 724 085,facebook.com,https://www.facebook.com/polleriathais,"-11.787782199999999,-77.1570108",4.3,,"Pollería en el distrito de Santa Rosa, Lima , Lima, Perú"
ChIJc9hXxEXGBZERhuUWa4Py2tI,https://www.google.com/maps/place/?q=place_id:ChIJc9hXxEXGBZERhuUWa4Py2tI,A Fuego Lento Pollos Ala LeñA Y Parrillas,Restaurante,"Sta. Rosa 667, Lima 15022",(01) 3267493,+51 1 3267493,,,"-12.0700127,-76.980567",4,,"Pollería en el distrito de Santa Rosa, Lima , Lima, Perú"
ChIJmQpHjX3HBZER0qbSSHSd_Q8,https://www.google.com/maps/place/?q=place_id:ChIJmQpHjX3HBZER0qbSSHSd_Q8,Pollos a la Brasa D'Reyes,Restaurante especializado en pollo,"Av. Riva Agüero 285, El Agustino 15003",947 595 712,+51 947 595 712,,,"-12.056525599999999,-77.00567989999999",3.9,,"Pollería en el distrito de Santa Rosa, Lima , Lima, Perú"
ChIJcVkHSS_VBZER7qT1V-KOPpM,https://www.google.com/maps/place/?q=place_id:ChIJcVkHSS_VBZER7qT1V-KOPpM,Polleria pico de ORO,Pollería,"Lima, Santa Rosa 07071",900 132 421,+51 900 132 421,,,"-11.8175937,-77.1598346",5,,"Pollería en el distrito de Santa Rosa, Lima , Lima, Perú"
ChIJtbJQAhzGBZERUaNg8-qMG30,https://www.google.com/maps/place/?q=place_id:ChIJtbJQAhzGBZERUaNg8-qMG30,Pollería LOS GORDITOS,Restaurante especializado en pollo,"Av. Riva Agüero 310, El Agustino 15003",(01) 4325746,+51 1 4325746,,,"-12.0562168,-77.0050763",3.7,,"Pollería en el distrito de Santa Rosa, Lima , Lima, Perú"
ChIJq_msCRzGBZERwapQXt4A6R4,https://www.google.com/maps/place/?q=place_id:ChIJq_msCRzGBZERwapQXt4A6R4,Polleria EL GORDO CARMELO,Restaurante,"Av. Riva Agüero 397, El Agustino 15003",(01) 4325812,+51 1 4325812,,,"-12.0554264,-77.0047898",4,,"Pollería en el distrito de Santa Rosa, Lima , Lima, Perú"
ChIJ00tft5LVBZERms8b6il5Glo,https://www.google.com/maps/place/?q=place_id:ChIJ00tft5LVBZERms8b6il5Glo,CHIFA POLLERIA CALIFORNIA II,Restaurante,"Av. Amazonas, Santa Rosa 07071",930 941 168,+51 930 941 168,,,"-11.8205108,-77.1531773",3.7,,"Pollería en el distrito de Santa Rosa, Lima , Lima, Perú"
ChIJJcIsDzHGBZERmkhFNZbdrfk,https://www.google.com/maps/place/?q=place_id:ChIJJcIsDzHGBZERmkhFNZbdrfk,Leña & Carbón,Pollería,"Avenida Agustín de la Rosa Toro 598, San Luis 15021",(01) 7390999,+51 1 7390999,lenaycarbon.com,http://www.lenaycarbon.com/,"-12.076314499999999,-76.9956452",4,,"Pollería en el distrito de Santa Rosa, Lima , Lima, Perú"
ChIJN91gdp7IBZERxm3vyNFvLUo,https://www.google.com/maps/place/?q=place_id:ChIJN91gdp7IBZERxm3vyNFvLUo,Pollos Aviación,Restaurante especializado en pollo,"Av. Aviación 674, La Victoria 15018",(01) 3242283,+51 1 3242283,,,"-12.067690299999999,-77.01227759999999",4,,"Pollería en el distrito de Santa Rosa, Lima , Lima, Perú"
ChIJTeF6VgDHBZERsx5faR-JPEI,https://www.google.com/maps/place/?q=place_id:ChIJTeF6VgDHBZERsx5faR-JPEI,Pollos RED CHICKEN L&G,Restaurante de comida rápida,"de américas fase 5, Av. La Cumbre, El Agustino 15004",,,,,"-12.058132599999999,-77.0002647",,,"Pollería en el distrito de Santa Rosa, Lima , Lima, Perú"
ChIJ5ZRhj6LIBZERJdv6GXaPyK8,https://www.google.com/maps/place/?q=place_id:ChIJ5ZRhj6LIBZERJdv6GXaPyK8,Pollos a la Brasa Okey,Restaurante especializado en pollo,"Av. 28 de Julio 2144, La Victoria 15018",999 932 663,+51 999 932 663,,,"-12.062020799999999,-77.019489",4.4,,"Pollería en el distrito de Santa Rosa, Lima , Lima, Perú"
ChIJyx1U8U7VBZERD5KN3jqGW7A,https://www.google.com/maps/place/?q=place_id:ChIJyx1U8U7VBZERD5KN3jqGW7A,Tranquera: Pollería & Chifa,Restaurante,"5RFM+WG9, Santa Rosa 07071",971 177 454,+51 971 177 454,,,"-11.8252157,-77.1661451",4.7,,"Pollería en el distrito de Santa Rosa, Lima , Lima, Perú"
ChIJr9kRJAXGBZERVvdUdR_Omp4,https://www.google.com/maps/place/?q=place_id:ChIJr9kRJAXGBZERVvdUdR_Omp4,Pollería Yaoky's,Tienda de aves de corral,"XX2X+5FC, Lima 15003",997 676 463,+51 997 676 463,,,"-12.0495676,-77.001348",4.2,,"Pollería en el distrito de Santa Rosa, Lima , Lima, Perú"
ChIJAQraSzzJBZERxUbxNNuOt4c,https://www.google.com/maps/place/?q=place_id:ChIJAQraSzzJBZERxUbxNNuOt4c,Pollería El Leñador La Victoria,Tienda de aves de corral,"Jr. Cangallo 109, La Victoria 15034",920 189 927,+51 920 189 927,,,"-12.0586547,-77.0215965",5,,"Pollería en el distrito de Santa Rosa, Lima , Lima, Perú"
