id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJK2-9ceS4BZERbAMb7UBarEc,https://www.google.com/maps/place/?q=place_id:ChIJK2-9ceS4BZERbAMb7UBarEc,Pollería Mister Pollo,Restaurante especializado en pollo,"Av. Villa María 355, Villa María del Triunfo 15809",941 444 817,+51 941 444 817,,,"-12.1648816,-76.9487699",3.9,,"Pollería en el distrito de Villa María del Triunfo, Lima , Lima, Perú"
ChIJN4QquB65BZERCae5l5NU9Io,https://www.google.com/maps/place/?q=place_id:ChIJN4QquB65BZERCae5l5NU9Io,Super Pollos La Leña 11am,Restaurante,"Av. Pachacútec 3213, Villa María del Triunfo 15817",(01) 2810374,+51 1 2810374,,,"-12.1759291,-76.945743",3.8,,"Pollería en el distrito de Villa María del Triunfo, Lima , Lima, Perú"
ChIJFb7u1Vi5BZERi0Sp-KItPCs,https://www.google.com/maps/place/?q=place_id:ChIJFb7u1Vi5BZERi0Sp-KItPCs,"Polleria ""VIDEMA""",Restaurante especializado en pollo,"Av. El Triunfo 257, Villa María del Triunfo 15809",(01) 6959556,+51 1 6959556,,,"-12.1663702,-76.9490903",4.2,,"Pollería en el distrito de Villa María del Triunfo, Lima , Lima, Perú"
ChIJUe2uWeG4BZERn6-WuqCOU2M,https://www.google.com/maps/place/?q=place_id:ChIJUe2uWeG4BZERn6-WuqCOU2M,Restaurante La Fogata Pollos Y Parrillas,Restaurante especializado en pollo,"Av. El Sol 426, Villa María del Triunfo 15809",(01) 3105225,+51 1 3105225,,,"-12.166340199999999,-76.9468073",4.3,,"Pollería en el distrito de Villa María del Triunfo, Lima , Lima, Perú"
ChIJAUR4C-O4BZERrGRxHNF00-g,https://www.google.com/maps/place/?q=place_id:ChIJAUR4C-O4BZERrGRxHNF00-g,Norky's,Restaurante especializado en pollo,"Av. El Triunfo 191 esquina con Av. 984, Av. Nicolás de Piérola, Villa María del Triunfo",(01) 7199408,+51 1 7199408,norkys.pe,http://norkys.pe/,"-12.167083799999999,-76.95012299999999",3.8,,"Pollería en el distrito de Villa María del Triunfo, Lima , Lima, Perú"
ChIJAZ5HmwS5BZERUnKPjiWK1ZU,https://www.google.com/maps/place/?q=place_id:ChIJAZ5HmwS5BZERUnKPjiWK1ZU,"Villa #31 Pollos, Carnes y Parrillas",Restaurante especializado en pollo,"Jr. Progreso 815, Villa María del Triunfo 15809",981 385 197,+51 981 385 197,,,"-12.164292999999999,-76.9472018",4.6,,"Pollería en el distrito de Villa María del Triunfo, Lima , Lima, Perú"
ChIJG6xZv0O5BZERtFXe1TJSnW8,https://www.google.com/maps/place/?q=place_id:ChIJG6xZv0O5BZERtFXe1TJSnW8,Pollería Romario II,Restaurante especializado en pollo,"Av Jose Carlos Mariategui 232, Villa María del Triunfo 35",934 652 788,+51 934 652 788,,,"-12.158590199999999,-76.95553869999999",4.5,,"Pollería en el distrito de Villa María del Triunfo, Lima , Lima, Perú"
ChIJAU91wOy5BZER6eZHrXar1sw,https://www.google.com/maps/place/?q=place_id:ChIJAU91wOy5BZER6eZHrXar1sw,Villa Brasas,Tienda de aves de corral,"Av Jose Carlos Mariategui 1120, Villa María del Triunfo 15812",(01) 2839423,+51 1 2839423,,,"-12.1476721,-76.9506664",3.7,,"Pollería en el distrito de Villa María del Triunfo, Lima , Lima, Perú"
ChIJWxGy4Zm9BZER8i_7w03Bwhc,https://www.google.com/maps/place/?q=place_id:ChIJWxGy4Zm9BZER8i_7w03Bwhc,La Casa Del Hornero - José Gálvez,Tienda de aves de corral,"Av.Lima 1096 José Gálvez - Paradero 6 y Medio, Villa María del Triunfo 15800",(01) 3374924,+51 1 3374924,facebook.com,https://www.facebook.com/Lacasadelhornero.VMT/,"-12.213961399999999,-76.9066077",4.4,,"Pollería en el distrito de Villa María del Triunfo, Lima , Lima, Perú"
ChIJ7-qMhB25BZERBxVNhMnir_Y,https://www.google.com/maps/place/?q=place_id:ChIJ7-qMhB25BZERBxVNhMnir_Y,Pollería El Huanuqueño (Nueva Esperanza VMT),Restaurante especializado en pollo,"R3H9+JPJ, Av 26 de Noviembre 1164, Villa María del Triunfo 15817",(01) 2913469,+51 1 2913469,,,"-12.1709553,-76.9308302",4.1,,"Pollería en el distrito de Villa María del Triunfo, Lima , Lima, Perú"
ChIJSWe2ObK5BZERgtrBYKiOsCQ,https://www.google.com/maps/place/?q=place_id:ChIJSWe2ObK5BZERgtrBYKiOsCQ,Polleria Pico de Oro,Restaurante,"Av. Villa María 137, Villa María del Triunfo 15809",948 263 909,+51 948 263 909,,,"-12.166614599999999,-76.9512779",3.5,,"Pollería en el distrito de Villa María del Triunfo, Lima , Lima, Perú"
ChIJJYKv-qe-BZER-jU8o29jn2M,https://www.google.com/maps/place/?q=place_id:ChIJJYKv-qe-BZER-jU8o29jn2M,Pollería Godoy,Restaurante,"Q3PV+MG9, Jr, Jiron Trujillo, Villa María del Triunfo",980 516 649,+51 980 516 649,,,"-12.213332399999999,-76.9061352",3.7,,"Pollería en el distrito de Villa María del Triunfo, Lima , Lima, Perú"
ChIJ1XZn8je5BZERfZMZd2oX7no,https://www.google.com/maps/place/?q=place_id:ChIJ1XZn8je5BZERfZMZd2oX7no,Polleria el gloton,Restaurante,"7, Villa María del Triunfo 15817",938 367 412,+51 938 367 412,,,"-12.1818873,-76.9404819",3.8,,"Pollería en el distrito de Villa María del Triunfo, Lima , Lima, Perú"
ChIJ1Z9xqSK5BZERx2gKd65YifM,https://www.google.com/maps/place/?q=place_id:ChIJ1Z9xqSK5BZERx2gKd65YifM,Polleria el dorado,Pollería,"La Merced 234, Villa María del Triunfo 15817",(01) 5970864,+51 1 5970864,,,"-12.181706499999999,-76.9410493",3.7,,"Pollería en el distrito de Villa María del Triunfo, Lima , Lima, Perú"
