id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJff2fmiEDD5EReQ9Xn_bhTfI,https://www.google.com/maps/place/?q=place_id:ChIJff2fmiEDD5EReQ9Xn_bhTfI,"Distrito de Alis, Yauyos - Lima",Parque,"Carr. Cañete Yauyos, Alis 15786",,,,,"-12.2809108,-75.7863929",4.3,,"Pollería en el distrito de Alis, Yauyos , Lima, Perú"
ChIJ6TAVmbkDD5ERvcWpkUw7htI,https://www.google.com/maps/place/?q=place_id:ChIJ6TAVmbkDD5ERvcWpkUw7htI,Restaurante Yaveli - Distrito de Alis - Yauyos,Restaurante peruano,"Calle Principal S/N, 15786",950 088 995,+51 950 088 995,sites.google.com,https://sites.google.com/view/yaveli-restaurante-alis-yauyos/inicio,"-12.281569699999999,-75.78649209999999",3.8,,"Pollería en el distrito de Alis, Yauyos , Lima, Perú"
ChIJE7kk_0zOBZERemyILAmm_s4,https://www.google.com/maps/place/?q=place_id:ChIJE7kk_0zOBZERemyILAmm_s4,La Cesta Pollería de Alisos,Restaurante,"Av. Los Alisos 186, Independencia 15311",(01) 2724873,+51 1 2724873,facebook.com,https://www.facebook.com/lacestapollosyparrillas/,"-11.9830717,-77.0591784",3.7,,"Pollería en el distrito de Alis, Yauyos , Lima, Perú"
ChIJ22xRhL3BD5ERYaqAtGve1Og,https://www.google.com/maps/place/?q=place_id:ChIJ22xRhL3BD5ERYaqAtGve1Og,Restaurant Pollería Kzitas,Restaurante,"Carr. Cañete Yauyos 281, Pacarán 15730",,,,,"-12.8654563,-76.0541894",4.9,,"Pollería en el distrito de Alis, Yauyos , Lima, Perú"
ChIJ7cgwSMGnD5ERvFmGCoT8EnM,https://www.google.com/maps/place/?q=place_id:ChIJ7cgwSMGnD5ERvFmGCoT8EnM,Pollos al Cilindro,Restaurante especializado en pollo,"G3QJ+VG8, Unnamed Road, Yauyos 15775",992 814 647,+51 992 814 647,,,"-12.460331799999999,-75.91868509999999",4.3,,"Pollería en el distrito de Alis, Yauyos , Lima, Perú"
ChIJe3y2AQDNBZERlWYGm4Tv4y4,https://www.google.com/maps/place/?q=place_id:ChIJe3y2AQDNBZERlWYGm4Tv4y4,LEIT PIZZA PACASMAYO,Pizzería,"Av. Pacasmayo mz. B, Callao 07031",928 176 871,+51 928 176 871,facebook.com,https://www.facebook.com/share/1AtLy7kET1/?mibextid=wwXIfr,"-12.0023457,-77.1054068",5,,"Pizzería en el distrito de Alis, Yauyos , Lima, Perú"
ChIJff2fmiEDD5EReQ9Xn_bhTfI,https://www.google.com/maps/place/?q=place_id:ChIJff2fmiEDD5EReQ9Xn_bhTfI,"Distrito de Alis, Yauyos - Lima",Parque,"Carr. Cañete Yauyos, Alis 15786",,,,,"-12.2809108,-75.7863929",4.3,,"Pizzería en el distrito de Alis, Yauyos , Lima, Perú"
ChIJqwCYYQbHBZERWwvIZarwB2I,https://www.google.com/maps/place/?q=place_id:ChIJqwCYYQbHBZERWwvIZarwB2I,Dito's Pizza,Pizzería,"Av. Los Constructores 1361, La Molina 15012",977 847 740,+51 977 847 740,facebook.com,https://www.facebook.com/DitosPizzaLima,"-12.060953699999999,-76.9432379",4.3,,"Pizzería en el distrito de Alis, Yauyos , Lima, Perú"
ChIJ39sf2qLJBZERUzpdxmF1wUc,https://www.google.com/maps/place/?q=place_id:ChIJ39sf2qLJBZERUzpdxmF1wUc,AL PAZZO,Pizzería,"Calle Choquehuanca 680, Av. Camino Real 497, San Isidro 15073",977 367 722,+51 977 367 722,,,"-12.0989066,-77.03676089999999",,,"Pizzería en el distrito de Alis, Yauyos , Lima, Perú"
ChIJExrFOBa3BZERNtmryntGVUk,https://www.google.com/maps/place/?q=place_id:ChIJExrFOBa3BZERNtmryntGVUk,Papalizpizza,Pizzería,"J, Chorrillos 15067",947 749 908,+51 947 749 908,,,"-12.1978042,-77.01433519999999",4.9,,"Pizzería en el distrito de Alis, Yauyos , Lima, Perú"
