id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJJSz7fNjIBZERe7p2eDSytYc,https://www.google.com/maps/place/?q=place_id:ChIJJSz7fNjIBZERe7p2eDSytYc,Pollería Donal's,Tienda de aves de corral,"Av. Venezuela 1689, Breña 15082",(01) 3321843,+51 1 3321843,,,"-12.0557283,-77.0558616",4,,"Pollería en el distrito de Huantan, Yauyos , Lima, Perú"
ChIJ9fYxbfrPBZERpqSO1VhMbZ0,https://www.google.com/maps/place/?q=place_id:ChIJ9fYxbfrPBZERpqSO1VhMbZ0,Pollería Donal's Tahuantinsuyo,Restaurante especializado en pollo,"Av. Chinchaysuyo No. 554, Lima 15331",902 957 893,+51 902 957 893,ueniweb.com,https://polleria-donal-s-tahuantinsuyo.ueniweb.com/?utm_campaign=gmb,"-11.977573,-77.04948069999999",3.9,,"Pollería en el distrito de Huantan, Yauyos , Lima, Perú"
ChIJIeLwSLrPBZERemSNEKsljdQ,https://www.google.com/maps/place/?q=place_id:ChIJIeLwSLrPBZERemSNEKsljdQ,La Granja,Restaurante,"Av Coricancha 340, Independencia 15331",(01) 3859743,+51 1 3859743,,,"-11.9814252,-77.0426475",4.3,,"Pollería en el distrito de Huantan, Yauyos , Lima, Perú"
ChIJ22xRhL3BD5ERYaqAtGve1Og,https://www.google.com/maps/place/?q=place_id:ChIJ22xRhL3BD5ERYaqAtGve1Og,Restaurant Pollería Kzitas,Restaurante,"Carr. Cañete Yauyos 281, Pacarán 15730",,,,,"-12.8654563,-76.0541894",4.9,,"Pollería en el distrito de Huantan, Yauyos , Lima, Perú"
ChIJK9qDJ9bPBZERNMYNj2WPo8M,https://www.google.com/maps/place/?q=place_id:ChIJK9qDJ9bPBZERNMYNj2WPo8M,Pollería Ysla,Restaurante,"2X95+G8J, Prosperidad, Independencia 15311",962 339 791,+51 962 339 791,,,"-11.981174399999999,-77.0417476",4.4,,"Pollería en el distrito de Huantan, Yauyos , Lima, Perú"
ChIJY_jDsaGXDpEROeOnQCsliB0,https://www.google.com/maps/place/?q=place_id:ChIJY_jDsaGXDpEROeOnQCsliB0,Restaurant & Polleria La Tarmeñita,Restaurante,"3 De Diciembre 12428, Junín 12428",,,,,"-12.1079387,-75.2353275",,,"Pollería en el distrito de Huantan, Yauyos , Lima, Perú"
ChIJT6C6RAC7D5ERzW1hpkj0Nqk,https://www.google.com/maps/place/?q=place_id:ChIJT6C6RAC7D5ERzW1hpkj0Nqk,Restaurante - Polleria La Reina,Restaurante,"Carretera Central Nor Yauyos Cochas, Calachota 15765",957 202 935,+51 957 202 935,facebook.com,https://www.facebook.com/share/1Bk4hUmgp1/,"-12.631822999999999,-75.9792837",,,"Pollería en el distrito de Huantan, Yauyos , Lima, Perú"
ChIJl1d_sO7BBZER3JirkrQ5Lxw,https://www.google.com/maps/place/?q=place_id:ChIJl1d_sO7BBZER3JirkrQ5Lxw,Polleria Canta'H,Pollería,"1, Ate",962 716 690,+51 962 716 690,,,"-12.0351921,-76.9047404",5,,"Pollería en el distrito de Huantan, Yauyos , Lima, Perú"
ChIJjWgqORbpD5ERI2B5qAeC2P0,https://www.google.com/maps/place/?q=place_id:ChIJjWgqORbpD5ERI2B5qAeC2P0,Pollería Costa Sur,Restaurante especializado en pollo,"carretera por yauyos 42.5 Uchupampa, Lunahuaná",957 282 774,+51 957 282 774,,,"-12.94225,-76.1269859",3.7,,"Pollería en el distrito de Huantan, Yauyos , Lima, Perú"
ChIJP4CMFVvOBZERc4SCMgNz9bw,https://www.google.com/maps/place/?q=place_id:ChIJP4CMFVvOBZERc4SCMgNz9bw,DONAL'S,Restaurante,"Av. Las Palmeras 3968, Los Olivos 15301",(01) 4856352,+51 1 4856352,,,"-11.9881617,-77.0719392",4.2,,"Pollería en el distrito de Huantan, Yauyos , Lima, Perú"
ChIJbZs0kNnPBZERyIehOjvjY_8,https://www.google.com/maps/place/?q=place_id:ChIJbZs0kNnPBZERyIehOjvjY_8,La granja pollería,Restaurante,"Contisuyo 380, Independencia 15332",(01) 2969088,+51 1 2969088,,,"-11.983119799999999,-77.0577426",4.1,,"Pollería en el distrito de Huantan, Yauyos , Lima, Perú"
ChIJb6d_YQDFBZERDTHLToz5cdU,https://www.google.com/maps/place/?q=place_id:ChIJb6d_YQDFBZERDTHLToz5cdU,Kiko's - Pollería,Restaurante,"Av. Los Tusilagos Oeste 486, San Juan de Lurigancho 15419",,,,,"-12.012445099999999,-77.0088013",3.8,,"Pollería en el distrito de Huantan, Yauyos , Lima, Perú"
ChIJW3zaXeXHBZER32RqOPFN5MU,https://www.google.com/maps/place/?q=place_id:ChIJW3zaXeXHBZER32RqOPFN5MU,Los Toldos Chicken,Restaurante,"Av. Aviación 3250, San Borja 15037",(01) 6379886,+51 1 6379886,,,"-12.1026656,-77.0017084",3.7,,"Pollería en el distrito de Huantan, Yauyos , Lima, Perú"
ChIJj8DYE83FBZERM7RKF4x8Xko,https://www.google.com/maps/place/?q=place_id:ChIJj8DYE83FBZERM7RKF4x8Xko,Luyos Chicken,Restaurante,Ate 15011,933 842 291,+51 933 842 291,,,"-12.026006899999999,-76.95064529999999",4.4,,"Pollería en el distrito de Huantan, Yauyos , Lima, Perú"
ChIJNTsluuPNDpEROew9SUke-to,https://www.google.com/maps/place/?q=place_id:ChIJNTsluuPNDpEROew9SUke-to,La Granja - Pollos y Parrillas,Restaurante,"Jirón Junín 941, Jauja 12601",(064) 420000,+51 64 420000,facebook.com,https://www.facebook.com/lagranjapollosyparrillasoficial/,"-11.7757572,-75.4993927",3.5,,"Pollería en el distrito de Huantan, Yauyos , Lima, Perú"
ChIJd6HBpgqXDpERanJNVoone0A,https://www.google.com/maps/place/?q=place_id:ChIJd6HBpgqXDpERanJNVoone0A,Polleria Gustof Sede Huancayo,Restaurante,"P.º La Breña 579, Huancayo 12001",958 563 641,+51 958 563 641,,,"-12.0708319,-75.2140979",3.6,,"Pollería en el distrito de Huantan, Yauyos , Lima, Perú"
ChIJQ9KripjPBZERGFtqJImnao8,https://www.google.com/maps/place/?q=place_id:ChIJQ9KripjPBZERGFtqJImnao8,Donals los olivos marañon,Restaurante,"Av. Las Palmeras 5382, Los Olivos 15304",7249378,+51 7249378,,,"-11.9727337,-77.0724474",4.2,,"Pollería en el distrito de Huantan, Yauyos , Lima, Perú"
ChIJx5kA41CXDpERcQifcgGoIEY,https://www.google.com/maps/place/?q=place_id:ChIJx5kA41CXDpERcQifcgGoIEY,Pollería D'Todos,Restaurante,"Jr. Ancash 653, Huancayo 12000",925 151 601,+51 925 151 601,,,"-12.0698551,-75.2082934",3.2,,"Pollería en el distrito de Huantan, Yauyos , Lima, Perú"
ChIJ44kVdSKWDpERy0zeN-noNnE,https://www.google.com/maps/place/?q=place_id:ChIJ44kVdSKWDpERy0zeN-noNnE,"Pollos y Parrilas ""El gran Carmelo""",Pollería,"Mariscal Castilla (Real) 2379, Huancayo 12006",(064) 657072,+51 64 657072,richlop31.wixsite.com,http://richlop31.wixsite.com/el-gran-carmelo,"-12.0460423,-75.22450289999999",4,,"Pollería en el distrito de Huantan, Yauyos , Lima, Perú"
ChIJJ3JnBoeRDpERaT5h9zX9Tto,https://www.google.com/maps/place/?q=place_id:ChIJJ3JnBoeRDpERaT5h9zX9Tto,Pollería-Chifa HUANCAYO,Restaurante,"VQ6G+QFW, Avenida 10 de Noviembre, Huayucachi 12408",964 527 666,+51 964 527 666,,,"-12.1380123,-75.2237983",3.1,,"Pollería en el distrito de Huantan, Yauyos , Lima, Perú"
ChIJoeVPQbHIBZERhMgxXLlzEus,https://www.google.com/maps/place/?q=place_id:ChIJoeVPQbHIBZERhMgxXLlzEus,El Paisano Ferreñafano,Restaurante peruano,"Av. Abancay 226, Lima 15001",(01) 4320808,+51 1 4320808,facebook.com,http://www.facebook.com/ElPaisanoFerrenafano/,"-12.0471457,-77.02653459999999",4.3,,"Cevichería en el distrito de Huantan, Yauyos , Lima, Perú"
ChIJ42Yp8JnIBZERBjyrPuM8VUY,https://www.google.com/maps/place/?q=place_id:ChIJ42Yp8JnIBZERBjyrPuM8VUY,Cevichería Mi Barrunto,Marisquería,"Jr. Sebastián Barranca 935, La Victoria 15018",(01) 4272066,+51 1 4272066,mibarrunto.com,http://www.mibarrunto.com/,"-12.0676621,-77.0215643",4.4,,"Cevichería en el distrito de Huantan, Yauyos , Lima, Perú"
ChIJCQaYKNPIBZERYzX5ttnXTPs,https://www.google.com/maps/place/?q=place_id:ChIJCQaYKNPIBZERYzX5ttnXTPs,EL FERREÑAFANO,Restaurante,"Jirón Huancavelica 1535, Lima 15079",,,facebook.com,https://web.facebook.com/TierraDeLaDobleFe.com.pe/,"-12.042461699999999,-77.0490128",4.1,,"Cevichería en el distrito de Huantan, Yauyos , Lima, Perú"
ChIJ5xpXfEzPBZERCXm4glbQ0NA,https://www.google.com/maps/place/?q=place_id:ChIJ5xpXfEzPBZERCXm4glbQ0NA,La Cocina del Virrey,Restaurante,"Jr. Atahualpa 145, Rímac 15093",963 508 043,+51 963 508 043,,,"-12.0375161,-77.0273053",4.2,,"Cevichería en el distrito de Huantan, Yauyos , Lima, Perú"
