id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ9Zgh4DHHBZERr8N-213OQHw,https://www.google.com/maps/place/?q=place_id:ChIJ9Zgh4DHHBZERr8N-213OQHw,Braseria San Cayetano,Restaurante especializado en pollo,"C. Mariscal Jose de la Mar 100, Lima 15003",958 170 854,+51 958 170 854,,,"-12.0577878,-77.007097",1,,"Pollería en el distrito de Tanta, Yauyos , Lima, Perú"
ChIJmQpHjX3HBZER0qbSSHSd_Q8,https://www.google.com/maps/place/?q=place_id:ChIJmQpHjX3HBZER0qbSSHSd_Q8,Pollos a la Brasa D'Reyes,Restaurante especializado en pollo,"Av. Riva Agüero 285, El Agustino 15003",947 595 712,+51 947 595 712,,,"-12.056525599999999,-77.00567989999999",3.9,,"Pollería en el distrito de Tanta, Yauyos , Lima, Perú"
ChIJLwlpkqbJBZERBxnz1X5nbWg,https://www.google.com/maps/place/?q=place_id:ChIJLwlpkqbJBZERBxnz1X5nbWg,Astrid restaurante,Restaurante,"Av. Nicolás Ayllón 337, Lima 15018",912 486 054,+51 912 486 054,,,"-12.0568227,-77.01083369999999",4.4,,"Pollería en el distrito de Tanta, Yauyos , Lima, Perú"
ChIJUbUgPefHBZERWOg15ls7kLQ,https://www.google.com/maps/place/?q=place_id:ChIJUbUgPefHBZERWOg15ls7kLQ,CARBONERITO CHICKEN,Restaurante especializado en pollo,"Av. Tupac Amaru 184, El Agustino 15003",984 584 229,+51 984 584 229,,,"-12.0525149,-77.00429009999999",3.9,,"Pollería en el distrito de Tanta, Yauyos , Lima, Perú"
ChIJq_msCRzGBZERwapQXt4A6R4,https://www.google.com/maps/place/?q=place_id:ChIJq_msCRzGBZERwapQXt4A6R4,Polleria EL GORDO CARMELO,Restaurante,"Av. Riva Agüero 397, El Agustino 15003",(01) 4325812,+51 1 4325812,,,"-12.0554264,-77.0047898",4,,"Pollería en el distrito de Tanta, Yauyos , Lima, Perú"
ChIJtbJQAhzGBZERUaNg8-qMG30,https://www.google.com/maps/place/?q=place_id:ChIJtbJQAhzGBZERUaNg8-qMG30,Pollería LOS GORDITOS,Restaurante especializado en pollo,"Av. Riva Agüero 310, El Agustino 15003",(01) 4325746,+51 1 4325746,,,"-12.0562168,-77.0050763",3.7,,"Pollería en el distrito de Tanta, Yauyos , Lima, Perú"
ChIJTeX03pnHBZERhxawTE3Dtws,https://www.google.com/maps/place/?q=place_id:ChIJTeX03pnHBZERhxawTE3Dtws,El Cilindro de Don Ignacio,Servicio de catering,"San Martin 210, El Agustino 15003",952 145 382,+51 952 145 382,,,"-12.0559233,-77.0067475",4,,"Pollería en el distrito de Tanta, Yauyos , Lima, Perú"
ChIJVRI2ZbzHBZERT9ZBhYUHzx0,https://www.google.com/maps/place/?q=place_id:ChIJVRI2ZbzHBZERT9ZBhYUHzx0,Pollería Y Cevichería Rudy's,Restaurante,"Blvd. República 625, Lima 15003",910 324 101,+51 910 324 101,,,"-12.049657199999999,-77.0106126",4,,"Pollería en el distrito de Tanta, Yauyos , Lima, Perú"
ChIJr9kRJAXGBZERVvdUdR_Omp4,https://www.google.com/maps/place/?q=place_id:ChIJr9kRJAXGBZERVvdUdR_Omp4,Pollería Yaoky's,Tienda de aves de corral,"XX2X+5FC, Lima 15003",997 676 463,+51 997 676 463,,,"-12.0495676,-77.001348",4.2,,"Pollería en el distrito de Tanta, Yauyos , Lima, Perú"
ChIJTeF6VgDHBZERsx5faR-JPEI,https://www.google.com/maps/place/?q=place_id:ChIJTeF6VgDHBZERsx5faR-JPEI,Pollos RED CHICKEN L&G,Restaurante de comida rápida,"de américas fase 5, Av. La Cumbre, El Agustino 15004",,,,,"-12.058132599999999,-77.0002647",,,"Pollería en el distrito de Tanta, Yauyos , Lima, Perú"
ChIJB19HRQXGBZERqGMxJebUajs,https://www.google.com/maps/place/?q=place_id:ChIJB19HRQXGBZERqGMxJebUajs,Restaurante Pollería y Chifa Tres Estrellas,Restaurante,"X222+449, Hoyle Palacios, Lima 15006",996 112 360,+51 996 112 360,,,"-12.0497246,-76.9996405",3.9,,"Pollería en el distrito de Tanta, Yauyos , Lima, Perú"
