id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ-5fbKaDquZERTLHIT-T7f-Y,https://www.google.com/maps/place/?q=place_id:ChIJ-5fbKaDquZERTLHIT-T7f-Y,COCOLIZO. Pollos & Parrillas,Restaurante,"Calle Frente a la Plaza Moralillos, Francisco Bardales N°720, Yurimaguas 16501",922 624 457,+51 922 624 457,,,"-5.8899759,-76.10936989999999",4,,"Pollería en el distrito de Yurimaguas, Alto Amazonas , Loreto, Perú"
ChIJm4DTzCHAuZERqozxVduGT5M,https://www.google.com/maps/place/?q=place_id:ChIJm4DTzCHAuZERqozxVduGT5M,Pollería 4 Hermanos,Restaurante,"4V5R+Q6W esquina con 15 de agosto, Francisco Bardales 803, Yurimaguas 16501",965 632 260,+51 965 632 260,,,"-5.889161,-76.109729",3.8,,"Pollería en el distrito de Yurimaguas, Alto Amazonas , Loreto, Perú"
ChIJg_lG-OvruZER3LRLjIAqDgc,https://www.google.com/maps/place/?q=place_id:ChIJg_lG-OvruZER3LRLjIAqDgc,Polleria la posada,Restaurante especializado en pollo,"Monseñor Atanasio Jauregui 418, Yurimaguas 16501",913 410 535,+51 913 410 535,,,"-5.895777,-76.107278",4.3,,"Pollería en el distrito de Yurimaguas, Alto Amazonas , Loreto, Perú"
ChIJ9eWmx6HquZERT_H3b_XUyn0,https://www.google.com/maps/place/?q=place_id:ChIJ9eWmx6HquZERT_H3b_XUyn0,LA PANCA POLLERIA Y PARRILLAS,Restaurante,"Tnte Cesar Lopez Rojas 602, Yurimaguas 16501",935 496 128,+51 935 496 128,lapanca.netlify.app,https://lapanca.netlify.app/,"-5.8949205,-76.10745229999999",4.2,,"Pollería en el distrito de Yurimaguas, Alto Amazonas , Loreto, Perú"
ChIJRd3hxKHquZERYGCebLoD514,https://www.google.com/maps/place/?q=place_id:ChIJRd3hxKHquZERYGCebLoD514,Pollería Claudia,Restaurante,"Tnte Cesar Lopez Rojas 620, Yurimaguas 16501",917 536 793,+51 917 536 793,,,"-5.8950474,-76.1079709",3.7,,"Pollería en el distrito de Yurimaguas, Alto Amazonas , Loreto, Perú"
ChIJMReL2qjruZERnZEsM-gvApI,https://www.google.com/maps/place/?q=place_id:ChIJMReL2qjruZERnZEsM-gvApI,Pollería ZAMORA'S,Restaurante,"16501, Yurimaguas 16501",,,,,"-5.9006248999999995,-76.1189074",3.7,,"Pollería en el distrito de Yurimaguas, Alto Amazonas , Loreto, Perú"
ChIJPV3Ww2zruZERPgtzL4XuBJo,https://www.google.com/maps/place/?q=place_id:ChIJPV3Ww2zruZERPgtzL4XuBJo,Polleria Don limeño,Pollería,"Av.Teniente Cesar Lopez 705, Yurimaguas 16501",981 134 457,+51 981 134 457,,,"-5.895279599999999,-76.1085852",4,,"Pollería en el distrito de Yurimaguas, Alto Amazonas , Loreto, Perú"
ChIJJ4m86vvruZERjPP0I-ZQSdg,https://www.google.com/maps/place/?q=place_id:ChIJJ4m86vvruZERjPP0I-ZQSdg,"""JOS&MAR"" RESTAURANT POLLERÍA",Restaurante,"Tacna 726, Yurimaguas 16501",956 080 019,+51 956 080 019,negocio.site,https://josmar-restaurant-polleria.negocio.site/?utm_source=gmb&utm_medium=referral,"-5.8898065,-76.10856729999999",4.1,,"Pollería en el distrito de Yurimaguas, Alto Amazonas , Loreto, Perú"
ChIJ5fzv-6DquZERFp5nr9LmZXI,https://www.google.com/maps/place/?q=place_id:ChIJ5fzv-6DquZERFp5nr9LmZXI,Polleria El Palacio,Restaurante,"C. Huallaga 305, Yurimaguas 16501",,,,,"-5.8938381,-76.10558549999999",4.4,,"Pollería en el distrito de Yurimaguas, Alto Amazonas , Loreto, Perú"
ChIJRYxYRiDAuZER--YKGbvXWUU,https://www.google.com/maps/place/?q=place_id:ChIJRYxYRiDAuZER--YKGbvXWUU,POLLERIA POSADA D' CHERLY,Restaurante,"Angamos 725, Yurimaguas 16501",994 426 488,+51 994 426 488,,,"-5.889890599999999,-76.1105176",4.5,,"Pollería en el distrito de Yurimaguas, Alto Amazonas , Loreto, Perú"
ChIJM54IuSbruZERAnWd1IvEj7k,https://www.google.com/maps/place/?q=place_id:ChIJM54IuSbruZERAnWd1IvEj7k,POLLOS A LA BRASA DON CAIPO,Tienda de aves de corral,"Francisco Bardales 517, Yurimaguas 16501",,,,,"-5.8924243,-76.10946229999999",3,,"Pollería en el distrito de Yurimaguas, Alto Amazonas , Loreto, Perú"
ChIJpVTgFtHruZERqttchsGSjZc,https://www.google.com/maps/place/?q=place_id:ChIJpVTgFtHruZERqttchsGSjZc,POLLERIA AVISELVA,Restaurante especializado en pollo,"16501, Yurimaguas 16501",952 521 479,+51 952 521 479,,,"-5.9009032,-76.1054503",2.9,,"Pollería en el distrito de Yurimaguas, Alto Amazonas , Loreto, Perú"
ChIJi0A1CqHquZERjM74oncu6s4,https://www.google.com/maps/place/?q=place_id:ChIJi0A1CqHquZERjM74oncu6s4,Polleria Prosperidad,Tienda de aves de corral,"4V3V+VPR, Yurimaguas 16501",,,,,"-5.8952542999999995,-76.1057241",3.4,,"Pollería en el distrito de Yurimaguas, Alto Amazonas , Loreto, Perú"
ChIJ35cGciDAuZERTMvQwdESF0E,https://www.google.com/maps/place/?q=place_id:ChIJ35cGciDAuZERTMvQwdESF0E,Polleria La Isla,Restaurante,"Angamos 520, Yurimaguas 16501",,,,,"-5.8918723,-76.1100769",4.3,,"Pollería en el distrito de Yurimaguas, Alto Amazonas , Loreto, Perú"
ChIJFVwwSwDBuZERa6OF4OTGGsY,https://www.google.com/maps/place/?q=place_id:ChIJFVwwSwDBuZERa6OF4OTGGsY,"Restaurant Pollería ""La Polla de Inga""",Restaurante especializado en pollo,"15 de Agosto mz ñ lt.03, Yurimaguas 16501",,,,,"-5.8853328,-76.1289038",,,"Pollería en el distrito de Yurimaguas, Alto Amazonas , Loreto, Perú"
ChIJq6qqPyDAuZERv9BRWaNeAyo,https://www.google.com/maps/place/?q=place_id:ChIJq6qqPyDAuZERv9BRWaNeAyo,Polleria La Jefa,Restaurante,"4V5Q+GQM, Yurimaguas 16501",931 335 349,+51 931 335 349,,,"-5.891163199999999,-76.1105628",4.3,,"Pollería en el distrito de Yurimaguas, Alto Amazonas , Loreto, Perú"
ChIJqVmZ2TLBuZERBN9tPHvE7Fs,https://www.google.com/maps/place/?q=place_id:ChIJqVmZ2TLBuZERBN9tPHvE7Fs,Polleria el pollon,Restaurante,"Angamos 621-615, Yurimaguas 16501",,,,,"-5.891470399999999,-76.1103318",3.3,,"Pollería en el distrito de Yurimaguas, Alto Amazonas , Loreto, Perú"
