id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJDzvHb34jwJER5wv2uAXnN54,https://www.google.com/maps/place/?q=place_id:ChIJDzvHb34jwJER5wv2uAXnN54,Restaurant Y Pollería El Tío Joshe,Restaurante peruano,"C. Jirón Lima 822, Nauta 16301",977 126 052,+51 977 126 052,,,"-4.5097767,-73.57830919999999",4.3,,"Pollería en el distrito de Nauta, Loreto , Loreto, Perú"
ChIJMxR6QwAjwJERdPNn12sRjmg,https://www.google.com/maps/place/?q=place_id:ChIJMxR6QwAjwJERdPNn12sRjmg,Dreymar Polleria,Restaurante,"FCP7+82G, Av. Circular, Nauta 16300",,,,,"-4.5141857,-73.5874163",,,"Pollería en el distrito de Nauta, Loreto , Loreto, Perú"
ChIJuz8RjSIjwJERZ1VAtYHHyXE,https://www.google.com/maps/place/?q=place_id:ChIJuz8RjSIjwJERZ1VAtYHHyXE,Restaurant Polleria Benito,Restaurante,"FCR4+PGC, Las Palmeras, Nauta 16300",925 501 758,+51 925 501 758,,,"-4.508194,-73.5937235",3,,"Pollería en el distrito de Nauta, Loreto , Loreto, Perú"
ChIJ2SVZUOojwJERfOK7cD5yc9g,https://www.google.com/maps/place/?q=place_id:ChIJ2SVZUOojwJERfOK7cD5yc9g,Restaurant pollería y cevichería D Elí,Marisquería,"16300, Nauta 16300",927 046 173,+51 927 046 173,,,"-4.5020465,-73.58074979999999",3.7,,"Pollería en el distrito de Nauta, Loreto , Loreto, Perú"
ChIJofRYWToiwJERiTvCox1KEGw,https://www.google.com/maps/place/?q=place_id:ChIJofRYWToiwJERiTvCox1KEGw,Polleria Jhimys,Restaurante,"FCVG+26C, Prol. Lima, Nauta 16300",,,,,"-4.5074439,-73.5744977",3.9,,"Pollería en el distrito de Nauta, Loreto , Loreto, Perú"
ChIJtVXTvDAiwJERQn7OsCJHjpM,https://www.google.com/maps/place/?q=place_id:ChIJtVXTvDAiwJERQn7OsCJHjpM,Chifa Polleria Warike,Restaurante,"FCVF+VMV, Nauta 16300",920 281 260,+51 920 281 260,,,"-4.5052527,-73.5758156",3.9,,"Pollería en el distrito de Nauta, Loreto , Loreto, Perú"
ChIJxdZSywYjwJERMk5wQXdfKaY,https://www.google.com/maps/place/?q=place_id:ChIJxdZSywYjwJERMk5wQXdfKaY,"Restaurant-Polleria ""EL COMBO""",Restaurante,"C. Diego Rodriguez 450, Nauta 16300",,,,,"-4.5066039,-73.5761498",3,,"Pollería en el distrito de Nauta, Loreto , Loreto, Perú"
ChIJr3Wzu0sjwJERTgCZ3VD4YoI,https://www.google.com/maps/place/?q=place_id:ChIJr3Wzu0sjwJERTgCZ3VD4YoI,Restaurat Polleria Sabor Nautico,Suministro y fabricación de alimentos,"FCP5+JMH, Nauta 16300",,,,,"-4.513449,-73.5907513",,,"Pollería en el distrito de Nauta, Loreto , Loreto, Perú"
ChIJrTg7aUIjwJERrnyWHYihWw0,https://www.google.com/maps/place/?q=place_id:ChIJrTg7aUIjwJERrnyWHYihWw0,Venta de pollos marianita,Tienda de comestibles mayorista,"Campo Casiciaco, Nauta 16300",928 596 010,+51 928 596 010,,,"-4.5069883,-73.58760649999999",,,"Pollería en el distrito de Nauta, Loreto , Loreto, Perú"
ChIJv1FGqScjwJERk5eEev8KYK8,https://www.google.com/maps/place/?q=place_id:ChIJv1FGqScjwJERk5eEev8KYK8,D'YOLI,Restaurante,"C. Marañon 361, Nauta 16300",987 867 623,+51 987 867 623,,,"-4.5067857,-73.5751141",,,"Pollería en el distrito de Nauta, Loreto , Loreto, Perú"
ChIJ-fr112UjwJER755-d0E3izo,https://www.google.com/maps/place/?q=place_id:ChIJ-fr112UjwJER755-d0E3izo,restaurant chifa polleria MAYRA,Restaurante,"01, 16301",,,,,"-4.5063685,-73.57575159999999",,,"Pollería en el distrito de Nauta, Loreto , Loreto, Perú"
ChIJH0s4TP8jwJER8ZdJKj0gKJo,https://www.google.com/maps/place/?q=place_id:ChIJH0s4TP8jwJER8ZdJKj0gKJo,Resataurant Polleria Manuelita,Restaurante,"C. Marañon 385, Nauta 16300",(065) 411352,+51 65 411352,,,"-4.5068716,-73.5752935",5,,"Pollería en el distrito de Nauta, Loreto , Loreto, Perú"
ChIJkWt5naYjwJEROIaD4Y7uaY0,https://www.google.com/maps/place/?q=place_id:ChIJkWt5naYjwJEROIaD4Y7uaY0,《LA GRAN CONCHA》Restobar Cevicheria,Pub restaurante,"Av. Circular S/N, Nauta 16300",,,,,"-4.5054631999999994,-73.5891791",4.2,,"Cevichería en el distrito de Nauta, Loreto , Loreto, Perú"
ChIJaTvR3oUjwJERfhDf_altJv4,https://www.google.com/maps/place/?q=place_id:ChIJaTvR3oUjwJERfhDf_altJv4,Restobar Cevicheria WIL & MAR,Marisquería,"FCV5+94F, Nauta 16300",,,,,"-4.506556,-73.59221529999999",5,,"Cevichería en el distrito de Nauta, Loreto , Loreto, Perú"
ChIJD7JwUgAjwJERqSLM6jRxj9M,https://www.google.com/maps/place/?q=place_id:ChIJD7JwUgAjwJERqSLM6jRxj9M,Cevicheria,Restaurante,"FCV9+VJ2, Nauta 16300",,,,,"-4.5053588,-73.58098679999999",,,"Cevichería en el distrito de Nauta, Loreto , Loreto, Perú"
