id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJiS4D62Lr7JERs-Nq0UyWCaM,https://www.google.com/maps/place/?q=place_id:ChIJiS4D62Lr7JERs-Nq0UyWCaM,SAN JOSÉ DE PARINARI,,"CGQF+XGV, Parinari 16250",,,,,"-4.560006899999999,-74.47620119999999",4.5,,"Parrillas en el distrito de Parinari, Loreto , Loreto, Perú"
ChIJKSnE-go7tIYRQ2ZsoADuHIc,https://www.google.com/maps/place/?q=place_id:ChIJKSnE-go7tIYRQ2ZsoADuHIc,El Grill,Restaurante,"C. Fernando Jordan Sn, Centro, 23880 Loreto, B.C.S., México",613 107 6006,+52 613 107 6006,,,"26.0092426,-111.339151",4.7,,"Parrillas en el distrito de Parinari, Loreto , Loreto, Perú"
ChIJH8Q0Yq6LuJERqIVULNItuPQ,https://www.google.com/maps/place/?q=place_id:ChIJH8Q0Yq6LuJERqIVULNItuPQ,Restaurant El Vecino,Restaurante,"Q8HH+7VC, Lagunas 16551",,,,,"-5.2218211,-75.6703661",3.8,,"Parrillas en el distrito de Parinari, Loreto , Loreto, Perú"
ChIJr1l_nPn1uJERAOjqcNVBQJI,https://www.google.com/maps/place/?q=place_id:ChIJr1l_nPn1uJERAOjqcNVBQJI,Antojitos Doña Eli,Pastelería,"Lagunas, Jr. Sgto. Lores 494 esquina con Av. Padre Lucero Cdra",987 397 656,+51 987 397 656,,,"-5.2282587,-75.6774102",3.9,,"Pastelería en el distrito de Parinari, Loreto , Loreto, Perú"
ChIJiS4D62Lr7JERs-Nq0UyWCaM,https://www.google.com/maps/place/?q=place_id:ChIJiS4D62Lr7JERs-Nq0UyWCaM,SAN JOSÉ DE PARINARI,,"CGQF+XGV, Parinari 16250",,,,,"-4.560006899999999,-74.47620119999999",4.5,,"Pastelería en el distrito de Parinari, Loreto , Loreto, Perú"
ChIJAeQDw1KLuJERg8OhML-r07E,https://www.google.com/maps/place/?q=place_id:ChIJAeQDw1KLuJERg8OhML-r07E,Heladeria Samiria,Heladería,"065, Calle Fitzcarrald S/N, Lagunas",930 449 320,+51 930 449 320,,,"-5.2251889,-75.67648129999999",,,"Pastelería en el distrito de Parinari, Loreto , Loreto, Perú"
ChIJHSzjJADJwJERdZEri_CxYhk,https://www.google.com/maps/place/?q=place_id:ChIJHSzjJADJwJERdZEri_CxYhk,Panadería talipan,Panadería,16560,,,,,"-4.528683,-74.787339",,,"Panadería en el distrito de Parinari, Loreto , Loreto, Perú"
ChIJJaOTWQDJwJERUQzPRCeezrg,https://www.google.com/maps/place/?q=place_id:ChIJJaOTWQDJwJERUQzPRCeezrg,Panadería talipan,Panadería,16560,,,,,"-4.528683,-74.787339",,,"Panadería en el distrito de Parinari, Loreto , Loreto, Perú"
ChIJI9RdMwDpwJEROOlTwjgZcQY,https://www.google.com/maps/place/?q=place_id:ChIJI9RdMwDpwJEROOlTwjgZcQY,Sanroque,Panadería,"GCF5+FQH, San Roque 16570",,,,,"-4.476323799999999,-74.5905057",,,"Panadería en el distrito de Parinari, Loreto , Loreto, Perú"
ChIJr1l_nPn1uJERAOjqcNVBQJI,https://www.google.com/maps/place/?q=place_id:ChIJr1l_nPn1uJERAOjqcNVBQJI,Antojitos Doña Eli,Pastelería,"Lagunas, Jr. Sgto. Lores 494 esquina con Av. Padre Lucero Cdra",987 397 656,+51 987 397 656,,,"-5.2282587,-75.6774102",3.9,,"Panadería en el distrito de Parinari, Loreto , Loreto, Perú"
ChIJiS4D62Lr7JERs-Nq0UyWCaM,https://www.google.com/maps/place/?q=place_id:ChIJiS4D62Lr7JERs-Nq0UyWCaM,SAN JOSÉ DE PARINARI,,"CGQF+XGV, Parinari 16250",,,,,"-4.560006899999999,-74.47620119999999",4.5,,"Salchipapa en el distrito de Parinari, Loreto , Loreto, Perú"
ChIJCV0EQ925BZERaLBbZr9iKdY,https://www.google.com/maps/place/?q=place_id:ChIJCV0EQ925BZERaLBbZr9iKdY,La casita de las salchipapas,Restaurante de comida rápida,"Av. Ayacucho 412, Santiago de Surco 15049",974 660 405,+51 974 660 405,,,"-12.140091799999999,-76.9995685",3.9,,"Salchipapa en el distrito de Parinari, Loreto , Loreto, Perú"
ChIJATy5bHiLuJERQyKpl3WYHIQ,https://www.google.com/maps/place/?q=place_id:ChIJATy5bHiLuJERQyKpl3WYHIQ,Restaurant brostheria las tres regiones,Restaurante,"Av. Padre Lucero 1306, Lagunas 16551",925 419 450,+51 925 419 450,,,"-5.2264149,-75.6757284",3,,"Salchipapa en el distrito de Parinari, Loreto , Loreto, Perú"
