id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJTaoy1zCL7ZER9Y_uC7FcNcs,https://www.google.com/maps/place/?q=place_id:ChIJTaoy1zCL7ZER9Y_uC7FcNcs,Restaurant Y Pollos A La Brasa Nachito,Restaurante,"3FVJ+9RV, Caballococha 16241",,,,,"-3.9065094,-70.51794079999999",4.1,,"Pollería en el distrito de Ramón Castilla, Mariscal Ramón Castilla , Loreto, Perú"
ChIJO2aLtyaL7ZERjrOQLO2-bik,https://www.google.com/maps/place/?q=place_id:ChIJO2aLtyaL7ZERjrOQLO2-bik,Pollería Zoilita,Tienda de aves de corral,"3FVP+942, C. Leoncio Prado, Caballococha 16241",901 167 100,+51 901 167 100,,,"-3.9066094999999996,-70.5147257",3,,"Pollería en el distrito de Ramón Castilla, Mariscal Ramón Castilla , Loreto, Perú"
ChIJx8fKgEKL7ZERV7IkOhLhscs,https://www.google.com/maps/place/?q=place_id:ChIJx8fKgEKL7ZERV7IkOhLhscs,Pollería Salomé,Restaurante especializado en pollo,"3FVJ+PW7, Caballococha 16241",,,,,"-3.9057011999999998,-70.5177101",5,,"Pollería en el distrito de Ramón Castilla, Mariscal Ramón Castilla , Loreto, Perú"
ChIJuQKHAzyL7ZERcHW2hj2WqY4,https://www.google.com/maps/place/?q=place_id:ChIJuQKHAzyL7ZERcHW2hj2WqY4,Chifa polleria delicia,Restaurante chino,"C. Ramón Castilla 1014, Caballococha 16240",930 162 353,+51 930 162 353,,,"-3.9121544999999998,-70.5077341",5,,"Pollería en el distrito de Ramón Castilla, Mariscal Ramón Castilla , Loreto, Perú"
ChIJbbCmOlGL7ZERxZwzq_Nd4c0,https://www.google.com/maps/place/?q=place_id:ChIJbbCmOlGL7ZERxZwzq_Nd4c0,Lao,Tienda de aves de corral,"3FRP+C3P, Unnamed Road, Caballococha 16241",,,,,"-3.9088062999999997,-70.5148422",3.8,,"Pollería en el distrito de Ramón Castilla, Mariscal Ramón Castilla , Loreto, Perú"
ChIJp8HqbxeL7ZERWmAc6u92Xcs,https://www.google.com/maps/place/?q=place_id:ChIJp8HqbxeL7ZERWmAc6u92Xcs,Rico Chiken,Restaurante especializado en pollo,"3FVM+6MX, C. Junin, Caballococha 16241",,,,,"-3.906876,-70.5157729",,,"Pollería en el distrito de Ramón Castilla, Mariscal Ramón Castilla , Loreto, Perú"
ChIJ2cFxLgCL7ZER_Je_uU9N-pU,https://www.google.com/maps/place/?q=place_id:ChIJ2cFxLgCL7ZER_Je_uU9N-pU,Chifa- Polleria LAO,Restaurante chino,"3FPP+VWW, C. Micaela Bastidas, Caballococha 16241",,,,,"-3.9127582999999997,-70.5126643",5,,"Pollería en el distrito de Ramón Castilla, Mariscal Ramón Castilla , Loreto, Perú"
ChIJyxqps1GL7ZERCGb3qrMTYdI,https://www.google.com/maps/place/?q=place_id:ChIJyxqps1GL7ZERCGb3qrMTYdI,"Chifa - Pollería ""TIN HONG""",Restaurante chino,"C. Progreso 230, Caballococha 16241",919 188 937,+51 919 188 937,,,"-3.9084303,-70.5169433",5,,"Pollería en el distrito de Ramón Castilla, Mariscal Ramón Castilla , Loreto, Perú"
ChIJU_Cj047IBZERvxtWjKjnP3A,https://www.google.com/maps/place/?q=place_id:ChIJU_Cj047IBZERvxtWjKjnP3A,Pollos a la brasa Tomi,Restaurante especializado en pollo,"WXCF+6VH, Las Turquesas, La Victoria 15034",910 432 878,+51 910 432 878,,,"-12.0794261,-77.0252541",4.4,,"Pollería en el distrito de Ramón Castilla, Mariscal Ramón Castilla , Loreto, Perú"
ChIJYT8BNTfJBZERTRRs-o8VzaY,https://www.google.com/maps/place/?q=place_id:ChIJYT8BNTfJBZERTRRs-o8VzaY,Mr Juva Restaurant,Tienda de aves de corral,"Jr. Loreto 530, Breña 15082",993 916 690,+51 993 916 690,mrjuva.com,http://www.mrjuva.com/,"-12.055425,-77.0493778",4.4,,"Pollería en el distrito de Ramón Castilla, Mariscal Ramón Castilla , Loreto, Perú"
ChIJOxfvsYKL7ZERpKQ7L9JnzWA,https://www.google.com/maps/place/?q=place_id:ChIJOxfvsYKL7ZERpKQ7L9JnzWA,RESTOBAR POLLERIA NIKOLE,Restaurante,"CARLOS PATRICIO OLORTEGUI, C. Carlos P Saenz N°417, Caballococha 16241",901 449 959,+51 901 449 959,,,"-3.907269,-70.5165136",,,"Pollería en el distrito de Ramón Castilla, Mariscal Ramón Castilla , Loreto, Perú"
ChIJVQgBtoSL7ZERMrnOBYIs29Q,https://www.google.com/maps/place/?q=place_id:ChIJVQgBtoSL7ZERMrnOBYIs29Q,Polleria & Chifa Brasas Rojas,Restaurante,"065, 16240",,,,,"-3.9118971,-70.5151367",,,"Pollería en el distrito de Ramón Castilla, Mariscal Ramón Castilla , Loreto, Perú"
ChIJIc_n-Q6L7ZER1PmlTczWaCM,https://www.google.com/maps/place/?q=place_id:ChIJIc_n-Q6L7ZER1PmlTczWaCM,"Restaurant Cevicheria ""MAR Y FUEGO""",Restaurante,"C. Junin, Caballococha 16241",931 768 260,+51 931 768 260,,,"-3.9059866,-70.5154142",4,,"Cevichería en el distrito de Ramón Castilla, Mariscal Ramón Castilla , Loreto, Perú"
ChIJi5-YvfuL7ZERGLyuaVdheMg,https://www.google.com/maps/place/?q=place_id:ChIJi5-YvfuL7ZERGLyuaVdheMg,Restaurant Cebicheria Pepelucho,Restaurante,"3FRJ+JJM, Caballococha 16241",938 879 091,+51 938 879 091,,,"-3.9084122999999997,-70.5184593",4,,"Cevichería en el distrito de Ramón Castilla, Mariscal Ramón Castilla , Loreto, Perú"
ChIJlzHnOGWL7ZERCk246cxaC0A,https://www.google.com/maps/place/?q=place_id:ChIJlzHnOGWL7ZERCk246cxaC0A,"Restaurant - cevicheria ""La Posada del Caballito""",Restaurante,"C. Libertad con, Caballococha 16241",,,,,"-3.9124299,-70.5109167",3.8,,"Cevichería en el distrito de Ramón Castilla, Mariscal Ramón Castilla , Loreto, Perú"
ChIJazhGOwCL7ZER_OCCus3fo8s,https://www.google.com/maps/place/?q=place_id:ChIJazhGOwCL7ZER_OCCus3fo8s,EL BÚNKER RESTOBAR CEVICHERIA,Restaurante,"3FQP+M8F, Calle José Olaya, Caballococha 16241",,,,,"-3.910824,-70.51419539999999",,,"Cevichería en el distrito de Ramón Castilla, Mariscal Ramón Castilla , Loreto, Perú"
ChIJuQKHAzyL7ZERcHW2hj2WqY4,https://www.google.com/maps/place/?q=place_id:ChIJuQKHAzyL7ZERcHW2hj2WqY4,Chifa polleria delicia,Restaurante chino,"C. Ramón Castilla 1014, Caballococha 16240",930 162 353,+51 930 162 353,,,"-3.9121544999999998,-70.5077341",5,,"Chifa en el distrito de Ramón Castilla, Mariscal Ramón Castilla , Loreto, Perú"
ChIJyxqps1GL7ZERCGb3qrMTYdI,https://www.google.com/maps/place/?q=place_id:ChIJyxqps1GL7ZERCGb3qrMTYdI,"Chifa - Pollería ""TIN HONG""",Restaurante chino,"C. Progreso 230, Caballococha 16241",919 188 937,+51 919 188 937,,,"-3.9084303,-70.5169433",5,,"Chifa en el distrito de Ramón Castilla, Mariscal Ramón Castilla , Loreto, Perú"
ChIJ2cFxLgCL7ZER_Je_uU9N-pU,https://www.google.com/maps/place/?q=place_id:ChIJ2cFxLgCL7ZER_Je_uU9N-pU,Chifa- Polleria LAO,Restaurante chino,"3FPP+VWW, C. Micaela Bastidas, Caballococha 16241",,,,,"-3.9127582999999997,-70.5126643",5,,"Chifa en el distrito de Ramón Castilla, Mariscal Ramón Castilla , Loreto, Perú"
ChIJTz6zHwW4BZERe0BpdQCyvtk,https://www.google.com/maps/place/?q=place_id:ChIJTz6zHwW4BZERe0BpdQCyvtk,Chifa Wen San,Restaurante,"Av. Mariscal Ramón Castilla 1764, Santiago de Surco 15048",(01) 4641526,+51 1 4641526,,,"-12.1386317,-77.0014223",4.3,,"Chifa en el distrito de Ramón Castilla, Mariscal Ramón Castilla , Loreto, Perú"
ChIJoc8kWJ_IBZERiVlSGpIjLd0,https://www.google.com/maps/place/?q=place_id:ChIJoc8kWJ_IBZERiVlSGpIjLd0,Chifa Peruanito,Restaurante,"Jr. Huánuco 1506, La Victoria 15018",947 125 928,+51 947 125 928,facebook.com,https://www.facebook.com/chifaperuanito1/,"-12.0629528,-77.0155362",4.2,,"Chifa en el distrito de Ramón Castilla, Mariscal Ramón Castilla , Loreto, Perú"
ChIJMe5rbJrJBZER9T6u3DHSqZE,https://www.google.com/maps/place/?q=place_id:ChIJMe5rbJrJBZER9T6u3DHSqZE,El Chifa,Restaurante,"WXJP+553, Lima 15018",,,,,"-12.0696085,-77.0145886",3.5,,"Chifa en el distrito de Ramón Castilla, Mariscal Ramón Castilla , Loreto, Perú"
ChIJrQ4q9r0bSpAR2vG71biuiC8,https://www.google.com/maps/place/?q=place_id:ChIJrQ4q9r0bSpAR2vG71biuiC8,Chifa Oriental II,Restaurante chino,"Av. Dos Pista Este Mz. B1, Piura 20009",969 832 185,+51 969 832 185,,,"-5.1695915,-80.666727",4.2,,"Chifa en el distrito de Ramón Castilla, Mariscal Ramón Castilla , Loreto, Perú"
