id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ8x2DDHEQ6pERr-7r31c9cz8,https://www.google.com/maps/place/?q=place_id:ChIJ8x2DDHEQ6pERr-7r31c9cz8,Rancho Brasa,Restaurante especializado en pollo,"Huallaga 116, Iquitos 16001",(065) 234040,+51 65 234040,,,"-3.7479308999999996,-73.2454637",3.9,,"Pollería en el distrito de Belén, Maynas , Loreto, Perú"
ChIJZzL_I54a6pERHsvp2bHQX_s,https://www.google.com/maps/place/?q=place_id:ChIJZzL_I54a6pERHsvp2bHQX_s,Polleria La Granja,Restaurante,"Yavari 1100, Iquitos 16002",(065) 235143,+51 65 235143,,,"-3.7406227999999997,-73.2489475",4.1,,"Pollería en el distrito de Belén, Maynas , Loreto, Perú"
ChIJvZMCdDwQ6pER0xfW87hi--k,https://www.google.com/maps/place/?q=place_id:ChIJvZMCdDwQ6pER0xfW87hi--k,Pollería Rico Rico,Restaurante especializado en pollo,"Av. José Abelardo Quiñones 527, Iquitos 16006",959 867 209,+51 959 867 209,,,"-3.7654031,-73.2606558",4,,"Pollería en el distrito de Belén, Maynas , Loreto, Perú"
ChIJAR5_M3AQ6pERFsRQ7zieJTs,https://www.google.com/maps/place/?q=place_id:ChIJAR5_M3AQ6pERFsRQ7zieJTs,El Pollón,Restaurante,"Jirón Próspero 151, Iquitos 16002",(065) 242985,+51 65 242985,,,"-3.7497518999999997,-73.2439267",4,,"Pollería en el distrito de Belén, Maynas , Loreto, Perú"
ChIJ58TCIk4R6pER1x3aFXmM-oY,https://www.google.com/maps/place/?q=place_id:ChIJ58TCIk4R6pER1x3aFXmM-oY,Polleria LA GRANJA,Restaurante especializado en pollo,"Av. del Ejército 1999, Iquitos 16001",(065) 263518,+51 65 263518,,,"-3.7516395,-73.26599639999999",4.1,,"Pollería en el distrito de Belén, Maynas , Loreto, Perú"
ChIJ-5Z0Ex4R6pER4BWF0SXJyBU,https://www.google.com/maps/place/?q=place_id:ChIJ-5Z0Ex4R6pER4BWF0SXJyBU,Chicken Norkyy,Restaurante especializado en pollo,"José Gálvez 153, Iquitos 16006",962 925 424,+51 962 925 424,m.facebook.com,https://m.facebook.com/224158341450709,"-3.7614166,-73.2500852",4.1,,"Pollería en el distrito de Belén, Maynas , Loreto, Perú"
ChIJEartU3IQ6pERkykpi6Gh42s,https://www.google.com/maps/place/?q=place_id:ChIJEartU3IQ6pERkykpi6Gh42s,Ming Llu Polleria,Restaurante,"7Q22+J62, Iquitos 16002",918 752 353,+51 918 752 353,,,"-3.7484843,-73.2494813",4.1,,"Pollería en el distrito de Belén, Maynas , Loreto, Perú"
ChIJJcwNqoYP6pERJzV3CnfHgWg,https://www.google.com/maps/place/?q=place_id:ChIJJcwNqoYP6pERJzV3CnfHgWg,Pollería La Granja - San Juan,Restaurante especializado en pollo,Iquitos 16008,(065) 260208,+51 65 260208,,,"-3.7699632999999997,-73.2808587",3.9,,"Pollería en el distrito de Belén, Maynas , Loreto, Perú"
ChIJAYNS_HAQ6pERpDRiBsZQmpg,https://www.google.com/maps/place/?q=place_id:ChIJAYNS_HAQ6pERpDRiBsZQmpg,Polleria Rico Rico,Restaurante,"Jirón Nauta 301, Iquitos 16002",968 207 424,+51 968 207 424,,,"-3.7477611,-73.2440711",3.9,,"Pollería en el distrito de Belén, Maynas , Loreto, Perú"
ChIJibYHVpAa6pERj_0P_LioIDo,https://www.google.com/maps/place/?q=place_id:ChIJibYHVpAa6pERj_0P_LioIDo,Polleria Dandy,Restaurante,"Augusto Freyre 1850, Iquitos 16003",(065) 252278,+51 65 252278,,,"-3.7284629,-73.2438995",4.1,,"Pollería en el distrito de Belén, Maynas , Loreto, Perú"
ChIJ0YTVZmAR6pERhRbLt4WDDME,https://www.google.com/maps/place/?q=place_id:ChIJ0YTVZmAR6pERhRbLt4WDDME,Kikiriki,Restaurante especializado en pollo,"6PRX+H2F, Iquitos 16001",(065) 227272,+51 65 227272,,,"-3.7585583999999996,-73.2524639",4,,"Pollería en el distrito de Belén, Maynas , Loreto, Perú"
ChIJByiB05kb6pERaryGMxV5kGs,https://www.google.com/maps/place/?q=place_id:ChIJByiB05kb6pERaryGMxV5kGs,Doradito's Chicken,Restaurante especializado en pollo,"0000, 16000",965 328 240,+51 965 328 240,,,"-3.7302025,-73.2452387",4.4,,"Pollería en el distrito de Belén, Maynas , Loreto, Perú"
ChIJGx8TgiIQ6pERn8W6dYAPdks,https://www.google.com/maps/place/?q=place_id:ChIJGx8TgiIQ6pERn8W6dYAPdks,Polleria Nandos,Restaurante especializado en pollo,"San Marcos f8, Iquitos 16007",,,,,"-3.7604309,-73.2678221",4.2,,"Pollería en el distrito de Belén, Maynas , Loreto, Perú"
ChIJywYsVpAa6pERFS3LGBImgac,https://www.google.com/maps/place/?q=place_id:ChIJywYsVpAa6pERFS3LGBImgac,Pio Rico Pollos y Parrillas,Restaurante,"Augusto Freyre 1796, Iquitos 16003",941 919 934,+51 941 919 934,,,"-3.7291987,-73.2439466",4.1,,"Pollería en el distrito de Belén, Maynas , Loreto, Perú"
ChIJ20mmMAAR6pER15eftDgrryw,https://www.google.com/maps/place/?q=place_id:ChIJ20mmMAAR6pER15eftDgrryw,Crazy Chicken,Tienda de aves de corral,"Francisco Bolognesi 1500, Iquitos 16001",,,,,"-3.7593020999999998,-73.25546609999999",,,"Pollería en el distrito de Belén, Maynas , Loreto, Perú"
