id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJRZ2vbgCvvpERWOBc9vV4QiE,https://www.google.com/maps/place/?q=place_id:ChIJRZ2vbgCvvpERWOBc9vV4QiE,Película y pollería María Fernanda,Granja,"X46W+V5C, Juancito 16440",,,,,"-6.0378048,-74.8545955",,,"Pollería en el distrito de Sarayacu, Ucayali , Loreto, Perú"
ChIJBxmmKe93u5ERnqWnbo_VYRQ,https://www.google.com/maps/place/?q=place_id:ChIJBxmmKe93u5ERnqWnbo_VYRQ,Pollos a la Brasa El Dorado,Restaurante,"Calle Coronel Portillo 16451, Orellana 16451",,,,,"-6.9135354,-75.15704029999999",5,,"Pollería en el distrito de Sarayacu, Ucayali , Loreto, Perú"
ChIJoZft2DyTu5ER2MfeaaBo5h8,https://www.google.com/maps/place/?q=place_id:ChIJoZft2DyTu5ER2MfeaaBo5h8,Hospedaje Tierra Blanca,Alojamiento con servicio,"Tierra Blanca Sarayacu, 16440",969 735 922,+51 969 735 922,,,"-6.5598852999999995,-75.17477889999999",3.7,,"Pollería en el distrito de Sarayacu, Ucayali , Loreto, Perú"
ChIJwwuDeADJBZERvUyxUnHGIus,https://www.google.com/maps/place/?q=place_id:ChIJwwuDeADJBZERvUyxUnHGIus,Pollos a la Brasa Tochi,Restaurante especializado en pollo,"Av. Ignacio Merino 2500, Lince 15046",,,,,"-12.0889629,-77.0319999",4.2,,"Pollería en el distrito de Sarayacu, Ucayali , Loreto, Perú"
ChIJ66soGwALppERkjbwyexg10o,https://www.google.com/maps/place/?q=place_id:ChIJ66soGwALppERkjbwyexg10o,"Pollería Restaurant ""JJ""",Restaurante especializado en pollo,"Jr. Tupac Amaru 507, Aucayacu 10171",989 475 246,+51 989 475 246,facebook.com,https://www.facebook.com/profile.php?id=100063524950041,"-8.9303327,-76.115291",5,,"Pollería en el distrito de Sarayacu, Ucayali , Loreto, Perú"
ChIJTchjSACNbpERX5WFncphIOY,https://www.google.com/maps/place/?q=place_id:ChIJTchjSACNbpERX5WFncphIOY,EL POLLO KOKETO ( pollos; parrillas y chifa),Restaurante especializado en pollo,"Figueredo 131, Urcos 08219",924 518 826,+51 924 518 826,,,"-13.6872838,-71.6260174",4.5,,"Pollería en el distrito de Sarayacu, Ucayali , Loreto, Perú"
ChIJ54LciS4LppERC6hp6R68caI,https://www.google.com/maps/place/?q=place_id:ChIJ54LciS4LppERC6hp6R68caI,Polleria NORY`S,Tienda de aves de corral,"3V9M+G65, Aucayacu, Jr, Lamas",(062) 488236,+51 62 488236,facebook.com,https://www.facebook.com/polleriaNorys/,"-8.9312325,-76.11689729999999",3.7,,"Pollería en el distrito de Sarayacu, Ucayali , Loreto, Perú"
ChIJFQEZNs93u5ER0EHhaDJnhds,https://www.google.com/maps/place/?q=place_id:ChIJFQEZNs93u5ER0EHhaDJnhds,Pollería Orellana,Restaurante especializado en pollo,"Jr. Requena s/n, Orellana 16451",900 713 628,+51 900 713 628,,,"-6.9117258999999995,-75.1565219",5,,"Pollería en el distrito de Sarayacu, Ucayali , Loreto, Perú"
ChIJNxFLUfrFBZER0cgNXTAS-UM,https://www.google.com/maps/place/?q=place_id:ChIJNxFLUfrFBZER0cgNXTAS-UM,Pollería LA FOGATA,Restaurante especializado en pollo,"Asoc. Valle del Mantaro, jr, Av. los Regadores mz C, San Juan de Lurigancho 15427",984 199 360,+51 984 199 360,,,"-12.013704299999999,-76.9916095",5,,"Pollería en el distrito de Sarayacu, Ucayali , Loreto, Perú"
ChIJDwijrf_bBZERKsZf6iwfD0o,https://www.google.com/maps/place/?q=place_id:ChIJDwijrf_bBZERKsZf6iwfD0o,Polleria EL KARIOCO,Pollería,"Av. Ampliación Oeste, San Juan de Lurigancho 15446",975 429 154,+51 975 429 154,,,"-11.9464238,-76.97738269999999",3.9,,"Pollería en el distrito de Sarayacu, Ucayali , Loreto, Perú"
ChIJBYizmljIBZERbPm4Ezy2bas,https://www.google.com/maps/place/?q=place_id:ChIJBYizmljIBZERbPm4Ezy2bas,Pollos Hilton,Restaurante especializado en pollo,"Av. Julio César Tello 802, Lince 15073",(01) 2661020,+51 1 2661020,facebook.com,https://www.facebook.com/pages/Pollos-Hilton/218319904879826,"-12.0865799,-77.04145989999999",4.2,,"Pollería en el distrito de Sarayacu, Ucayali , Loreto, Perú"
ChIJD_StFGYLppERgk_DzB1UB6U,https://www.google.com/maps/place/?q=place_id:ChIJD_StFGYLppERgk_DzB1UB6U,Chifa y Pollería MAUSHEN,Restaurante,"Jirón Maria Parado 607-549, Aucayacu 10171",992 013 990,+51 992 013 990,,,"-8.9313524,-76.1166397",3,,"Pollería en el distrito de Sarayacu, Ucayali , Loreto, Perú"
ChIJw8Bmr4PbBZERMzf-NFstde4,https://www.google.com/maps/place/?q=place_id:ChIJw8Bmr4PbBZERMzf-NFstde4,Pollería MIAN 4 de Motupe - Pollos a la Brasa SJL,Restaurante,"MZ E LT 06 A.H, San Juan de Lurigancho 15449",968 918 012,+51 968 918 012,facebook.com,http://facebook.com/mianpolleria,"-11.938716999999999,-76.9771969",3.6,,"Pollería en el distrito de Sarayacu, Ucayali , Loreto, Perú"
ChIJ9ecztrTFBZERPRVLl4Ebrg0,https://www.google.com/maps/place/?q=place_id:ChIJ9ecztrTFBZERPRVLl4Ebrg0,"POLLERIA ""La Fogata """,Restaurante,"22X9+RHH, Av. el Muro Oeste, San Juan de Lurigancho 15446",993 359 734,+51 993 359 734,,,"-11.950436199999999,-76.98103019999999",3.3,,"Pollería en el distrito de Sarayacu, Ucayali , Loreto, Perú"
ChIJMfbcHUF9EpERrQND8vm9kLY,https://www.google.com/maps/place/?q=place_id:ChIJMfbcHUF9EpERrQND8vm9kLY,°Polleria El Ayacuchano°,Tienda de aves de corral,"RQPG+35W, Ayacucho 05003",931 519 682,+51 931 519 682,,,"-13.164759199999999,-74.2245564",1,,"Pollería en el distrito de Sarayacu, Ucayali , Loreto, Perú"
ChIJyQN-95LLBZERqPTUNbUgsvg,https://www.google.com/maps/place/?q=place_id:ChIJyQN-95LLBZERqPTUNbUgsvg,Pollería y chifa Génesis,Restaurante especializado en pollo,"Av. Guardia Chalaca Manzana C, Callao 07001",969 705 436,+51 969 705 436,,,"-12.0585962,-77.1281815",4.4,,"Pollería en el distrito de Sarayacu, Ucayali , Loreto, Perú"
ChIJjbENUUeCDZERZU9u686V188,https://www.google.com/maps/place/?q=place_id:ChIJjbENUUeCDZERZU9u686V188,Pollería Caramba,Restaurante,"Av. San Martín, Huanta 05121",999 695 588,+51 999 695 588,,,"-12.9405626,-74.2477512",4.1,,"Pollería en el distrito de Sarayacu, Ucayali , Loreto, Perú"
ChIJS5N6JgB3u5ERbPGaDf9q3M4,https://www.google.com/maps/place/?q=place_id:ChIJS5N6JgB3u5ERbPGaDf9q3M4,Polleria Rosita,Restaurante especializado en pollo,"58, Orellana 16451",,,,,"-6.9102782,-75.15859619999999",,,"Pollería en el distrito de Sarayacu, Ucayali , Loreto, Perú"
ChIJeadgHQB9EpERRv2XEk-rcaI,https://www.google.com/maps/place/?q=place_id:ChIJeadgHQB9EpERRv2XEk-rcaI,Cevichería,Club nocturno,"RQX9+968, Jr Manco Capac, Ayacucho 05003",,,,,"-13.151576799999999,-74.2319349",,,"Cevichería en el distrito de Sarayacu, Ucayali , Loreto, Perú"
ChIJ6bs4FQDJBZERkqXP8UdlRJg,https://www.google.com/maps/place/?q=place_id:ChIJ6bs4FQDJBZERkqXP8UdlRJg,Barra Cevicheria D'MarLucho 2,Restaurante,"Av. Julio César Tello 986, Lince 15073",993 481 008,+51 993 481 008,demarlucho.com,http://www.demarlucho.com/,"-12.0864966,-77.04250379999999",5,,"Cevichería en el distrito de Sarayacu, Ucayali , Loreto, Perú"
