id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJBxmmKe93u5ERnqWnbo_VYRQ,https://www.google.com/maps/place/?q=place_id:ChIJBxmmKe93u5ERnqWnbo_VYRQ,Pollos a la Brasa El Dorado,Restaurante,"Calle Coronel Portillo 16451, Orellana 16451",,,,,"-6.9135354,-75.15704029999999",5,,"Pollería en el distrito de Vargas Guerra, Ucayali , Loreto, Perú"
ChIJFQEZNs93u5ER0EHhaDJnhds,https://www.google.com/maps/place/?q=place_id:ChIJFQEZNs93u5ER0EHhaDJnhds,Pollería Orellana,Restaurante especializado en pollo,"Jr. Requena s/n, Orellana 16451",900 713 628,+51 900 713 628,,,"-6.9117258999999995,-75.1565219",5,,"Pollería en el distrito de Vargas Guerra, Ucayali , Loreto, Perú"
ChIJS5N6JgB3u5ERbPGaDf9q3M4,https://www.google.com/maps/place/?q=place_id:ChIJS5N6JgB3u5ERbPGaDf9q3M4,Polleria Rosita,Restaurante especializado en pollo,"58, Orellana 16451",,,,,"-6.9102782,-75.15859619999999",,,"Pollería en el distrito de Vargas Guerra, Ucayali , Loreto, Perú"
ChIJr0UfgHh3u5ERn9vgnGi1fIc,https://www.google.com/maps/place/?q=place_id:ChIJr0UfgHh3u5ERn9vgnGi1fIc,Municipalidad Distrital de Vargas Guerra,Oficinas de empresa,"106, Orellana 16451",,,,,"-6.9111714,-75.158844",5,,"Pollería en el distrito de Vargas Guerra, Ucayali , Loreto, Perú"
ChIJ58TCIk4R6pER1x3aFXmM-oY,https://www.google.com/maps/place/?q=place_id:ChIJ58TCIk4R6pER1x3aFXmM-oY,Polleria LA GRANJA,Restaurante especializado en pollo,"Av. del Ejército 1999, Iquitos 16001",(065) 263518,+51 65 263518,,,"-3.7516395,-73.26599639999999",4.1,,"Pollería en el distrito de Vargas Guerra, Ucayali , Loreto, Perú"
ChIJZzL_I54a6pERHsvp2bHQX_s,https://www.google.com/maps/place/?q=place_id:ChIJZzL_I54a6pERHsvp2bHQX_s,Polleria La Granja,Restaurante,"Yavari 1100, Iquitos 16002",(065) 235143,+51 65 235143,,,"-3.7406227999999997,-73.2489475",4.1,,"Pollería en el distrito de Vargas Guerra, Ucayali , Loreto, Perú"
ChIJz0tZAyxYu5ERTSEzDD3uOfE,https://www.google.com/maps/place/?q=place_id:ChIJz0tZAyxYu5ERTSEzDD3uOfE,Pollería Las Rosas,Restaurante,"Jiron Mariscal Castilla 281, Contamana 16480",,,,,"-7.352433899999999,-75.00466089999999",4.5,,"Pollería en el distrito de Vargas Guerra, Ucayali , Loreto, Perú"
ChIJrz_9sjNYu5ERXWFejXv7LpY,https://www.google.com/maps/place/?q=place_id:ChIJrz_9sjNYu5ERXWFejXv7LpY,Pollería MARTIN,Restaurante,"MX5Q+5R5, C. Circunvalacion, Contamana 16480",945 108 254,+51 945 108 254,facebook.com,https://www.facebook.com/PolleriaMartin/,"-7.342117,-75.0103975",3.9,,"Pollería en el distrito de Vargas Guerra, Ucayali , Loreto, Perú"
ChIJibYHVpAa6pERj_0P_LioIDo,https://www.google.com/maps/place/?q=place_id:ChIJibYHVpAa6pERj_0P_LioIDo,Polleria Dandy,Restaurante,"Augusto Freyre 1850, Iquitos 16003",(065) 252278,+51 65 252278,,,"-3.7284629,-73.2438995",4.1,,"Pollería en el distrito de Vargas Guerra, Ucayali , Loreto, Perú"
ChIJYT8BNTfJBZERTRRs-o8VzaY,https://www.google.com/maps/place/?q=place_id:ChIJYT8BNTfJBZERTRRs-o8VzaY,Mr Juva Restaurant,Tienda de aves de corral,"Jr. Loreto 530, Breña 15082",993 916 690,+51 993 916 690,mrjuva.com,http://www.mrjuva.com/,"-12.055425,-77.0493778",4.4,,"Pollería en el distrito de Vargas Guerra, Ucayali , Loreto, Perú"
ChIJJcwNqoYP6pERJzV3CnfHgWg,https://www.google.com/maps/place/?q=place_id:ChIJJcwNqoYP6pERJzV3CnfHgWg,Pollería La Granja - San Juan,Restaurante especializado en pollo,Iquitos 16008,(065) 260208,+51 65 260208,,,"-3.7699632999999997,-73.2808587",3.9,,"Pollería en el distrito de Vargas Guerra, Ucayali , Loreto, Perú"
ChIJCWrcxJAa6pERCdA0WUovUKs,https://www.google.com/maps/place/?q=place_id:ChIJCWrcxJAa6pERCdA0WUovUKs,Lazorra polleria,Restaurante especializado en pollo,"Borja 568, Iquitos 16003",(065) 251827,+51 65 251827,facebook.com,http://www.facebook.com/pollerialazorra,"-3.7299528,-73.24605079999999",4,,"Pollería en el distrito de Vargas Guerra, Ucayali , Loreto, Perú"
