id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ3bc731HXe5ERrNcYnUqQFB4,https://www.google.com/maps/place/?q=place_id:ChIJ3bc731HXe5ERrNcYnUqQFB4,Pollería Ricoton,Restaurante,"HGV5+GWR, Ca. Brasil, Iberia 17251",927 298 780,+51 927 298 780,,,"-11.4061495,-69.4902494",3.9,,"Pollería en el distrito de Iberia, Tahuamanu , Madre de Dios, Perú"
ChIJS1gweADXe5EREqqzzRl4sJs,https://www.google.com/maps/place/?q=place_id:ChIJS1gweADXe5EREqqzzRl4sJs,El doradito,Restaurante especializado en pollo,"HGX6+5GH, Iberia 17251",982 336 369,+51 982 336 369,,,"-11.4020648,-69.4886343",5,,"Pollería en el distrito de Iberia, Tahuamanu , Madre de Dios, Perú"
ChIJ6SqcuznXe5ER5jutOq3CJd0,https://www.google.com/maps/place/?q=place_id:ChIJ6SqcuznXe5ER5jutOq3CJd0,Sabrozon,Tienda de aves de corral,"HGV6+V49, Iberia 17251",,,,,"-11.4057137,-69.4896191",5,,"Pollería en el distrito de Iberia, Tahuamanu , Madre de Dios, Perú"
ChIJHWQ8bADXe5ERO5g8Uv-CA1k,https://www.google.com/maps/place/?q=place_id:ChIJHWQ8bADXe5ERO5g8Uv-CA1k,H&M Pollos Brass,Restaurante especializado en pollo,"HGW7+HWR, Iberia 17251",,,,,"-11.403447199999999,-69.48529839999999",,,"Pollería en el distrito de Iberia, Tahuamanu , Madre de Dios, Perú"
ChIJKV-81KbFBZERAKTR9rey5Mg,https://www.google.com/maps/place/?q=place_id:ChIJKV-81KbFBZERAKTR9rey5Mg,CEVICHERIA Y RESTAURANTE EL BOSQUE MARINO.,Restaurante,"Av. José Carlos Mariátegui 2451 15007, El Agustino 15007",,,,,"-12.0320209,-76.9991842",4.3,,"Cevichería en el distrito de Iberia, Tahuamanu , Madre de Dios, Perú"
ChIJ_wWGL6xOe5ERpVcGo6ZC2RI,https://www.google.com/maps/place/?q=place_id:ChIJ_wWGL6xOe5ERpVcGo6ZC2RI,Cevicheria Delicias Del Mar,Restaurante,"28 De Julio 680, Puerto Maldonado 17001",,,,,"-12.5951577,-69.18732849999999",3.3,,"Cevichería en el distrito de Iberia, Tahuamanu , Madre de Dios, Perú"
ChIJoUK-gzzXe5ERlntRPv9u9vc,https://www.google.com/maps/place/?q=place_id:ChIJoUK-gzzXe5ERlntRPv9u9vc,Pizzería Iberia,Restaurante,"av.manuel b. montesinos 127, Iberia 17251",949 328 412,+51 949 328 412,,,"-11.4074529,-69.4895037",4.2,,"Pizzería en el distrito de Iberia, Tahuamanu , Madre de Dios, Perú"
ChIJDaGf4rbXe5ER80A3ID3lvKY,https://www.google.com/maps/place/?q=place_id:ChIJDaGf4rbXe5ER80A3ID3lvKY,D'Harris,Pizzería,"HGV6+5VW, Iberia 17251",900 912 663,+51 900 912 663,,,"-11.407022999999999,-69.4877841",5,,"Pizzería en el distrito de Iberia, Tahuamanu , Madre de Dios, Perú"
ChIJvUkkf47Xe5ERYwekBi1WwLo,https://www.google.com/maps/place/?q=place_id:ChIJvUkkf47Xe5ERYwekBi1WwLo,Umami pizzeria restaurant,Pizzería,"Av Manuel B Montesinos S/N, Iberia 17251",949 328 412,+51 949 328 412,,,"-11.4059888,-69.4913323",4.1,,"Pizzería en el distrito de Iberia, Tahuamanu , Madre de Dios, Perú"
ChIJM7KL4I9Pe5ERDCm3Fegoz1U,https://www.google.com/maps/place/?q=place_id:ChIJM7KL4I9Pe5ERDCm3Fegoz1U,Chifa Lung Fung,Restaurante chino,"CR57+FF8, Madre De Dios, Puerto Maldonado 17001",984 097 300,+51 984 097 300,,,"-12.591344999999999,-69.1863118",4.1,,"Chifa en el distrito de Iberia, Tahuamanu , Madre de Dios, Perú"
ChIJS9OyoDrGBZERECyAjtnDuCk,https://www.google.com/maps/place/?q=place_id:ChIJS9OyoDrGBZERECyAjtnDuCk,Chifa Wan,Restaurante,"Avenida Agustín de la Rosa Toro 350, San Luis 15021",989 855 888,+51 989 855 888,,,"-12.0726294,-76.99780799999999",4.2,,"Chifa en el distrito de Iberia, Tahuamanu , Madre de Dios, Perú"
ChIJ0dHhe87HBZERlSobP1NVQRo,https://www.google.com/maps/place/?q=place_id:ChIJ0dHhe87HBZERlSobP1NVQRo,Chifa Yue Hao,Restaurante cantonés,"Av. San Luis 1988, San Borja 15037",(01) 2232362,+51 1 2232362,chifayuehao.com,http://www.chifayuehao.com/,"-12.0892904,-76.9965149",4.4,,"Chifa en el distrito de Iberia, Tahuamanu , Madre de Dios, Perú"
ChIJyUMSFPzIBZERJSOwLESYx-M,https://www.google.com/maps/place/?q=place_id:ChIJyUMSFPzIBZERJSOwLESYx-M,Chifa Hong Yi,Restaurante de cocina mandarina,"Jirón Huamachuco 1799, Jesús María 15072",916 586 668,+51 916 586 668,,,"-12.079763,-77.051841",4.2,,"Chifa en el distrito de Iberia, Tahuamanu , Madre de Dios, Perú"
ChIJAwZe89zHBZER2gLzP8TlZy4,https://www.google.com/maps/place/?q=place_id:ChIJAwZe89zHBZER2gLzP8TlZy4,Chifa Wang Xiang Yuan,Restaurante chino,"Av. Aviación 3219, San Borja 15037",983 777 706,+51 983 777 706,facebook.com,https://www.facebook.com/chifa.wangxiangyuan,"-12.102373799999999,-77.0012697",4.3,,"Chifa en el distrito de Iberia, Tahuamanu , Madre de Dios, Perú"
ChIJq5AYDKROe5ER98egSa18koU,https://www.google.com/maps/place/?q=place_id:ChIJq5AYDKROe5ER98egSa18koU,Chifa Lung Fung,Restaurante de cocina mandarina,"26 De Diciembre 282, Puerto Maldonado 17001",,,,,"-12.5953135,-69.1756245",3.5,,"Chifa en el distrito de Iberia, Tahuamanu , Madre de Dios, Perú"
ChIJXW7zvhnXe5ER3tAaJ7Y4coU,https://www.google.com/maps/place/?q=place_id:ChIJXW7zvhnXe5ER3tAaJ7Y4coU,El Bunker D' ShuShu,Restaurante,"C. Loreto 289, Iberia 17251",,,facebook.com,https://www.facebook.com/ELBUNKERDSHUSHU/,"-11.411530899999999,-69.4863447",4.9,,"Comida rapida en el distrito de Iberia, Tahuamanu , Madre de Dios, Perú"
ChIJXXeDJx7Xe5ERPLQm5R56ie4,https://www.google.com/maps/place/?q=place_id:ChIJXXeDJx7Xe5ERPLQm5R56ie4,Parrillas FIGO,Restaurante de comida rápida,Iberia 17251,963 065 416,+51 963 065 416,,,"-11.4074142,-69.4888943",,,"Comida rapida en el distrito de Iberia, Tahuamanu , Madre de Dios, Perú"
ChIJXW7zvhnXe5ER3tAaJ7Y4coU,https://www.google.com/maps/place/?q=place_id:ChIJXW7zvhnXe5ER3tAaJ7Y4coU,El Bunker D' ShuShu,Restaurante,"C. Loreto 289, Iberia 17251",,,facebook.com,https://www.facebook.com/ELBUNKERDSHUSHU/,"-11.411530899999999,-69.4863447",4.9,,"Fastfood en el distrito de Iberia, Tahuamanu , Madre de Dios, Perú"
ChIJXXeDJx7Xe5ERPLQm5R56ie4,https://www.google.com/maps/place/?q=place_id:ChIJXXeDJx7Xe5ERPLQm5R56ie4,Parrillas FIGO,Restaurante de comida rápida,Iberia 17251,963 065 416,+51 963 065 416,,,"-11.4074142,-69.4888943",,,"Fastfood en el distrito de Iberia, Tahuamanu , Madre de Dios, Perú"
ChIJszEUYADXe5ERVN4h-fnrWnc,https://www.google.com/maps/place/?q=place_id:ChIJszEUYADXe5ERVN4h-fnrWnc,Panadería Felix,Panadería,"HGW9+8G4, Iberia 17251",994 761 518,+51 994 761 518,facebook.com,https://www.facebook.com/share/1B6zycuj3g/,"-11.404238699999999,-69.48116639999999",4,,"Panadería en el distrito de Iberia, Tahuamanu , Madre de Dios, Perú"
ChIJ9SVvQQDXe5ERHEOqEwPSKlg,https://www.google.com/maps/place/?q=place_id:ChIJ9SVvQQDXe5ERHEOqEwPSKlg,Panadería Pucallpino,,"HGW9+8G4, Iberia 17251",,,,,"-11.404238699999999,-69.48116639999999",,,"Panadería en el distrito de Iberia, Tahuamanu , Madre de Dios, Perú"
ChIJD55jfwDXe5ERnpzJJevgu1g,https://www.google.com/maps/place/?q=place_id:ChIJD55jfwDXe5ERnpzJJevgu1g,Qoritanta,Panadería,"HGW3+M9, Iberia 17251",,,,,"-11.403376399999999,-69.49656569999999",,,"Panadería en el distrito de Iberia, Tahuamanu , Madre de Dios, Perú"
ChIJBR00bMVbRJERIxW9iQSzvGc,https://www.google.com/maps/place/?q=place_id:ChIJBR00bMVbRJERIxW9iQSzvGc,Fruttuosa,Heladería,"9MQ6+J56, Ilo 18611",959 731 616,+51 959 731 616,,,"-17.6109603,-71.3396205",4.2,,"Heladería en el distrito de Iberia, Tahuamanu , Madre de Dios, Perú"
ChIJlaRLSKROe5ERWL-j9HFckQo,https://www.google.com/maps/place/?q=place_id:ChIJlaRLSKROe5ERWL-j9HFckQo,Heladeria Copasu,Heladería,"Daniel A Carrion 247, Puerto Maldonado 17001",914 235 454,+51 914 235 454,,,"-12.594717,-69.1769116",3.8,,"Heladería en el distrito de Iberia, Tahuamanu , Madre de Dios, Perú"
ChIJX37kXaROe5ERvasCp2Y5RQg,https://www.google.com/maps/place/?q=place_id:ChIJX37kXaROe5ERvasCp2Y5RQg,Gustitos Del Cura,Heladería,"Loreto 220, Puerto Maldonado 17001",(082) 572175,+51 82 572175,,,"-12.5938681,-69.1757404",3.8,,"Heladería en el distrito de Iberia, Tahuamanu , Madre de Dios, Perú"
ChIJR9hlEa9Oe5ERt3q2JEjOy7k,https://www.google.com/maps/place/?q=place_id:ChIJR9hlEa9Oe5ERt3q2JEjOy7k,Copasu 2,Heladería,"Av. Ernesto Rivero 560, Puerto Maldonado 17001",,,,,"-12.594857,-69.1825192",3.8,,"Heladería en el distrito de Iberia, Tahuamanu , Madre de Dios, Perú"
ChIJPeQiyZjJBZERSFcJuG7VsW8,https://www.google.com/maps/place/?q=place_id:ChIJPeQiyZjJBZERSFcJuG7VsW8,Siberia Gelato,Heladería,"in front of Wong Balta in Miraflores downtown, Ca. José Gálvez 136, Lima 15074",934 440 080,+51 934 440 080,siberiagelato.com,http://siberiagelato.com/,"-12.1225683,-77.0321001",4.6,,"Heladería en el distrito de Iberia, Tahuamanu , Madre de Dios, Perú"
ChIJw1iPng1Pe5ERIEnF-e6N4YI,https://www.google.com/maps/place/?q=place_id:ChIJw1iPng1Pe5ERIEnF-e6N4YI,Heladeria Tropico - León Velarde,Cafetería,Puerto Maldonado 17001,994 948 037,+51 994 948 037,,,"-12.5967404,-69.1796408",4,,"Heladería en el distrito de Iberia, Tahuamanu , Madre de Dios, Perú"
ChIJXW7zvhnXe5ER3tAaJ7Y4coU,https://www.google.com/maps/place/?q=place_id:ChIJXW7zvhnXe5ER3tAaJ7Y4coU,El Bunker D' ShuShu,Restaurante,"C. Loreto 289, Iberia 17251",,,facebook.com,https://www.facebook.com/ELBUNKERDSHUSHU/,"-11.411530899999999,-69.4863447",4.9,,"Hamburguesería en el distrito de Iberia, Tahuamanu , Madre de Dios, Perú"
ChIJ634eoS_Xe5ERvuWY4Rzw8Pw,https://www.google.com/maps/place/?q=place_id:ChIJ634eoS_Xe5ERvuWY4Rzw8Pw,Snack Cafetín Shanela,Hamburguesería,"HGV5+MRW, Iberia 17251",,,,,"-11.4057506,-69.4904337",5,,"Hamburguesería en el distrito de Iberia, Tahuamanu , Madre de Dios, Perú"
