id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJH4zdfledRJER3f8Qa00tH_0,https://www.google.com/maps/place/?q=place_id:ChIJH4zdfledRJER3f8Qa00tH_0,Pollería MONTECARLO’S,Restaurante,"Lambayeque 132, Moquegua 18001",962 656 521,+51 962 656 521,,,"-17.1960849,-70.9376077",3.7,,"Pollería en el distrito de Chojata, General Sánchez Cerro , Moquegua, Perú"
ChIJYRfHGCmdRJEREUBPTz3WAaY,https://www.google.com/maps/place/?q=place_id:ChIJYRfHGCmdRJEREUBPTz3WAaY,Polleria Las Americas,Restaurante,"frente al complejo municipal, C. Moquegua 145, Moquegua 18001",930 793 554,+51 930 793 554,,,"-17.1955873,-70.9385331",3.6,,"Pollería en el distrito de Chojata, General Sánchez Cerro , Moquegua, Perú"
ChIJH4TOWcSdRJERGdV81s57XwU,https://www.google.com/maps/place/?q=place_id:ChIJH4TOWcSdRJERGdV81s57XwU,calamazo,Restaurante,"Av Ejercito 10, Moquegua 18001",950 588 858,+51 950 588 858,calamazo.com,http://www.calamazo.com/,"-17.1904052,-70.9419008",4.3,,"Pollería en el distrito de Chojata, General Sánchez Cerro , Moquegua, Perú"
ChIJrRHdwjCdRJERwZaLOlmuAts,https://www.google.com/maps/place/?q=place_id:ChIJrRHdwjCdRJERwZaLOlmuAts,Robyn´s chicken,Pollería,"C.P. Chen Chen, +51, Moquegua 18000",998 800 087,+51 998 800 087,,,"-17.2000645,-70.92151609999999",,,"Pollería en el distrito de Chojata, General Sánchez Cerro , Moquegua, Perú"
ChIJ2Rjkd1edRJERK9Ngy350EaI,https://www.google.com/maps/place/?q=place_id:ChIJ2Rjkd1edRJERK9Ngy350EaI,Pollería Don Sergio,Pollería,"Cruce Av. San Bernabé y, Asociación Los Cipreses Mz C7 Lt14, Moquegua 18001",(053) 474041,+51 53 474041,facebook.com,https://www.facebook.com/share/1STJm6V5vE/,"-17.206509699999998,-70.9436557",5,,"Pollería en el distrito de Chojata, General Sánchez Cerro , Moquegua, Perú"
ChIJAU18KGDIBZERgjjsAVVSKmY,https://www.google.com/maps/place/?q=place_id:ChIJAU18KGDIBZERgjjsAVVSKmY,Polleria La Fogata,Restaurante,"Av. Militar 2179, Lince 15046",(01) 3732012,+51 1 3732012,,,"-12.085730199999999,-77.0310737",4.3,,"Pollería en el distrito de Chojata, General Sánchez Cerro , Moquegua, Perú"
ChIJYwtLDWScRJERVj6CbzMXTf8,https://www.google.com/maps/place/?q=place_id:ChIJYwtLDWScRJERVj6CbzMXTf8,POLLERIA DON ELIAS,Restaurante,"28 de Julio 699, Moquegua 18001",(053) 639787,+51 53 639787,,,"-17.1937443,-70.9480403",4,,"Pollería en el distrito de Chojata, General Sánchez Cerro , Moquegua, Perú"
ChIJC0GwwnicRJERS5QmyzTZhkQ,https://www.google.com/maps/place/?q=place_id:ChIJC0GwwnicRJERS5QmyzTZhkQ,Polleria Sabory,Restaurante,"Av. Sta. Fortunata 3, Moquegua 18001",953 929 460,+51 953 929 460,,,"-17.207124999999998,-70.94735",3.7,,"Pollería en el distrito de Chojata, General Sánchez Cerro , Moquegua, Perú"
ChIJgwEBPNnDBZERzQ6XHsC0KHw,https://www.google.com/maps/place/?q=place_id:ChIJgwEBPNnDBZERzQ6XHsC0KHw,Pollería Mi Choza Chicken- Grill,Restaurante peruano,"Calle Rammor 166, Ate 15487",(01) 3646029,+51 1 3646029,,,"-12.030166399999999,-76.8881832",4,,"Pollería en el distrito de Chojata, General Sánchez Cerro , Moquegua, Perú"
ChIJ8d0j6JObRJER770FiN57gtM,https://www.google.com/maps/place/?q=place_id:ChIJ8d0j6JObRJER770FiN57gtM,Pollería El Mesón de la Cabañita,Restaurante,"L7, Moquegua 18001",,,,,"-17.2104417,-70.94221329999999",4,,"Pollería en el distrito de Chojata, General Sánchez Cerro , Moquegua, Perú"
ChIJodbX_CqdRJERD2Fg-jksQtw,https://www.google.com/maps/place/?q=place_id:ChIJodbX_CqdRJERD2Fg-jksQtw,El Meson Pollos Y Parrillas,Restaurante,"C. Moquegua 219, Moquegua 18001",950 557 946,+51 950 557 946,,,"-17.1953311,-70.9378152",3.3,,"Pollería en el distrito de Chojata, General Sánchez Cerro , Moquegua, Perú"
