id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJH4zdfledRJER3f8Qa00tH_0,https://www.google.com/maps/place/?q=place_id:ChIJH4zdfledRJER3f8Qa00tH_0,Pollería MONTECARLO’S,Restaurante,"Lambayeque 132, Moquegua 18001",962 656 521,+51 962 656 521,,,"-17.1960849,-70.9376077",3.7,,"Pollería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJfS9bEz2dRJERk_uSt1uJOlU,https://www.google.com/maps/place/?q=place_id:ChIJfS9bEz2dRJERk_uSt1uJOlU,Polleria La Cabañita,Restaurante especializado en pollo,"C. Moquegua 155, Moquegua 18001",991 133 760,+51 991 133 760,ueniweb.com,https://el-meson-de-la-cabanita.ueniweb.com/?utm_campaign=gmb,"-17.1955,-70.93818569999999",3.7,,"Pollería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJYwtLDWScRJERVj6CbzMXTf8,https://www.google.com/maps/place/?q=place_id:ChIJYwtLDWScRJERVj6CbzMXTf8,POLLERIA DON ELIAS,Restaurante,"28 de Julio 699, Moquegua 18001",(053) 639787,+51 53 639787,,,"-17.1937443,-70.9480403",4,,"Pollería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJ8d0j6JObRJER770FiN57gtM,https://www.google.com/maps/place/?q=place_id:ChIJ8d0j6JObRJER770FiN57gtM,Pollería El Mesón de la Cabañita,Restaurante,"L7, Moquegua 18001",,,,,"-17.2104417,-70.94221329999999",4,,"Pollería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJYRfHGCmdRJEREUBPTz3WAaY,https://www.google.com/maps/place/?q=place_id:ChIJYRfHGCmdRJEREUBPTz3WAaY,Polleria Las Americas,Restaurante,"frente al complejo municipal, C. Moquegua 145, Moquegua 18001",930 793 554,+51 930 793 554,,,"-17.1955873,-70.9385331",3.6,,"Pollería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJgXqc41edRJERK5X41FE0-Rc,https://www.google.com/maps/place/?q=place_id:ChIJgXqc41edRJERK5X41FE0-Rc,Pollería el más rico,Restaurante especializado en pollo,"Q3R3+9J9, Moquegua 18001",952 505 240,+51 952 505 240,facebook.com,https://www.facebook.com/profile.php?id=100063477584572&mibextid=9R9pXO,"-17.2087897,-70.945931",4.5,,"Pollería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJH4TOWcSdRJERGdV81s57XwU,https://www.google.com/maps/place/?q=place_id:ChIJH4TOWcSdRJERGdV81s57XwU,calamazo,Restaurante especializado en pollo,"Av Ejercito 10, Moquegua 18001",950 588 858,+51 950 588 858,calamazo.com,http://www.calamazo.com/,"-17.1904052,-70.9419008",4.3,,"Pollería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJ5x9vAS2dRJER0tGh4EN-vRk,https://www.google.com/maps/place/?q=place_id:ChIJ5x9vAS2dRJER0tGh4EN-vRk,La Brasa Brava,Restaurante especializado en pollo,"Av Balta 224, Moquegua 18001",953 866 411,+51 953 866 411,,,"-17.1929625,-70.9375605",3.5,,"Pollería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJf763eQCdRJEREGg8mgU_H5o,https://www.google.com/maps/place/?q=place_id:ChIJf763eQCdRJEREGg8mgU_H5o,Polleria D'Gabys,Restaurante especializado en pollo,"Q3XH+X65, Moquegua 18001 Chen, Chen 18000",,,,,"-17.2001728,-70.9218174",,,"Pollería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJ3T1VxPudRJER9NGSKWZ5y74,https://www.google.com/maps/place/?q=place_id:ChIJ3T1VxPudRJER9NGSKWZ5y74,RIKO RIKO Pollos a la Brasa,Restaurante especializado en pollo,"Av Balta 226, Moquegua 18001",(053) 636995,+51 53 636995,,,"-17.192973,-70.9373954",3.3,,"Pollería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJrRHdwjCdRJERwZaLOlmuAts,https://www.google.com/maps/place/?q=place_id:ChIJrRHdwjCdRJERwZaLOlmuAts,Robyn´s chicken,Pollería,"C.P. Chen Chen, +51, Moquegua 18000",998 800 087,+51 998 800 087,,,"-17.2000645,-70.92151609999999",,,"Pollería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJUVY1FW6cRJERdk-z_pYKKAo,https://www.google.com/maps/place/?q=place_id:ChIJUVY1FW6cRJERdk-z_pYKKAo,Fogata Pollos a la Brasa,Restaurante,"C. Moquegua 151, Moquegua 18001",(053) 290040,+51 53 290040,,,"-17.1955748,-70.9382457",3.7,,"Pollería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJ2Rjkd1edRJERK9Ngy350EaI,https://www.google.com/maps/place/?q=place_id:ChIJ2Rjkd1edRJERK9Ngy350EaI,Pollería Don Sergio,Pollería,"Cruce Av. San Bernabé y, Asociación Los Cipreses Mz C7 Lt14, Moquegua 18001",(053) 474041,+51 53 474041,facebook.com,https://www.facebook.com/share/1STJm6V5vE/,"-17.206509699999998,-70.9436557",5,,"Pollería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJL0HCOQCdRJER2MHCMfCVKTs,https://www.google.com/maps/place/?q=place_id:ChIJL0HCOQCdRJER2MHCMfCVKTs,POLLERIA EL CHINCHER brass,Restaurante especializado en pollo,"Av Ejercito 10, Moquegua 18001",,,,,"-17.190392,-70.9418929",,,"Pollería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJodbX_CqdRJERD2Fg-jksQtw,https://www.google.com/maps/place/?q=place_id:ChIJodbX_CqdRJERD2Fg-jksQtw,El Meson Pollos Y Parrillas,Restaurante,"C. Moquegua 219, Moquegua 18001",950 557 946,+51 950 557 946,,,"-17.1953311,-70.9378152",3.3,,"Pollería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJgYyxtUSdRJERhw64fC_Gnhk,https://www.google.com/maps/place/?q=place_id:ChIJgYyxtUSdRJERhw64fC_Gnhk,BUNA SAZON POLLOS A LA BRASA,Restaurante especializado en pollo,"AV SANTA FOTUNATA APVJOSE, CARLOS MARIATEGUI B3 A9, Moquegua",,,,,"-17.2059389,-70.9508719",,,"Pollería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJR2ZySLmdRJERUbiWOXo_pz8,https://www.google.com/maps/place/?q=place_id:ChIJR2ZySLmdRJERUbiWOXo_pz8,Restaurant Cevicheria De La Concha,Restaurante,"18001, Moquegua 18001",953 694 399,+51 953 694 399,,,"-17.193202499999998,-70.9336059",4.6,,"Cevichería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJdaaEHG2cRJER61RAim11eeE,https://www.google.com/maps/place/?q=place_id:ChIJdaaEHG2cRJER61RAim11eeE,NAUTICA RESTOMAR,Restaurante peruano,"Arequipa 485, Moquegua 18001",924 740 055,+51 924 740 055,,,"-17.193941199999998,-70.9330201",4.1,,"Cevichería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJT21mtWacRJER-7z8HxEb7kM,https://www.google.com/maps/place/?q=place_id:ChIJT21mtWacRJER-7z8HxEb7kM,El Sabor de Encantos Del Mar,Restaurante,"18001, Moquegua 18001",950 950 414,+51 950 950 414,,,"-17.1912441,-70.948629",3.8,,"Cevichería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJCxHWaxOcRJER0A1wFmK4FBo,https://www.google.com/maps/place/?q=place_id:ChIJCxHWaxOcRJER0A1wFmK4FBo,El Punto Del Paisa,Restaurante,Moquegua 18001,(053) 462331,+51 53 462331,,,"-17.1915789,-70.9291757",3.9,,"Cevichería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJW5Z_EhibRJERp0ItKiaME-Q,https://www.google.com/maps/place/?q=place_id:ChIJW5Z_EhibRJERp0ItKiaME-Q,cevicheria la Previa,Marisquería,"Q3P4+77F, 36A, Moquegua 18001",913 418 152,+51 913 418 152,,,"-17.213594399999998,-70.94290629999999",4.5,,"Cevichería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJvSUciG6cRJERazIsIBIf4HM,https://www.google.com/maps/place/?q=place_id:ChIJvSUciG6cRJERazIsIBIf4HM,Cevicheria El Mas Rico,Restaurante,"Piura 181, Moquegua 18001",976 397 860,+51 976 397 860,,,"-17.1933599,-70.937935",3.6,,"Cevichería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJX_OM8hmdRJERWi6q9znWaS4,https://www.google.com/maps/place/?q=place_id:ChIJX_OM8hmdRJERWi6q9znWaS4,Misky Mijuy,Restaurante,"Andres A Caceres, Moquegua 18001",953 967 083,+51 953 967 083,,,"-17.189909399999998,-70.9313268",3.9,,"Cevichería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJzXRBJACbRJERgHIfm2znJmk,https://www.google.com/maps/place/?q=place_id:ChIJzXRBJACbRJERgHIfm2znJmk,"Restaurante Cevicheria ""El Corsario""",Marisquería,"Q3RG+WVM, Carretera Binacional, Moquegua 18000",999 481 174,+51 999 481 174,elvorsarioilo.com,http://www.elvorsarioilo.com/,"-17.2076501,-70.92282709999999",,,"Cevichería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJ_6r0gCidRJERD_Ht7pSWOXI,https://www.google.com/maps/place/?q=place_id:ChIJ_6r0gCidRJERD_Ht7pSWOXI,La Barra D' Lucho,Restaurante de comida rápida,"17.18901594624873, -70.93582552676492, Moquegua 18001",967 736 458,+51 967 736 458,,,"-17.1890468,-70.9360138",4.3,,"Cevichería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJrb_Wz1VaRJERqxfyhWc5Tsg,https://www.google.com/maps/place/?q=place_id:ChIJrb_Wz1VaRJERqxfyhWc5Tsg,El Corsario Cevicheria Restaurant,Restaurante,"8MQ8+VXQ, Ilo 18601",953 915 427,+51 953 915 427,,,"-17.6602899,-71.3325236",3.9,,"Cevichería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJ2TaBaQCdRJERfVV1nas1xKc,https://www.google.com/maps/place/?q=place_id:ChIJ2TaBaQCdRJERfVV1nas1xKc,Family Restaurant Cevicheria,Restaurante,"R369+P45, Av Simon Bolivar, Moquegua, B 03",,,,,"-17.188249799999998,-70.9321351",1.5,,"Cevichería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJq3QDzuudRJERkBqcQ-kXDoc,https://www.google.com/maps/place/?q=place_id:ChIJq3QDzuudRJERkBqcQ-kXDoc,Cevicheria-Polleria VIRDECO,Restaurante,"Pequeña Roma A-1, Moquegua 18001",924 251 213,+51 924 251 213,facebook.com,https://www.facebook.com/CevicheriaPolleriaDNova/,"-17.2001748,-70.9460063",4.4,,"Cevichería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJJcvXYQCdRJER7fuL9jonw6I,https://www.google.com/maps/place/?q=place_id:ChIJJcvXYQCdRJER7fuL9jonw6I,Muxsa pizzería,Pizzería,"Ayacucho 645, Moquegua 18001",970 012 781,+51 970 012 781,,,"-17.1936075,-70.9338384",4.7,,"Pizzería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJ2eAqqMoUQ5ERTbsBy14zooU,https://www.google.com/maps/place/?q=place_id:ChIJ2eAqqMoUQ5ERTbsBy14zooU,Quinistaquillas,,18300,,,,,"-16.75,-70.8833329",,,"Pizzería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJZXk5S2ycRJERfIOXQxsz2PA,https://www.google.com/maps/place/?q=place_id:ChIJZXk5S2ycRJERfIOXQxsz2PA,Pizzeria Degusta,Restaurante,Av. Arboleda s/n Urb. El Gramadal Frente a Plaza Vea,990 337 017,+51 990 337 017,facebook.com,https://www.facebook.com/pizzeriadegusta,"-17.1879116,-70.938002",4,,"Pizzería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJtxB_mxCdRJERFnkw_fbK6Mo,https://www.google.com/maps/place/?q=place_id:ChIJtxB_mxCdRJERFnkw_fbK6Mo,PizzaMar,Pizzería,"C. Moquegua 441, Moquegua 18001",935 705 049,+51 935 705 049,,,"-17.1939674,-70.9355238",3.9,,"Pizzería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJDWlcXk3BBZERy05W5WhnoUQ,https://www.google.com/maps/place/?q=place_id:ChIJDWlcXk3BBZERy05W5WhnoUQ,Don Quezo Pizzas,Pizzería,"Calle Micaela Bastidas, Zona ""F"", mZ ""D"" Lote 5, Tambo Viejo, Cieneguilla",987 407 185,+51 987 407 185,,,"-12.108995799999999,-76.82678039999999",4.5,,"Pizzería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJaZtgxN2dRJER8jgObB6fhSo,https://www.google.com/maps/place/?q=place_id:ChIJaZtgxN2dRJER8jgObB6fhSo,Cafetería Pizzeria Luana,Cafetería,"C. Tacna 323, Moquegua 18001",,,,,"-17.1935571,-70.9342966",5,,"Pizzería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
ChIJ54uISACdRJEREodYwayBRl8,https://www.google.com/maps/place/?q=place_id:ChIJ54uISACdRJEREodYwayBRl8,Pizzería GRATINATO,Pizzería,"Urbanización San Fernando A-3, Moquegua 18001",941 354 697,+51 941 354 697,,,"-17.185234299999998,-70.9308198",4.6,,"Pizzería en el distrito de Quinistaquillas, General Sánchez Cerro , Moquegua, Perú"
