id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJAU18KGDIBZERgjjsAVVSKmY,https://www.google.com/maps/place/?q=place_id:ChIJAU18KGDIBZERgjjsAVVSKmY,Polleria La Fogata,Restaurante,"Av. Militar 2179, Lince 15046",(01) 3732012,+51 1 3732012,,,"-12.085730199999999,-77.0310737",4.3,,"Pollería en el distrito de Torata, Mariscal Nieto , Moquegua, Perú"
ChIJNxFLUfrFBZER0cgNXTAS-UM,https://www.google.com/maps/place/?q=place_id:ChIJNxFLUfrFBZER0cgNXTAS-UM,Pollería LA FOGATA,Restaurante especializado en pollo,"Asoc. Valle del Mantaro, jr, Av. los Regadores mz C, San Juan de Lurigancho 15427",984 199 360,+51 984 199 360,,,"-12.013704299999999,-76.9916095",5,,"Pollería en el distrito de Torata, Mariscal Nieto , Moquegua, Perú"
ChIJ9ecztrTFBZERPRVLl4Ebrg0,https://www.google.com/maps/place/?q=place_id:ChIJ9ecztrTFBZERPRVLl4Ebrg0,"POLLERIA ""La Fogata """,Restaurante,"22X9+RHH, Av. el Muro Oeste, San Juan de Lurigancho 15446",993 359 734,+51 993 359 734,,,"-11.950436199999999,-76.98103019999999",3.3,,"Pollería en el distrito de Torata, Mariscal Nieto , Moquegua, Perú"
ChIJH4zdfledRJER3f8Qa00tH_0,https://www.google.com/maps/place/?q=place_id:ChIJH4zdfledRJER3f8Qa00tH_0,Pollería MONTECARLO’S,Restaurante,"Lambayeque 132, Moquegua 18001",962 656 521,+51 962 656 521,,,"-17.1960849,-70.9376077",3.7,,"Pollería en el distrito de Torata, Mariscal Nieto , Moquegua, Perú"
ChIJ5x9vAS2dRJER0tGh4EN-vRk,https://www.google.com/maps/place/?q=place_id:ChIJ5x9vAS2dRJER0tGh4EN-vRk,La Brasa Brava,Restaurante especializado en pollo,"Av Balta 224, Moquegua 18001",953 866 411,+51 953 866 411,,,"-17.1929625,-70.9375605",3.5,,"Pollería en el distrito de Torata, Mariscal Nieto , Moquegua, Perú"
ChIJSdkpdQCdRJERkwTv4wrUFpM,https://www.google.com/maps/place/?q=place_id:ChIJSdkpdQCdRJERkwTv4wrUFpM,Pollería D'MATHI,Restaurante,"R34F+7Q7, Moquegua 18001",966 254 363,+51 966 254 363,,,"-17.195011,-70.9253258",4.5,,"Pollería en el distrito de Torata, Mariscal Nieto , Moquegua, Perú"
ChIJQ3jXYnKcRJERo-9Fwf59eys,https://www.google.com/maps/place/?q=place_id:ChIJQ3jXYnKcRJERo-9Fwf59eys,Polleria El Rancho,Restaurante especializado en pollo,"Av. Mariano Lino Urquieta 371, Moquegua 18001",900 105 098,+51 900 105 098,,,"-17.1973554,-70.9340584",4,,"Pollería en el distrito de Torata, Mariscal Nieto , Moquegua, Perú"
ChIJjU4H7I2dRJER6Xlq3ExFujg,https://www.google.com/maps/place/?q=place_id:ChIJjU4H7I2dRJER6Xlq3ExFujg,Polleria Sol Mayito,Restaurante,"Q3W5+V5X, Moquegua 18001",,,,,"-17.2027635,-70.9420061",3.6,,"Pollería en el distrito de Torata, Mariscal Nieto , Moquegua, Perú"
ChIJZd4jhDudRJERQgHxaUuHTZA,https://www.google.com/maps/place/?q=place_id:ChIJZd4jhDudRJERQgHxaUuHTZA,Pollería Mishell,Restaurante,"Nueva Moquegua MZ l2 lt 12, Moquegua 18001",926 629 675,+51 926 629 675,,,"-17.2055249,-70.95291209999999",,,"Pollería en el distrito de Torata, Mariscal Nieto , Moquegua, Perú"
ChIJYRfHGCmdRJEREUBPTz3WAaY,https://www.google.com/maps/place/?q=place_id:ChIJYRfHGCmdRJEREUBPTz3WAaY,Polleria Las Americas,Restaurante,"frente al complejo municipal, C. Moquegua 145, Moquegua 18001",930 793 554,+51 930 793 554,,,"-17.1955873,-70.9385331",3.6,,"Pollería en el distrito de Torata, Mariscal Nieto , Moquegua, Perú"
