id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJlbx00oU1p5ER2YwRZIc-BAY,https://www.google.com/maps/place/?q=place_id:ChIJlbx00oU1p5ER2YwRZIc-BAY,Restaurante polleria chifa Torres,Restaurante,"5X2M+WR2, Constitucion 19310",965 173 417,+51 965 173 417,,,"-9.847746599999999,-75.0154925",5,,"Pollería en el distrito de Constitución, Oxapampa , Pasco, Perú"
ChIJxdU6z2E0p5ERoII0hbKpxj4,https://www.google.com/maps/place/?q=place_id:ChIJxdU6z2E0p5ERoII0hbKpxj4,Polleria Torres,Tienda de aves de corral,"5X2M+3RP, Jr Carlos, Constitucion 19310",,,,,"-9.849783799999999,-75.01542119999999",3.2,,"Pollería en el distrito de Constitución, Oxapampa , Pasco, Perú"
ChIJOS4GYyLBCZERzt8ILt9SWUE,https://www.google.com/maps/place/?q=place_id:ChIJOS4GYyLBCZERzt8ILt9SWUE,D Norma Brasas y Parrillas,Restaurante,"Nueva Berna, Oxapampa 19210",986 220 352,+51 986 220 352,facebook.com,http://www.facebook.com/pollosyparrillasdnorma,"-10.574634999999999,-75.4079328",4.1,,"Pollería en el distrito de Constitución, Oxapampa , Pasco, Perú"
ChIJEdVzYhHBCZERAThK-2KAS1w,https://www.google.com/maps/place/?q=place_id:ChIJEdVzYhHBCZERAThK-2KAS1w,Polleria SAZON Chicken,Restaurante,"Jr. Grau 142, Oxapampa 19231",(063) 630355,+51 63 630355,,,"-10.5742959,-75.40311849999999",3.8,,"Pollería en el distrito de Constitución, Oxapampa , Pasco, Perú"
ChIJJ4JinxbBCZERxVkHk9W0idQ,https://www.google.com/maps/place/?q=place_id:ChIJJ4JinxbBCZERxVkHk9W0idQ,Pollería Oasis,Pollería,"Jr. Bolognesi 363, Oxapampa 2025",914 379 257,+51 914 379 257,,,"-10.5745852,-75.4065205",,,"Pollería en el distrito de Constitución, Oxapampa , Pasco, Perú"
ChIJe5nV9lLBCZERR5dRSxI9nZ0,https://www.google.com/maps/place/?q=place_id:ChIJe5nV9lLBCZERR5dRSxI9nZ0,Sazon Chicken pollos y parrillas,Tienda de aves de corral,"Jr. Mullembruck cudra 8, Oxapampa 19231",(063) 630355,+51 63 630355,,,"-10.5742742,-75.4031842",,,"Pollería en el distrito de Constitución, Oxapampa , Pasco, Perú"
ChIJqW0rXXzHBZERaCYNEtvRBS8,https://www.google.com/maps/place/?q=place_id:ChIJqW0rXXzHBZERaCYNEtvRBS8,ESTACIÓN KARPA- POLLERIA ARTESANAL,Restaurante especializado en pollo,"Av. Los Quechuas 274, Ate 15022",943 100 771,+51 943 100 771,,,"-12.0739783,-76.9870552",4.4,,"Pollería en el distrito de Constitución, Oxapampa , Pasco, Perú"
ChIJE9MCJAAzoZERQ14qJfWvr6E,https://www.google.com/maps/place/?q=place_id:ChIJE9MCJAAzoZERQ14qJfWvr6E,polleria PARU AL CARBON,Restaurante especializado en pollo,"JR. LORETO Mz.2, Puerto Inca 10261",,,,,"-9.3789658,-74.96539659999999",,,"Pollería en el distrito de Constitución, Oxapampa , Pasco, Perú"
ChIJ7e7qDgRXp5ERvyxKq4xyxa0,https://www.google.com/maps/place/?q=place_id:ChIJ7e7qDgRXp5ERvyxKq4xyxa0,"RESTAURANT POLLERÍA ""LA LLEGADA""",Shared-use commercial kitchen,"Av.Buenos Aires S/N N RV72+VF chuchurras, Iscozacin 19321",992 564 314,+51 992 564 314,restaurantpolleríalallegada.com,http://xn--restaurantpolleralallegada-toc.com/,"-10.1853233,-75.1488395",5,,"Pollería en el distrito de Constitución, Oxapampa , Pasco, Perú"
ChIJ25lsEADBCZER8LRIt6rcP-A,https://www.google.com/maps/place/?q=place_id:ChIJ25lsEADBCZER8LRIt6rcP-A,POLLOS Y PARRILLAS ROY'S D OXA,Restaurante especializado en pollo,"CHCR+WQG, Oxapampa 19210",,,,,"-10.5776896,-75.4080383",5,,"Pollería en el distrito de Constitución, Oxapampa , Pasco, Perú"
ChIJz-DQ3Xs1p5ERv_oz-3mYG10,https://www.google.com/maps/place/?q=place_id:ChIJz-DQ3Xs1p5ERv_oz-3mYG10,"Pollería, chifa kikiriki",Restaurante,"IV etapa, Carr. Fernando Belaunde Terri, Constitucion 19310",925 459 982,+51 925 459 982,,,"-10.3006744,-74.9495029",5,,"Pollería en el distrito de Constitución, Oxapampa , Pasco, Perú"
ChIJK48IkyfFBZERWNOZl7GRrok,https://www.google.com/maps/place/?q=place_id:ChIJK48IkyfFBZERWNOZl7GRrok,Walpa Chicken - Campoy,Restaurante,"Av. S. Martín, San Juan de Lurigancho 15457",924 068 913,+51 924 068 913,walpachicken.com,http://www.walpachicken.com/,"-12.0241895,-76.96800069999999",3.5,,"Pollería en el distrito de Constitución, Oxapampa , Pasco, Perú"
ChIJ8V0bOT0dp5ERR5om6DsWWuk,https://www.google.com/maps/place/?q=place_id:ChIJ8V0bOT0dp5ERR5om6DsWWuk,EL LEÑADOR CHICKEN,Pollería,"Avenida prolongación pozuzo, Codo del Pozuzo 10241",950 247 556,+51 950 247 556,,,"-9.6747281,-75.4624907",5,,"Pollería en el distrito de Constitución, Oxapampa , Pasco, Perú"
ChIJdz-5eU9tCJERjsmTS7OfgXo,https://www.google.com/maps/place/?q=place_id:ChIJdz-5eU9tCJERjsmTS7OfgXo,Pollos a la Brasa El Pollito Pio,Restaurante especializado en pollo,"Jiron San Cristobal 272, Cerro De Pasco 19001",(063) 421730,+51 63 421730,,,"-10.6839057,-76.25635079999999",3.1,,"Pollería en el distrito de Constitución, Oxapampa , Pasco, Perú"
ChIJm4XsXgAdp5ERRq-5TIlZ4Ms,https://www.google.com/maps/place/?q=place_id:ChIJm4XsXgAdp5ERRq-5TIlZ4Ms,Polleria e Brosteria Aylas,Restaurante especializado en pollo,"8GGQ+753, Codo del Pozuzo 10241",957 040 094,+51 957 040 094,,,"-9.6743519,-75.4620626",,,"Pollería en el distrito de Constitución, Oxapampa , Pasco, Perú"
ChIJQViS8WY1p5ER5V_M2TbwsF8,https://www.google.com/maps/place/?q=place_id:ChIJQViS8WY1p5ER5V_M2TbwsF8,Perú Chifa Pollería 360,Restaurante chino,"Jr. San Cristobal, Constitucion 19310",965 349 449,+51 965 349 449,,,"-9.8575056,-75.0189722",1,,"Pollería en el distrito de Constitución, Oxapampa , Pasco, Perú"
ChIJZeW4AazBCZERBJZnkG8ETAk,https://www.google.com/maps/place/?q=place_id:ChIJZeW4AazBCZERBJZnkG8ETAk,Chifa FonKim,Restaurante,"Jr. Bolognesi 345, Oxapampa 19420",957 394 288,+51 957 394 288,chifafonkim.ola.click,https://chifafonkim.ola.click/,"-10.5746145,-75.4064478",3.3,,"Chifa en el distrito de Constitución, Oxapampa , Pasco, Perú"
ChIJNbeRatfBCZER4PJXLrvT0yo,https://www.google.com/maps/place/?q=place_id:ChIJNbeRatfBCZER4PJXLrvT0yo,Chifa Huan Ying,Restaurante asiático,"Jr. Bolognesi 311, Oxapampa 19231",952 120 088,+51 952 120 088,facebook.com,https://www.facebook.com/Chifa-Huan-Ying-110634827132261/,"-10.5738661,-75.40526419999999",2.8,,"Chifa en el distrito de Constitución, Oxapampa , Pasco, Perú"
ChIJFQhZJvbBCZERZLXkvpQHBaM,https://www.google.com/maps/place/?q=place_id:ChIJFQhZJvbBCZERZLXkvpQHBaM,Fon Kim,Restaurante,"Jr. Mariscal Castilla 187, Oxapampa 19231",982 662 886,+51 982 662 886,,,"-10.5738314,-75.4052121",3.8,,"Chifa en el distrito de Constitución, Oxapampa , Pasco, Perú"
ChIJz-DQ3Xs1p5ERv_oz-3mYG10,https://www.google.com/maps/place/?q=place_id:ChIJz-DQ3Xs1p5ERv_oz-3mYG10,"Pollería, chifa kikiriki",Restaurante,"IV etapa, Carr. Fernando Belaunde Terri, Constitucion 19310",925 459 982,+51 925 459 982,,,"-10.3006744,-74.9495029",5,,"Chifa en el distrito de Constitución, Oxapampa , Pasco, Perú"
ChIJlbx00oU1p5ER2YwRZIc-BAY,https://www.google.com/maps/place/?q=place_id:ChIJlbx00oU1p5ER2YwRZIc-BAY,Restaurante polleria chifa Torres,Restaurante,"5X2M+WR2, Constitucion 19310",965 173 417,+51 965 173 417,,,"-9.847746599999999,-75.0154925",5,,"Chifa en el distrito de Constitución, Oxapampa , Pasco, Perú"
ChIJ0RozUKXBCZEReGbvru_0hlc,https://www.google.com/maps/place/?q=place_id:ChIJ0RozUKXBCZEReGbvru_0hlc,Kowen Restaurante Oxapampino,Restaurante,"Jr. Belgrado 1ra cuadra, Oxapampa 19230",960 346 635,+51 960 346 635,facebook.com,https://www.facebook.com/104728201085137/,"-10.573824499999999,-75.40303469999999",4.3,,"Comida oriental en el distrito de Constitución, Oxapampa , Pasco, Perú"
ChIJ34oWp-sTCJERZPp0B94cxAI,https://www.google.com/maps/place/?q=place_id:ChIJ34oWp-sTCJERZPp0B94cxAI,Restaurant Oriental Chifast - Centro Comercial,Restaurante,Parque El Comercio Edificio 2 Tienda 4,964 175 885,+51 964 175 885,,,"-10.666952199999999,-76.2529342",3.5,,"Comida oriental en el distrito de Constitución, Oxapampa , Pasco, Perú"
