id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ43B-WvJxp5ERos1qCHCGfIs,https://www.google.com/maps/place/?q=place_id:ChIJ43B-WvJxp5ERos1qCHCGfIs,Thiago chickens,Pollería,"WCJX+Q9R, Prolongación, Pozuzo 19251",,,,,"-10.0680245,-75.5516013",,,"Pollería en el distrito de Pozuzo, Oxapampa , Pasco, Perú"
ChIJJx1vVABxp5ERxhgsLG_1sOs,https://www.google.com/maps/place/?q=place_id:ChIJJx1vVABxp5ERxhgsLG_1sOs,Salida a pozuzo,Tienda de aves de corral,Pozuzo 19251,,,,,"-10.068024399999999,-75.5516013",,,"Pollería en el distrito de Pozuzo, Oxapampa , Pasco, Perú"
ChIJ-3z5ocpxp5ERPV4gUqMjD5g,https://www.google.com/maps/place/?q=place_id:ChIJ-3z5ocpxp5ERPV4gUqMjD5g,Restaurante El Típico Pozucino,Restaurante,"WCHX+CQJ, Pozuzo 19250",(063) 287505,+51 63 287505,,,"-10.0714174,-75.5506182",4.4,,"Pollería en el distrito de Pozuzo, Oxapampa , Pasco, Perú"
ChIJEdVzYhHBCZERAThK-2KAS1w,https://www.google.com/maps/place/?q=place_id:ChIJEdVzYhHBCZERAThK-2KAS1w,Polleria SAZON Chicken,Restaurante,"Jr. Grau 142, Oxapampa 19231",(063) 630355,+51 63 630355,,,"-10.5742959,-75.40311849999999",3.8,,"Pollería en el distrito de Pozuzo, Oxapampa , Pasco, Perú"
ChIJv_diOz1xp5ERxuulalBY_Yc,https://www.google.com/maps/place/?q=place_id:ChIJv_diOz1xp5ERxuulalBY_Yc,KÖHEL Charcutería Artesanal,Carnicería,"La colonia, 19251, José Gstir Egg 180, Pozuzo 19251",974 451 439,+51 974 451 439,facebook.com,https://www.facebook.com/share/16P4pBTebm/,"-10.0665778,-75.5509895",4.8,,"Pollería en el distrito de Pozuzo, Oxapampa , Pasco, Perú"
ChIJPVc7RljBCZERUFlxDA_aIjU,https://www.google.com/maps/place/?q=place_id:ChIJPVc7RljBCZERUFlxDA_aIjU,Polleria Milagritos,Restaurante especializado en pollo,Oxapampa 19231,957 436 225,+51 957 436 225,,,"-10.5731526,-75.4062247",4,,"Pollería en el distrito de Pozuzo, Oxapampa , Pasco, Perú"
ChIJpcY9WeRxp5ERD3pVjPVCQrg,https://www.google.com/maps/place/?q=place_id:ChIJpcY9WeRxp5ERD3pVjPVCQrg,Restobar Cowboy Pozuzo,Pub restaurante,"CALLE LOS COLONOS 0, Pozuzo 19250",983 077 892,+51 983 077 892,,,"-10.0754229,-75.5505991",3.6,,"Pollería en el distrito de Pozuzo, Oxapampa , Pasco, Perú"
ChIJU62fQYZxp5ERLQGeVCfxITo,https://www.google.com/maps/place/?q=place_id:ChIJU62fQYZxp5ERLQGeVCfxITo,Wunderbar Pozuzo,Restaurante,"Av. Reverendo Padre Jose Egg 241, Pozuzo 19251",987 148 089,+51 987 148 089,,,"-10.0675511,-75.55033449999999",4.7,,"Pollería en el distrito de Pozuzo, Oxapampa , Pasco, Perú"
ChIJJ4JinxbBCZERxVkHk9W0idQ,https://www.google.com/maps/place/?q=place_id:ChIJJ4JinxbBCZERxVkHk9W0idQ,Pollería Oasis,Pollería,"Jr. Bolognesi 363, Oxapampa 2025",914 379 257,+51 914 379 257,,,"-10.5745852,-75.4065205",,,"Pollería en el distrito de Pozuzo, Oxapampa , Pasco, Perú"
ChIJj8YubQDBCZERMrVXA0YZVlI,https://www.google.com/maps/place/?q=place_id:ChIJj8YubQDBCZERMrVXA0YZVlI,POLLOS ESTILO KFC🍗🍟,Restaurante de comida rápida,"CHFX+XXX, Psje. 28 de julio, Oxapampa 19230",,,,,"-10.5750237,-75.40001099999999",,,"Pollería en el distrito de Pozuzo, Oxapampa , Pasco, Perú"
ChIJF8H2pMpxp5ERS3GEZfvFVU4,https://www.google.com/maps/place/?q=place_id:ChIJF8H2pMpxp5ERS3GEZfvFVU4,Restaurante Maldonado,Restaurante,calle policia nacional 141,922 533 865,+51 922 533 865,,,"-10.0718084,-75.5503016",4.5,,"Pollería en el distrito de Pozuzo, Oxapampa , Pasco, Perú"
ChIJNfPQVPlxp5ER5TyXzFdlQ5o,https://www.google.com/maps/place/?q=place_id:ChIJNfPQVPlxp5ER5TyXzFdlQ5o,"Fuente de soda "" el sabrosson """,Comida a domicilio,"jose egg 410, Pozuzo 19250",958 349 753,+51 958 349 753,,,"-10.0701997,-75.5502805",,,"Pollería en el distrito de Pozuzo, Oxapampa , Pasco, Perú"
ChIJCy66dITBCZER5NsjtLJO9Nw,https://www.google.com/maps/place/?q=place_id:ChIJCy66dITBCZER5NsjtLJO9Nw,Pollos a la brasa '' Don Brasa'',Pollería,"Tomás Schautz Cda 5, Oxapampa 19230",970 979 757,+51 970 979 757,,,"-10.5752674,-75.4028969",3,,"Pollería en el distrito de Pozuzo, Oxapampa , Pasco, Perú"
ChIJ6yrSIADBCZERceemfQjmqKQ,https://www.google.com/maps/place/?q=place_id:ChIJ6yrSIADBCZERceemfQjmqKQ,Austroaleman Restaurante,Restaurante,"entrada a la colonia, Av. los Colonos S/N, Pozuzo 19251",917 994 696,+51 917 994 696,,,"-10.07559,-75.5505927",4.8,,"Pollería en el distrito de Pozuzo, Oxapampa , Pasco, Perú"
ChIJe5nV9lLBCZERR5dRSxI9nZ0,https://www.google.com/maps/place/?q=place_id:ChIJe5nV9lLBCZERR5dRSxI9nZ0,Sazon Chicken pollos y parrillas,Tienda de aves de corral,"Jr. Mullembruck cudra 8, Oxapampa 19231",(063) 630355,+51 63 630355,,,"-10.5742742,-75.4031842",,,"Pollería en el distrito de Pozuzo, Oxapampa , Pasco, Perú"
ChIJOS4GYyLBCZERzt8ILt9SWUE,https://www.google.com/maps/place/?q=place_id:ChIJOS4GYyLBCZERzt8ILt9SWUE,D Norma Brasas y Parrillas,Restaurante,"Nueva Berna, Oxapampa 19210",986 220 352,+51 986 220 352,facebook.com,http://www.facebook.com/pollosyparrillasdnorma,"-10.574634999999999,-75.4079328",4.1,,"Pollería en el distrito de Pozuzo, Oxapampa , Pasco, Perú"
ChIJm22Lsldxp5ERpIHKIcKSRCQ,https://www.google.com/maps/place/?q=place_id:ChIJm22Lsldxp5ERpIHKIcKSRCQ,Schaus Bier,Cervecería artesanal,"VFX5+FC5, Pozuzo 19250",,,,,"-10.1013684,-75.5413781",4.9,,"Pollería en el distrito de Pozuzo, Oxapampa , Pasco, Perú"
ChIJTeCgJBZwp5ER9U3CtLC-Daw,https://www.google.com/maps/place/?q=place_id:ChIJTeCgJBZwp5ER9U3CtLC-Daw,Prusia Restaurante,Restaurante,"5NA, Prusia 19250",964 104 568,+51 964 104 568,,,"-10.094839499999999,-75.54330759999999",4.5,,"Pollería en el distrito de Pozuzo, Oxapampa , Pasco, Perú"
ChIJ25lsEADBCZER8LRIt6rcP-A,https://www.google.com/maps/place/?q=place_id:ChIJ25lsEADBCZER8LRIt6rcP-A,POLLOS Y PARRILLAS ROY'S D OXA,Restaurante especializado en pollo,"CHCR+WQG, Oxapampa 19210",,,,,"-10.5776896,-75.4080383",5,,"Pollería en el distrito de Pozuzo, Oxapampa , Pasco, Perú"
ChIJnfXtqA7BCZERfjNqF2sh6S0,https://www.google.com/maps/place/?q=place_id:ChIJnfXtqA7BCZERfjNqF2sh6S0,Pollería y Brosteria Gladys,Comida a domicilio,"Av. San Martin 765, Oxapampa 19230",955 748 941,+51 955 748 941,,,"-10.5746635,-75.4001722",,,"Pollería en el distrito de Pozuzo, Oxapampa , Pasco, Perú"
ChIJd2f-kpnBCZERf0gUiyffNWc,https://www.google.com/maps/place/?q=place_id:ChIJd2f-kpnBCZERf0gUiyffNWc,Brosso - Polleria Restaurant,Restaurante,"Jr. Kennedy cuadra 14, Oxapampa 19231",982 290 891,+51 982 290 891,,,"-10.5813974,-75.39760749999999",4.8,,"Pollería en el distrito de Pozuzo, Oxapampa , Pasco, Perú"
ChIJB9oVzo_BCZER60BVKBDfag4,https://www.google.com/maps/place/?q=place_id:ChIJB9oVzo_BCZER60BVKBDfag4,Cevicheria el poseidon,Restaurante,"Jr. Koell 200, Oxapampa 19230",,,,,"-10.580864199999999,-75.4043494",4.2,,"Cevichería en el distrito de Pozuzo, Oxapampa , Pasco, Perú"
ChIJydSeQTnBCZERvd3lC7kgCNI,https://www.google.com/maps/place/?q=place_id:ChIJydSeQTnBCZERvd3lC7kgCNI,RESTAURANTE CEVICHERIA LA ZONA,Restaurante,"Jr heidinger y Mayer, Oxapampa 19230",951 852 983,+51 951 852 983,,,"-10.5786657,-75.40538169999999",5,,"Cevichería en el distrito de Pozuzo, Oxapampa , Pasco, Perú"
