id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJOS4GYyLBCZERzt8ILt9SWUE,https://www.google.com/maps/place/?q=place_id:ChIJOS4GYyLBCZERzt8ILt9SWUE,D Norma Brasas y Parrillas,Restaurante,"Nueva Berna, Oxapampa 19210",986 220 352,+51 986 220 352,facebook.com,http://www.facebook.com/pollosyparrillasdnorma,"-10.574634999999999,-75.4079328",4.1,,"Pollería en el distrito de Puerto Bermúdez, Oxapampa , Pasco, Perú"
ChIJEdVzYhHBCZERAThK-2KAS1w,https://www.google.com/maps/place/?q=place_id:ChIJEdVzYhHBCZERAThK-2KAS1w,Polleria SAZON Chicken,Restaurante,"Jr. Grau 142, Oxapampa 19231",(063) 630355,+51 63 630355,,,"-10.5742959,-75.40311849999999",3.8,,"Pollería en el distrito de Puerto Bermúdez, Oxapampa , Pasco, Perú"
ChIJPVc7RljBCZERUFlxDA_aIjU,https://www.google.com/maps/place/?q=place_id:ChIJPVc7RljBCZERUFlxDA_aIjU,Polleria Milagritos,Restaurante especializado en pollo,Oxapampa 19231,957 436 225,+51 957 436 225,,,"-10.5731526,-75.4062247",4,,"Pollería en el distrito de Puerto Bermúdez, Oxapampa , Pasco, Perú"
ChIJZ1iSskQBCpERjkWfePpu684,https://www.google.com/maps/place/?q=place_id:ChIJZ1iSskQBCpERjkWfePpu684,Palmito's Chicken & Grills,Restaurante,"Calle Capelo Sin Número, 19311",,,,,"-10.2980547,-74.9364811",2,,"Pollería en el distrito de Puerto Bermúdez, Oxapampa , Pasco, Perú"
ChIJ25lsEADBCZER8LRIt6rcP-A,https://www.google.com/maps/place/?q=place_id:ChIJ25lsEADBCZER8LRIt6rcP-A,POLLOS Y PARRILLAS ROY'S D OXA,Restaurante especializado en pollo,"CHCR+WQG, Oxapampa 19210",,,,,"-10.5776896,-75.4080383",5,,"Pollería en el distrito de Puerto Bermúdez, Oxapampa , Pasco, Perú"
ChIJJ4JinxbBCZERxVkHk9W0idQ,https://www.google.com/maps/place/?q=place_id:ChIJJ4JinxbBCZERxVkHk9W0idQ,Pollería Oasis,Pollería,"Jr. Bolognesi 363, Oxapampa 2025",914 379 257,+51 914 379 257,,,"-10.5745852,-75.4065205",,,"Pollería en el distrito de Puerto Bermúdez, Oxapampa , Pasco, Perú"
ChIJnfXtqA7BCZERfjNqF2sh6S0,https://www.google.com/maps/place/?q=place_id:ChIJnfXtqA7BCZERfjNqF2sh6S0,Pollería y Brosteria Gladys,Comida a domicilio,"Av. San Martin 765, Oxapampa 19230",955 748 941,+51 955 748 941,,,"-10.5746635,-75.4001722",,,"Pollería en el distrito de Puerto Bermúdez, Oxapampa , Pasco, Perú"
ChIJCy66dITBCZER5NsjtLJO9Nw,https://www.google.com/maps/place/?q=place_id:ChIJCy66dITBCZER5NsjtLJO9Nw,Pollos a la brasa '' Don Brasa'',Pollería,"Tomás Schautz Cda 5, Oxapampa 19230",970 979 757,+51 970 979 757,,,"-10.5752674,-75.4028969",3,,"Pollería en el distrito de Puerto Bermúdez, Oxapampa , Pasco, Perú"
ChIJj8YubQDBCZERMrVXA0YZVlI,https://www.google.com/maps/place/?q=place_id:ChIJj8YubQDBCZERMrVXA0YZVlI,POLLOS ESTILO KFC🍗🍟,Restaurante de comida rápida,"CHFX+XXX, Psje. 28 de julio, Oxapampa 19230",,,,,"-10.5750237,-75.40001099999999",,,"Pollería en el distrito de Puerto Bermúdez, Oxapampa , Pasco, Perú"
ChIJe5nV9lLBCZERR5dRSxI9nZ0,https://www.google.com/maps/place/?q=place_id:ChIJe5nV9lLBCZERR5dRSxI9nZ0,Sazon Chicken pollos y parrillas,Tienda de aves de corral,"Jr. Mullembruck cudra 8, Oxapampa 19231",(063) 630355,+51 63 630355,,,"-10.5742742,-75.4031842",,,"Pollería en el distrito de Puerto Bermúdez, Oxapampa , Pasco, Perú"
ChIJ_Q_MOC_BCZERTkTByojvEDk,https://www.google.com/maps/place/?q=place_id:ChIJ_Q_MOC_BCZERTkTByojvEDk,pollos y parrillas EL RINCON OXAPAMPINO,Restaurante,"Av. San Martin 305, Oxapampa 19231",913 532 230,+51 913 532 230,,,"-10.5727744,-75.4053711",4.5,,"Pollería en el distrito de Puerto Bermúdez, Oxapampa , Pasco, Perú"
ChIJd2f-kpnBCZERf0gUiyffNWc,https://www.google.com/maps/place/?q=place_id:ChIJd2f-kpnBCZERf0gUiyffNWc,Brosso - Polleria Restaurant,Restaurante,"Jr. Kennedy cuadra 14, Oxapampa 19231",982 290 891,+51 982 290 891,,,"-10.5813974,-75.39760749999999",4.8,,"Pollería en el distrito de Puerto Bermúdez, Oxapampa , Pasco, Perú"
ChIJi0bU_yfBCZERN71YdDj7S6g,https://www.google.com/maps/place/?q=place_id:ChIJi0bU_yfBCZERN71YdDj7S6g,Polleria restaurant Rincón oxapampino,Restaurante,"51 921093593, Oxapampa 19230",973 536 515,+51 973 536 515,,,"-10.5968951,-75.3843768",5,,"Pollería en el distrito de Puerto Bermúdez, Oxapampa , Pasco, Perú"
ChIJz-DQ3Xs1p5ERv_oz-3mYG10,https://www.google.com/maps/place/?q=place_id:ChIJz-DQ3Xs1p5ERv_oz-3mYG10,"Pollería, chifa kikiriki",Restaurante,"IV etapa, Carr. Fernando Belaunde Terri, Constitucion 19310",925 459 982,+51 925 459 982,,,"-10.3006744,-74.9495029",5,,"Pollería en el distrito de Puerto Bermúdez, Oxapampa , Pasco, Perú"
