id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJYXuoMxINNZARwGmMz3IYoZ8,https://www.google.com/maps/place/?q=place_id:ChIJYXuoMxINNZARwGmMz3IYoZ8,El Paimeñito,Restaurante,"Paimas, Av Miguel Grau",975 717 222,+51 975 717 222,,,"-4.6272931,-79.9463346",4,,"Pollería en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJV3e27mUNNZARBjKWuy-Xy8Q,https://www.google.com/maps/place/?q=place_id:ChIJV3e27mUNNZARBjKWuy-Xy8Q,Pollería Puro Norte II,Restaurante,"A dos cuadras de la Plaza de Armas-Paimas, 20501",950 992 942,+51 950 992 942,yulianacespedescal.wixsite.com,https://yulianacespedescal.wixsite.com/puronortell,"-4.6287154,-79.94510679999999",,,"Pollería en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJTWfm68kNNZARkxllfs1ScDg,https://www.google.com/maps/place/?q=place_id:ChIJTWfm68kNNZARkxllfs1ScDg,Valle chicken paimas,Restaurante,"93F4+65J, Av. Teobaldo Burneo, 20501",,,,,"-4.6269029999999995,-79.9445988",,,"Pollería en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJf8SiZiENNZARf6ztohMqqAw,https://www.google.com/maps/place/?q=place_id:ChIJf8SiZiENNZARf6ztohMqqAw,"JAMBUR, PAIMAS, AYABACA",Sociedad de viviendas,"93Q4+V69, 20500",,,,,"-4.6103362,-79.9443917",3.5,,"Pollería en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJH_MIiH8bSpARJE3I9JjB-Qk,https://www.google.com/maps/place/?q=place_id:ChIJH_MIiH8bSpARJE3I9JjB-Qk,Pollería Restobar Cinco Sabores,Tienda de aves de corral,"media cuadra del Óvalo Las Casuarinas) en, Urb Las Casuarinas C19, Piura 20001",968 780 679,+51 968 780 679,,,"-5.1709634,-80.6672011",4.3,,"Pollería en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJV4QgtRMNNZARLJkSjqE6CWM,https://www.google.com/maps/place/?q=place_id:ChIJV4QgtRMNNZARLJkSjqE6CWM,Municipalidad Distrital de Paimas,Secretaría municipal,"Av Miguel Grau 320, Lima 20501",,,,,"-4.6275194,-79.9456785",3.9,,"Pollería en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJQ9XPA-0aSpARIskB2JjvAvk,https://www.google.com/maps/place/?q=place_id:ChIJQ9XPA-0aSpARIskB2JjvAvk,Menfis,Restaurante especializado en pollo,"Prol Miguel Grau 2801, Piura 20007",(073) 538265,+51 73 538265,,,"-5.186329,-80.6573097",4.2,,"Pollería en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJn_uSU34QSpARsQptFnKgt_Y,https://www.google.com/maps/place/?q=place_id:ChIJn_uSU34QSpARsQptFnKgt_Y,Menfis pollería,Restaurante especializado en pollo,"Jr. Huancavelica 735, Piura 20001",(073) 302471,+51 73 302471,facebook.com,https://www.facebook.com/Polleria-MenfisOficial-Piura-734769550015458/,"-5.1964621,-80.629499",4.1,,"Pollería en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJX9sjGtMbSpAR0RUaXSEemQE,https://www.google.com/maps/place/?q=place_id:ChIJX9sjGtMbSpAR0RUaXSEemQE,Pollería DON BENY - Express,Restaurante,"Urbanización Santa Margarita VI Etapa OA, Piura 20000",983 557 157,+51 983 557 157,,,"-5.1668009999999995,-80.6626878",4.1,,"Pollería en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJM3RMYQAbSpARgEX8rWK_BFw,https://www.google.com/maps/place/?q=place_id:ChIJM3RMYQAbSpARgEX8rWK_BFw,Punto y Coma Polleria,Restaurante especializado en pollo,"Av. Grau 1763, Piura 20001",930 621 738,+51 930 621 738,facebook.com,https://www.facebook.com/PUNTOYCOMABRASASPIURA/,"-5.1912351,-80.6447204",,,"Pollería en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJZXKx2yUbSpARpRWxQ4PCcnA,https://www.google.com/maps/place/?q=place_id:ChIJZXKx2yUbSpARpRWxQ4PCcnA,Polleria Mr Dannys,Restaurante especializado en pollo,"lote 2, 26 de octubre, Av. Sta. Margarita Mz HA",943 050 560,+51 943 050 560,,,"-5.1683995,-80.66062749999999",4.2,,"Pollería en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJR97RqGIQSpARcF3Fq-djBLM,https://www.google.com/maps/place/?q=place_id:ChIJR97RqGIQSpARcF3Fq-djBLM,Polleria Cali&cali,Pollería,"Ramon Castilla 276, Piura 20002",957 035 080,+51 957 035 080,,,"-5.198131399999999,-80.6209458",3.5,,"Pollería en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJ6XoxDgAPNZARRi-M3X3dXAk,https://www.google.com/maps/place/?q=place_id:ChIJ6XoxDgAPNZARRi-M3X3dXAk,POLLERIA “LAS BRASAS”,Restaurante especializado en pollo,"Jr. Bolognesi 692-608, Suyo 20221",916 392 028,+51 916 392 028,,,"-4.5139214999999995,-80.00182079999999",4,,"Pollería en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJt92yqFUbSpARBWakNlpyyGg,https://www.google.com/maps/place/?q=place_id:ChIJt92yqFUbSpARBWakNlpyyGg,Polleria Rose'nn,Restaurante peruano,"Av. Dos Pista Oeste, Piura 20009",939 639 167,+51 939 639 167,facebook.com,https://www.facebook.com/polleriasantamargarita,"-5.1638562,-80.6636604",4.3,,"Pollería en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJb2xo3FxxNZARZQm8D5NXKGE,https://www.google.com/maps/place/?q=place_id:ChIJb2xo3FxxNZARZQm8D5NXKGE,"Pollos a la brasa ""EL DELICIOSO """,Restaurante,"Calle Simón bolívar 272, Sapillica 20231",953 169 225,+51 953 169 225,,,"-4.7780422,-79.983161",4,,"Pollería en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJlb16PXoQSpARYYGVrGowZRU,https://www.google.com/maps/place/?q=place_id:ChIJlb16PXoQSpARYYGVrGowZRU,Pollos y Parrilladas El Leñador,Restaurante especializado en pollo,"Esquina, Jr. Arequipa y, Piura 20001",(073) 308004,+51 73 308004,facebook.com,https://www.facebook.com/lenadorpiura,"-5.1897798,-80.62571989999999",4.2,,"Pollería en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJLXrEJjYPNZAR9SZv29ivHAc,https://www.google.com/maps/place/?q=place_id:ChIJLXrEJjYPNZAR9SZv29ivHAc,ALITAS QUEBRADAS Venta de pollo y Pescado,Tienda de alimentación,"FXPX+CC3, Jr. Amazonas Con Tumbes, Chulucanas 20221",,,,,"-4.5139854,-80.0014532",4,,"Pollería en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJ70x6sbMRSpARgfzpA2y7QSE,https://www.google.com/maps/place/?q=place_id:ChIJ70x6sbMRSpARgfzpA2y7QSE,Chifa Pollería Cinco Sabores,Restaurante,"Av. Sánchez Cerro 1257, Piura 20001",961 098 576,+51 961 098 576,facebook.com,https://www.facebook.com/Chifa-poller%C3%ADa-cinco-sabores-108153420958810,"-5.1908063,-80.6327558",3.9,,"Pollería en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJPeNsAnpxNZAREez4bsXxqGg,https://www.google.com/maps/place/?q=place_id:ChIJPeNsAnpxNZAREez4bsXxqGg,Polleria samanamud,Restaurante,Sapillica 20231,966 787 992,+51 966 787 992,,,"-4.7773767,-79.98142299999999",,,"Pollería en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJaTzzILbmSZARwA_eCCvrGyA,https://www.google.com/maps/place/?q=place_id:ChIJaTzzILbmSZARwA_eCCvrGyA,Polleria Brisas del Mar,Pollería,"Av. Miguel Grau Mza. B, Paita 20701",931 208 554,+51 931 208 554,,,"-5.0882836,-81.09743979999999",3.8,,"Pollería en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJYXuoMxINNZARwGmMz3IYoZ8,https://www.google.com/maps/place/?q=place_id:ChIJYXuoMxINNZARwGmMz3IYoZ8,El Paimeñito,Restaurante,"Paimas, Av Miguel Grau",975 717 222,+51 975 717 222,,,"-4.6272931,-79.9463346",4,,"Cevichería en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJNVEJlka5BZERxDyHRbXkzxA,https://www.google.com/maps/place/?q=place_id:ChIJNVEJlka5BZERxDyHRbXkzxA,Cevicheria el paisa de chulucanas,Restaurante,"R3Q9+6F, Villa María del Triunfo 15817",916 638 736,+51 916 638 736,,,"-12.1619163,-76.93139889999999",4.1,,"Cevichería en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJP2ggeirJBZERI1PHuLYbkhs,https://www.google.com/maps/place/?q=place_id:ChIJP2ggeirJBZERI1PHuLYbkhs,El PALADAR PIURANO,Restaurante,"Jr. Italia 1478 La victoria, LIMA 13",945 880 981,+51 945 880 981,tiktok.com,https://www.tiktok.com/@elpaladarpiurano?_r=1&_t=ZS-93cdJFwLuOD,"-12.0696301,-77.0148193",4.2,,"Cevichería en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJB-6gRwANNZARNHRz69JoCqA,https://www.google.com/maps/place/?q=place_id:ChIJB-6gRwANNZARNHRz69JoCqA,Ají limo,Marisquería,"93F4+2F2, M 20501",,,,,"-4.6274789,-79.9438543",4.5,,"Cevichería en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJYXuoMxINNZARwGmMz3IYoZ8,https://www.google.com/maps/place/?q=place_id:ChIJYXuoMxINNZARwGmMz3IYoZ8,El Paimeñito,Restaurante,"Paimas, Av Miguel Grau",975 717 222,+51 975 717 222,,,"-4.6272931,-79.9463346",4,,"Pizzería en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJy6fZRtYNNZARVTN3b916SzU,https://www.google.com/maps/place/?q=place_id:ChIJy6fZRtYNNZARVTN3b916SzU,Deli Pizza Elibano,Panadería,"93F3+3G8, Av Miguel Grau, 20501",987 863 735,+51 987 863 735,,,"-4.6273333999999995,-79.94617269999999",5,,"Pizzería en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJYXuoMxINNZARwGmMz3IYoZ8,https://www.google.com/maps/place/?q=place_id:ChIJYXuoMxINNZARwGmMz3IYoZ8,El Paimeñito,Restaurante,"Paimas, Av Miguel Grau",975 717 222,+51 975 717 222,,,"-4.6272931,-79.9463346",4,,"Chifa en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJrQ4q9r0bSpAR2vG71biuiC8,https://www.google.com/maps/place/?q=place_id:ChIJrQ4q9r0bSpAR2vG71biuiC8,Chifa Oriental II,Restaurante chino,"Av. Dos Pista Este Mz. B1, Piura 20009",969 832 185,+51 969 832 185,,,"-5.1695915,-80.666727",4.2,,"Chifa en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJj9vEiXsQSpARzWW8xhUEObU,https://www.google.com/maps/place/?q=place_id:ChIJj9vEiXsQSpARzWW8xhUEObU,Chifa Kam Ming,Restaurante chino,"Libertad 381, Piura 20001",969 968 998,+51 969 968 998,,,"-5.1932933,-80.62528929999999",4.2,,"Chifa en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJB9Iq2X4QSpARi4mN0_fUCQY,https://www.google.com/maps/place/?q=place_id:ChIJB9Iq2X4QSpARi4mN0_fUCQY,Chifa cao,Restaurante,"Av. Vice mz z lote 26, Piura 20001",(073) 557709,+51 73 557709,facebook.com,https://www.facebook.com/profile.php?id=100063725461666&mibextid=ZbWKwL,"-5.1903087999999995,-80.6424832",3.9,,"Chifa en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJ25EVeI8aSpAR0Yb-PD9oGEY,https://www.google.com/maps/place/?q=place_id:ChIJ25EVeI8aSpAR0Yb-PD9oGEY,Chifa Wing Lung,Restaurante chino,"Av. Grau 1718, Piura 20001",938 463 713,+51 938 463 713,chifawinglung.ola.click,https://chifawinglung.ola.click/,"-5.191012499999999,-80.6444436",4.2,,"Chifa en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJXcAHkWARSpAROgk77qHkIy4,https://www.google.com/maps/place/?q=place_id:ChIJXcAHkWARSpAROgk77qHkIy4,Chifa Epoca,Restaurante chino,"Av. Mártires de Uchuraccay 318, Piura 20001",957 716 869,+51 957 716 869,,,"-5.183213299999999,-80.6311636",4.3,,"Chifa en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJP_nBdHwQSpARe21FrHMzfPg,https://www.google.com/maps/place/?q=place_id:ChIJP_nBdHwQSpARe21FrHMzfPg,Chifa Canton,Restaurante chino,"Av. Vice 230, Piura 20001",(073) 328585,+51 73 328585,,,"-5.1847215,-80.6404259",4.5,,"Chifa en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJ24l-nGMQSpARj_hMqygEjEc,https://www.google.com/maps/place/?q=place_id:ChIJ24l-nGMQSpARj_hMqygEjEc,Chifa Oriental,Restaurante chino,"Avenida Guardia Civil 211 - Urb. Miraflores A.H Las Mercedes Mz. D Lt. 2 - Paita, Av. Guardia Civil 211, Piura 20002",969 832 185,+51 969 832 185,,,"-5.1941651,-80.6183278",4.2,,"Chifa en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJ8aLyFHYQSpARLYMFffWz_LI,https://www.google.com/maps/place/?q=place_id:ChIJ8aLyFHYQSpARLYMFffWz_LI,Chifa santa Isabel Piura,Restaurante,"Country 815, Piura 20001",963 883 731,+51 963 883 731,,,"-5.1841604,-80.6315886",4.1,,"Chifa en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJV4QgtRMNNZARLJkSjqE6CWM,https://www.google.com/maps/place/?q=place_id:ChIJV4QgtRMNNZARLJkSjqE6CWM,Municipalidad Distrital de Paimas,Secretaría municipal,"Av Miguel Grau 320, Lima 20501",,,,,"-4.6275194,-79.9456785",3.9,,"Chifa en el distrito de Paimas, Ayabaca , Piura, Perú"
ChIJ70x6sbMRSpARgfzpA2y7QSE,https://www.google.com/maps/place/?q=place_id:ChIJ70x6sbMRSpARgfzpA2y7QSE,Chifa Pollería Cinco Sabores,Restaurante,"Av. Sánchez Cerro 1257, Piura 20001",961 098 576,+51 961 098 576,facebook.com,https://www.facebook.com/Chifa-poller%C3%ADa-cinco-sabores-108153420958810,"-5.1908063,-80.6327558",3.9,,"Chifa en el distrito de Paimas, Ayabaca , Piura, Perú"
