id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJXcAHkWARSpAROgk77qHkIy4,https://www.google.com/maps/place/?q=place_id:ChIJXcAHkWARSpAROgk77qHkIy4,Chifa Epoca,Restaurante chino,"Av. Mártires de Uchuraccay 318, Piura 20001",957 716 869,+51 957 716 869,,,"-5.183213299999999,-80.6311636",4.3,,"Chifa en el distrito de Sicchez, Ayabaca , Piura, Perú"
ChIJ8aLyFHYQSpARLYMFffWz_LI,https://www.google.com/maps/place/?q=place_id:ChIJ8aLyFHYQSpARLYMFffWz_LI,Chifa santa Isabel Piura,Restaurante,"Country 815, Piura 20001",963 883 731,+51 963 883 731,,,"-5.1841604,-80.6315886",4.1,,"Chifa en el distrito de Sicchez, Ayabaca , Piura, Perú"
ChIJP_nBdHwQSpARe21FrHMzfPg,https://www.google.com/maps/place/?q=place_id:ChIJP_nBdHwQSpARe21FrHMzfPg,Chifa Canton,Restaurante chino,"Av. Vice 230, Piura 20001",(073) 328585,+51 73 328585,,,"-5.1847215,-80.6404259",4.5,,"Chifa en el distrito de Sicchez, Ayabaca , Piura, Perú"
ChIJ70x6sbMRSpARgfzpA2y7QSE,https://www.google.com/maps/place/?q=place_id:ChIJ70x6sbMRSpARgfzpA2y7QSE,Chifa Pollería Cinco Sabores,Restaurante,"Av. Sánchez Cerro 1257, Piura 20001",961 098 576,+51 961 098 576,facebook.com,https://www.facebook.com/Chifa-poller%C3%ADa-cinco-sabores-108153420958810,"-5.1908063,-80.6327558",3.9,,"Chifa en el distrito de Sicchez, Ayabaca , Piura, Perú"
ChIJ678pgKWHSZARyQ4P611c94U,https://www.google.com/maps/place/?q=place_id:ChIJ678pgKWHSZARyQ4P611c94U,CHIFA MR SAMIS,Restaurante,"Av. Luis A. Eguiguren 1318, Sechura 20691",933 411 320,+51 933 411 320,facebook.com,https://web.facebook.com/CHIFAMRS/,"-5.5535885,-80.8193983",4.4,,"Chifa en el distrito de Sicchez, Ayabaca , Piura, Perú"
ChIJ90RTFHYQSpARwP76S6TiQiw,https://www.google.com/maps/place/?q=place_id:ChIJ90RTFHYQSpARwP76S6TiQiw,Wachón,Restaurante chino,"R989+78X, Piura 20001",,,,,"-5.1842532,-80.6316421",4,,"Chifa en el distrito de Sicchez, Ayabaca , Piura, Perú"
ChIJ25EVeI8aSpAR0Yb-PD9oGEY,https://www.google.com/maps/place/?q=place_id:ChIJ25EVeI8aSpAR0Yb-PD9oGEY,Chifa Wing Lung,Restaurante chino,"Av. Grau 1718, Piura 20001",938 463 713,+51 938 463 713,chifawinglung.ola.click,https://chifawinglung.ola.click/,"-5.191012499999999,-80.6444436",4.2,,"Chifa en el distrito de Sicchez, Ayabaca , Piura, Perú"
ChIJEwslYV8bSpARmRkSPTRRD30,https://www.google.com/maps/place/?q=place_id:ChIJEwslYV8bSpARmRkSPTRRD30,Nuevo Chifa Wa Chong,Restaurante,"R8CW+M2X, Piura 20009",,,,,"-5.1782676,-80.654881",4,,"Chifa en el distrito de Sicchez, Ayabaca , Piura, Perú"
ChIJN5ixiJIaSpARtDILDXcuM14,https://www.google.com/maps/place/?q=place_id:ChIJN5ixiJIaSpARtDILDXcuM14,Nuevo Chifa Walook,Restaurante,"Av. Grau 2377, Piura 20007",,,,,"-5.1878689,-80.65243219999999",3.7,,"Chifa en el distrito de Sicchez, Ayabaca , Piura, Perú"
ChIJcSDB8Hv7NZARVDI0IkSIPUM,https://www.google.com/maps/place/?q=place_id:ChIJcSDB8Hv7NZARVDI0IkSIPUM,Chifa 'Rey Tito',Restaurante,"Cajamarca 451-285, Sullana 20101",982 685 846,+51 982 685 846,,,"-4.8906041,-80.6808071",3.8,,"Chifa en el distrito de Sicchez, Ayabaca , Piura, Perú"
