id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJozbq2Ym1SpARUMp_qyWaIvs,https://www.google.com/maps/place/?q=place_id:ChIJozbq2Ym1SpARUMp_qyWaIvs,Polleria Los Ninos,Restaurante,"C. Huáscar 221, Huancabamba 20441",952 666 777,+51 952 666 777,,,"-5.2379269,-79.45112429999999",4.2,,"Pollería en el distrito de Huancabamba, Huancabamba , Piura, Perú"
ChIJd209QLG1SpARXaFXIJ6O1x4,https://www.google.com/maps/place/?q=place_id:ChIJd209QLG1SpARXaFXIJ6O1x4,Polleria La Perla Del Chira,Restaurante,"QG6X+GM6, Unnamed Road, Huancabamba 20441",(073) 473751,+51 73 473751,,,"-5.238718899999999,-79.4508515",4.5,,"Pollería en el distrito de Huancabamba, Huancabamba , Piura, Perú"
ChIJ669X-su1SpAR5s0saGSYLUw,https://www.google.com/maps/place/?q=place_id:ChIJ669X-su1SpAR5s0saGSYLUw,Polleria Marissella El Pollo Mas Rico,Restaurante,"QG6X+GWH, Huancabamba 20441",980 951 015,+51 980 951 015,,,"-5.2386811,-79.450132",4,,"Pollería en el distrito de Huancabamba, Huancabamba , Piura, Perú"
ChIJldQcTQC1SpARXr6tXft9EX0,https://www.google.com/maps/place/?q=place_id:ChIJldQcTQC1SpARXr6tXft9EX0,Restaurante Brisas Del Shimbe,Tienda de aves de corral,"C. Unión 228, Huancabamba 20441",,,,,"-5.2382070999999994,-79.4510754",5,,"Pollería en el distrito de Huancabamba, Huancabamba , Piura, Perú"
ChIJMy7nUBS0SpARqrD8i9_hges,https://www.google.com/maps/place/?q=place_id:ChIJMy7nUBS0SpARqrD8i9_hges,Sabor Norteño,Restaurante,"Ca, C. 2 de Mayo 299, Huancabamba 20441",921 154 203,+51 921 154 203,,,"-5.2384889,-79.45108809999999",4.9,,"Pollería en el distrito de Huancabamba, Huancabamba , Piura, Perú"
ChIJw0uEEN65SpARxXEghRsCBbw,https://www.google.com/maps/place/?q=place_id:ChIJw0uEEN65SpARxXEghRsCBbw,RESTAURANTE POLLERÍA EL PALTO,Restaurante,20430,931 381 355,+51 931 381 355,,,"-5.285717399999999,-79.6277523",,,"Pollería en el distrito de Huancabamba, Huancabamba , Piura, Perú"
ChIJScbLrba1SpARhoVeduyfYM8,https://www.google.com/maps/place/?q=place_id:ChIJScbLrba1SpARhoVeduyfYM8,Grilled Chicken,Restaurante especializado en pollo,"C. 2 de Mayo 705, Huancabamba 20441",945 592 959,+51 945 592 959,,,"-5.2415335999999995,-79.4468498",,,"Pollería en el distrito de Huancabamba, Huancabamba , Piura, Perú"
ChIJf8k8qT-1SpAROICSDNYoF8E,https://www.google.com/maps/place/?q=place_id:ChIJf8k8qT-1SpAROICSDNYoF8E,Chifa Al Yu,Restaurante,"C. Huáscar 213, Huancabamba 20441",985 935 288,+51 985 935 288,,,"-5.2380311,-79.4510371",3.8,,"Pollería en el distrito de Huancabamba, Huancabamba , Piura, Perú"
ChIJ86Crbh21SpARBHAJf5F6esA,https://www.google.com/maps/place/?q=place_id:ChIJ86Crbh21SpARBHAJf5F6esA,Cevicheria el bambús,Restaurante,"QG6X+J8W, Huancabamba 20441",,,,,"-5.2381027,-79.4517551",3.4,,"Cevichería en el distrito de Huancabamba, Huancabamba , Piura, Perú"
ChIJIyz8ehG1SpAR3nFuMZxEdYU,https://www.google.com/maps/place/?q=place_id:ChIJIyz8ehG1SpAR3nFuMZxEdYU,Bar Cevichería La Taberna,Bar,"QG6W+VMH El ciclon, Huancabamba 20441",924 748 632,+51 924 748 632,,,"-5.2378157,-79.4532531",5,,"Cevichería en el distrito de Huancabamba, Huancabamba , Piura, Perú"
ChIJp9T8pDi1SpARD5k91gSM56c,https://www.google.com/maps/place/?q=place_id:ChIJp9T8pDi1SpARD5k91gSM56c,La Olla Mágica - Huancabamba,Restaurante,"QG7W+FG6, Huancabamba 20440",978 168 039,+51 978 168 039,,,"-5.2363351,-79.45373579999999",4.6,,"Cevichería en el distrito de Huancabamba, Huancabamba , Piura, Perú"
ChIJFwGsHwC1SpAR_al-EgD4h2s,https://www.google.com/maps/place/?q=place_id:ChIJFwGsHwC1SpAR_al-EgD4h2s,Restaurante Miski Mikuy,Restaurante de brunch,"QG6X+PC4, C. Huáscar, Huancabamba 20441",,,,,"-5.2382314999999995,-79.4514102",5,,"Cevichería en el distrito de Huancabamba, Huancabamba , Piura, Perú"
ChIJM30Mevm1SpARKESeaMj4kAU,https://www.google.com/maps/place/?q=place_id:ChIJM30Mevm1SpARKESeaMj4kAU,Cevicheria EL RICO MAR,Restaurante,"Calle Saturno S/N, Huancabamba 20441",,,,,"-5.2389912999999995,-79.45069889999999",,,"Cevichería en el distrito de Huancabamba, Huancabamba , Piura, Perú"
ChIJnUt-_mi1SpARKUen79i75fE,https://www.google.com/maps/place/?q=place_id:ChIJnUt-_mi1SpARKUen79i75fE,Donde José Antonio Cevichería Restaurant,Restaurante,"Carretera, Sóndor 20440",979 474 121,+51 979 474 121,facebook.com,https://www.facebook.com/Donde-Jos%C3%A9-Antonio-101540275918451/,"-5.2439462,-79.4428978",4.5,,"Cevichería en el distrito de Huancabamba, Huancabamba , Piura, Perú"
