id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJM6yVFwDHBZERpMQOYbynN0Y,https://www.google.com/maps/place/?q=place_id:ChIJM6yVFwDHBZERpMQOYbynN0Y,El Paladar Piurano,Marisquería,"Jr. 3 de Febrero 1248, La Victoria 15018",945 880 981,+51 945 880 981,,,"-12.0731463,-77.0092377",5,,"Cevichería en el distrito de Buenos Aires, Morropón , Piura, Perú"
ChIJP2ggeirJBZERI1PHuLYbkhs,https://www.google.com/maps/place/?q=place_id:ChIJP2ggeirJBZERI1PHuLYbkhs,El PALADAR PIURANO,Restaurante,"Jr. Italia 1478 La victoria, LIMA 13",945 880 981,+51 945 880 981,tiktok.com,https://www.tiktok.com/@elpaladarpiurano?_r=1&_t=ZS-93cdJFwLuOD,"-12.0696301,-77.0148193",4.2,,"Cevichería en el distrito de Buenos Aires, Morropón , Piura, Perú"
ChIJjRTmeekaSpARsGXX2x4cIfA,https://www.google.com/maps/place/?q=place_id:ChIJjRTmeekaSpARsGXX2x4cIfA,Cevichería Mondragón,Restaurante,"Unnamed Road, Piura",969 024 544,+51 969 024 544,,,"-5.1812011,-80.6611386",4.3,,"Cevichería en el distrito de Buenos Aires, Morropón , Piura, Perú"
ChIJ5TPUpVKMSpARiypLC2gHDas,https://www.google.com/maps/place/?q=place_id:ChIJ5TPUpVKMSpARiypLC2gHDas,Buenos Aires,,,,,,,"-5.2666238,-79.96539",,,"Cevichería en el distrito de Buenos Aires, Morropón , Piura, Perú"
ChIJRxVWaCmPSpARClpWj6PTTYg,https://www.google.com/maps/place/?q=place_id:ChIJRxVWaCmPSpARClpWj6PTTYg,"Cevichería ""D'TOTO'S",Restaurante,"Comercio 421, Morropón 20311",998 033 815,+51 998 033 815,,,"-5.1869644,-79.9711691",4.7,,"Cevichería en el distrito de Buenos Aires, Morropón , Piura, Perú"
ChIJd_XHlIcQSpARbWvH9G9Ui0Y,https://www.google.com/maps/place/?q=place_id:ChIJd_XHlIcQSpARbWvH9G9Ui0Y,El Morro,Restaurante,"José de San Martin 205, Piura 20003",994 287 425,+51 994 287 425,,,"-5.1993957,-80.62291979999999",4.3,,"Cevichería en el distrito de Buenos Aires, Morropón , Piura, Perú"
ChIJf5udUKgRSpARVpSB9aihkHk,https://www.google.com/maps/place/?q=place_id:ChIJf5udUKgRSpARVpSB9aihkHk,Cevichería Pedrito,Restaurante,Piura 20001,,,,,"-5.1895256,-80.6281116",4.2,,"Cevichería en el distrito de Buenos Aires, Morropón , Piura, Perú"
ChIJa5D9XvHJBZERSBq_F06ngSU,https://www.google.com/maps/place/?q=place_id:ChIJa5D9XvHJBZERSBq_F06ngSU,RESTAURANTE CEVICHERÍA VESIQUE BEACH,Restaurante,"Jr. Huánuco 1458, La Victoria 15018",963 738 784,+51 963 738 784,,,"-12.0620189,-77.0153899",5,,"Cevichería en el distrito de Buenos Aires, Morropón , Piura, Perú"
ChIJuYBbmt8RSpARQ2gEL6X0Z0g,https://www.google.com/maps/place/?q=place_id:ChIJuYBbmt8RSpARQ2gEL6X0Z0g,Korelly,Marisquería,"R98P+P7W, Piura 20002",,,,,"-5.1831494,-80.6143683",3.8,,"Cevichería en el distrito de Buenos Aires, Morropón , Piura, Perú"
ChIJRcPHYvaPSpARTr7aWaPqFBA,https://www.google.com/maps/place/?q=place_id:ChIJRcPHYvaPSpARTr7aWaPqFBA,"Restaurant Cevicheria ""EL CARACOL""",Restaurante,"Calle Marcos Martos Mz C, Morropón 00000",947 045 338,+51 947 045 338,,,"-5.188829699999999,-79.9681655",5,,"Cevichería en el distrito de Buenos Aires, Morropón , Piura, Perú"
ChIJ3eLO1AgQSpARXVO2TGu8QAk,https://www.google.com/maps/place/?q=place_id:ChIJ3eLO1AgQSpARXVO2TGu8QAk,El Estadio Restaurant & Cevichería,Bar restaurante,"C. Don Manuel, Piura 20009",(073) 309483,+51 73 309483,facebook.com,https://www.facebook.com/elestadiorest/,"-5.169906699999999,-80.6271556",3.9,,"Cevichería en el distrito de Buenos Aires, Morropón , Piura, Perú"
ChIJ6Rgfn9ERSpARLKaJc_q8ehM,https://www.google.com/maps/place/?q=place_id:ChIJ6Rgfn9ERSpARLKaJc_q8ehM,RESTAURANT CEVICHERIA EL TIBURON NORTEÑO,Restaurante peruano,"Los Angeles MZ, Piura 20003",942 956 027,+51 942 956 027,ueniweb.com,https://retaurant-cevicheria-el-tiburon-norteno.ueniweb.com/?utm_campaign=gmb,"-5.200959,-80.6173771",4.3,,"Cevichería en el distrito de Buenos Aires, Morropón , Piura, Perú"
ChIJK_Zyu5ySSpARdrHdUUoCUZI,https://www.google.com/maps/place/?q=place_id:ChIJK_Zyu5ySSpARdrHdUUoCUZI,Buenos Aires,,,,,,,"-5.2496887999999995,-79.9416549",,,"Cevichería en el distrito de Buenos Aires, Morropón , Piura, Perú"
ChIJD-zNxAgQSpARG2VYaPdfZmo,https://www.google.com/maps/place/?q=place_id:ChIJD-zNxAgQSpARG2VYaPdfZmo,Restaurant Cevichería El Ajicito,Restaurante,"C. Don Manuel Mz. A, Piura 20009",(073) 301154,+51 73 301154,paginasamarillas.com.pe,https://www.paginasamarillas.com.pe/empresas/restaurant-cevicheria-el-ajicito/piura-593811,"-5.1695758,-80.6280625",3.9,,"Cevichería en el distrito de Buenos Aires, Morropón , Piura, Perú"
ChIJUyGWRwAbSpARnKF7Wo79GuE,https://www.google.com/maps/place/?q=place_id:ChIJUyGWRwAbSpARnKF7Wo79GuE,CEVICHERIA LA PERÚ,Restaurante,"Perú Mz.G - Lt.7, Piura 20007",,,,,"-5.1962293,-80.6511699",,,"Cevichería en el distrito de Buenos Aires, Morropón , Piura, Perú"
ChIJFWCppRiJSpAR2hCuWoQtOTU,https://www.google.com/maps/place/?q=place_id:ChIJFWCppRiJSpAR2hCuWoQtOTU,Ceviche ría la charito,Restaurante,"San Martin de Porres 656, La Matanza 20371",,,,,"-5.2130319,-80.091437",3.8,,"Cevichería en el distrito de Buenos Aires, Morropón , Piura, Perú"
ChIJLb_pgbzJBZERS4ue3cNdL_4,https://www.google.com/maps/place/?q=place_id:ChIJLb_pgbzJBZERS4ue3cNdL_4,El Pulpo Paul - Barra Cevichería,Restaurante,"Av. Paseo de la República 5216, Miraflores 15074",986 370 062,+51 986 370 062,cevicheriapulpopaul.com,https://www.cevicheriapulpopaul.com/,"-12.116865899999999,-77.0264802",4.3,,"Cevichería en el distrito de Buenos Aires, Morropón , Piura, Perú"
ChIJWVVXCACPSpARCKxGqb6J-6E,https://www.google.com/maps/place/?q=place_id:ChIJWVVXCACPSpARCKxGqb6J-6E,Pizzas y Hamburguesas Express,Hamburguesería,"Cajamarca 237, Morropón 20311",,,,,"-5.1853128,-79.9692458",4,,"Pizzería en el distrito de Buenos Aires, Morropón , Piura, Perú"
