id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJy6ve4at5SpARZdZB3HiaehI,https://www.google.com/maps/place/?q=place_id:ChIJy6ve4at5SpARZdZB3HiaehI,Pollería el León de ñomala,Tienda de aves de corral,"C.p Cdad. de Chulucanas Sector 3, Chulucanas 20301",,,,,"-5.0665825,-80.2371386",5,,"Pollería en el distrito de Chulucanas, Morropón , Piura, Perú"
ChIJsXacIAB9SpAR1uHvW6-nb30,https://www.google.com/maps/place/?q=place_id:ChIJsXacIAB9SpAR1uHvW6-nb30,Polleria sabor oriental,Restaurante occidental,"WR4Q+FVV, Jr. Apurimac, Chulucanas 20301",,,,,"-5.0937531,-80.1603263",,,"Pollería en el distrito de Chulucanas, Morropón , Piura, Perú"
ChIJWevfj6t9SpAR9yEQFxVnsCU,https://www.google.com/maps/place/?q=place_id:ChIJWevfj6t9SpAR9yEQFxVnsCU,Polleria Las Vegas,Restaurante especializado en pollo,"Jr. Apurimac 760, Chulucanas 20301",,,,,"-5.0964029,-80.16118929999999",3.7,,"Pollería en el distrito de Chulucanas, Morropón , Piura, Perú"
ChIJ49PNQSl9SpARwMY19mutoPs,https://www.google.com/maps/place/?q=place_id:ChIJ49PNQSl9SpARwMY19mutoPs,Restaurante Polleria El Broson,Restaurante,"20301, Chulucanas 20301",912 203 760,+51 912 203 760,,,"-5.0957542,-80.1632443",5,,"Pollería en el distrito de Chulucanas, Morropón , Piura, Perú"
ChIJKylgMUN8SpARjf3Cke4qfGs,https://www.google.com/maps/place/?q=place_id:ChIJKylgMUN8SpARjf3Cke4qfGs,Pollería EL INTI,Restaurante,Chulucanas 20301,,,,,"-5.0984375,-80.1615625",4.4,,"Pollería en el distrito de Chulucanas, Morropón , Piura, Perú"
ChIJ8RdRMeR9SpARPeRWAuAcfR0,https://www.google.com/maps/place/?q=place_id:ChIJ8RdRMeR9SpARPeRWAuAcfR0,Pollería Libertad,Restaurante especializado en pollo,"Libertad 506, Chulucanas 20301",946 454 846,+51 946 454 846,,,"-5.0966701,-80.16145879999999",3.7,,"Pollería en el distrito de Chulucanas, Morropón , Piura, Perú"
ChIJp2EgN0N8SpART4Zf6iAksQI,https://www.google.com/maps/place/?q=place_id:ChIJp2EgN0N8SpART4Zf6iAksQI,Pollería Brasas & Aromas,Restaurante,"WR2Q+MC7, Ica, Chulucanas 20301",(073) 292928,+51 73 292928,,,"-5.098345999999999,-80.1614474",4.2,,"Pollería en el distrito de Chulucanas, Morropón , Piura, Perú"
ChIJ1WOqUvqPSpARIBDlJXiw7uM,https://www.google.com/maps/place/?q=place_id:ChIJ1WOqUvqPSpARIBDlJXiw7uM,Bar Pollería Rosal Viviente-Rosal Viviente,Bar,"Morropón 310, Morropón",961 008 447,+51 961 008 447,facebook.com,https://www.facebook.com/RosalVivienteRestobar/,"-5.1870302,-79.9690766",3,,"Pollería en el distrito de Chulucanas, Morropón , Piura, Perú"
ChIJOUSMyih9SpARzxESkYrmpvs,https://www.google.com/maps/place/?q=place_id:ChIJOUSMyih9SpARzxESkYrmpvs,"Polleria ""Mi Reyna""",Tienda de aves de corral,"José Carlos mariátegui mz B 16, Chulucanas 20301",901 120 497,+51 901 120 497,,,"-5.0932185,-80.17021869999999",,,"Pollería en el distrito de Chulucanas, Morropón , Piura, Perú"
ChIJq0C4omp8SpARx3pkWQA5-eg,https://www.google.com/maps/place/?q=place_id:ChIJq0C4omp8SpARx3pkWQA5-eg,SABOR CRIOLLO CHULUCANAS,Restaurante,"Morropon 325, Chulucanas 20301",989 438 154,+51 989 438 154,,,"-5.0899488999999996,-80.1658776",3.6,,"Pollería en el distrito de Chulucanas, Morropón , Piura, Perú"
ChIJfbBREQd9SpARN-KircRQKtw,https://www.google.com/maps/place/?q=place_id:ChIJfbBREQd9SpARN-KircRQKtw,"Polleria ROJHANVA ""Flavor Corner""",Hamburguesería,"Cas. Paccha 38-13, Chulucanas",968 716 311,+51 968 716 311,,,"-5.0932324,-80.16535979999999",,,"Pollería en el distrito de Chulucanas, Morropón , Piura, Perú"
ChIJ2cjUM399SpARO1doj3-Zi8U,https://www.google.com/maps/place/?q=place_id:ChIJ2cjUM399SpARO1doj3-Zi8U,Polleria don humberto,Restaurante especializado en pollo,"WR3Q+QXP, Calle cuzco, Chulucanas 20301",,,,,"-5.095525299999999,-80.1600467",5,,"Pollería en el distrito de Chulucanas, Morropón , Piura, Perú"
ChIJxcsWX6J9SpAROPxKBajfNhc,https://www.google.com/maps/place/?q=place_id:ChIJxcsWX6J9SpAROPxKBajfNhc,Polleria Cix Brasas,Restaurante especializado en pollo,"Arequipa 833, Chulucanas 20301",976 165 217,+51 976 165 217,,,"-5.0977526,-80.1659665",5,,"Pollería en el distrito de Chulucanas, Morropón , Piura, Perú"
ChIJXekpB0N8SpARIXq8G4ozMV0,https://www.google.com/maps/place/?q=place_id:ChIJXekpB0N8SpARIXq8G4ozMV0,El Doradito,Restaurante,"Libertad 568, Chulucanas 20301",934 581 634,+51 934 581 634,,,"-5.0963782,-80.16204739999999",3.7,,"Pollería en el distrito de Chulucanas, Morropón , Piura, Perú"
ChIJP001mmN9SpARBqngtyUVt2c,https://www.google.com/maps/place/?q=place_id:ChIJP001mmN9SpARBqngtyUVt2c,Parrillas sabor limeño,Restaurante,"Piura 301, Chulucanas 20301",921 734 123,+51 921 734 123,,,"-5.0946753,-80.1608557",4.6,,"Pollería en el distrito de Chulucanas, Morropón , Piura, Perú"
ChIJy2cENRYRSpARMK06DQwCVRg,https://www.google.com/maps/place/?q=place_id:ChIJy2cENRYRSpARMK06DQwCVRg,ZHILIAN- POLLERIA HUMBERTO,Restaurante,"Jirón Cusco 367, Chulucanas 20301",,,,,"-5.0956877,-80.1602011",,,"Pollería en el distrito de Chulucanas, Morropón , Piura, Perú"
ChIJQ_R46Ll9SpARXwtd03OEFYc,https://www.google.com/maps/place/?q=place_id:ChIJQ_R46Ll9SpARXwtd03OEFYc,El Rancho 2,Restaurante,"VRXP+W8V, Chulucanas 20301",,,,,"-5.100131,-80.16420579999999",3.7,,"Pollería en el distrito de Chulucanas, Morropón , Piura, Perú"
ChIJBzAv5QF9SpARcT5e98L3eXk,https://www.google.com/maps/place/?q=place_id:ChIJBzAv5QF9SpARcT5e98L3eXk,Mr Bross,Restaurante,Chulucanas 20301,926 014 985,+51 926 014 985,mr-bross.com,https://mr-bross.com/,"-5.0861912,-80.1549991",5,,"Pollería en el distrito de Chulucanas, Morropón , Piura, Perú"
ChIJt92yqFUbSpARBWakNlpyyGg,https://www.google.com/maps/place/?q=place_id:ChIJt92yqFUbSpARBWakNlpyyGg,Polleria Rose'nn,Restaurante peruano,"Av. Dos Pista Oeste, Piura 20009",939 639 167,+51 939 639 167,facebook.com,https://www.facebook.com/polleriasantamargarita,"-5.1638562,-80.6636604",4.3,,"Pollería en el distrito de Chulucanas, Morropón , Piura, Perú"
ChIJl4AGQ0J8SpAR1jfFTcM82HY,https://www.google.com/maps/place/?q=place_id:ChIJl4AGQ0J8SpAR1jfFTcM82HY,Restaurant Polleria Emanuel,Restaurante,"Jr. Junin 600, Chulucanas 20301",944 443 683,+51 944 443 683,,,"-5.0956633,-80.1635993",3.3,,"Pollería en el distrito de Chulucanas, Morropón , Piura, Perú"
ChIJvQnEkorIBZERtlMxmf75ujY,https://www.google.com/maps/place/?q=place_id:ChIJvQnEkorIBZERtlMxmf75ujY,Chulucanas Restaurante,Restaurante peruano,"Jr. Bernardo Alcedo 540, Lince 15046",998 998 373,+51 998 998 373,chulucanaslima.com,http://chulucanaslima.com/,"-12.0842402,-77.0307823",4.2,,"Cevichería en el distrito de Chulucanas, Morropón , Piura, Perú"
ChIJNVEJlka5BZERxDyHRbXkzxA,https://www.google.com/maps/place/?q=place_id:ChIJNVEJlka5BZERxDyHRbXkzxA,Cevicheria el paisa de chulucanas,Restaurante,"R3Q9+6F, Villa María del Triunfo 15817",916 638 736,+51 916 638 736,,,"-12.1619163,-76.93139889999999",4.1,,"Cevichería en el distrito de Chulucanas, Morropón , Piura, Perú"
ChIJgY8bmcF9SpARXfj5qGr1Bd8,https://www.google.com/maps/place/?q=place_id:ChIJgY8bmcF9SpARXfj5qGr1Bd8,restaurant cevicheria Raffo,Restaurante,"Huancavelica 1001, Chulucanas 20301",951 421 777,+51 951 421 777,,,"-5.0986315,-80.1642368",3.8,,"Cevichería en el distrito de Chulucanas, Morropón , Piura, Perú"
