id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJRTvuMgCRSpARsItQsCj1Vqw,https://www.google.com/maps/place/?q=place_id:ChIJRTvuMgCRSpARsItQsCj1Vqw,Polleria la patrona del sabor,Tienda de aves de corral,"Centro Poblado Pueblo Nuevo de Maray, 20320, 20320",,,,,"-5.18396,-79.8886426",5,,"Pollería en el distrito de Yamango, Morropón , Piura, Perú"
ChIJr6pDdpgaSpARIJ5FEwN96n4,https://www.google.com/maps/place/?q=place_id:ChIJr6pDdpgaSpARIJ5FEwN96n4,"Pollería ""Ignacio Merino"" Piura",Restaurante,"Av. Principal, Piura 20009",948 323 167,+51 948 323 167,,,"-5.1781852,-80.6419055",3.9,,"Pollería en el distrito de Yamango, Morropón , Piura, Perú"
ChIJX9sjGtMbSpAR0RUaXSEemQE,https://www.google.com/maps/place/?q=place_id:ChIJX9sjGtMbSpAR0RUaXSEemQE,Pollería DON BENY - Express,Restaurante,"Urbanización Santa Margarita VI Etapa OA, Piura 20000",983 557 157,+51 983 557 157,,,"-5.1668009999999995,-80.6626878",4.1,,"Pollería en el distrito de Yamango, Morropón , Piura, Perú"
ChIJlypn-VkbSpARtZk_SS_qQeE,https://www.google.com/maps/place/?q=place_id:ChIJlypn-VkbSpARtZk_SS_qQeE,Pollería Don García A.V VICE PIURA,Restaurante,"Av. Vice, San José 20001",900 626 327,+51 900 626 327,,,"-5.192581199999999,-80.6437728",3.9,,"Pollería en el distrito de Yamango, Morropón , Piura, Perú"
ChIJ1WOqUvqPSpARIBDlJXiw7uM,https://www.google.com/maps/place/?q=place_id:ChIJ1WOqUvqPSpARIBDlJXiw7uM,Bar Pollería Rosal Viviente-Rosal Viviente,Bar,"Morropón 310, Morropón",961 008 447,+51 961 008 447,facebook.com,https://www.facebook.com/RosalVivienteRestobar/,"-5.1870302,-79.9690766",3,,"Pollería en el distrito de Yamango, Morropón , Piura, Perú"
ChIJnX-3OqqRSpAR1ZK_APb6Y9k,https://www.google.com/maps/place/?q=place_id:ChIJnX-3OqqRSpAR1ZK_APb6Y9k,Polleria,Tienda de aves de corral,"Centro Poblado Pueblo Nuevo de Maray, 20320",,,,,"-5.1846879999999995,-79.888562",,,"Pollería en el distrito de Yamango, Morropón , Piura, Perú"
ChIJgerpMgAbSpAR930i5iyoCJQ,https://www.google.com/maps/place/?q=place_id:ChIJgerpMgAbSpAR930i5iyoCJQ,Polleria Don garcia av José Aguilar santiesteban,Restaurante,"26 de octubre, Piura 20000",996 088 249,+51 996 088 249,facebook.com,https://www.facebook.com/profile.php?id=61566165552559&mibextid=ZbWKwL,"-5.1615171,-80.65438309999999",5,,"Pollería en el distrito de Yamango, Morropón , Piura, Perú"
ChIJO9liRRQRSpARsGAnis142FE,https://www.google.com/maps/place/?q=place_id:ChIJO9liRRQRSpARsGAnis142FE,Pollería Don García La Primavera,Restaurante,"Av. Guardia Civil, Piura 20002",900 626 327,+51 900 626 327,,,"-5.1910019,-80.60651779999999",3.8,,"Pollería en el distrito de Yamango, Morropón , Piura, Perú"
ChIJt92yqFUbSpARBWakNlpyyGg,https://www.google.com/maps/place/?q=place_id:ChIJt92yqFUbSpARBWakNlpyyGg,Polleria Rose'nn,Restaurante peruano,"Av. Dos Pista Oeste, Piura 20009",939 639 167,+51 939 639 167,facebook.com,https://www.facebook.com/polleriasantamargarita,"-5.1638562,-80.6636604",4.3,,"Pollería en el distrito de Yamango, Morropón , Piura, Perú"
ChIJZ-MDI_sRSpARdw-jHNQ97RU,https://www.google.com/maps/place/?q=place_id:ChIJZ-MDI_sRSpARdw-jHNQ97RU,Pollería Don García A.V Progreso,Restaurante,"Av. Progreso 1100, Piura 20003",947 961 523,+51 947 961 523,facebook.com,https://www.facebook.com/profile.php?id=100089445556717&mibextid=ZbWKwL,"-5.2094339,-80.6217729",3.7,,"Pollería en el distrito de Yamango, Morropón , Piura, Perú"
ChIJUbl5ctKXSpARLrv1sRWX3p0,https://www.google.com/maps/place/?q=place_id:ChIJUbl5ctKXSpARLrv1sRWX3p0,Municipalidad Distrital De Yamango,Diputación,"R69X+HJ5, 20361",(073) 530883,+51 73 530883,,,"-5.181110299999999,-79.75087549999999",3.9,,"Pollería en el distrito de Yamango, Morropón , Piura, Perú"
