id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ76YUU2MQSpARDGwFS1XTYrs,https://www.google.com/maps/place/?q=place_id:ChIJ76YUU2MQSpARDGwFS1XTYrs,"LaBraza, Pollito A La Brasa",Tienda de aves de corral,"Av. Guardia Civil 19, Piura 20002",(073) 604653,+51 73 604653,,,"-5.1936143999999995,-80.6215307",4.1,,"Pollería en el distrito de Castilla, Piura , Piura, Perú"
ChIJiU2tcMkRSpARbYOEruGzBLM,https://www.google.com/maps/place/?q=place_id:ChIJiU2tcMkRSpARbYOEruGzBLM,Restaurante Pollos a la Brasa LA ESPADA,Restaurante,"RC73+VX5, Unnamed Road, Piura 20002",967 247 936,+51 967 247 936,,,"-5.1853542,-80.5950076",4.2,,"Pollería en el distrito de Castilla, Piura , Piura, Perú"
ChIJM3TapCsRSpAR0U3CcXDg2VQ,https://www.google.com/maps/place/?q=place_id:ChIJM3TapCsRSpAR0U3CcXDg2VQ,El Avelardo Pollería,Pollería,"Av. Progreso 2521, 20002",970 466 120,+51 970 466 120,,,"-5.218516,-80.6256973",4.7,,"Pollería en el distrito de Castilla, Piura , Piura, Perú"
ChIJn_uSU34QSpARsQptFnKgt_Y,https://www.google.com/maps/place/?q=place_id:ChIJn_uSU34QSpARsQptFnKgt_Y,Menfis pollería,Restaurante especializado en pollo,"Jr. Huancavelica 735, Piura 20001",(073) 302471,+51 73 302471,facebook.com,https://www.facebook.com/Polleria-MenfisOficial-Piura-734769550015458/,"-5.1964621,-80.629499",4.1,,"Pollería en el distrito de Castilla, Piura , Piura, Perú"
ChIJ3S_znpMRSpARWqxMHUt4MDs,https://www.google.com/maps/place/?q=place_id:ChIJ3S_znpMRSpARWqxMHUt4MDs,Polleria pio pio chicken 🐥🍗🍟,Restaurante peruano,"01, Piura 20001",956 028 815,+51 956 028 815,,,"-5.192035499999999,-80.6084697",4.7,,"Pollería en el distrito de Castilla, Piura , Piura, Perú"
ChIJlb16PXoQSpARYYGVrGowZRU,https://www.google.com/maps/place/?q=place_id:ChIJlb16PXoQSpARYYGVrGowZRU,Pollos y Parrilladas El Leñador,Restaurante especializado en pollo,"Esquina, Jr. Arequipa y, Piura 20001",(073) 308004,+51 73 308004,facebook.com,https://www.facebook.com/lenadorpiura,"-5.1897798,-80.62571989999999",4.2,,"Pollería en el distrito de Castilla, Piura , Piura, Perú"
ChIJ6dLRd_cRSpARhT7V1SScLOY,https://www.google.com/maps/place/?q=place_id:ChIJ6dLRd_cRSpARhT7V1SScLOY,Mi Carreta Pollos a la Brasa,Pollería,"Jr. Huancavelica 728, Piura 20009",(073) 301192,+51 73 301192,,,"-5.1962554,-80.62943849999999",4,,"Pollería en el distrito de Castilla, Piura , Piura, Perú"
ChIJO9liRRQRSpARsGAnis142FE,https://www.google.com/maps/place/?q=place_id:ChIJO9liRRQRSpARsGAnis142FE,Pollería Don García La Primavera,Restaurante,"Av. Guardia Civil, Piura 20002",900 626 327,+51 900 626 327,,,"-5.1910019,-80.60651779999999",3.8,,"Pollería en el distrito de Castilla, Piura , Piura, Perú"
ChIJK9zOj5ARSpARe4dBPrgUcAQ,https://www.google.com/maps/place/?q=place_id:ChIJK9zOj5ARSpARe4dBPrgUcAQ,"Chifa-Pollería ""LA NUEVA ESQUINA""",Restaurante,"R95V+QX7, Auxiliar la Primavera, Piura 20002",970 282 539,+51 970 282 539,facebook.com,https://www.facebook.com/Restaurant-Chifa-Poller%C3%ADa-La-Nueva-Esquina-1485875414789562/?fb_dtsg_ag=AdwsmUjnUjwzDRlPGZpwWsTS32krnuwUjUcYSUATK53_5A%3AAdylx9FXkXhLsAm95GCUHFgksYQ1kiaCRVSd77N-ndod9Q,"-5.1905982999999996,-80.605063",4,,"Pollería en el distrito de Castilla, Piura , Piura, Perú"
ChIJR97RqGIQSpARcF3Fq-djBLM,https://www.google.com/maps/place/?q=place_id:ChIJR97RqGIQSpARcF3Fq-djBLM,Polleria Cali&cali,Pollería,"Ramon Castilla 276, Piura 20002",957 035 080,+51 957 035 080,,,"-5.198131399999999,-80.6209458",3.5,,"Pollería en el distrito de Castilla, Piura , Piura, Perú"
