id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJRaRaGnj1NpARq-zadNhicCw,https://www.google.com/maps/place/?q=place_id:ChIJRaRaGnj1NpARq-zadNhicCw,Snack Polleria R & L,Restaurante especializado en pollo,"Av. Bolognesi, El Alto 20831",969 299 160,+51 969 299 160,,,"-4.2674068,-81.2178606",3.9,,"Pollería en el distrito de El Alto, Talara , Piura, Perú"
ChIJT2jj2CBFNpARarkhscxi1Fo,https://www.google.com/maps/place/?q=place_id:ChIJT2jj2CBFNpARarkhscxi1Fo,EL HORNERO,Restaurante especializado en pollo,Talara 20811,(073) 557047,+51 73 557047,,,"-4.5892903,-81.2540333",4.2,,"Pollería en el distrito de El Alto, Talara , Piura, Perú"
ChIJJQ63-rz1NpAR3v6vO3-ANNs,https://www.google.com/maps/place/?q=place_id:ChIJJQ63-rz1NpAR3v6vO3-ANNs,el leñador polleria y chifa,Restaurante,"PQHP+C2X, Av. Bolognesi, El Alto 20831",971 749 786,+51 971 749 786,,,"-4.2713943,-81.2148866",4,,"Pollería en el distrito de El Alto, Talara , Piura, Perú"
ChIJm-w7bUVFNpAReQu2T43RVZE,https://www.google.com/maps/place/?q=place_id:ChIJm-w7bUVFNpAReQu2T43RVZE,Polleria Todo Rico,Tienda de aves de corral,"CP9J+V2V, Av. Mariscal Castilla, Talara 20811",,,,,"-4.5802558,-81.2699623",4.3,,"Pollería en el distrito de El Alto, Talara , Piura, Perú"
ChIJNzIt43b0NpARBqjCQKLpWNg,https://www.google.com/maps/place/?q=place_id:ChIJNzIt43b0NpARBqjCQKLpWNg,Restaurante Polleria Mayra,Restaurante,"PQJH+P76, Unnamed Road, El Alto 20831",962 669 012,+51 962 669 012,,,"-4.2682209,-81.2218493",4.3,,"Pollería en el distrito de El Alto, Talara , Piura, Perú"
ChIJD2fBHBpENpARdFB1hM583rI,https://www.google.com/maps/place/?q=place_id:ChIJD2fBHBpENpARdFB1hM583rI,Polleria El Hornero J&D,Restaurante especializado en pollo,"Av. Mariscal Cáceres 25, Talara 20811",(073) 259208,+51 73 259208,,,"-4.5819671,-81.2682052",4.1,,"Pollería en el distrito de El Alto, Talara , Piura, Perú"
ChIJXXNYxrVFNpARdumRkJEiQrs,https://www.google.com/maps/place/?q=place_id:ChIJXXNYxrVFNpARdumRkJEiQrs,Brasa y carbón,Restaurante,"Centro Cívico S/N, 20811",(073) 382523,+51 73 382523,brasaycarbon.pe,http://www.brasaycarbon.pe/,"-4.5792576,-81.2712445",4,,"Pollería en el distrito de El Alto, Talara , Piura, Perú"
ChIJwQJOChdENpARxqSWw5A3zC8,https://www.google.com/maps/place/?q=place_id:ChIJwQJOChdENpARxqSWw5A3zC8,Royal Chicken Grill,Restaurante,"Av. Héroes del Cenepa, Talara 20811",(073) 387397,+51 73 387397,facebook.com,https://web.facebook.com/pg/RoyalChickenGrillTalara,"-4.579774899999999,-81.2710065",4,,"Pollería en el distrito de El Alto, Talara , Piura, Perú"
ChIJBx3fgBD1NpARQMGger-6QWc,https://www.google.com/maps/place/?q=place_id:ChIJBx3fgBD1NpARQMGger-6QWc,Nort Chiken,Restaurante,El Alto 20831,,,,,"-4.2690928999999995,-81.2202176",4.3,,"Pollería en el distrito de El Alto, Talara , Piura, Perú"
ChIJ37VO-WX1NpARLS0hj8hRzFc,https://www.google.com/maps/place/?q=place_id:ChIJ37VO-WX1NpARLS0hj8hRzFc,"Polleria ""Lucho's""",Restaurante,"PQMM+55F, El Alto 20831",,,,,"-4.2670663,-81.2170738",,,"Pollería en el distrito de El Alto, Talara , Piura, Perú"
