id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJKSQBgoLNZ5ER1gpXgnMiWsI,https://www.google.com/maps/place/?q=place_id:ChIJKSQBgoLNZ5ER1gpXgnMiWsI,Pollería El Pollón,Restaurante,"28 de Julio 336, Azángaro 21157",921 278 950,+51 921 278 950,,,"-14.9108629,-70.1967531",2.4,,"Pollería en el distrito de Potoni, Azángaro , Puno, Perú"
ChIJZZMbRADNZ5EROqRzaTCIpT0,https://www.google.com/maps/place/?q=place_id:ChIJZZMbRADNZ5EROqRzaTCIpT0,Pollería El Pollón 2,Restaurante especializado en pollo,"Av. Tacna 399-313, Azángaro 21157",,,,,"-14.909687199999999,-70.19673929999999",,,"Pollería en el distrito de Potoni, Azángaro , Puno, Perú"
ChIJDfYCVgDNZ5ERcGTnSbU_ov8,https://www.google.com/maps/place/?q=place_id:ChIJDfYCVgDNZ5ERcGTnSbU_ov8,Polleria Choza Andina,Restaurante especializado en pollo,"Caminaca, Azángaro 21157",,,,,"-14.913305399999999,-70.1978221",,,"Pollería en el distrito de Potoni, Azángaro , Puno, Perú"
ChIJQStXDqLNZ5ER0O_Ad85REDg,https://www.google.com/maps/place/?q=place_id:ChIJQStXDqLNZ5ER0O_Ad85REDg,D'MANGUS,Pollería,"Puno, Azángaro 21157",958 527 365,+51 958 527 365,,,"-14.9101851,-70.1960654",1,,"Pollería en el distrito de Potoni, Azángaro , Puno, Perú"
ChIJgYkueC_NZ5ERxISpnvruqiY,https://www.google.com/maps/place/?q=place_id:ChIJgYkueC_NZ5ERxISpnvruqiY,Polleria RICO DORADO,Tienda de aves de corral,"28 de Julio 265, Azángaro 21157",934 231 815,+51 934 231 815,,,"-14.9102339,-70.1968048",1,,"Pollería en el distrito de Potoni, Azángaro , Puno, Perú"
ChIJHwBd-3fNZ5ERO4vW4USe6mA,https://www.google.com/maps/place/?q=place_id:ChIJHwBd-3fNZ5ERO4vW4USe6mA,Pollos y Parrillas REY DORADO,Restaurante,"3RR3+WM6 R, Azángaro 21157",951 869 273,+51 951 869 273,,,"-14.9077041,-70.1958646",5,,"Pollería en el distrito de Potoni, Azángaro , Puno, Perú"
ChIJp0DQKADNZ5ER_uiobTmqiAk,https://www.google.com/maps/place/?q=place_id:ChIJp0DQKADNZ5ER_uiobTmqiAk,Polleria Chifa El Rancho,Restaurante especializado en pollo,"PU-111 532, Azángaro 21157",978 545 425,+51 978 545 425,,,"-14.913080299999999,-70.1985033",,,"Pollería en el distrito de Potoni, Azángaro , Puno, Perú"
ChIJYT7qTQDNZ5ERBrSlmGl4lF0,https://www.google.com/maps/place/?q=place_id:ChIJYT7qTQDNZ5ERBrSlmGl4lF0,Salchipollo.(El.Rico.Pollo),Restaurante especializado en pollo,"Av. Lizandro Luna, Azángaro 21157",,,,,"-14.9139819,-70.19839979999999",,,"Pollería en el distrito de Potoni, Azángaro , Puno, Perú"
ChIJ60OlBwDNZ5ERbHf7RGlHFKA,https://www.google.com/maps/place/?q=place_id:ChIJ60OlBwDNZ5ERbHf7RGlHFKA,🍝🍗🍟,Restaurante especializado en pollo,"3RR3+6F6, Av. Tacna, Azángaro 21157",,,,,"-14.909462099999999,-70.19634549999999",,,"Pollería en el distrito de Potoni, Azángaro , Puno, Perú"
ChIJvfUQ18TNZ5ERkNriofCuQzc,https://www.google.com/maps/place/?q=place_id:ChIJvfUQ18TNZ5ERkNriofCuQzc,POLLERIA LA ROSITA,Restaurante,"28 de Julio 165, Azángaro 21157",972 882 339,+51 972 882 339,,,"-14.9096538,-70.1971591",1,,"Pollería en el distrito de Potoni, Azángaro , Puno, Perú"
