id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJBZg8UOtpXZERuNPcovFZIYc,https://www.google.com/maps/place/?q=place_id:ChIJBZg8UOtpXZERuNPcovFZIYc,La Choza de Oscar,Restaurante,"Jr.Libertad 354, Puno 21001",(051) 351199,+51 51 351199,,,"-15.838992699999999,-70.027796",3.6,,"Pollería en el distrito de Coasa, Carabaya , Puno, Perú"
ChIJw4erJunzZ5ERVwt4KJE47XU,https://www.google.com/maps/place/?q=place_id:ChIJw4erJunzZ5ERVwt4KJE47XU,La Choza De Oscar,Tienda de aves de corral,"805, Jirón Tumbes 867, Juliaca",(051) 321152,+51 51 321152,,,"-15.491855699999999,-70.130752",3.5,,"Pollería en el distrito de Coasa, Carabaya , Puno, Perú"
ChIJpbBY-l9pXZERfzkcx-9_DlU,https://www.google.com/maps/place/?q=place_id:ChIJpbBY-l9pXZERfzkcx-9_DlU,Polleria la choza de oscar yanamayo,Restaurante,"Av. Juliaca 2090, Puno 21001",988 667 676,+51 988 667 676,,,"-15.814638799999999,-70.0294315",4,,"Pollería en el distrito de Coasa, Carabaya , Puno, Perú"
ChIJeV4uHe3HBZERIBqpUAuSgWA,https://www.google.com/maps/place/?q=place_id:ChIJeV4uHe3HBZERIBqpUAuSgWA,Pizzeria La Fugaza,Pizzería,"Bogotá 249, Ate 15022",910 242 542,+51 910 242 542,,,"-12.069429999999999,-76.9782256",4.1,,"Pizzería en el distrito de Coasa, Carabaya , Puno, Perú"
ChIJqR7nyRxpXZERU0tjiAO4arI,https://www.google.com/maps/place/?q=place_id:ChIJqR7nyRxpXZERU0tjiAO4arI,PIZZCO pizzas & drinks,Pizzería,"Jr. Puno 513, Puno 21001",943 363 436,+51 943 363 436,facebook.com,https://www.facebook.com/Remixologys?mibextid=ZbWKwL,"-15.841050599999999,-70.0282655",4.8,,"Pizzería en el distrito de Coasa, Carabaya , Puno, Perú"
ChIJc16CFd5pXZEREdxw7vweboM,https://www.google.com/maps/place/?q=place_id:ChIJc16CFd5pXZEREdxw7vweboM,BIANCA PIZZA,Pizzería,"Jr deustua 369, Jr. Deustua 361, Puno 21000",993 760 797,+51 993 760 797,,,"-15.840187499999999,-70.027524",4.8,,"Pizzería en el distrito de Coasa, Carabaya , Puno, Perú"
ChIJX0TFS0fIBZERf-HStP0tP0o,https://www.google.com/maps/place/?q=place_id:ChIJX0TFS0fIBZERf-HStP0tP0o,500 GRADOS by Jaime Pesaque,Pizzería,"Av. Camino Real 1281, San Isidro 15073",954 604 536,+51 954 604 536,500grados.com,https://500grados.com/,"-12.107038,-77.0392767",4.4,,"Pizzería en el distrito de Coasa, Carabaya , Puno, Perú"
ChIJaZRvhb9pXZERs1YM2L-fV1E,https://www.google.com/maps/place/?q=place_id:ChIJaZRvhb9pXZERs1YM2L-fV1E,Pizzeria Qalasaya,Pizzería,"Jr.Libertad 321, Puno 21001",,,,,"-15.8389428,-70.0275146",3.9,,"Pizzería en el distrito de Coasa, Carabaya , Puno, Perú"
ChIJmQSIFu7FBZERrY2LJzWl2nM,https://www.google.com/maps/place/?q=place_id:ChIJmQSIFu7FBZERrY2LJzWl2nM,Pizza el cesar,Pizzería,"Av. Central 204, Ate 15001",956 504 106,+51 956 504 106,,,"-12.025201,-76.91999349999999",4.3,,"Pizzería en el distrito de Coasa, Carabaya , Puno, Perú"
ChIJ__a1lxvJBZERYINCYFj6MlA,https://www.google.com/maps/place/?q=place_id:ChIJ__a1lxvJBZERYINCYFj6MlA,Pan Atelier,Cafetería,"Av. Simón Bolívar 985, Pueblo Libre 15084",(01) 6805591,+51 1 6805591,panatelier.com.pe,http://panatelier.com.pe/,"-12.0722028,-77.06355119999999",4.5,,"Panadería en el distrito de Coasa, Carabaya , Puno, Perú"
