id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJW1N8ZAA9XJERga_SfrEijvw,https://www.google.com/maps/place/?q=place_id:ChIJW1N8ZAA9XJERga_SfrEijvw,Pollería Taku Taku,Pollería,"GV3W+CHC, Zepita 21601",931 264 069,+51 931 264 069,,,"-16.4968868,-69.1039653",,,"Pollería en el distrito de Zepita, Chucuito , Puno, Perú"
ChIJHTrTr4U7XJERgGtluSTh66c,https://www.google.com/maps/place/?q=place_id:ChIJHTrTr4U7XJERgGtluSTh66c,"Pollería ""tradición""",Tienda de aves de corral,"HRHF+P3X, 21600",,,,,"-16.420632899999998,-69.1772758",4.5,,"Pollería en el distrito de Zepita, Chucuito , Puno, Perú"
ChIJV4-VcUk7XJERL7KV1zqLJbM,https://www.google.com/maps/place/?q=place_id:ChIJV4-VcUk7XJERL7KV1zqLJbM,Polleria Gary,Restaurante,Puno 21600,934 123 029,+51 934 123 029,,,"-16.422031099999998,-69.1787262",5,,"Pollería en el distrito de Zepita, Chucuito , Puno, Perú"
ChIJYyREo6U9XJERo36Ha1Mb-6U,https://www.google.com/maps/place/?q=place_id:ChIJYyREo6U9XJERo36Ha1Mb-6U,Avicola Valentina,Restaurante especializado en pollo,"Condominios Zepita Mz A Lote 26, San Pedro de Lloc 13801",929 916 700,+51 929 916 700,avicola-valentina.ueniweb.com,https://avicola-valentina.ueniweb.com/?utm_campaign=gmb,"-16.4981416,-69.1014265",,,"Pollería en el distrito de Zepita, Chucuito , Puno, Perú"
ChIJuxG3BnM9XJERQDUeXzkCYjs,https://www.google.com/maps/place/?q=place_id:ChIJuxG3BnM9XJERQDUeXzkCYjs,POLLERIA EL DORADO GyA,Pollería,"051928261961, Zepita 21601",928 261 961,+51 928 261 961,,,"-16.4967743,-69.1044216",3,,"Pollería en el distrito de Zepita, Chucuito , Puno, Perú"
ChIJqaBJ_7ojXJERzRw_3cHhbdM,https://www.google.com/maps/place/?q=place_id:ChIJqaBJ_7ojXJERzRw_3cHhbdM,Pollería Los Angeles,Pollería,"Avenida Cultura 362, Desaguadero 21611",935 887 312,+51 935 887 312,,,"-16.563667499999998,-69.0435729",5,,"Pollería en el distrito de Zepita, Chucuito , Puno, Perú"
ChIJ0T-0BHoiXJER9ExD7kcNz58,https://www.google.com/maps/place/?q=place_id:ChIJ0T-0BHoiXJER9ExD7kcNz58,Polleria El Virrey de la Huachana,Tienda de aves de corral,"Carr. Puno Desaguadero 627, Desaguadero 21610",974 217 486,+51 974 217 486,facebook.com,https://web.facebook.com/PolleriaElVirreyDeLaHuachanaa/?_rdc=1&_rdr,"-16.559807199999998,-69.03801419999999",3.7,,"Pollería en el distrito de Zepita, Chucuito , Puno, Perú"
ChIJu4TTTwAlXJERcm9rRlqdK5k,https://www.google.com/maps/place/?q=place_id:ChIJu4TTTwAlXJERcm9rRlqdK5k,"POLLERIA Y SALCHIPOLLO ""SALE KALIENTE""",Restaurante especializado en pollo,"JX25+3RM Plaza de Armas, Copani 21571",961 292 942,+51 961 292 942,,,"-16.400029699999997,-69.0407745",,,"Pollería en el distrito de Zepita, Chucuito , Puno, Perú"
ChIJ9ffTGw9pXZEREKQLLSvFYi4,https://www.google.com/maps/place/?q=place_id:ChIJ9ffTGw9pXZEREKQLLSvFYi4,El Caporal,Restaurante especializado en pollo,Puno 21001,962 292 029,+51 962 292 029,elcaporal.pe,https://elcaporal.pe/,"-15.8562397,-70.0128388",4.4,,"Pollería en el distrito de Zepita, Chucuito , Puno, Perú"
ChIJCwxRoEo5XJERoPThWKwhjVk,https://www.google.com/maps/place/?q=place_id:ChIJCwxRoEo5XJERoPThWKwhjVk,POLLERÍA J&N,Restaurante,"Huapaca San miguel, 21535",,,,,"-16.431905999999998,-69.2700937",,,"Pollería en el distrito de Zepita, Chucuito , Puno, Perú"
