id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJ5ahNqa3FBZER6BqZIFgaRGM,https://www.google.com/maps/place/?q=place_id:ChIJ5ahNqa3FBZER6BqZIFgaRGM,Polleria Santa Rosa,Tienda de aves de corral,"Parque de Horizonte de Zárate 1 Etapa, Av Santa rosa 1778- urb Inca, Manco Capac, San Juan de Lurigancho 15401",994 788 095,+51 994 788 095,,,"-12.000734399999999,-77.0000622",,,"Pollería en el distrito de Santa Rosa, El Collao , Puno, Perú"
ChIJwVLFsOppXZERbwFFq2Lgu90,https://www.google.com/maps/place/?q=place_id:ChIJwVLFsOppXZERbwFFq2Lgu90,Pollería El Rancho,Restaurante,"Oquendo 210, Puno 21001",947 730 043,+51 947 730 043,,,"-15.8372915,-70.0271003",3.3,,"Pollería en el distrito de Santa Rosa, El Collao , Puno, Perú"
ChIJ2_gdCgDzZ5ER--oPkLpjauU,https://www.google.com/maps/place/?q=place_id:ChIJ2_gdCgDzZ5ER--oPkLpjauU,La casona,Restaurante especializado en pollo,"Jr. los Pioneros 1027, Juliaca 21102",,,,,"-15.4647998,-70.1334646",,,"Pollería en el distrito de Santa Rosa, El Collao , Puno, Perú"
ChIJ1fYcQMXzZ5ERaFSvTPXqrOA,https://www.google.com/maps/place/?q=place_id:ChIJ1fYcQMXzZ5ERaFSvTPXqrOA,Dana's,Pollería,21101,,,,,"-15.484576599999999,-70.1238451",,,"Pollería en el distrito de Santa Rosa, El Collao , Puno, Perú"
ChIJ7wDXcQKiZ5ERTqAZeARIlkg,https://www.google.com/maps/place/?q=place_id:ChIJ7wDXcQKiZ5ERTqAZeARIlkg,Polleria y Pasteleria Rikitos,Restaurante,"Jr puno 1009, Huancané 21316",931 846 625,+51 931 846 625,facebook.com,https://www.facebook.com/polleriaLaricos/,"-15.2006947,-69.76555359999999",3.4,,"Pollería en el distrito de Santa Rosa, El Collao , Puno, Perú"
ChIJ9ffTGw9pXZEREKQLLSvFYi4,https://www.google.com/maps/place/?q=place_id:ChIJ9ffTGw9pXZEREKQLLSvFYi4,El Caporal,Restaurante especializado en pollo,Puno 21001,962 292 029,+51 962 292 029,elcaporal.pe,https://elcaporal.pe/,"-15.8562397,-70.0128388",4.4,,"Pollería en el distrito de Santa Rosa, El Collao , Puno, Perú"
ChIJh0FK7VlpXZERpkZK0TAtZFU,https://www.google.com/maps/place/?q=place_id:ChIJh0FK7VlpXZERpkZK0TAtZFU,Pollería Piolin,Restaurante,"Av. Circunvalacion Sur 1711, Puno 21002",,,,,"-15.8544456,-70.0174237",3.8,,"Pollería en el distrito de Santa Rosa, El Collao , Puno, Perú"
ChIJKSQBgoLNZ5ER1gpXgnMiWsI,https://www.google.com/maps/place/?q=place_id:ChIJKSQBgoLNZ5ER1gpXgnMiWsI,Pollería El Pollón,Restaurante,"28 de Julio 336, Azángaro 21157",921 278 950,+51 921 278 950,,,"-14.9108629,-70.1967531",2.4,,"Pollería en el distrito de Santa Rosa, El Collao , Puno, Perú"
ChIJHf97pEKJXJERlkNYJT8Bcvw,https://www.google.com/maps/place/?q=place_id:ChIJHf97pEKJXJERlkNYJT8Bcvw,"Polleria ""SOL Y LUNA""",Restaurante,"774M+MM6, Mazocruz 21661",910 278 491,+51 910 278 491,,,"-16.7433366,-69.7158711",5,,"Pollería en el distrito de Santa Rosa, El Collao , Puno, Perú"
ChIJk8J7pe_zZ5ER4AJOU1ulQ9M,https://www.google.com/maps/place/?q=place_id:ChIJk8J7pe_zZ5ER4AJOU1ulQ9M,Pollería La Granja,Restaurante,"Jr. Bracesco 339, Juliaca 21104",930 665 038,+51 930 665 038,,,"-15.4972158,-70.1313188",3.5,,"Pollería en el distrito de Santa Rosa, El Collao , Puno, Perú"
ChIJW7LnEYK1J2IR2jhOVa2ab3Q,https://www.google.com/maps/place/?q=place_id:ChIJW7LnEYK1J2IR2jhOVa2ab3Q,"POLLERIA ""CHIWCHI KANKA""",Tienda de aves de corral,,931 847 008,+51 931 847 008,,,"-15.4868521,-70.1235007",,,"Pollería en el distrito de Santa Rosa, El Collao , Puno, Perú"
ChIJKctwaOrzZ5ERHalcCbicBlE,https://www.google.com/maps/place/?q=place_id:ChIJKctwaOrzZ5ERHalcCbicBlE,POLLERIA EL REY,Restaurante,"Jr. Benigno Ballon, Juliaca 21101",999 990 909,+51 999 990 909,,,"-15.4887641,-70.1254981",3.2,,"Pollería en el distrito de Santa Rosa, El Collao , Puno, Perú"
ChIJaxqL0JyxZ5ERH6PtAjO4Rvo,https://www.google.com/maps/place/?q=place_id:ChIJaxqL0JyxZ5ERH6PtAjO4Rvo,"Polleria""Doradito Chicken"" ️",Restaurante,Calacala 21335,,,,,"-15.0273585,-69.9225853",4,,"Pollería en el distrito de Santa Rosa, El Collao , Puno, Perú"
ChIJPebc3RXzZ5ERBYh5Zap8Bvc,https://www.google.com/maps/place/?q=place_id:ChIJPebc3RXzZ5ERBYh5Zap8Bvc,El Rey,Pollería,"Av. Huancane 1377, Juliaca 21103",999 515 186,+51 999 515 186,,,"-15.4757482,-70.11569779999999",4.7,,"Pollería en el distrito de Santa Rosa, El Collao , Puno, Perú"
ChIJbSUv637zZ5ERTkZgrskMygU,https://www.google.com/maps/place/?q=place_id:ChIJbSUv637zZ5ERTkZgrskMygU,"Pollería el ""Rey del Sabor""",Restaurante,"34A 1704, Juliaca 21101",999 999 031,+51 999 999 031,,,"-15.4812561,-70.1363188",3.3,,"Pollería en el distrito de Santa Rosa, El Collao , Puno, Perú"
ChIJ7beJAAC7aJEREApU9iPAHNg,https://www.google.com/maps/place/?q=place_id:ChIJ7beJAAC7aJEREApU9iPAHNg,Quinta polleria privilegio texano,Pollería,"G9C7+FR4, Nuñoa 21896",,,,,"-14.4773144,-70.6353431",5,,"Pollería en el distrito de Santa Rosa, El Collao , Puno, Perú"
ChIJVX4jvcbzZ5ERTI6aFEmymmE,https://www.google.com/maps/place/?q=place_id:ChIJVX4jvcbzZ5ERTI6aFEmymmE,Polleria la Gran Choza,Restaurante,"Av. Circunvalacion Este 499, Juliaca 21102",950 753 268,+51 950 753 268,,,"-15.480833299999999,-70.1269444",3.2,,"Pollería en el distrito de Santa Rosa, El Collao , Puno, Perú"
