id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJU46ipxOUZ5ERgH2_iB2Jgi8,https://www.google.com/maps/place/?q=place_id:ChIJU46ipxOUZ5ERgH2_iB2Jgi8,Polleria Golden Chicken,Restaurante,"Av. Panamericana sur, Taraco 21306",950 839 226,+51 950 839 226,,,"-15.3024531,-69.9757575",3.7,,"Pollería en el distrito de Taraco, Huancané , Puno, Perú"
ChIJ7wDXcQKiZ5ERTqAZeARIlkg,https://www.google.com/maps/place/?q=place_id:ChIJ7wDXcQKiZ5ERTqAZeARIlkg,Polleria y Pasteleria Rikitos,Restaurante,"Jr puno 1009, Huancané 21316",931 846 625,+51 931 846 625,facebook.com,https://www.facebook.com/polleriaLaricos/,"-15.2006947,-69.76555359999999",3.4,,"Pollería en el distrito de Taraco, Huancané , Puno, Perú"
ChIJwVLFsOppXZERbwFFq2Lgu90,https://www.google.com/maps/place/?q=place_id:ChIJwVLFsOppXZERbwFFq2Lgu90,Pollería El Rancho,Restaurante,"Oquendo 210, Puno 21001",947 730 043,+51 947 730 043,,,"-15.8372915,-70.0271003",3.3,,"Pollería en el distrito de Taraco, Huancané , Puno, Perú"
ChIJ30rz9A6hZ5ERMZ8S0xUYtqU,https://www.google.com/maps/place/?q=place_id:ChIJ30rz9A6hZ5ERMZ8S0xUYtqU,Pollería D'LEIDY,Restaurante familiar,"Jr Lima 315, Huancané 21316",986 691 369,+51 986 691 369,,,"-15.2035819,-69.7612606",3.7,,"Pollería en el distrito de Taraco, Huancané , Puno, Perú"
ChIJdS1uaRajZ5ERG5S47lJTXFo,https://www.google.com/maps/place/?q=place_id:ChIJdS1uaRajZ5ERG5S47lJTXFo,POLLERIA DORADO LUIS,Restaurante especializado en pollo,"Pardo 235, Huancané 21316",,,,,"-15.1996443,-69.7652689",,,"Pollería en el distrito de Taraco, Huancané , Puno, Perú"
ChIJvxKz8VaVZ5ERg216WYUuouc,https://www.google.com/maps/place/?q=place_id:ChIJvxKz8VaVZ5ERg216WYUuouc,Cevichería Ramis,Restaurante,"M2X9+CG3, Taraco 21306",,,,,"-15.301978499999999,-69.9817125",,,"Cevichería en el distrito de Taraco, Huancané , Puno, Perú"
ChIJSQzn6HuXZ5ERyR5Zh-w6-8k,https://www.google.com/maps/place/?q=place_id:ChIJSQzn6HuXZ5ERyR5Zh-w6-8k,"RAMIS - Restaurant, Cevicheria",Restaurante,"P4VG+RCF, 34H 21305",,,,,"-15.255436399999999,-69.8739473",3.8,,"Cevichería en el distrito de Taraco, Huancané , Puno, Perú"
ChIJc16CFd5pXZEREdxw7vweboM,https://www.google.com/maps/place/?q=place_id:ChIJc16CFd5pXZEREdxw7vweboM,BIANCA PIZZA,Pizzería,"Jr deustua 369, Jr. Deustua 361, Puno 21000",993 760 797,+51 993 760 797,,,"-15.840187499999999,-70.027524",4.8,,"Pizzería en el distrito de Taraco, Huancané , Puno, Perú"
ChIJqR7nyRxpXZERU0tjiAO4arI,https://www.google.com/maps/place/?q=place_id:ChIJqR7nyRxpXZERU0tjiAO4arI,PIZZCO pizzas & drinks,Pizzería,"Jr. Puno 513, Puno 21001",943 363 436,+51 943 363 436,facebook.com,https://www.facebook.com/Remixologys?mibextid=ZbWKwL,"-15.841050599999999,-70.0282655",4.8,,"Pizzería en el distrito de Taraco, Huancané , Puno, Perú"
ChIJAya-w-ppXZERgZCSfbabl4Q,https://www.google.com/maps/place/?q=place_id:ChIJAya-w-ppXZERgZCSfbabl4Q,Pizza e Pasta,Restaurante,"Jirón, Jose M Moral 155, Puno 21001",980 709 954,+51 980 709 954,,,"-15.844790399999999,-70.0257917",4.3,,"Pizzería en el distrito de Taraco, Huancané , Puno, Perú"
ChIJH3HWa-tpXZERhZSCC3M0iMg,https://www.google.com/maps/place/?q=place_id:ChIJH3HWa-tpXZERhZSCC3M0iMg,Remix Pizzería Resto Café Bar,Pizzería,"Villa militar, Jr. Puno 563 - Plaza de armas Jr, Pardo 122, Puno 21001",958 169 450,+51 958 169 450,,,"-15.841138299999999,-70.0287522",4.4,,"Pizzería en el distrito de Taraco, Huancané , Puno, Perú"
ChIJKWYW1-ppXZERQYziHTnbm1M,https://www.google.com/maps/place/?q=place_id:ChIJKWYW1-ppXZERQYziHTnbm1M,Pizzería Trattoria Del Búho,Pizzería,"Jr.Libertad 240, Puno 21001",971 107 010,+51 971 107 010,restaurantsnapshot.com,http://restaurantsnapshot.com/Pizzeria_del_buho/,"-15.8387576,-70.0271264",4.1,,"Pizzería en el distrito de Taraco, Huancané , Puno, Perú"
ChIJYeLN3uppXZERzSla--a2MGA,https://www.google.com/maps/place/?q=place_id:ChIJYeLN3uppXZERzSla--a2MGA,Pizzeria Jhutmay,Pizzería,"Jr.Libertad 334, Puno 21001",(051) 200114,+51 51 200114,facebook.com,https://www.facebook.com/profile.php?id=100088235595592&mibextid=ZbWKwL,"-15.838825,-70.02760909999999",4,,"Pizzería en el distrito de Taraco, Huancané , Puno, Perú"
ChIJc87moosNupERtfqKdEGIEQI,https://www.google.com/maps/place/?q=place_id:ChIJc87moosNupERtfqKdEGIEQI,PROVA PIZZA,Restaurante,"Ex Ctra. Yurimaguas 120, Tarapoto 22202",994 936 795,+51 994 936 795,,,"-6.4959371,-76.3457749",5,,"Pizzería en el distrito de Taraco, Huancané , Puno, Perú"
ChIJW9Mu3-ppXZERSI5SdiXoH20,https://www.google.com/maps/place/?q=place_id:ChIJW9Mu3-ppXZERSI5SdiXoH20,Pizzeria Quelkatany,Pizzería,"Jr.Libertad 329, Puno 21001",(051) 354405,+51 51 354405,,,"-15.8389893,-70.02765509999999",3.8,,"Pizzería en el distrito de Taraco, Huancané , Puno, Perú"
ChIJf7CJrtppXZERjR5M4wJQckE,https://www.google.com/maps/place/?q=place_id:ChIJf7CJrtppXZERjR5M4wJQckE,Quinua Restaurant Pizzeria,Restaurante,"Jr. Lambayeque 127, Lambayeque 131, Puno 21001",978 490 033,+51 978 490 033,,,"-15.8383705,-70.0285351",4.6,,"Pizzería en el distrito de Taraco, Huancané , Puno, Perú"
ChIJkdUBK8JpXZER5HxoijwRrxY,https://www.google.com/maps/place/?q=place_id:ChIJkdUBK8JpXZER5HxoijwRrxY,Candela's Pizza Bar,Pizzería,"Jr. Arequipa 318, Puno 21001",985 632 454,+51 985 632 454,,,"-15.8381142,-70.0277256",3.9,,"Pizzería en el distrito de Taraco, Huancané , Puno, Perú"
ChIJ2-R6IaYLupERJ0Pz5L3r_E4,https://www.google.com/maps/place/?q=place_id:ChIJ2-R6IaYLupERJ0Pz5L3r_E4,La Auténtica,Pizzería,"Los Olivos 128, Tarapoto 22201",942 478 837,+51 942 478 837,laautentica-per.ola.click,https://laautentica-per.ola.click/,"-6.4937102,-76.37081049999999",4.8,,"Pizzería en el distrito de Taraco, Huancané , Puno, Perú"
ChIJQzEjFhXzZ5ERGcujXStdkmI,https://www.google.com/maps/place/?q=place_id:ChIJQzEjFhXzZ5ERGcujXStdkmI,Pparisinos Pizzas & Parrillas,Restaurante,"211001, Juliaca",999 444 475,+51 999 444 475,bit.ly,https://bit.ly/CartaDigital-Parisinos,"-15.490758,-70.1381555",4,,"Pizzería en el distrito de Taraco, Huancané , Puno, Perú"
ChIJE4-e7NqXZ5ERB1494lxG_Pc,https://www.google.com/maps/place/?q=place_id:ChIJE4-e7NqXZ5ERB1494lxG_Pc,ODLANYER MAQUINARIAS,Tienda de productos agrícolas,"Av panamericana, 21305",988 392 044,+51 988 392 044,,,"-15.2907953,-69.93121169999999",,,"Comida oriental en el distrito de Taraco, Huancané , Puno, Perú"
ChIJSQzn6HuXZ5ERyR5Zh-w6-8k,https://www.google.com/maps/place/?q=place_id:ChIJSQzn6HuXZ5ERyR5Zh-w6-8k,"RAMIS - Restaurant, Cevicheria",Restaurante,"P4VG+RCF, 34H 21305",,,,,"-15.255436399999999,-69.8739473",3.8,,"Comida oriental en el distrito de Taraco, Huancané , Puno, Perú"
ChIJU46ipxOUZ5ERgH2_iB2Jgi8,https://www.google.com/maps/place/?q=place_id:ChIJU46ipxOUZ5ERgH2_iB2Jgi8,Polleria Golden Chicken,Restaurante,"Av. Panamericana sur, Taraco 21306",950 839 226,+51 950 839 226,,,"-15.3024531,-69.9757575",3.7,,"Comida oriental en el distrito de Taraco, Huancané , Puno, Perú"
ChIJ7W5qucyVZ5ERMRl3IVZMmMs,https://www.google.com/maps/place/?q=place_id:ChIJ7W5qucyVZ5ERMRl3IVZMmMs,Restaurante La Escondida,Restaurante,"P229+8PM, Taraco 21306",,,,,"-15.2991715,-69.9807048",5,,"Comida oriental en el distrito de Taraco, Huancané , Puno, Perú"
ChIJvxKz8VaVZ5ERg216WYUuouc,https://www.google.com/maps/place/?q=place_id:ChIJvxKz8VaVZ5ERg216WYUuouc,Cevichería Ramis,Restaurante,"M2X9+CG3, Taraco 21306",,,,,"-15.301978499999999,-69.9817125",,,"Comida oriental en el distrito de Taraco, Huancané , Puno, Perú"
ChIJl1SHpsKXZ5ERHu4R3Fz_7b8,https://www.google.com/maps/place/?q=place_id:ChIJl1SHpsKXZ5ERHu4R3Fz_7b8,EL BARATYS Quinta restaurante,Restaurante,"21305, Taraco 21305",,,,,"-15.2554717,-69.87397899999999",5,,"Comida oriental en el distrito de Taraco, Huancané , Puno, Perú"
ChIJRwPEc5uVZ5ERMWdplC4Kc1c,https://www.google.com/maps/place/?q=place_id:ChIJRwPEc5uVZ5ERMWdplC4Kc1c,Tortas,Pastelería,"051, Taraco",931 942 004,+51 931 942 004,,,"-15.298779,-69.977161",,,"Comida oriental en el distrito de Taraco, Huancané , Puno, Perú"
ChIJY5EGcvrGBZERR7LBoloQhK4,https://www.google.com/maps/place/?q=place_id:ChIJY5EGcvrGBZERR7LBoloQhK4,Ó-Mei,Restaurante asiático,"LM-119, Lima 15023",(01) 4340940,+51 1 4340940,omeilima.com,https://omeilima.com/,"-12.072407,-76.95708909999999",4.5,,"Comida oriental en el distrito de Taraco, Huancané , Puno, Perú"
ChIJj_6pBliVZ5ERo3cgQBaC68Q,https://www.google.com/maps/place/?q=place_id:ChIJj_6pBliVZ5ERo3cgQBaC68Q,LACTEOS YAGUNO,Tienda de alimentos naturales,"34H, Taraco 21305",950 001 374,+51 950 001 374,,,"-15.2980459,-69.9879134",5,,"Comida oriental en el distrito de Taraco, Huancané , Puno, Perú"
ChIJB_gSUsfJBZERlBy4USkcnJo,https://www.google.com/maps/place/?q=place_id:ChIJB_gSUsfJBZERlBy4USkcnJo,Shimao,Restaurante de cocina panasiática,"Av. Almte. Miguel Grau 1198, Barranco 15063",,,shimao.pe,http://shimao.pe/,"-12.1398291,-77.02217259999999",4.8,,"Comida oriental en el distrito de Taraco, Huancané , Puno, Perú"
ChIJlR8A2VWVZ5ERg8uQl_K9wxw,https://www.google.com/maps/place/?q=place_id:ChIJlR8A2VWVZ5ERg8uQl_K9wxw,Café Bar Xtreme,Cafetería cosplay,"M2WF+W2V, PU-118, Taraco 21306",,,,,"-15.3026314,-69.9774607",2.5,,"Comida oriental en el distrito de Taraco, Huancané , Puno, Perú"
ChIJG3S1rlvFBZERgJgNlPv7WVI,https://www.google.com/maps/place/?q=place_id:ChIJG3S1rlvFBZERgJgNlPv7WVI,Hot Tako Sushi,Restaurante japonés,"Av. Gran Chimú 517, Lima 15401",965 174 276,+51 965 174 276,,,"-12.0269748,-77.005335",3.8,,"Comida oriental en el distrito de Taraco, Huancané , Puno, Perú"
ChIJK4i2V4KVZ5ERETF5wNgM0AE,https://www.google.com/maps/place/?q=place_id:ChIJK4i2V4KVZ5ERETF5wNgM0AE,LA HACIENDA DEL KANKACHO AYAVIREÑO,Restaurante,"21306, Taraco 21306",946 705 067,+51 946 705 067,,,"-15.298283399999999,-69.9818327",,,"Comida oriental en el distrito de Taraco, Huancané , Puno, Perú"
ChIJ3X7MUACVZ5ERftUY4nXRbgQ,https://www.google.com/maps/place/?q=place_id:ChIJ3X7MUACVZ5ERftUY4nXRbgQ,Kankacho Mary,Restaurante familiar,"PX2G+97, Saman 21300",,,,,"-15.3009197,-70.02446239999999",,,"Comida oriental en el distrito de Taraco, Huancané , Puno, Perú"
ChIJd6OBhh25BZERMrRFATvSIr4,https://www.google.com/maps/place/?q=place_id:ChIJd6OBhh25BZERMrRFATvSIr4,El Chino Yuan,Restaurante chino,"De Martes a Domingo, Jr. Diana Mz D, Santiago de Surco 15054",927 072 849,+51 927 072 849,,,"-12.1641236,-76.99458",4.7,,"Comida oriental en el distrito de Taraco, Huancané , Puno, Perú"
ChIJfzgAdgCVZ5ERWt7entw0bFI,https://www.google.com/maps/place/?q=place_id:ChIJfzgAdgCVZ5ERWt7entw0bFI,Jr Ayacucho,Pastelería,"P22F+H39, Taraco 21306",931 942 004,+51 931 942 004,,,"-15.298693199999999,-69.9774879",,,"Comida oriental en el distrito de Taraco, Huancané , Puno, Perú"
ChIJ-SRPf5mVZ5ERs7yfgh24ZRQ,https://www.google.com/maps/place/?q=place_id:ChIJ-SRPf5mVZ5ERs7yfgh24ZRQ,"PANADERIA ""BERRIOS""",Panadería,"M2X9+9GF, Taraco 21306",,,,,"-15.3015698,-69.9811923",5,,"Comida oriental en el distrito de Taraco, Huancané , Puno, Perú"
ChIJ--eR3QCVZ5ERaU2dN_qbUs8,https://www.google.com/maps/place/?q=place_id:ChIJ--eR3QCVZ5ERaU2dN_qbUs8,SNACK CAFETERIA Y PASTELERIA - TARACO,Cafetería,"P22C+QG8, 28 DE JULIO, Taraco 21306",962 411 314,+51 962 411 314,,,"-15.2980886,-69.9786833",5,,"Comida oriental en el distrito de Taraco, Huancané , Puno, Perú"
ChIJPSwPWExpXZERLiP_xlV2CFQ,https://www.google.com/maps/place/?q=place_id:ChIJPSwPWExpXZERLiP_xlV2CFQ,Chaquena Restaurantes,Restaurante peruano,"Cerca al Mercado Laykakota por la, Jr. Banchero Rossi 110, Puno 21001",929 396 935,+51 929 396 935,,,"-15.8465952,-70.0196764",4.6,,"Parrillas en el distrito de Taraco, Huancané , Puno, Perú"
ChIJgcppK5VpXZER6g6l_kMRG1U,https://www.google.com/maps/place/?q=place_id:ChIJgcppK5VpXZER6g6l_kMRG1U,La Estancia Grill,Restaurante,"Jr.Libertad 137, Puno 21001",(051) 351196,+51 51 351196,,,"-15.83873,-70.02639479999999",4.1,,"Parrillas en el distrito de Taraco, Huancané , Puno, Perú"
ChIJX17S0pRpXZERTPi2X_FM5CQ,https://www.google.com/maps/place/?q=place_id:ChIJX17S0pRpXZERTPi2X_FM5CQ,Casa Grill Puno,Restaurante,"Moquegua 318, Puno 21001",951 757 970,+51 951 757 970,,,"-15.8399562,-70.0263492",3.8,,"Parrillas en el distrito de Taraco, Huancané , Puno, Perú"
ChIJRwPEc5uVZ5ERMWdplC4Kc1c,https://www.google.com/maps/place/?q=place_id:ChIJRwPEc5uVZ5ERMWdplC4Kc1c,Tortas,Pastelería,"051, Taraco",931 942 004,+51 931 942 004,,,"-15.298779,-69.977161",,,"Pastelería en el distrito de Taraco, Huancané , Puno, Perú"
ChIJh5l_ikGVZ5ERspI-ahlFuy0,https://www.google.com/maps/place/?q=place_id:ChIJh5l_ikGVZ5ERspI-ahlFuy0,Pasteleria Techi,Pastelería,"51, Taraco",963 825 575,+51 963 825 575,,,"-15.297132699999999,-69.97885269999999",,,"Pastelería en el distrito de Taraco, Huancané , Puno, Perú"
ChIJ0-C_YACVZ5ERZvs5A7JwgaY,https://www.google.com/maps/place/?q=place_id:ChIJ0-C_YACVZ5ERZvs5A7JwgaY,Jr Ayacucho,Pastelería,"P22F+H39, Taraco 21306",,,,,"-15.2986928,-69.9774879",5,,"Pastelería en el distrito de Taraco, Huancané , Puno, Perú"
ChIJfzgAdgCVZ5ERWt7entw0bFI,https://www.google.com/maps/place/?q=place_id:ChIJfzgAdgCVZ5ERWt7entw0bFI,Jr Ayacucho,Pastelería,"P22F+H39, Taraco 21306",931 942 004,+51 931 942 004,,,"-15.298693199999999,-69.9774879",,,"Pastelería en el distrito de Taraco, Huancané , Puno, Perú"
ChIJ--eR3QCVZ5ERaU2dN_qbUs8,https://www.google.com/maps/place/?q=place_id:ChIJ--eR3QCVZ5ERaU2dN_qbUs8,SNACK CAFETERIA Y PASTELERIA - TARACO,Cafetería,"P22C+QG8, 28 DE JULIO, Taraco 21306",962 411 314,+51 962 411 314,,,"-15.2980886,-69.9786833",5,,"Pastelería en el distrito de Taraco, Huancané , Puno, Perú"
ChIJ-SRPf5mVZ5ERs7yfgh24ZRQ,https://www.google.com/maps/place/?q=place_id:ChIJ-SRPf5mVZ5ERs7yfgh24ZRQ,"PANADERIA ""BERRIOS""",Panadería,"M2X9+9GF, Taraco 21306",,,,,"-15.3015698,-69.9811923",5,,"Panadería en el distrito de Taraco, Huancané , Puno, Perú"
ChIJ0-C_YACVZ5ERZvs5A7JwgaY,https://www.google.com/maps/place/?q=place_id:ChIJ0-C_YACVZ5ERZvs5A7JwgaY,Jr Ayacucho,Pastelería,"P22F+H39, Taraco 21306",,,,,"-15.2986928,-69.9774879",5,,"Panadería en el distrito de Taraco, Huancané , Puno, Perú"
ChIJRwPEc5uVZ5ERMWdplC4Kc1c,https://www.google.com/maps/place/?q=place_id:ChIJRwPEc5uVZ5ERMWdplC4Kc1c,Tortas,Pastelería,"051, Taraco",931 942 004,+51 931 942 004,,,"-15.298779,-69.977161",,,"Panadería en el distrito de Taraco, Huancané , Puno, Perú"
ChIJfzgAdgCVZ5ERWt7entw0bFI,https://www.google.com/maps/place/?q=place_id:ChIJfzgAdgCVZ5ERWt7entw0bFI,Jr Ayacucho,Pastelería,"P22F+H39, Taraco 21306",931 942 004,+51 931 942 004,,,"-15.298693199999999,-69.9774879",,,"Panadería en el distrito de Taraco, Huancané , Puno, Perú"
ChIJh5l_ikGVZ5ERspI-ahlFuy0,https://www.google.com/maps/place/?q=place_id:ChIJh5l_ikGVZ5ERspI-ahlFuy0,Pasteleria Techi,Pastelería,"51, Taraco",963 825 575,+51 963 825 575,,,"-15.297132699999999,-69.97885269999999",,,"Panadería en el distrito de Taraco, Huancané , Puno, Perú"
