id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJjTWi9JFpXZERhyGI2GylVoo,https://www.google.com/maps/place/?q=place_id:ChIJjTWi9JFpXZERhyGI2GylVoo,Cevicheria Moridiscos y Mariscos,Restaurante,"Av. El Sol 1049, Puno 21001",977 133 103,+51 977 133 103,facebook.com,https://www.facebook.com/mordiscoscevicheriapuno/,"-15.842128599999999,-70.0211829",4,,"Cevichería en el distrito de Patambuco, Sandia , Puno, Perú"
ChIJZblpXOtpXZERxszQJvrg5ZU,https://www.google.com/maps/place/?q=place_id:ChIJZblpXOtpXZERxszQJvrg5ZU,Mareas Ceviche y Mas,Restaurante,"Cajamarca 420, Puno 21001",988 407 702,+51 988 407 702,facebook.com,https://www.facebook.com/MareasPorRichardFlores,"-15.8415041,-70.0277503",4,,"Cevichería en el distrito de Patambuco, Sandia , Puno, Perú"
ChIJc16CFd5pXZEREdxw7vweboM,https://www.google.com/maps/place/?q=place_id:ChIJc16CFd5pXZEREdxw7vweboM,BIANCA PIZZA,Pizzería,"Jr deustua 369, Jr. Deustua 361, Puno 21000",993 760 797,+51 993 760 797,,,"-15.840187499999999,-70.027524",4.8,,"Pizzería en el distrito de Patambuco, Sandia , Puno, Perú"
ChIJqR7nyRxpXZERU0tjiAO4arI,https://www.google.com/maps/place/?q=place_id:ChIJqR7nyRxpXZERU0tjiAO4arI,PIZZCO pizzas & drinks,Pizzería,"Jr. Puno 513, Puno 21001",943 363 436,+51 943 363 436,facebook.com,https://www.facebook.com/Remixologys?mibextid=ZbWKwL,"-15.841050599999999,-70.0282655",4.8,,"Pizzería en el distrito de Patambuco, Sandia , Puno, Perú"
ChIJKWYW1-ppXZERQYziHTnbm1M,https://www.google.com/maps/place/?q=place_id:ChIJKWYW1-ppXZERQYziHTnbm1M,Pizzería Trattoria Del Búho,Pizzería,"Jr.Libertad 240, Puno 21001",971 107 010,+51 971 107 010,restaurantsnapshot.com,http://restaurantsnapshot.com/Pizzeria_del_buho/,"-15.8387576,-70.0271264",4.1,,"Pizzería en el distrito de Patambuco, Sandia , Puno, Perú"
ChIJH3HWa-tpXZERhZSCC3M0iMg,https://www.google.com/maps/place/?q=place_id:ChIJH3HWa-tpXZERhZSCC3M0iMg,Remix Pizzería Resto Café Bar,Pizzería,"Villa militar, Jr. Puno 563 - Plaza de armas Jr, Pardo 122, Puno 21001",958 169 450,+51 958 169 450,,,"-15.841138299999999,-70.0287522",4.4,,"Pizzería en el distrito de Patambuco, Sandia , Puno, Perú"
ChIJAya-w-ppXZERgZCSfbabl4Q,https://www.google.com/maps/place/?q=place_id:ChIJAya-w-ppXZERgZCSfbabl4Q,Pizza e Pasta,Restaurante,"Jirón, Jose M Moral 155, Puno 21001",980 709 954,+51 980 709 954,,,"-15.844790399999999,-70.0257917",4.3,,"Pizzería en el distrito de Patambuco, Sandia , Puno, Perú"
ChIJ0zDOPOtpXZERAsC8IWlb4-0,https://www.google.com/maps/place/?q=place_id:ChIJ0zDOPOtpXZERAsC8IWlb4-0,Restaurant Pizza Andina,Restaurante,"Jr. Lima 501, Puno 21001",(051) 353379,+51 51 353379,,,"-15.8398313,-70.02779149999999",3.9,,"Pizzería en el distrito de Patambuco, Sandia , Puno, Perú"
ChIJkdUBK8JpXZER5HxoijwRrxY,https://www.google.com/maps/place/?q=place_id:ChIJkdUBK8JpXZER5HxoijwRrxY,Candela's Pizza Bar,Pizzería,"Jr. Arequipa 318, Puno 21001",985 632 454,+51 985 632 454,,,"-15.8381142,-70.0277256",3.9,,"Pizzería en el distrito de Patambuco, Sandia , Puno, Perú"
ChIJYeLN3uppXZERzSla--a2MGA,https://www.google.com/maps/place/?q=place_id:ChIJYeLN3uppXZERzSla--a2MGA,Pizzeria Jhutmay,Pizzería,"Jr.Libertad 334, Puno 21001",(051) 200114,+51 51 200114,facebook.com,https://www.facebook.com/profile.php?id=100088235595592&mibextid=ZbWKwL,"-15.838825,-70.02760909999999",4,,"Pizzería en el distrito de Patambuco, Sandia , Puno, Perú"
ChIJ_28lQy1pXZER28cZv8X4sCU,https://www.google.com/maps/place/?q=place_id:ChIJ_28lQy1pXZER28cZv8X4sCU,Pizzeria andina,Pizzería,"Jr.Libertad 317, Puno 21001",989 011 814,+51 989 011 814,,,"-15.838963999999999,-70.0275079",3.6,,"Pizzería en el distrito de Patambuco, Sandia , Puno, Perú"
ChIJf7CJrtppXZERjR5M4wJQckE,https://www.google.com/maps/place/?q=place_id:ChIJf7CJrtppXZERjR5M4wJQckE,Quinua Restaurant Pizzeria,Restaurante,"Jr. Lambayeque 127, Lambayeque 131, Puno 21001",978 490 033,+51 978 490 033,,,"-15.8383705,-70.0285351",4.6,,"Pizzería en el distrito de Patambuco, Sandia , Puno, Perú"
ChIJ_ZPA4OppXZERHFfAS4KNIFI,https://www.google.com/maps/place/?q=place_id:ChIJ_ZPA4OppXZERHFfAS4KNIFI,Tulipans Restaurant,Restaurante,"Jr. Lima 394, Puno 21001",931 547 591,+51 931 547 591,tulipansrestaurant.com,http://www.tulipansrestaurant.com/,"-15.838875799999999,-70.028138",4.1,,"Pizzería en el distrito de Patambuco, Sandia , Puno, Perú"
ChIJI2TV8ZJpXZERtoHlKT0MBqA,https://www.google.com/maps/place/?q=place_id:ChIJI2TV8ZJpXZERtoHlKT0MBqA,Chicharroneria Sabor Peruano,Restaurante,"051356266, 227, Puno 21002",937 000 051,+51 937 000 051,facebook.com,https://www.facebook.com/ChicharroneriaSaborPeruano/?ref=br_rs,"-15.8453194,-70.02422729999999",3.8,,"Comida peruana en el distrito de Patambuco, Sandia , Puno, Perú"
